

Here are the 16 flight plans:

BNA | IAD | AA | Non-stop | 06:00 | 08:35 | 248.00
TVL | BNA | Delta Air Lines | 0 | 08:30 | 14:50 | 410.00
TVL | BNA | United Airlines | 1 (SFO) | 11:15 | 17:40 | 440.00
TVL | BNA | Southwest Airlines | 0 | 13:00 | 18:25 | 320.00
TVL | BNA | Alaska Airlines | 1 (PDX) | 15:45 | 22:10 | 460.00
TVL | BNA | JetBlue Airways | 0 | 17:30 | 22:55 | 390.00
TVL | BNA | Spirit Airlines | 1 (DFW) | 20:00 | 02:35 | 430.00
TVL | BNA | Frontier Airlines | 0 | 22:30 | 04:55 | 360.00


BNA | MCD | American Airlines | Non-stop | 06:00 | 07:30 | 198.00
BNA | MCD | Delta Air Lines | 1 stop (ATL) | 08:15 | 11:45 | 225.00
BNA | MCD | United Airlines | Non-stop | 10:00 | 11:20 | 220.00
BNA | MCD | Spirit Airlines | 1 stop (FLL) | 12:30 | 16:00 | 185.00
BNA | MCD | Alaska Airlines | Non-stop | 14:00 | 15:20 | 240.00
BNA | MCD | JetBlue Airways | 1 stop (JFK) | 16:00 | 20:30 | 210.00
BNA | MCD | Frontier Airlines | 1 stop (DEN) | 18:00 | 22:30 | 195.00
BNA | MCD | Southwest Airlines | Non-stop | 20:00 | 21:20 | 230.00
MCD | BNA | American Airlines | Non-stop | 06:30 | 08:00 | 205.00
MCD | BNA | Delta Air Lines | 1 stop (CLT) | 08:45 | 12:15 | 235.00
MCD | BNA | United Airlines | Non-stop | 11:00 | 12:20 | 215.00
MCD | BNA | Spirit Airlines | 1 stop (TPA) | 13:30 | 17:00 | 190.00
MCD | BNA | Alaska Airlines | Non-stop | 15:00 | 16:20 | 245.00
MCD | BNA | JetBlue Airways | 1 stop (BOS) | 17:00 | 21:30 | 225.00
MCD | BNA | Frontier Airlines | 1 stop (IAH) | 19:00 | 23:30 | 200.00
MCD | BNA | Southwest Airlines | Non-stop | 21:00 | 22:20 | 240.00


Here are the 16 flight plans:

BNA | PLN | American Airlines | 1 (ORD) | 08:00 | 11:35 | 425.00
BNA | PLN | Delta Air Lines | 1 (ATL) | 09:30 | 13:10 | 450.00
BNA | PLN | United Airlines | 1 (EWR) | 10:45 | 14:20 | 480.00
BNA | PLN | Frontier Airlines | 1 (DEN) | 12:15 | 15:50 | 395.00
BNA | PLN | Spirit Airlines | 1 (FLL) | 13:30 | 17:05 | 375.00
BNA | PLN | Southwest Airlines | 1 (STL) | 14:45 | 18:20 | 410.00
BNA | PLN | Alaska Airlines | 1 (SEA) | 16:00 | 19:35 | 440.00
BNA | PLN | JetBlue Airways | 0 | 17:15 | 20:40 | 325.00
PLN | BNA | American Airlines | 1 (ORD) | 08:00 | 11:35 | 425.00
PLN | BNA | Delta Air Lines | 1 (ATL) | 09:30 | 13:10 | 450.00
PLN | BNA | United Airlines | 1 (EWR) | 10:45 | 14:20 | 480.00
PLN | BNA | Frontier Airlines | 1 (DEN) | 12:15 | 15:50 | 395.00
PLN | BNA | Spirit Airlines | 1 (FLL) | 13:30 | 17:05 | 375.00
PLN | BNA | Southwest Airlines | 1 (STL) | 14:45 | 18:20 | 410.00
PLN | BNA | Alaska Airlines | 1 (SEA) | 16:00 | 19:35 | 440.00
PLN | BNA | JetBlue Airways | 0 | 17:15 | 20:40 | 325.00


Here are the 16 flight plans:

BNA | OGG | American Airlines | Non-stop | 08:00 | 17:35 | 849.00
BNA | OGG | Delta Air Lines | 1 stop (LAX) | 09:15 | 20:05 | 759.00
BNA | OGG | United Airlines | Non-stop | 10:30 | 19:50 | 899.00
BNA | OGG | Hawaiian Airlines | 1 stop (HNL) | 11:45 | 21:20 | 939.00
BNA | OGG | Alaska Airlines | 1 stop (SEA) | 13:00 | 22:35 | 869.00
BNA | OGG | Southwest Airlines | 1 stop (PHX) | 14:15 | 23:50 | 799.00
BNA | OGG | JetBlue Airways | Non-stop | 15:30 | 22:55 | 929.00
BNA | OGG | Spirit Airlines | 1 stop (LAS) | 16:45 | 00:20 | 699.00
OGG | BNA | American Airlines | Non-stop | 08:00 | 17:35 | 849.00
OGG | BNA | Delta Air Lines | 1 stop (SFO) | 09:15 | 20:05 | 759.00
OGG | BNA | United Airlines | Non-stop | 10:30 | 19:50 | 899.00
OGG | BNA | Hawaiian Airlines | 1 stop (LAX) | 11:45 | 21:20 | 939.00
OGG | BNA | Alaska Airlines | 1 stop (PDX) | 13:00 | 22:35 | 869.00
OGG | BNA | Southwest Airlines | 1 stop (DEN) | 14:15 | 23:50 | 799.00
OGG | BNA | JetBlue Airways | Non-stop | 15:30 | 22:55 | 929.00
OGG | BNA | Spirit Airlines | 1 stop (DFW) | 16:45 | 00:20 | 699.00


Here are the 16 flight plans:

BNA | RAP | AA | 1 (DFW) | 08:00 | 11:35 | 542.50
BNA | RAP | UA | 1 (ORD) | 09:25 | 13:05 | 475.00
BNA | RAP | DL | 1 (ATL) | 10:50 | 14:20 | 512.00
BNA | RAP | WN | 1 (DEN) | 12:10 | 15:40 | 448.00
BNA | RAP | AS | 1 (SEA) | 13:35 | 17:05 | 525.00
BNA | RAP | F9 | 1 (MCO) | 14:55 | 18:25 | 398.00
BNA | RAP | NK | 1 (LAS) | 16:20 | 19:50 | 422.00
BNA | RAP | B6 | 1 (JFK) | 17:45 | 21:15 | 492.00
RAP | BNA | AA | 1 (DFW) | 08:05 | 11:40 | 532.00
RAP | BNA | UA | 1 (ORD) | 09:30 | 13:10 | 462.00
RAP | BNA | DL | 1 (ATL) | 10:55 | 14:25 | 502.00
RAP | BNA | WN | 1 (DEN) | 12:15 | 15:45 | 428.00
RAP | BNA | AS | 1 (SEA) | 13:40 | 17:10 | 505.00
RAP | BNA | F9 | 1 (MCO) | 15:00 | 18:30 | 378.00
RAP | BNA | NK | 1 (LAS) | 16:25 | 19:55 | 402.00
RAP | BNA | B6 | 1 (JFK) | 17:50 | 21:20 | 472.00


Here are the 16 flight plans:

BNA | MYR | American Airlines | Non-stop | 06:00 | 08:35 | 198.00
BNA | MYR | Delta Air Lines | 1 stop (ATL) | 08:15 | 12:05 | 229.00
BNA | MYR | United Airlines | Non-stop | 10:30 | 13:05 | 219.00
BNA | MYR | Spirit Airlines | 1 stop (FLL) | 12:45 | 16:20 | 189.00
BNA | MYR | Frontier Airlines | 1 stop (DEN) | 14:00 | 18:35 | 209.00
BNA | MYR | Southwest Airlines | Non-stop | 16:15 | 18:45 | 239.00
BNA | MYR | JetBlue Airways | 1 stop (BOS) | 18:30 | 22:10 | 249.00
BNA | MYR | Allegiant Air | 1 stop (SDF) | 20:45 | 00:20 | 199.00
MYR | BNA | American Airlines | Non-stop | 06:30 | 08:05 | 209.00
MYR | BNA | Delta Air Lines | 1 stop (CLT) | 08:50 | 12:30 | 239.00
MYR | BNA | United Airlines | Non-stop | 11:15 | 13:40 | 229.00
MYR | BNA | Spirit Airlines | 1 stop (TPA) | 13:30 | 17:05 | 199.00
MYR | BNA | Frontier Airlines | 1 stop (ORD) | 15:00 | 19:35 | 219.00
MYR | BNA | Southwest Airlines | Non-stop | 17:15 | 19:45 | 249.00
MYR | BNA | JetBlue Airways | 1 stop (MCO) | 19:30 | 23:10 | 259.00
MYR | BNA | Allegiant Air | 1 stop (CVG) | 21:45 | 01:20 | 209.00


Here are the 16 flight plans:

BNA | OAK | AA | 0 | 08:00 | 10:30 | 350.00
BNA | OAK | UA | 1 (SFO) | 09:15 | 12:45 | 420.00
BNA | OAK | WN | 0 | 10:30 | 13:00 | 280.00
BNA | OAK | DL | 1 (LAX) | 11:45 | 15:15 | 480.00
BNA | OAK | AS | 0 | 13:00 | 15:30 | 320.00
BNA | OAK | F9 | 1 (DEN) | 14:15 | 17:45 | 380.00
BNA | OAK | NK | 0 | 15:30 | 18:00 | 300.00
BNA | OAK | B6 | 1 (JFK) | 16:45 | 20:15 | 450.00

OAK | BNA | AA | 0 | 08:00 | 14:30 | 370.00
OAK | BNA | UA | 1 (SFO) | 09:15 | 15:45 | 440.00
OAK | BNA | WN | 0 | 10:30 | 16:00 | 290.00
OAK | BNA | DL | 1 (LAX) | 11:45 | 17:15 | 500.00
OAK | BNA | AS | 0 | 13:00 | 17:30 | 340.00
OAK | BNA | F9 | 1 (DEN) | 14:15 | 18:45 | 400.00
OAK | BNA | NK | 0 | 15:30 | 19:00 | 310.00
OAK | BNA | B6 | 1 (JFK) | 16:45 | 21:15 | 470.00


Here are the 16 flight plans:

BNA | SMF | AA | 1 (DFW) | 08:00 | 10:35 | 425.00
BNA | SMF | UA | 0 | 09:15 | 11:45 | 395.00
BNA | SMF | WN | 1 (DEN) | 10:30 | 13:05 | 455.00
BNA | SMF | DL | 1 (ATL) | 11:45 | 14:20 | 475.00
BNA | SMF | AS | 0 | 13:00 | 15:30 | 415.00
BNA | SMF | F9 | 1 (PHX) | 14:15 | 16:40 | 395.00
BNA | SMF | NK | 1 (LAS) | 15:30 | 17:55 | 425.00
BNA | SMF | B6 | 0 | 17:00 | 19:25 | 445.00

SMF | BNA | AA | 1 (ORD) | 06:00 | 12:35 | 410.00
SMF | BNA | UA | 0 | 07:15 | 13:40 | 380.00
SMF | BNA | WN | 1 (MDW) | 08:30 | 14:55 | 440.00
SMF | BNA | DL | 1 (SFO) | 09:45 | 16:10 | 460.00
SMF | BNA | AS | 0 | 11:00 | 17:25 | 400.00
SMF | BNA | F9 | 1 (IAH) | 12:15 | 18:40 | 420.00
SMF | BNA | NK | 1 (MCO) | 13:30 | 20:00 | 450.00
SMF | BNA | B6 | 0 | 14:45 | 21:10 | 430.00


Here are the 16 flight plans:

BNA | SAF | AA | 1 (DFW) | 08:00 | 10:30 | 420.00
BNA | SAF | UA | 0 | 09:15 | 11:45 | 450.00
BNA | SAF | WN | 1 (HOU) | 10:30 | 13:00 | 380.00
BNA | SAF | DL | 1 (ATL) | 11:45 | 14:15 | 410.00
BNA | SAF | AS | 1 (SEA) | 12:00 | 14:30 | 440.00
BNA | SAF | F9 | 0 | 13:15 | 15:45 | 320.00
BNA | SAF | NK | 1 (ORD) | 14:30 | 17:00 | 390.00
BNA | SAF | SY | 1 (MSP) | 15:45 | 18:15 | 360.00
SAF | BNA | AA | 1 (DFW) | 08:00 | 10:30 | 420.00
SAF | BNA | UA | 0 | 09:15 | 11:45 | 450.00
SAF | BNA | WN | 1 (HOU) | 10:30 | 13:00 | 380.00
SAF | BNA | DL | 1 (ATL) | 11:45 | 14:15 | 410.00
SAF | BNA | AS | 1 (SEA) | 12:00 | 14:30 | 440.00
SAF | BNA | F9 | 0 | 13:15 | 15:45 | 320.00
SAF | BNA | NK | 1 (ORD) | 14:30 | 17:00 | 390.00
SAF | BNA | SY | 1 (MSP) | 15:45 | 18:15 | 360.00


Here are the 16 flight plans:

BNA | ABQ | American Airlines | Non-stop | 08:00 | 10:35 | 345.50
BNA | ABQ | Delta Air Lines | 1 stop (DFW) | 09:15 | 12:50 | 395.00
BNA | ABQ | United Airlines | Non-stop | 10:30 | 13:05 | 425.00
BNA | ABQ | Southwest Airlines | 1 stop (HOU) | 11:45 | 15:20 | 455.00
BNA | ABQ | Frontier Airlines | Non-stop | 13:00 | 15:35 | 375.50
BNA | ABQ | Alaska Airlines | 1 stop (SEA) | 14:15 | 17:50 | 505.00
BNA | ABQ | JetBlue Airways | Non-stop | 15:30 | 18:05 | 395.00
BNA | ABQ | Spirit Airlines | 1 stop (LAS) | 16:45 | 20:20 | 425.00
ABQ | BNA | American Airlines | Non-stop | 08:00 | 12:35 | 345.50
ABQ | BNA | Delta Air Lines | 1 stop (ATL) | 09:15 | 14:50 | 395.00
ABQ | BNA | United Airlines | Non-stop | 10:30 | 15:05 | 425.00
ABQ | BNA | Southwest Airlines | 1 stop (DAL) | 11:45 | 16:20 | 455.00
ABQ | BNA | Frontier Airlines | Non-stop | 13:00 | 16:35 | 375.50
ABQ | BNA | Alaska Airlines | 1 stop (SFO) | 14:15 | 18:50 | 505.00
ABQ | BNA | JetBlue Airways | Non-stop | 15:30 | 19:05 | 395.00
ABQ | BNA | Spirit Airlines | 1 stop (ORD) | 16:45 | 21:20 | 425.00


Here are the 16 flight plans:

BNA | SAV | AA | 0 | 08:00 | 10:15 | 218.00
BNA | SAV | DL | 1 (ATL) | 09:30 | 12:45 | 248.00
BNA | SAV | WN | 0 | 11:00 | 13:20 | 198.00
BNA | SAV | UA | 1 (IAD) | 12:45 | 16:10 | 278.00
BNA | SAV | F9 | 0 | 14:30 | 16:50 | 168.00
BNA | SAV | AA | 1 (CLT) | 15:15 | 18:40 | 288.00
BNA | SAV | DL | 0 | 17:00 | 19:25 | 228.00
BNA | SAV | WN | 1 (HOU) | 18:45 | 22:10 | 258.00
SAV | BNA | AA | 0 | 08:00 | 09:20 | 208.00
SAV | BNA | DL | 1 (ATL) | 09:30 | 12:05 | 238.00
SAV | BNA | WN | 0 | 11:00 | 12:25 | 188.00
SAV | BNA | UA | 1 (IAD) | 12:45 | 16:20 | 268.00
SAV | BNA | F9 | 0 | 14:30 | 16:00 | 158.00
SAV | BNA | AA | 1 (CLT) | 15:15 | 18:45 | 298.00
SAV | BNA | DL | 0 | 17:00 | 18:30 | 248.00
SAV | BNA | WN | 1 (HOU) | 18:45 | 22:15 | 268.00


Here are the 16 flight plans:

BNA | JAX | AA | 0 | 06:00 | 08:30 | 198.00
BNA | JAX | DL | 1 (ATL) | 08:15 | 12:45 | 248.50
BNA | JAX | WN | 0 | 10:30 | 13:00 | 225.00
BNA | JAX | UA | 1 (EWR) | 12:00 | 17:15 | 312.75
BNA | JAX | F9 | 0 | 14:45 | 17:15 | 189.00
BNA | JAX | AS | 1 (CLT) | 16:30 | 21:00 | 279.25
BNA | JAX | B6 | 0 | 18:15 | 20:45 | 219.50
BNA | JAX | NK | 1 (MCO) | 20:00 | 23:30 | 299.00
JAX | BNA | AA | 0 | 07:00 | 09:30 | 208.00
JAX | BNA | DL | 1 (ATL) | 09:15 | 13:45 | 258.50
JAX | BNA | WN | 0 | 11:30 | 14:00 | 235.00
JAX | BNA | UA | 1 (EWR) | 13:00 | 18:15 | 322.75
JAX | BNA | F9 | 0 | 15:45 | 18:15 | 204.00
JAX | BNA | AS | 1 (CLT) | 17:30 | 22:00 | 289.25
JAX | BNA | B6 | 0 | 19:15 | 21:45 | 229.50
JAX | BNA | NK | 1 (MCO) | 21:00 | 00:30 | 309.00


Here are the 16 flight plans:

BNA | SFB | AA | Non-stop | 06:00 | 08:35 | 198.00
BNA | SFB | DL | 1 (ATL) | 08:15 | 11:20 | 228.00
BNA | SFB | UA | Non-stop | 10:30 | 12:55 | 220.00
BNA | SFB | WN | 1 (TPA) | 12:00 | 15:05 | 245.00
BNA | SFB | F9 | Non-stop | 14:45 | 17:10 | 180.00
BNA | SFB | NK | 1 (FLL) | 16:30 | 19:40 | 210.00
BNA | SFB | B6 | Non-stop | 18:00 | 20:25 | 200.00
BNA | SFB | SY | 1 (MCO) | 20:15 | 23:25 | 240.00
SFB | BNA | AA | Non-stop | 06:00 | 07:35 | 190.00
SFB | BNA | DL | 1 (ATL) | 08:15 | 11:20 | 220.00
SFB | BNA | UA | Non-stop | 10:30 | 11:55 | 210.00
SFB | BNA | WN | 1 (TPA) | 12:00 | 14:05 | 230.00
SFB | BNA | F9 | Non-stop | 14:45 | 16:10 | 170.00
SFB | BNA | NK | 1 (FLL) | 16:30 | 18:40 | 200.00
SFB | BNA | B6 | Non-stop | 18:00 | 19:25 | 190.00
SFB | BNA | SY | 1 (MCO) | 20:15 | 22:25 | 230.00


Here are the 16 flight plans:

BNA | MTJ | American Airlines | 1 (DEN) | 08:00 | 10:35 | 425.00
BNA | MTJ | Delta Air Lines | 0 | 09:15 | 11:20 | 450.00
BNA | MTJ | United Airlines | 1 (ORD) | 10:50 | 13:25 | 520.00
BNA | MTJ | Frontier Airlines | 0 | 12:00 | 14:05 | 380.00
BNA | MTJ | Southwest Airlines | 1 (DAL) | 13:30 | 16:05 | 440.00
BNA | MTJ | Alaska Airlines | 0 | 14:45 | 17:00 | 410.00
BNA | MTJ | JetBlue Airways | 1 (ATL) | 16:00 | 18:35 | 500.00
BNA | MTJ | Spirit Airlines | 0 | 17:15 | 19:20 | 350.00

MTJ | BNA | American Airlines | 1 (PHX) | 08:30 | 12:05 | 480.00
MTJ | BNA | Delta Air Lines | 0 | 09:45 | 13:10 | 510.00
MTJ | BNA | United Airlines | 1 (SFO) | 11:00 | 15:35 | 550.00
MTJ | BNA | Frontier Airlines | 0 | 12:15 | 15:20 | 420.00
MTJ | BNA | Southwest Airlines | 1 (LAX) | 13:40 | 17:05 | 490.00
MTJ | BNA | Alaska Airlines | 0 | 15:00 | 18:15 | 460.00
MTJ | BNA | JetBlue Airways | 1 (MIA) | 16:20 | 20:00 | 530.00
MTJ | BNA | Spirit Airlines | 0 | 17:35 | 20:40 | 400.00


Here are the 16 flight plans:

BNA | DRO | AA | 1 (DFW) | 08:00 | 11:15 | 345.00
BNA | DRO | UA | 0 | 09:30 | 12:45 | 289.00
BNA | DRO | WN | 1 (DAL) | 10:15 | 13:30 | 319.00
BNA | DRO | DL | 1 (ATL) | 11:45 | 15:00 | 359.00
BNA | DRO | F9 | 0 | 13:00 | 16:15 | 249.00
BNA | DRO | AA | 1 (ORD) | 14:30 | 17:45 | 329.00
BNA | DRO | UA | 1 (DEN) | 16:00 | 19:15 | 399.00
BNA | DRO | WN | 0 | 17:30 | 20:45 | 299.00
DRO | BNA | AA | 1 (DFW) | 08:00 | 11:15 | 345.00
DRO | BNA | UA | 0 | 09:30 | 12:45 | 289.00
DRO | BNA | WN | 1 (DAL) | 10:15 | 13:30 | 319.00
DRO | BNA | DL | 1 (ATL) | 11:45 | 15:00 | 359.00
DRO | BNA | F9 | 0 | 13:00 | 16:15 | 249.00
DRO | BNA | AA | 1 (ORD) | 14:30 | 17:45 | 329.00
DRO | BNA | UA | 1 (DEN) | 16:00 | 19:15 | 399.00
DRO | BNA | WN | 0 | 17:30 | 20:45 | 299.00


Here are the 16 flight plans:

BNA | BOZ | AA | 0 | 08:00 | 10:30 | 420.00
BNA | BOZ | DL | 1 (ATL) | 09:15 | 12:45 | 480.00
BNA | BOZ | UA | 0 | 10:45 | 13:15 | 450.00
BNA | BOZ | WN | 1 (STL) | 11:30 | 14:50 | 520.00
BNA | BOZ | AS | 0 | 12:00 | 14:30 | 400.00
BNA | BOZ | F9 | 1 (DEN) | 13:15 | 16:20 | 550.00
BNA | BOZ | NK | 0 | 14:30 | 17:00 | 380.00
BNA | BOZ | SY | 1 (MSP) | 15:45 | 18:50 | 600.00
BOZ | BNA | AA | 0 | 08:30 | 11:00 | 410.00
BOZ | BNA | DL | 1 (SLC) | 09:45 | 13:10 | 490.00
BOZ | BNA | UA | 0 | 11:00 | 13:30 | 430.00
BOZ | BNA | WN | 1 (PHX) | 12:15 | 15:20 | 540.00
BOZ | BNA | AS | 0 | 13:30 | 16:00 | 390.00
BOZ | BNA | F9 | 1 (ORD) | 14:45 | 17:40 | 580.00
BOZ | BNA | NK | 0 | 15:55 | 18:25 | 360.00
BOZ | BNA | SY | 1 (DFW) | 17:10 | 20:00 | 620.00


Here are the 16 flight plans:

BNA | FAT | AA | 1 (DFW) | 08:00 | 10:35 | 425.00
BNA | FAT | UA | 0 | 10:15 | 12:50 | 450.00
BNA | FAT | WN | 1 (DAL) | 12:45 | 15:20 | 375.00
BNA | FAT | DL | 1 (ATL) | 14:30 | 17:05 | 500.00
BNA | FAT | AS | 1 (SEA) | 16:00 | 18:35 | 475.00
BNA | FAT | F9 | 0 | 17:45 | 20:20 | 325.00
BNA | FAT | NK | 1 (LAS) | 19:15 | 21:50 | 400.00
BNA | FAT | B6 | 1 (LAX) | 20:30 | 23:05 | 550.00
FAT | BNA | AA | 1 (PHX) | 06:00 | 11:35 | 450.00
FAT | BNA | UA | 0 | 08:15 | 14:50 | 475.00
FAT | BNA | WN | 1 (HOU) | 10:45 | 16:20 | 400.00
FAT | BNA | DL | 1 (SFO) | 12:30 | 18:05 | 525.00
FAT | BNA | AS | 1 (PDX) | 14:00 | 19:35 | 500.00
FAT | BNA | F9 | 0 | 15:45 | 20:20 | 375.00
FAT | BNA | NK | 1 (DEN) | 17:15 | 22:50 | 425.00
FAT | BNA | B6 | 1 (JFK) | 19:00 | 00:35 | 575.00


Here are the 16 flight plans:

BNA | SGU | AA | 1 (DFW) | 08:00 | 11:15 | 420.00
BNA | SGU | UA | 0 | 09:30 | 12:20 | 450.00
BNA | SGU | DL | 1 (ATL) | 10:45 | 14:00 | 380.00
BNA | SGU | WN | 1 (DEN) | 12:00 | 15:30 | 410.00
BNA | SGU | AS | 1 (SEA) | 13:15 | 16:40 | 440.00
BNA | SGU | F9 | 1 (MCO) | 14:30 | 17:50 | 390.00
BNA | SGU | NK | 1 (TPA) | 15:45 | 19:00 | 360.00
BNA | SGU | B6 | 1 (JFK) | 17:00 | 20:15 | 430.00
SGU | BNA | AA | 1 (ORD) | 06:00 | 09:15 | 400.00
SGU | BNA | UA | 0 | 07:30 | 10:20 | 480.00
SGU | BNA | DL | 1 (SLC) | 09:00 | 12:10 | 410.00
SGU | BNA | WN | 1 (PHX) | 10:15 | 13:30 | 390.00
SGU | BNA | AS | 1 (PDX) | 11:30 | 14:45 | 460.00
SGU | BNA | F9 | 1 (DAL) | 12:45 | 15:55 | 370.00
SGU | BNA | NK | 1 (LAX) | 14:00 | 16:15 | 440.00
SGU | BNA | B6 | 1 (MIA) | 15:15 | 17:30 | 420.00


Here are the 16 flight plans:

BNA | AMS | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
BNA | AMS | Delta Air Lines | 1 stop (CDG) | 09:30 | 20:15 | 720.00
BNA | AMS | United Airlines | Non-stop | 11:00 | 21:45 | 900.00
BNA | AMS | Lufthansa | 1 stop (FRA) | 12:30 | 23:10 | 780.00
BNA | AMS | KLM Royal Dutch | Non-stop | 14:00 | 02:30 | 950.00
BNA | AMS | Air France | 1 stop (CDG) | 15:30 | 04:10 | 820.00
BNA | AMS | British Airways | 1 stop (LHR) | 17:00 | 05:45 | 860.00
BNA | AMS | Iberia | 1 stop (MAD) | 19:30 | 08:15 | 790.00
AMS | BNA | American Airlines | Non-stop | 09:00 | 12:30 | 920.00
AMS | BNA | Delta Air Lines | 1 stop (ATL) | 10:30 | 14:15 | 750.00
AMS | BNA | United Airlines | Non-stop | 12:00 | 16:45 | 980.00
AMS | BNA | Lufthansa | 1 stop (FRA) | 13:30 | 18:10 | 810.00
AMS | BNA | KLM Royal Dutch | Non-stop | 15:00 | 20:30 | 1,020.00
AMS | BNA | Air France | 1 stop (CDG) | 16:30 | 22:10 | 850.00
AMS | BNA | British Airways | 1 stop (LHR) | 18:00 | 00:45 | 890.00
AMS | BNA | Iberia | 1 stop (MAD) | 20:30 | 03:15 | 830.00


Here are the 16 flight plans:

BNA | AUA | American Airlines | 1 (MIA) | 08:00 | 14:30 | 542.50
BNA | AUA | Delta Air Lines | 0 | 10:30 | 15:45 | 620.00
BNA | AUA | United Airlines | 1 (EWR) | 12:15 | 19:00 | 598.75
BNA | AUA | JetBlue Airways | 0 | 14:00 | 19:15 | 550.00
BNA | AUA | Spirit Airlines | 1 (FLL) | 15:45 | 21:30 | 480.00
BNA | AUA | Southwest Airlines | 1 (HOU) | 17:00 | 22:45 | 512.50
BNA | AUA | Frontier Airlines | 0 | 19:30 | 00:15 | 590.00
BNA | AUA | Alaska Airlines | 1 (SFO) | 21:15 | 02:45 | 630.00
AUA | BNA | American Airlines | 1 (CLT) | 08:30 | 14:15 | 570.00
AUA | BNA | Delta Air Lines | 0 | 10:00 | 15:30 | 650.00
AUA | BNA | United Airlines | 1 (IAH) | 11:45 | 17:30 | 610.00
AUA | BNA | JetBlue Airways | 0 | 13:30 | 18:45 | 580.00
AUA | BNA | Spirit Airlines | 1 (TPA) | 15:15 | 20:45 | 500.00
AUA | BNA | Southwest Airlines | 1 (DAL) | 16:45 | 22:15 | 520.00
AUA | BNA | Frontier Airlines | 0 | 18:30 | 23:45 | 600.00
AUA | BNA | Alaska Airlines | 1 (LAX) | 20:15 | 01:45 | 660.00


Here are the 16 flight plans:

BNA | ATH | American Airlines | 1 (PHL) | 08:00 | 18:30 | 850.00
BNA | ATH | Lufthansa | 2 (FRA, MUC) | 10:30 | 21:45 | 1200.00
BNA | ATH | Delta Air Lines | 1 (CDG) | 12:15 | 23:00 | 950.00
BNA | ATH | United Airlines | 2 (EWR, FRA) | 14:00 | 02:15 | 1300.00
BNA | ATH | Emirates | 1 (DXB) | 16:00 | 08:30 | 1100.00
BNA | ATH | Turkish Airlines | 1 (IST) | 18:30 | 11:15 | 1000.00
BNA | ATH | KLM | 2 (AMS, FRA) | 20:45 | 12:50 | 1400.00
BNA | ATH | Air France | 1 (CDG) | 22:15 | 14:00 | 1050.00

ATH | BNA | American Airlines | 1 (PHL) | 09:00 | 19:30 | 900.00
ATH | BNA | Lufthansa | 2 (MUC, FRA) | 11:30 | 22:45 | 1250.00
ATH | BNA | Delta Air Lines | 1 (CDG) | 13:15 | 23:50 | 1020.00
ATH | BNA | United Airlines | 2 (FRA, EWR) | 15:00 | 03:15 | 1350.00
ATH | BNA | Emirates | 1 (DXB) | 17:00 | 09:30 | 1150.00
ATH | BNA | Turkish Airlines | 1 (IST) | 19:30 | 12:15 | 1050.00
ATH | BNA | KLM | 2 (FRA, AMS) | 21:45 | 14:50 | 1450.00
ATH | BNA | Air France | 1 (CDG) | 23:15 | 15:00 | 1100.00


Here are the 16 flight plans:

BNA | AKL | AA | 1 (LAX) | 08:00 | 06:00 | 850.00
BNA | AKL | QF | 2 (DFW, SYD) | 10:00 | 08:00 | 1200.00
BNA | AKL | NZ | 0 | 12:00 | 10:00 | 900.00
BNA | AKL | UA | 1 (SFO) | 14:00 | 12:00 | 1000.00
BNA | AKL | DL | 2 (ATL, MEL) | 16:00 | 14:00 | 1100.00
BNA | AKL | WN | 1 (DEN) | 18:00 | 16:00 | 950.00
BNA | AKL | FJ | 2 (LAX, NAN) | 20:00 | 18:00 | 1050.00
BNA | AKL | HA | 1 (HNL) | 22:00 | 20:00 | 980.00

AKL | BNA | NZ | 0 | 06:00 | 04:00 | 950.00
AKL | BNA | AA | 1 (LAX) | 08:00 | 06:00 | 900.00
AKL | BNA | QF | 2 (SYD, DFW) | 10:00 | 08:00 | 1250.00
AKL | BNA | UA | 1 (SFO) | 12:00 | 10:00 | 1050.00
AKL | BNA | DL | 2 (MEL, ATL) | 14:00 | 12:00 | 1150.00
AKL | BNA | WN | 1 (DEN) | 16:00 | 14:00 | 1000.00
AKL | BNA | FJ | 2 (NAN, LAX) | 18:00 | 16:00 | 1100.00
AKL | BNA | HA | 1 (HNL) | 20:00 | 18:00 | 1030.00


Here are the 16 flight plans:

BNA | DPS | AA | 1 (LAX) | 08:00 | 22:30 | 950.00
BNA | DPS | UA | 2 (SFO, NRT) | 10:30 | 01:15 | 1250.00
BNA | DPS | DL | 1 (ATL) | 13:45 | 05:10 | 1050.00
BNA | DPS | WN | 2 (MDW, HNL) | 15:15 | 07:00 | 1200.00
BNA | DPS | AS | 1 (SEA) | 17:00 | 08:30 | 1100.00
BNA | DPS | HA | 2 (HNL, KIX) | 18:30 | 09:15 | 1300.00
BNA | DPS | B6 | 1 (JFK) | 20:00 | 10:45 | 1000.00
BNA | DPS | F9 | 2 (DEN, HKG) | 21:30 | 12:00 | 1400.00
DPS | BNA | GA | 1 (KUL) | 08:00 | 20:30 | 900.00
DPS | BNA | SQ | 2 (SIN, LAX) | 10:30 | 23:15 | 1350.00
