

Here are the 16 flight plans:

TPA | ANC | AA | 1 (DFW) | 08:00 | 14:30 | 542.50
SAF | TPA | AS | 1 (ORD) | 13:15 | 16:45 | 380.00
SAF | TPA | B6 | 0 | 14:30 | 17:00 | 240.00
SAF | TPA | NK | 1 (DFW) | 15:45 | 19:15 | 300.00


Here are the 16 flight plans:

TPA | ABQ | American Airlines | Non-stop | 08:00 | 10:30 | 450.00
TPA | ABQ | Delta Air Lines | 1 stop (DFW) | 09:15 | 12:45 | 520.00
TPA | ABQ | United Airlines | Non-stop | 10:45 | 13:15 | 480.00
TPA | ABQ | Southwest Airlines | 1 stop (HOU) | 11:30 | 15:00 | 550.00
TPA | ABQ | Frontier Airlines | Non-stop | 12:15 | 14:45 | 400.00
TPA | ABQ | JetBlue Airways | 1 stop (DEN) | 13:00 | 16:30 | 580.00
TPA | ABQ | Spirit Airlines | 1 stop (LAS) | 14:45 | 18:15 | 620.00
TPA | ABQ | Alaska Airlines | Non-stop | 15:30 | 18:00 | 500.00
ABQ | TPA | American Airlines | Non-stop | 08:00 | 12:30 | 420.00
ABQ | TPA | Delta Air Lines | 1 stop (ATL) | 09:15 | 14:45 | 540.00
ABQ | TPA | United Airlines | Non-stop | 10:45 | 15:15 | 460.00
ABQ | TPA | Southwest Airlines | 1 stop (DAL) | 11:30 | 16:00 | 570.00
ABQ | TPA | Frontier Airlines | Non-stop | 12:15 | 16:45 | 380.00
ABQ | TPA | JetBlue Airways | 1 stop (JFK) | 13:00 | 18:30 | 600.00
ABQ | TPA | Spirit Airlines | 1 stop (ORD) | 14:45 | 20:15 | 650.00
ABQ | TPA | Alaska Airlines | Non-stop | 15:30 | 20:00 | 520.00


Here are the 16 flight plans:

TPA | SAV | Delta | Non-stop | 06:00 | 07:30 | 198.00
TPA | SAV | American | 1 stop (CLT) | 08:15 | 11:45 | 235.00
TPA | SAV | United | Non-stop | 10:30 | 12:00 | 220.00
TPA | SAV | JetBlue | 1 stop (FLL) | 12:45 | 16:15 | 255.00
TPA | SAV | Spirit | 1 stop (ATL) | 14:00 | 17:30 | 180.00
TPA | SAV | Delta | Non-stop | 16:15 | 17:45 | 210.00
TPA | SAV | Frontier | 1 stop (MCO) | 18:30 | 21:45 | 190.00
TPA | SAV | Southwest | Non-stop | 20:45 | 22:15 | 240.00

SAV | TPA | American | Non-stop | 06:30 | 08:00 | 230.00
SAV | TPA | Delta | 1 stop (ATL) | 08:45 | 12:15 | 250.00
SAV | TPA | United | Non-stop | 10:00 | 11:30 | 200.00
SAV | TPA | JetBlue | 1 stop (BOS) | 12:15 | 16:45 | 280.00
SAV | TPA | Spirit | 1 stop (FLL) | 14:15 | 17:45 | 195.00
SAV | TPA | Delta | Non-stop | 16:30 | 18:00 | 220.00
SAV | TPA | Frontier | 1 stop (MIA) | 18:45 | 22:15 | 205.00
SAV | TPA | Southwest | Non-stop | 20:00 | 21:30 | 260.00


Here are the 16 flight plans:

TPA | JAX | Delta | Non-stop | 06:00 | 07:15 | 150.00
TPA | JAX | American | 1 stop (MIA) | 08:30 | 11:45 | 220.00
TPA | JAX | United | Non-stop | 10:00 | 11:15 | 180.00
TPA | JAX | Spirit | 1 stop (FLL) | 12:30 | 15:45 | 200.00
TPA | JAX | Frontier | Non-stop | 14:00 | 15:15 | 160.00
TPA | JAX | JetBlue | 1 stop (PBI) | 16:30 | 19:45 | 240.00
TPA | JAX | Southwest | Non-stop | 18:00 | 19:15 | 190.00
TPA | JAX | Allegiant | 1 stop (SFB) | 20:30 | 23:45 | 210.00

JAX | TPA | Delta | Non-stop | 06:30 | 07:45 | 140.00
JAX | TPA | American | 1 stop (ATL) | 09:00 | 12:15 | 230.00
JAX | TPA | United | Non-stop | 11:30 | 12:45 | 170.00
JAX | TPA | Spirit | 1 stop (RSW) | 13:00 | 16:15 | 200.00
JAX | TPA | Frontier | Non-stop | 15:00 | 16:15 | 150.00
JAX | TPA | JetBlue | 1 stop (MCO) | 17:00 | 20:15 | 250.00
JAX | TPA | Southwest | Non-stop | 19:30 | 20:45 | 180.00
JAX | TPA | Allegiant | 1 stop (PGD) | 21:30 | 00:45 | 220.00


Here are the 16 flight plans:

TPA | SFB | American Airlines | Non-stop | 06:00 | 07:15 | 120.00
TPA | SFB | Delta Air Lines | 1 stop (ATL) | 08:30 | 11:45 | 180.00
TPA | SFB | United Airlines | Non-stop | 10:00 | 11:15 | 150.00
TPA | SFB | Spirit Airlines | 1 stop (FLL) | 12:45 | 15:50 | 220.00
TPA | SFB | JetBlue Airways | Non-stop | 14:30 | 15:45 | 130.00
TPA | SFB | Frontier Airlines | 1 stop (MCO) | 16:15 | 19:20 | 200.00
TPA | SFB | Southwest Airlines | Non-stop | 18:00 | 19:15 | 140.00
TPA | SFB | Alaska Airlines | 1 stop (JAX) | 20:45 | 23:50 | 240.00
SFB | TPA | American Airlines | Non-stop | 07:30 | 08:45 | 110.00
SFB | TPA | Delta Air Lines | 1 stop (ATL) | 09:45 | 13:00 | 190.00
SFB | TPA | United Airlines | Non-stop | 11:15 | 12:30 | 160.00
SFB | TPA | Spirit Airlines | 1 stop (FLL) | 13:50 | 16:55 | 230.00
SFB | TPA | JetBlue Airways | Non-stop | 15:30 | 16:45 | 120.00
SFB | TPA | Frontier Airlines | 1 stop (MCO) | 17:15 | 20:20 | 210.00
SFB | TPA | Southwest Airlines | Non-stop | 19:00 | 20:15 | 130.00
SFB | TPA | Alaska Airlines | 1 stop (JAX) | 21:45 | 00:50 | 250.00


Here are the 16 flight plans:

TPA | MTJ | AA | 1 (DEN) | 08:00 | 11:45 | 420.00
TPA | MTJ | UA | 0 | 09:30 | 12:15 | 450.00
TPA | MTJ | WN | 1 (DAL) | 10:15 | 14:00 | 380.00
TPA | MTJ | DL | 0 | 11:00 | 13:45 | 500.00
TPA | MTJ | F9 | 1 (IAH) | 12:30 | 16:15 | 350.00
TPA | MTJ | AS | 0 | 13:45 | 16:30 | 480.00
TPA | MTJ | B6 | 1 (MCO) | 15:00 | 18:45 | 410.00
TPA | MTJ | NK | 0 | 16:15 | 19:00 | 440.00
MTJ | TPA | AA | 1 (ORD) | 08:30 | 13:15 | 430.00
MTJ | TPA | UA | 0 | 09:45 | 14:30 | 460.00
MTJ | TPA | WN | 1 (PHX) | 11:00 | 15:45 | 390.00
MTJ | TPA | DL | 0 | 12:15 | 15:00 | 520.00
MTJ | TPA | F9 | 1 (LAS) | 13:30 | 17:15 | 360.00
MTJ | TPA | AS | 0 | 14:45 | 17:30 | 490.00
MTJ | TPA | B6 | 1 (JFK) | 16:00 | 20:45 | 420.00
MTJ | TPA | NK | 0 | 17:15 | 20:00 | 450.00


Here are the 16 flight plans:

TPA | DRO | AA | 1 (DFW) | 08:00 | 11:30 | 450.00
TPA | DRO | UA | 1 (IAH) | 09:30 | 13:00 | 520.00
TPA | DRO | WN | 1 (HOU) | 11:00 | 14:30 | 480.00
TPA | DRO | DL | 0 | 12:00 | 15:30 | 550.00
TPA | DRO | F9 | 1 (DEN) | 13:30 | 17:00 | 400.00
TPA | DRO | NK | 1 (LAS) | 15:00 | 18:30 | 420.00
TPA | DRO | B6 | 1 (JFK) | 16:30 | 20:00 | 500.00
TPA | DRO | AS | 1 (SEA) | 18:00 | 21:30 | 530.00
DRO | TPA | AA | 1 (CLT) | 08:00 | 12:30 | 460.00
DRO | TPA | UA | 1 (ORD) | 09:30 | 14:00 | 540.00
DRO | TPA | WN | 1 (DAL) | 11:00 | 15:30 | 490.00
DRO | TPA | DL | 0 | 12:00 | 16:30 | 570.00
DRO | TPA | F9 | 1 (MCO) | 13:30 | 17:00 | 410.00
DRO | TPA | NK | 1 (FLL) | 15:00 | 18:30 | 430.00
DRO | TPA | B6 | 1 (BOS) | 16:30 | 20:00 | 510.00
DRO | TPA | AS | 1 (SFO) | 18:00 | 21:30 | 550.00


Here are the 16 flight plans:

TPA | FAT | AA | 1 (DFW) | 08:00 | 11:30 | 425.00
TPA | FAT | UA | 1 (ORD) | 09:30 | 13:00 | 450.00
TPA | FAT | DL | 1 (ATL) | 10:00 | 13:30 | 480.00
TPA | FAT | WN | 1 (DAL) | 11:00 | 14:30 | 395.00
TPA | FAT | AS | 1 (SEA) | 12:00 | 15:30 | 520.00
TPA | FAT | B6 | 1 (JFK) | 13:00 | 16:30 | 550.00
TPA | FAT | F9 | 1 (DEN) | 14:00 | 17:30 | 380.00
TPA | FAT | NK | 1 (LAS) | 15:00 | 18:30 | 410.00
FAT | TPA | AA | 1 (PHX) | 08:00 | 15:30 | 440.00
FAT | TPA | UA | 1 (SFO) | 09:00 | 16:30 | 470.00
FAT | TPA | DL | 1 (LAX) | 10:00 | 17:30 | 500.00
FAT | TPA | WN | 1 (SAN) | 11:00 | 18:30 | 420.00
FAT | TPA | AS | 1 (PDX) | 12:00 | 19:30 | 540.00
FAT | TPA | B6 | 1 (BOS) | 13:00 | 20:30 | 570.00
FAT | TPA | F9 | 1 (MCO) | 14:00 | 21:30 | 400.00
FAT | TPA | NK | 1 (IAH) | 15:00 | 22:30 | 430.00


Here are the 16 flight plans:

TPA | SGU | American Airlines | Non-stop | 08:00 | 10:30 | 250.00
TPA | SGU | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:45 | 320.00
TPA | SGU | United Airlines | Non-stop | 10:45 | 13:15 | 280.00
TPA | SGU | Southwest Airlines | 1 stop (DEN) | 11:30 | 15:00 | 350.00
TPA | SGU | Alaska Airlines | Non-stop | 12:15 | 14:45 | 240.00
TPA | SGU | JetBlue Airways | 1 stop (FLL) | 13:00 | 16:30 | 330.00
TPA | SGU | Spirit Airlines | 1 stop (LAS) | 14:45 | 18:15 | 290.00
TPA | SGU | Frontier Airlines | Non-stop | 15:30 | 18:00 | 260.00
SGU | TPA | American Airlines | Non-stop | 08:00 | 10:30 | 270.00
SGU | TPA | Delta Air Lines | 1 stop (SDF) | 09:15 | 12:45 | 340.00
SGU | TPA | United Airlines | Non-stop | 10:45 | 13:15 | 300.00
SGU | TPA | Southwest Airlines | 1 stop (PHX) | 11:30 | 15:00 | 360.00
SGU | TPA | Alaska Airlines | Non-stop | 12:15 | 14:45 | 260.00
SGU | TPA | JetBlue Airways | 1 stop (BOS) | 13:00 | 16:30 | 350.00
SGU | TPA | Spirit Airlines | 1 stop (ORD) | 14:45 | 18:15 | 310.00
SGU | TPA | Frontier Airlines | Non-stop | 15:30 | 18:00 | 280.00


Here are the 16 flight plans:

TPA | AMS | Delta | 1 (LHR) | 08:00 | 18:30 | 850.00
TPA | AMS | KLM | 0 | 10:00 | 20:00 | 950.00
TPA | AMS | American | 1 (PHL) | 12:00 | 22:30 | 800.00
TPA | AMS | United | 1 (EWR) | 14:00 | 00:30 | 900.00
TPA | AMS | Lufthansa | 1 (FRA) | 16:00 | 02:30 | 1000.00
TPA | AMS | Air France | 1 (CDG) | 18:00 | 04:30 | 1100.00
TPA | AMS | British Airways | 1 (LHR) | 20:00 | 06:30 | 1050.00
TPA | AMS | Swiss | 1 (ZRH) | 22:00 | 08:30 | 1200.00
AMS | TPA | KLM | 0 | 09:00 | 13:00 | 900.00
AMS | TPA | Delta | 1 (ATL) | 11:00 | 15:30 | 850.00
AMS | TPA | American | 1 (PHL) | 13:00 | 17:30 | 800.00
AMS | TPA | United | 1 (EWR) | 15:00 | 19:30 | 900.00
AMS | TPA | Lufthansa | 1 (FRA) | 17:00 | 21:30 | 1000.00
AMS | TPA | Air France | 1 (CDG) | 19:00 | 23:30 | 1100.00
AMS | TPA | British Airways | 1 (LHR) | 21:00 | 01:30 | 1050.00
AMS | TPA | Swiss | 1 (ZRH) | 23:00 | 03:30 | 1200.00


Here are the 16 flight plans:

TPA | AUA | AA | 0 | 08:00 | 11:30 | 425.00
TPA | AUA | DL | 1 (MIA) | 09:15 | 13:45 | 512.50
TPA | AUA | UA | 0 | 10:30 | 14:00 | 475.00
TPA | AUA | WN | 1 (FLL) | 11:45 | 16:15 | 542.00
TPA | AUA | B6 | 0 | 13:00 | 16:30 | 498.00
TPA | AUA | AS | 1 (MCO) | 14:15 | 18:45 | 562.50
TPA | AUA | F9 | 0 | 15:30 | 18:00 | 450.00
TPA | AUA | NK | 1 (PBI) | 16:45 | 20:15 | 525.00
AUA | TPA | AA | 0 | 08:00 | 11:30 | 425.00
AUA | TPA | DL | 1 (ATL) | 09:15 | 13:45 | 512.50
AUA | TPA | UA | 0 | 10:30 | 14:00 | 475.00
AUA | TPA | WN | 1 (BNA) | 11:45 | 16:15 | 542.00
AUA | TPA | B6 | 0 | 13:00 | 16:30 | 498.00
AUA | TPA | AS | 1 (CLT) | 14:15 | 18:45 | 562.50
AUA | TPA | F9 | 0 | 15:30 | 18:00 | 450.00
AUA | TPA | NK | 1 (EWR) | 16:45 | 20:15 | 525.00


Here are the 16 flight plans:

TPA | ATH | American Airlines | 1 (LHR) | 08:00 | 18:30 | 850.00
TPA | ATH | Delta Air Lines | 2 (JFK, CDG) | 10:00 | 20:00 | 1200.00
TPA | ATH | Lufthansa | 1 (FRA) | 12:00 | 22:00 | 900.00
TPA | ATH | Emirates | 2 (DXB, IST) | 14:00 | 00:30 | 1500.00
TPA | ATH | Turkish Airlines | 1 (IST) | 16:00 | 02:00 | 1000.00
TPA | ATH | British Airways | 1 (LHR) | 18:00 | 04:00 | 1100.00
TPA | ATH | KLM Royal Dutch | 2 (AMS, CDG) | 20:00 | 06:00 | 1300.00
TPA | ATH | Air France | 1 (CDG) | 22:00 | 08:00 | 1200.00

ATH | TPA | American Airlines | 1 (LHR) | 08:00 | 18:30 | 850.00
ATH | TPA | Delta Air Lines | 2 (CDG, JFK) | 10:00 | 20:00 | 1200.00
ATH | TPA | Lufthansa | 1 (FRA) | 12:00 | 22:00 | 900.00
ATH | TPA | Emirates | 2 (IST, DXB) | 14:00 | 00:30 | 1500.00
ATH | TPA | Turkish Airlines | 1 (IST) | 16:00 | 02:00 | 1000.00
ATH | TPA | British Airways | 1 (LHR) | 18:00 | 04:00 | 1100.00
ATH | TPA | KLM Royal Dutch | 2 (CDG, AMS) | 20:00 | 06:00 | 1300.00
ATH | TPA | Air France | 1 (CDG) | 22:00 | 08:00 | 1200.00


Here are the 16 flight plans:

TPA | AKL | Qantas | 1 (LAX) | 08:00 | 06:30 (+1) | 950.00
TPA | AKL | American Airlines | 2 (DFW, HNL) | 10:30 | 09:15 (+1) | 1200.00
TPA | AKL | Delta | 1 (SFO) | 12:45 | 11:20 (+1) | 1050.00
TPA | AKL | United | 2 (IAH, SYD) | 14:10 | 12:50 (+1) | 1300.00
TPA | AKL | Air New Zealand | 0 | 16:00 | 14:30 (+1) | 900.00
TPA | AKL | Emirates | 1 (DXB) | 18:30 | 17:00 (+1) | 1100.00
TPA | AKL | Singapore Airlines | 1 (SIN) | 20:00 | 18:30 (+1) | 1250.00
TPA | AKL | Lufthansa | 2 (FRA, HKG) | 21:45 | 20:20 (+1) | 1400.00

AKL | TPA | Air New Zealand | 0 | 08:00 | 06:30 (-1) | 850.00
AKL | TPA | Qantas | 1 (SYD) | 10:30 | 09:15 (-1) | 1000.00
AKL | TPA | United | 2 (HNL, LAX) | 12:45 | 11:20 (-1) | 1150.00
AKL | TPA | American Airlines | 1 (DFW) | 14:10 | 12:50 (-1) | 1050.00
AKL | TPA | Delta | 2 (SFO, ATL) | 16:00 | 14:30 (-1) | 1200.00
AKL | TPA | Emirates | 1 (DXB) | 18:30 | 17:00 (-1) | 1100.00
AKL | TPA | Lufthansa | 2 (HKG, FRA) | 20:00 | 18:30 (-1) | 1300.00
AKL | TPA | Singapore Airlines | 1 (SIN) | 21:45 | 20:20 (-1) | 1250.00


Here are the 16 flight plans:

TPA | DPS | American Airlines | 1 (LAX) | 08:00 | 22:45 | 850.00
TPA | DPS | Delta Air Lines | 2 (ATL, NRT) | 09:30 | 01:15 | 1050.00
TPA | DPS | United Airlines | Non-stop | 11:00 | 21:30 | 1200.00
TPA | DPS | Emirates | 1 (DXB) | 13:00 | 23:59 | 1300.00
TPA | DPS | Qatar Airways | 1 (DOH) | 14:30 | 01:45 | 1400.00
TPA | DPS | Singapore Airlines | 1 (SIN) | 16:00 | 02:15 | 1500.00
TPA | DPS | Lufthansa | 2 (FRA, BKK) | 17:30 | 03:45 | 1600.00
TPA | DPS | Turkish Airlines | 1 (IST) | 19:00 | 04:30 | 1700.00
DPS | TPA | Garuda Indonesia | 1 (CGK) | 08:00 | 20:30 | 900.00
DPS | TPA | China Airlines | 2 (TPE, LAX) | 09:30 | 22:15 | 1000.00
DPS | TPA | Japan Airlines | 1 (NRT) | 11:00 | 23:45 | 1100.00
DPS | TPA | Korean Air | 1 (ICN) | 13:00 | 01:15 | 1200.00
DPS | TPA | Asiana Airlines | 1 (ICN) | 14:30 | 02:45 | 1300.00
DPS | TPA | Cathay Pacific | 1 (HKG) | 16:00 | 03:30 | 1400.00
DPS | TPA | Malaysia Airlines | 1 (KUL) | 17:30 | 04:15 | 1500.00
DPS | TPA | Thai Airways | 1 (BKK) | 19:00 | 05:00 | 1600.00


Here are the 16 flight plans:

TPA | BCN | American Airlines | 1 (MIA) | 08:00 | 18:30 | 849.00
TPA | BCN | Iberia | 0 | 10:00 | 19:30 | 1099.00
TPA | BCN | Delta Air Lines | 1 (JFK) | 12:00 | 22:00 | 899.00
TPA | BCN | Lufthansa | 2 (FRA, MUC) | 14:00 | 10:30 | 1299.00
TPA | BCN | United Airlines | 1 (EWR) | 16:00 | 02:30 | 999.00
TPA | BCN | Air Europa | 0 | 18:00 | 05:30 | 1199.00
TPA | BCN | LATAM | 1 (LIM) | 20:00 | 09:30 | 1399.00
TPA | BCN | British Airways | 1 (LHR) | 22:00 | 11:30 | 1499.00

BCN | TPA | American Airlines | 1 (MIA) | 08:00 | 18:30 | 849.00
BCN | TPA | Iberia | 0 | 10:00 | 19:30 | 1099.00
BCN | TPA | Delta Air Lines | 1 (JFK) | 12:00 | 22:00 | 899.00
BCN | TPA | Lufthansa | 2 (FRA, MUC) | 14:00 | 10:30 | 1299.00
BCN | TPA | United Airlines | 1 (EWR) | 16:00 | 02:30 | 999.00
BCN | TPA | Air Europa | 0 | 18:00 | 05:30 | 1199.00
BCN | TPA | LATAM | 1 (LIM) | 20:00 | 09:30 | 1399.00
BCN | TPA | British Airways | 1 (LHR) | 22:00 | 11:30 | 1499.00


TPA | PEK | China Eastern | 1 (NRT) | 14:30 | 18:45 | 850.00
TPA | PEK | Delta | 2 (ATL, NRT) | 08:15 | 21:10 | 1050.00
TPA | PEK | American Airlines | 1 (DFW) | 10:00 | 19:30 | 900.00
TPA | PEK | United | 2 (IAH, HKG) | 12:45 | 22:50 | 1200.00
TPA | PEK | China Southern | 1 (CAN) | 09:30 | 18:15 | 950.00
TPA | PEK | Japan Airlines | 1 (NRT) | 13:00 | 19:20 | 1000.00
TPA | PEK | Korean Air | 1 (ICN) | 11:15 | 20:00 | 1100.00
TPA | PEK | ANA | 1 (NRT) | 15:45 | 21:50 | 1050.00
PEK | TPA | China Eastern | 1 (NRT) | 09:00 | 14:15 | 850.00
PEK | TPA | Delta | 2 (NRT, ATL) | 11:30 | 18:40 | 1050.00
PEK | TPA | American Airlines | 1 (DFW) | 13:45 | 19:50 | 900.00
PEK | TPA | United | 2 (HKG, IAH) | 15:15 | 22:20 | 1200.00
PEK | TPA | China Southern | 1 (CAN) | 10:15 | 17:40 | 950.00
PEK | TPA | Japan Airlines | 1 (NRT) | 12:00 | 18:25 | 1000.00
PEK | TPA | Korean Air | 1 (ICN) | 14:30 | 20:45 | 1100.00
PEK | TPA | ANA | 1 (NRT) | 16:45 | 22:50 | 1050.00


Here are the 16 flight plans:

TPA | BER | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
TPA | BER | American Airlines | 1 (PHL) | 10:30 | 21:00 | 950.00
TPA | BER | Delta Air Lines | 1 (ATL) | 12:00 | 22:30 | 900.00
TPA | BER | United Airlines | 1 (EWR) | 14:00 | 00:30 | 1000.00
TPA | BER | British Airways | 2 (MIA, LHR) | 16:00 | 09:00 | 1200.00
TPA | BER | Air Canada | 1 (YYZ) | 18:00 | 10:30 | 1100.00
TPA | BER | Turkish Airlines | 1 (IST) | 20:00 | 12:30 | 1050.00
TPA | BER | KLM Royal Dutch | 1 (AMS) | 22:00 | 14:00 | 1000.00

BER | TPA | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
BER | TPA | American Airlines | 1 (PHL) | 10:30 | 21:00 | 950.00
BER | TPA | Delta Air Lines | 1 (ATL) | 12:00 | 22:30 | 900.00
BER | TPA | United Airlines | 1 (EWR) | 14:00 | 00:30 | 1000.00
BER | TPA | British Airways | 2 (LHR, MIA) | 16:00 | 09:00 | 1200.00
BER | TPA | Air Canada | 1 (YYZ) | 18:00 | 10:30 | 1100.00
BER | TPA | Turkish Airlines | 1 (IST) | 20:00 | 12:30 | 1050.00
BER | TPA | KLM Royal Dutch | 1 (AMS) | 22:00 | 14:00 | 1000.00


Here are the 16 flight plans:

TPA | EZE | American Airlines | 1 (MIA) | 08:00 | 22:35 | 945.00
TPA | EZE | Delta Air Lines | 2 (ATL, GRU) | 09:30 | 01:15 | 1100.00
TPA | EZE | LATAM | 0 | 11:15 | 21:30 | 850.00
TPA | EZE | United Airlines | 1 (IAH) | 12:45 | 23:50 | 1020.00
TPA | EZE | Avianca | 2 (BOG, LIM) | 14:00 | 02:20 | 1250.00
TPA | EZE | Copa Airlines | 1 (PTY) | 15:30 | 01:45 | 950.00
TPA | EZE | Aerolineas Argentinas | 0 | 17:00 | 02:00 | 900.00
TPA | EZE | Turkish Airlines | 2 (IST, GRU) | 19:15 | 04:30 | 1300.00

EZE | TPA | American Airlines | 1 (MIA) | 08:30 | 18:05 | 980.00
EZE | TPA | Delta Air Lines | 2 (GRU, ATL) | 10:00 | 21:40 | 1150.00
EZE | TPA | LATAM | 0 | 12:00 | 20:15 | 920.00
EZE | TPA | United Airlines | 1 (IAH) | 13:45 | 22:55 | 1050.00
EZE | TPA | Avianca | 2 (LIM, BOG) | 15:30 | 02:50 | 1280.00
EZE | TPA | Copa Airlines | 1 (PTY) | 17:00 | 00:15 | 980.00
EZE | TPA | Aerolineas Argentinas | 0 | 19:00 | 03:00 | 950.00
EZE | TPA | Turkish Airlines | 2 (GRU, IST) | 21:15 | 05:30 | 1350.00


Here are the 16 flight plans:

TPA | SJD | American Airlines | 1 (MIA) | 08:00 | 11:30 | 450.00
TPA | SJD | Delta Air Lines | 0 | 10:30 | 14:15 | 520.00
TPA | SJD | United Airlines | 1 (IAH) | 12:45 | 16:20 | 480.00
TPA | SJD | Spirit Airlines | 1 (FLL) | 14:00 | 17:45 | 380.00
TPA | SJD | JetBlue Airways | 0 | 16:00 | 19:45 | 500.00
TPA | SJD | Frontier Airlines | 1 (DEN) | 18:30 | 22:15 | 420.00
TPA | SJD | Southwest Airlines | 1 (HOU) | 20:00 | 23:45 | 440.00
TPA | SJD | Alaska Airlines | 0 | 22:00 | 01:45 | 550.00
SJD | TPA | American Airlines | 1 (PHX) | 08:00 | 15:30 | 470.00
SJD | TPA | Delta Air Lines | 0 | 10:30 | 17:15 | 540.00
SJD | TPA | United Airlines | 1 (SFO) | 12:45 | 20:20 | 510.00
SJD | TPA | Spirit Airlines | 1 (LAX) | 14:00 | 21:45 | 410.00
SJD | TPA | JetBlue Airways | 0 | 16:00 | 22:45 | 530.00
SJD | TPA | Frontier Airlines | 1 (LAS) | 18:30 | 01:15 | 450.00
SJD | TPA | Southwest Airlines | 1 (DAL) | 20:00 | 02:45 | 480.00
SJD | TPA | Alaska Airlines | 0 | 22:00 | 04:45 | 570.00


Here are the 16 flight plans:

TPA | CAI | EgyptAir | 1 (LHR) | 08:30 | 22:45 | 850.00
TPA | CAI | Lufthansa | 2 (FRA, IST) | 10:15 | 02:20 | 1100.00
TPA | CAI | Emirates | 1 (DXB) | 12:00 | 05:30 | 1200.00
TPA | CAI | Turkish Airlines | 1 (IST) | 14:30 | 07:15 | 1000.00
TPA | CAI | Qatar Airways | 1 (DOH) | 16:00 | 09:45 | 1300.00
TPA | CAI | British Airways | 2 (LHR, AUH) | 18:15 | 11:50 | 1400.00
TPA | CAI | KLM | 2 (AMS, IST) | 20:30 | 14:20 | 1200.00
TPA | CAI | American Airlines | 1 (PHL) | 22:45 | 16:30 | 900.00

CAI | TPA | EgyptAir | 1 (LHR) | 01:15 | 11:45 | 850.00
CAI | TPA | Lufthansa | 2 (IST, FRA) | 03:30 | 17:20 | 1100.00
CAI | TPA | Emirates | 1 (DXB) | 06:00 | 20:30 | 1200.00
CAI | TPA | Turkish Airlines | 1 (IST) | 09:30 | 02:15 | 1000.00
CAI | TPA | Qatar Airways | 1 (DOH) | 12:00 | 05:45 | 1300.00
CAI | TPA | British Airways | 2 (AUH, LHR) | 15:15 | 09:50 | 1400.00
CAI | TPA | KLM | 2 (IST, AMS) | 18:30 | 13:20 | 1200.00
CAI | TPA | American Airlines | 1 (PHL) | 21:45 | 15:30 | 900.00


Here are the 16 flight plans:

TPA | CUN | AA | 0 | 08:00 | 10:30 | 250.00
TPA | CUN | DL | 1 (MIA) | 09:15 | 12:45 | 280.00
TPA | CUN | UA | 0 | 10:45 | 13:15 | 220.00
TPA | CUN | WN | 1 (FLL) | 11:30 | 14:50 | 240.00
TPA | CUN | B6 | 0 | 12:00 | 14:30 | 200.00
TPA | CUN | AS | 1 (PBI) | 13:15 | 16:30 | 260.00
TPA | CUN | F9 | 0 | 14:30 | 17:00 | 230.00
TPA | CUN | NK | 1 (MCO) | 15:45 | 18:50 | 290.00
CUN | TPA | AA | 0 | 08:30 | 11:00 | 270.00
CUN | TPA | DL | 1 (ATL) | 09:45 | 13:10 | 300.00
CUN | TPA | UA | 0 | 11:15 | 13:45 | 240.00
CUN | TPA | WN | 1 (HOU) | 12:30 | 15:50 | 260.00
CUN | TPA | B6 | 0 | 13:45 | 16:15 | 210.00
CUN | TPA | AS | 1 (DFW) | 15:00 | 18:20 | 280.00
CUN | TPA | F9 | 0 | 16:15 | 18:45 | 250.00
CUN | TPA | NK | 1 (EWR) | 17:30 | 20:50 | 310.00


Here are the 16 flight plans:

TPA | CPT | AA | 1 (JNB) | 08:00 | 18:30 | 1200.00
TPA | CPT | BA | 2 (LHR, JNB) | 10:00 | 21:00 | 1500.00
TPA | CPT | SA | 0 | 12:00 | 22:30 | 1800.00
TPA | CPT | UA | 1 (EWR) | 14:00 | 00:30 | 1100.00
TPA | CPT | DL | 2 (ATL, JNB) | 16:00 | 02:30 | 1300.00
TPA | CPT | LH | 1 (FRA) | 18:00 | 04:00 | 1400.00
TPA | CPT | QR | 1 (DOH) | 20:00 | 06:00 | 1600.00
TPA | CPT | TK | 2 (IST, JNB) | 22:00 | 08:00 | 1700.00

CPT | TPA | AA | 1 (JNB) | 08:00 | 18:30 | 1200.00
CPT | TPA | BA | 2 (LHR, JNB) | 10:00 | 21:00 | 1500.00
CPT | TPA | SA | 0 | 12:00 | 22:30 | 1800.00
CPT | TPA | UA | 1 (EWR) | 14:00 | 00:30 | 1100.00
CPT | TPA | DL | 2 (ATL, JNB) | 16:00 | 02:30 | 1300.00
CPT | TPA | LH | 1 (FRA) | 18:00 | 04:00 | 1400.00
CPT | TPA | QR | 1 (DOH) | 20:00 | 06:00 | 1600.00
CPT | TPA | TK | 2 (IST, JNB) | 22:00 | 08:00 | 1700.00


Here are the 16 flight plans:

TPA | CPH | American Airlines | 1 (LHR) | 08:00 | 18:30 | 850.00
TPA | CPH | Delta Air Lines | 2 (JFK, AMS) | 10:30 | 20:15 | 1050.00
