

Here are the 16 flight plans:

DEN | BNA | United | Non-stop | 06:00 | 10:30 | 350.00
DEN | MCD | F9 | 0 | 12:30 | 14:00 | 120.00
DEN | MCD | UA | 1 (LAX) | 14:00 | 17:00 | 300.00
DEN | MCD | AS | 0 | 15:30 | 17:00 | 200.00
DEN | MCD | B6 | 1 (LAS) | 17:00 | 20:00 | 350.00
MCD | DEN | UA | 0 | 06:00 | 07:30 | 150.00
MCD | DEN | AA | 1 (DFW) | 08:00 | 11:00 | 250.00
MCD | DEN | WN | 0 | 09:30 | 11:00 | 180.00
MCD | DEN | DL | 1 (ATL) | 11:00 | 14:00 | 320.00
MCD | DEN | F9 | 0 | 12:30 | 14:00 | 120.00
MCD | DEN | UA | 1 (SFO) | 14:00 | 17:00 | 330.00
MCD | DEN | AS | 0 | 15:30 | 17:00 | 220.00
MCD | DEN | B6 | 1 (ORD) | 17:00 | 20:00 | 380.00


Here are the 16 flight plans:

DEN | PLN | UA | 1 (ORD) | 08:00 | 12:45 | 542.00
DEN | PLN | AA | 1 (DFW) | 09:15 | 14:10 | 478.00
DEN | PLN | WN | 1 (MDW) | 10:30 | 15:20 | 512.00
DEN | PLN | DL | 1 (ATL) | 11:45 | 16:35 | 598.00
DEN | PLN | F9 | 1 (MKE) | 13:00 | 17:50 | 450.00
DEN | PLN | UA | 2 (ORD, IAD) | 14:15 | 19:10 | 620.00
DEN | PLN | AA | 2 (DFW, CLT) | 15:30 | 20:25 | 650.00
DEN | PLN | WN | 2 (MDW, STL) | 16:45 | 21:40 | 580.00

PLN | DEN | UA | 1 (ORD) | 08:00 | 10:45 | 520.00
PLN | DEN | AA | 1 (DFW) | 09:15 | 11:55 | 498.00
PLN | DEN | WN | 1 (MDW) | 10:30 | 12:50 | 530.00
PLN | DEN | DL | 1 (ATL) | 11:45 | 14:15 | 608.00
PLN | DEN | F9 | 1 (MKE) | 13:00 | 15:25 | 480.00
PLN | DEN | UA | 2 (ORD, IAH) | 14:15 | 16:55 | 640.00
PLN | DEN | AA | 2 (DFW, PHX) | 15:30 | 18:10 | 670.00
PLN | DEN | WN | 2 (MDW, OMA) | 16:45 | 19:25 | 600.00


Here are the 16 flight plans:

DEN | OGG | UA | 1 (SFO) | 08:00 | 14:35 | 542.00
DEN | OGG | AA | 1 (LAX) | 09:30 | 16:05 | 578.00
DEN | OGG | WN | 1 (PHX) | 10:45 | 17:20 | 498.00
DEN | OGG | DL | 1 (SEA) | 12:00 | 18:40 | 528.00
DEN | OGG | HA | 0 | 13:15 | 19:55 | 648.00
DEN | OGG | UA | 1 (SAN) | 14:30 | 21:05 | 558.00
DEN | OGG | AA | 1 (ORD) | 15:45 | 22:20 | 588.00
DEN | OGG | WN | 1 (LAS) | 17:00 | 23:35 | 518.00
OGG | DEN | UA | 1 (SFO) | 08:00 | 14:35 | 542.00
OGG | DEN | AA | 1 (LAX) | 09:30 | 16:05 | 578.00
OGG | DEN | WN | 1 (PHX) | 10:45 | 17:20 | 498.00
OGG | DEN | DL | 1 (SEA) | 12:00 | 18:40 | 528.00
OGG | DEN | HA | 0 | 13:15 | 19:55 | 648.00
OGG | DEN | UA | 1 (SAN) | 14:30 | 21:05 | 558.00
OGG | DEN | AA | 1 (ORD) | 15:45 | 22:20 | 588.00
OGG | DEN | WN | 1 (LAS) | 17:00 | 23:35 | 518.00


DEN | RAP | UA | 0 | 06:00 | 07:30 | 120.00
DEN | RAP | AA | 1 (SLC) | 08:15 | 11:45 | 180.00
DEN | RAP | WN | 0 | 09:45 | 11:15 | 150.00
DEN | RAP | DL | 1 (MSP) | 11:00 | 14:30 | 220.00
DEN | RAP | F9 | 0 | 12:30 | 14:00 | 100.00
DEN | RAP | UA | 1 (ORD) | 14:15 | 17:45 | 250.00
DEN | RAP | AA | 0 | 15:45 | 17:15 | 130.00
DEN | RAP | WN | 1 (PHX) | 17:00 | 20:30 | 200.00
RAP | DEN | UA | 0 | 06:30 | 08:00 | 110.00
RAP | DEN | AA | 1 (DFW) | 08:45 | 12:15 | 190.00
RAP | DEN | DL | 0 | 10:15 | 11:45 | 140.00
RAP | DEN | F9 | 1 (LAS) | 11:30 | 14:00 | 160.00
RAP | DEN | WN | 0 | 12:45 | 14:15 | 120.00
RAP | DEN | UA | 1 (IAH) | 14:00 | 17:30 | 230.00
RAP | DEN | AA | 0 | 15:00 | 16:30 | 150.00
RAP | DEN | DL | 1 (ATL) | 16:15 | 20:45 | 280.00


DEN | MYR | UA | 1 (IAH) | 06:00 | 12:35 | 348.50
DEN | MYR | AA | 0 | 08:15 | 14:20 | 278.00
DEN | MYR | WN | 1 (DAL) | 09:45 | 16:10 | 298.00
DEN | MYR | DL | 1 (ATL) | 11:30 | 18:00 | 328.00
DEN | MYR | F9 | 0 | 13:00 | 19:05 | 248.00
DEN | MYR | UA | 1 (ORD) | 14:15 | 20:40 | 308.00
DEN | MYR | AA | 1 (CLT) | 15:45 | 22:10 | 288.00
DEN | MYR | WN | 0 | 17:00 | 23:05 | 268.00
MYR | DEN | UA | 1 (EWR) | 06:30 | 12:55 | 318.00
MYR | DEN | DL | 0 | 08:00 | 13:35 | 298.00
MYR | DEN | AA | 1 (PIT) | 09:15 | 15:40 | 288.00
MYR | DEN | WN | 1 (HOU) | 10:45 | 17:10 | 258.00
MYR | DEN | F9 | 0 | 12:00 | 18:35 | 238.00
MYR | DEN | UA | 1 (IAH) | 13:30 | 20:05 | 308.00
MYR | DEN | AA | 1 (ORD) | 15:00 | 21:35 | 278.00
MYR | DEN | DL | 0 | 16:30 | 22:55 | 248.00


DEN | OAK | UA | 0 | 06:00 | 07:30 | 150.00
DEN | OAK | WN | 1 (SFO) | 08:30 | 11:15 | 220.00
DEN | OAK | F9 | 0 | 10:00 | 11:45 | 180.00
DEN | OAK | AA | 1 (PHX) | 12:00 | 14:30 | 280.00
DEN | OAK | DL | 0 | 14:30 | 16:00 | 200.00
DEN | OAK | AS | 1 (SEA) | 16:00 | 18:45 | 250.00
DEN | OAK | B6 | 0 | 18:00 | 19:30 | 190.00
DEN | OAK | NK | 1 (LAS) | 20:00 | 22:30 | 230.00
OAK | DEN | UA | 0 | 06:30 | 08:00 | 160.00
OAK | DEN | WN | 1 (SJC) | 08:00 | 11:00 | 240.00
OAK | DEN | F9 | 0 | 10:30 | 12:00 | 200.00
OAK | DEN | AA | 1 (LAX) | 12:30 | 15:00 | 290.00
OAK | DEN | DL | 0 | 14:00 | 15:30 | 210.00
OAK | DEN | AS | 1 (PDX) | 16:30 | 19:00 | 260.00
OAK | DEN | B6 | 0 | 18:30 | 20:00 | 220.00
OAK | DEN | NK | 1 (SAN) | 20:30 | 22:45 | 250.00


DEN | SMF | United | Non-stop | 06:00 | 07:35 | 198.00
DEN | SMF | American | 1 stop (LAX) | 07:15 | 10:50 | 235.00
DEN | SMF | Delta | Non-stop | 08:30 | 10:05 | 220.00
DEN | SMF | Southwest | 1 stop (PHX) | 09:45 | 13:20 | 258.00
DEN | SMF | Frontier | Non-stop | 11:00 | 12:35 | 189.00
DEN | SMF | Alaska | 1 stop (SEA) | 12:15 | 15:50 | 248.00
DEN | SMF | JetBlue | Non-stop | 13:30 | 15:05 | 209.00
DEN | SMF | Spirit | 1 stop (LAS) | 14:45 | 18:20 | 269.00
SMF | DEN | United | Non-stop | 06:00 | 08:35 | 208.00
SMF | DEN | American | 1 stop (DFW) | 07:15 | 11:50 | 242.00
SMF | DEN | Delta | Non-stop | 08:30 | 11:05 | 229.00
SMF | DEN | Southwest | 1 stop (SJC) | 09:45 | 13:20 | 259.00
SMF | DEN | Frontier | Non-stop | 11:00 | 12:35 | 199.00
SMF | DEN | Alaska | 1 stop (PDX) | 12:15 | 15:50 | 251.00
SMF | DEN | JetBlue | Non-stop | 13:30 | 15:05 | 219.00
SMF | DEN | Spirit | 1 stop (SAN) | 14:45 | 18:20 | 279.00


DEN | SAF | UA | 1 (IAH) | 08:00 | 11:30 | 425.00
DEN | SAF | AA | 1 (DFW) | 09:30 | 13:05 | 450.00
DEN | SAF | WN | 1 (PHX) | 11:15 | 14:40 | 395.00
DEN | SAF | DL | 1 (ATL) | 13:00 | 16:25 | 475.00
DEN | SAF | F9 | 1 (ABQ) | 14:45 | 18:10 | 325.00
DEN | SAF | UA | 2 (IAH, AUS) | 16:00 | 20:30 | 525.00
DEN | SAF | AA | 2 (DFW, ELP) | 17:30 | 22:00 | 550.00
DEN | SAF | WN | 2 (PHX, TUS) | 19:15 | 23:45 | 495.00
SAF | DEN | UA | 1 (IAH) | 08:00 | 09:30 | 410.00
SAF | DEN | AA | 1 (DFW) | 09:30 | 11:05 | 435.00
SAF | DEN | WN | 1 (PHX) | 11:15 | 12:40 | 380.00
SAF | DEN | DL | 1 (ATL) | 13:00 | 14:25 | 460.00
SAF | DEN | F9 | 1 (ABQ) | 14:45 | 16:10 | 310.00
SAF | DEN | UA | 2 (IAH, AUS) | 16:00 | 18:30 | 510.00
SAF | DEN | AA | 2 (DFW, ELP) | 17:30 | 20:00 | 535.00
SAF | DEN | WN | 2 (PHX, TUS) | 19:15 | 21:45 | 480.00
SAF | DEN | DL | 2 (ATL, MEM) | 20:45 | 23:15 | 505.00


DEN | ABQ | UA | Non-stop | 06:00 | 07:30 | 178.00
DEN | ABQ | WN | Non-stop | 08:15 | 09:45 | 198.00
DEN | ABQ | F9 | Non-stop | 10:00 | 11:30 | 158.00
DEN | ABQ | DL | 1 stop (DFW) | 11:30 | 14:15 | 238.00
DEN | ABQ | AA | Non-stop | 12:45 | 14:15 | 208.00
DEN | ABQ | UA | 1 stop (IAH) | 14:00 | 16:45 | 268.00
DEN | ABQ | WN | 1 stop (PHX) | 15:30 | 18:15 | 248.00
DEN | ABQ | F9 | 1 stop (DAL) | 17:00 | 20:00 | 228.00
ABQ | DEN | UA | Non-stop | 06:30 | 08:00 | 188.00
ABQ | DEN | WN | Non-stop | 08:45 | 10:15 | 208.00
ABQ | DEN | F9 | Non-stop | 11:15 | 12:45 | 168.00
ABQ | DEN | DL | 1 stop (SFO) | 12:00 | 15:00 | 288.00
ABQ | DEN | AA | Non-stop | 13:30 | 15:00 | 228.00
ABQ | DEN | UA | 1 stop (LAX) | 14:45 | 17:30 | 258.00
ABQ | DEN | WN | 1 stop (SAN) | 16:00 | 19:00 | 248.00
ABQ | DEN | F9 | 1 stop (ORD) | 17:30 | 20:45 | 238.00


DEN | SAV | UA | 0 | 08:00 | 13:15 | 248.00
DEN | SAV | AA | 1 (DFW) | 09:30 | 15:45 | 278.00
DEN | SAV | WN | 0 | 10:15 | 15:30 | 198.00
DEN | SAV | DL | 1 (ATL) | 11:00 | 16:20 | 298.00
DEN | SAV | F9 | 0 | 12:00 | 16:15 | 228.00
DEN | SAV | UA | 1 (IAH) | 13:30 | 18:45 | 318.00
DEN | SAV | AA | 0 | 14:45 | 19:00 | 258.00
DEN | SAV | WN | 1 (STL) | 16:00 | 20:15 | 288.00
SAV | DEN | UA | 0 | 08:30 | 10:45 | 208.00
SAV | DEN | DL | 1 (ATL) | 09:45 | 12:00 | 238.00
SAV | DEN | WN | 0 | 11:15 | 13:30 | 178.00
SAV | DEN | AA | 1 (CLT) | 12:30 | 15:45 | 268.00
SAV | DEN | F9 | 0 | 14:00 | 16:15 | 218.00
SAV | DEN | UA | 1 (ORD) | 15:15 | 18:30 | 308.00
SAV | DEN | AA | 0 | 16:30 | 19:45 | 248.00
SAV | DEN | WN | 1 (BNA) | 18:00 | 20:15 | 288.00


Here are the 16 flight plans:

DEN | JAX | UA | 0 | 08:00 | 13:45 | 248.50
DEN | JAX | AA | 1 (DFW) | 09:30 | 16:10 | 278.00
DEN | JAX | WN | 0 | 11:45 | 17:25 | 208.00
DEN | JAX | DL | 1 (ATL) | 13:15 | 19:50 | 298.50
DEN | JAX | F9 | 0 | 14:50 | 20:35 | 188.00
DEN | JAX | UA | 1 (ORD) | 16:00 | 22:40 | 318.00
DEN | JAX | AA | 0 | 17:30 | 23:15 | 238.50
DEN | JAX | WN | 1 (STL) | 19:15 | 01:05 | 258.00

JAX | DEN | WN | 0 | 06:00 | 08:35 | 198.00
JAX | DEN | DL | 1 (ATL) | 07:30 | 11:10 | 268.50
JAX | DEN | UA | 0 | 09:00 | 11:40 | 228.00
JAX | DEN | AA | 1 (DFW) | 10:45 | 14:25 | 288.00
JAX | DEN | F9 | 0 | 12:15 | 14:55 | 178.00
JAX | DEN | WN | 1 (STL) | 14:00 | 17:45 | 248.50
JAX | DEN | DL | 0 | 15:30 | 18:15 | 208.00
JAX | DEN | UA | 1 (ORD) | 17:00 | 20:40 | 308.00


DEN | SFB | UA | 0 | 06:00 | 11:30 | 250.00
DEN | SFB | AA | 1 (DFW) | 07:30 | 13:15 | 320.00
DEN | SFB | WN | 0 | 08:00 | 12:45 | 220.00
DEN | SFB | DL | 1 (ATL) | 09:00 | 14:50 | 380.00
DEN | SFB | F9 | 0 | 10:00 | 14:30 | 280.00
DEN | SFB | NK | 1 (ORD) | 11:00 | 16:20 | 350.00
DEN | SFB | AS | 0 | 12:00 | 16:45 | 300.00
DEN | SFB | B6 | 1 (JFK) | 13:00 | 18:10 | 400.00
SFB | DEN | UA | 0 | 06:30 | 08:15 | 230.00
SFB | DEN | AA | 1 (CLT) | 07:00 | 11:40 | 330.00
SFB | DEN | WN | 0 | 08:30 | 11:15 | 240.00
SFB | DEN | DL | 1 (MSP) | 09:30 | 13:20 | 360.00
SFB | DEN | F9 | 0 | 10:30 | 13:15 | 260.00
SFB | DEN | NK | 1 (IAH) | 11:30 | 15:50 | 390.00
SFB | DEN | AS | 0 | 12:30 | 15:45 | 310.00
SFB | DEN | B6 | 1 (BOS) | 13:30 | 17:10 | 420.00


Here are the 16 flight plans:

DEN | MTJ | UA | 0 | 06:00 | 07:30 | 150.00
DEN | MTJ | AA | 1 (SLC) | 08:15 | 11:45 | 220.00
DEN | MTJ | WN | 0 | 10:30 | 12:00 | 180.00
DEN | MTJ | DL | 1 (ABQ) | 12:45 | 16:15 | 280.00
DEN | MTJ | F9 | 0 | 14:00 | 15:30 | 120.00
DEN | MTJ | UA | 1 (IAH) | 16:30 | 20:00 | 300.00
DEN | MTJ | AS | 0 | 18:15 | 19:45 | 200.00
DEN | MTJ | B6 | 1 (LAX) | 20:00 | 23:30 | 350.00

MTJ | DEN | UA | 0 | 06:30 | 08:00 | 140.00
MTJ | DEN | AA | 1 (ORD) | 08:45 | 12:15 | 240.00
MTJ | DEN | WN | 0 | 11:00 | 12:30 | 160.00
MTJ | DEN | DL | 1 (MSP) | 13:15 | 16:45 | 290.00
MTJ | DEN | F9 | 0 | 15:30 | 17:00 | 130.00
MTJ | DEN | UA | 1 (SFO) | 17:45 | 21:15 | 320.00
MTJ | DEN | AS | 0 | 19:30 | 21:00 | 210.00
MTJ | DEN | B6 | 1 (DFW) | 21:15 | 00:45 | 380.00


Here are the 16 flight plans:

DEN | DRO | UA | 0 | 08:00 | 10:35 | 198.00
DEN | DRO | AA | 1 (ORD) | 09:15 | 12:50 | 220.00
DEN | DRO | WN | 0 | 10:45 | 13:20 | 185.00
DEN | DRO | DL | 1 (ATL) | 11:30 | 15:05 | 240.00
DEN | DRO | F9 | 0 | 12:15 | 14:50 | 160.00
DEN | DRO | UA | 1 (IAH) | 13:00 | 16:35 | 260.00
DEN | DRO | AA | 0 | 14:30 | 17:05 | 200.00
DEN | DRO | WN | 1 (PHX) | 15:15 | 18:40 | 230.00

DRO | DEN | UA | 0 | 06:00 | 08:35 | 190.00
DRO | DEN | AA | 1 (DFW) | 07:15 | 10:40 | 210.00
DRO | DEN | WN | 0 | 08:45 | 11:20 | 170.00
DRO | DEN | DL | 1 (MSP) | 09:30 | 12:55 | 250.00
DRO | DEN | F9 | 0 | 10:15 | 12:50 | 180.00
DRO | DEN | UA | 1 (LAX) | 11:00 | 14:25 | 270.00
DRO | DEN | AA | 0 | 12:30 | 15:05 | 220.00
DRO | DEN | WN | 1 (SJC) | 13:15 | 16:40 | 240.00


DEN | BOZ | UA | 0 | 08:00 | 10:30 | 250.00
DEN | BOZ | AA | 1 (SLC) | 09:15 | 12:45 | 320.00
DEN | BOZ | WN | 0 | 11:00 | 13:30 | 280.00
DEN | BOZ | DL | 2 (SLC, MSP) | 12:30 | 17:15 | 450.00
DEN | BOZ | F9 | 0 | 14:45 | 17:15 | 220.00
DEN | BOZ | AS | 1 (SEA) | 16:00 | 19:30 | 380.00
DEN | BOZ | B6 | 0 | 18:15 | 20:45 | 300.00
DEN | BOZ | NK | 1 (LAS) | 20:30 | 23:55 | 420.00
BOZ | DEN | UA | 0 | 08:00 | 10:30 | 250.00
BOZ | DEN | AA | 1 (DFW) | 09:15 | 12:45 | 340.00
BOZ | DEN | WN | 0 | 11:00 | 13:30 | 280.00
BOZ | DEN | DL | 2 (MSP, ORD) | 12:30 | 17:15 | 480.00
BOZ | DEN | F9 | 0 | 14:45 | 17:15 | 240.00
BOZ | DEN | AS | 1 (PDX) | 16:00 | 19:30 | 400.00
BOZ | DEN | B6 | 0 | 18:15 | 20:45 | 320.00
BOZ | DEN | NK | 1 (PHX) | 20:30 | 23:55 | 440.00


DEN | FAT | UA | 0 | 06:00 | 07:30 | 198.00
DEN | FAT | WN | 0 | 07:15 | 08:45 | 220.00
DEN | FAT | AA | 1 (LAX) | 08:30 | 11:15 | 280.00
DEN | FAT | DL | 0 | 09:00 | 10:30 | 240.00
DEN | FAT | F9 | 0 | 10:45 | 12:15 | 200.00
DEN | FAT | AS | 1 (SEA) | 12:00 | 14:45 | 300.00
DEN | FAT | UA | 0 | 13:30 | 15:00 | 210.00
DEN | FAT | WN | 1 (PHX) | 15:15 | 17:45 | 260.00
FAT | DEN | UA | 0 | 06:30 | 08:00 | 190.00
FAT | DEN | AA | 0 | 07:45 | 09:15 | 230.00
FAT | DEN | WN | 1 (LAS) | 09:00 | 11:30 | 250.00
FAT | DEN | DL | 0 | 10:15 | 11:45 | 210.00
FAT | DEN | F9 | 0 | 11:30 | 13:00 | 180.00
FAT | DEN | AS | 1 (PDX) | 12:45 | 15:15 | 290.00
FAT | DEN | UA | 0 | 14:00 | 15:30 | 200.00
FAT | DEN | WN | 0 | 15:45 | 17:15 | 240.00


DEN | SGU | UA | 1 (SLC) | 06:00 | 08:30 | 250.00
DEN | SGU | WN | 0 | 07:30 | 09:15 | 220.00
DEN | SGU | DL | 1 (MSP) | 09:00 | 12:15 | 280.00
DEN | SGU | AA | 1 (PHX) | 10:30 | 13:45 | 300.00
DEN | SGU | F9 | 0 | 12:00 | 14:30 | 200.00
DEN | SGU | UA | 1 (LAX) | 14:30 | 17:45 | 320.00
DEN | SGU | WN | 1 (ABQ) | 16:00 | 19:15 | 240.00
DEN | SGU | DL | 0 | 18:30 | 21:00 | 260.00
SGU | DEN | WN | 0 | 06:00 | 07:30 | 180.00
SGU | DEN | AA | 1 (DFW) | 07:30 | 10:45 | 250.00
SGU | DEN | UA | 1 (SFO) | 09:00 | 12:15 | 280.00
SGU | DEN | F9 | 0 | 11:30 | 13:00 | 200.00
SGU | DEN | DL | 1 (ATL) | 13:00 | 16:15 | 300.00
SGU | DEN | WN | 1 (LAS) | 15:00 | 17:30 | 220.00
SGU | DEN | UA | 0 | 17:30 | 19:00 | 240.00
SGU | DEN | AA | 1 (ORD) | 19:30 | 22:45 | 320.00


DEN | AMS | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
DEN | AMS | DL | 2 (ATL, CDG) | 09:30 | 20:45 | 1050.00
DEN | AMS | AA | 0 | 11:15 | 19:20 | 900.00
DEN | AMS | LH | 1 (FRA) | 12:45 | 21:10 | 1000.00
DEN | AMS | KL | 0 | 14:00 | 22:05 | 950.00
DEN | AMS | BA | 1 (LHR) | 15:30 | 23:45 | 1100.00
DEN | AMS | AF | 2 (DFW, CDG) | 17:00 | 01:20 | 1200.00
DEN | AMS | VS | 1 (LHR) | 18:45 | 02:55 | 1150.00
AMS | DEN | UA | 1 (EWR) | 08:30 | 14:50 | 800.00
AMS | DEN | DL | 2 (CDG, ATL) | 09:45 | 17:00 | 1000.00
AMS | DEN | AA | 0 | 11:00 | 16:15 | 850.00
AMS | DEN | LH | 1 (FRA) | 12:20 | 19:35 | 950.00
AMS | DEN | KL | 0 | 13:45 | 20:50 | 900.00
AMS | DEN | BA | 1 (LHR) | 15:10 | 22:25 | 1050.00
AMS | DEN | AF | 2 (CDG, DFW) | 16:40 | 00:55 | 1150.00
AMS | DEN | VS | 1 (LHR) | 18:15 | 02:30 | 1100.00


DEN | AUA | United | Non-stop | 08:00 | 15:30 | 542.00
DEN | AUA | American | 1 stop (MIA) | 09:30 | 17:15 | 612.00
DEN | AUA | Delta | Non-stop | 11:00 | 18:30 | 598.00
DEN | AUA | Frontier | 1 stop (TPA) | 12:30 | 20:00 | 528.00
DEN | AUA | Spirit | 2 stops (DFW, SJU) | 14:00 | 22:30 | 482.00
DEN | AUA | JetBlue | Non-stop | 15:30 | 23:00 | 568.00
DEN | AUA | Southwest | 1 stop (HOU) | 17:00 | 00:30 | 548.00
DEN | AUA | Alaska | Non-stop | 19:00 | 02:30 | 588.00
AUA | DEN | United | Non-stop | 08:30 | 12:00 | 512.00
AUA | DEN | American | 1 stop (CLT) | 09:00 | 13:30 | 582.00
AUA | DEN | Delta | Non-stop | 10:30 | 15:00 | 548.00
AUA | DEN | Frontier | 1 stop (ATL) | 12:00 | 16:30 | 498.00
AUA | DEN | Spirit | 2 stops (FLL, ORD) | 13:30 | 19:00 | 452.00
AUA | DEN | JetBlue | Non-stop | 15:00 | 20:30 | 528.00
AUA | DEN | Southwest | 1 stop (DAL) | 16:30 | 22:00 | 518.00
AUA | DEN | Alaska | Non-stop | 18:00 | 00:30 | 558.00


Here are the 16 flight plans:

DEN | ATH | Lufthansa | 1 (FRA) | 14:30 | 10:35 | 850.00
DEN | ATH | United | 1 (EWR) | 08:00 | 18:15 | 920.00
DEN | ATH | American | 1 (PHL) | 11:45 | 21:50 | 950.00
DEN | ATH | Delta | 1 (ATL) | 16:15 | 10:20 | 880.00
DEN | ATH | Swiss | 1 (ZRH) | 09:00 | 19:05 | 900.00
DEN | ATH | British Airways | 1 (LHR) | 13:30 | 09:40 | 930.00
DEN | ATH | Turkish Airlines | 1 (IST) | 10:45 | 20:50 | 960.00
DEN | ATH | KLM | 1 (AMS) | 15:00 | 09:10 | 890.00

ATH | DEN | Lufthansa | 1 (FRA) | 11:15 | 14:20 | 870.00
ATH | DEN | United | 1 (EWR) | 09:30 | 15:40 | 940.00
ATH | DEN | American | 1 (PHL) | 14:00 | 20:05 | 980.00
ATH | DEN | Delta | 1 (ATL) | 10:45 | 16:50 | 900.00
ATH | DEN | Swiss | 1 (ZRH) | 08:15 | 14:25 | 920.00
ATH | DEN | British Airways | 1 (LHR) | 12:30 | 18:40 | 950.00
ATH | DEN | Turkish Airlines | 1 (IST) | 09:00 | 15:10 | 960.00
ATH | DEN | KLM | 1 (AMS) | 11:45 | 17:55 | 910.00


DEN | AKL | United | 1 (LAX) | 08:00 | 06:30 | 850.00
DEN | AKL | American | 2 (DFW, HNL) | 10:30 | 09:15 | 1050.00
DEN | AKL | Delta | 1 (SFO) | 14:00 | 11:45 | 920.00
DEN | AKL | Qantas | 2 (LAX, SYD) | 16:00 | 14:30 | 1200.00
DEN | AKL | Air New Zealand | 1 (HNL) | 18:00 | 16:45 | 950.00
DEN | AKL | Emirates | 2 (LAX, MEL) | 20:00 | 19:30 | 1300.00
DEN | AKL | Lufthansa | 2 (FRA, HKG) | 22:00 | 21:45 | 1400.00
DEN | AKL | Singapore Airlines | 1 (SIN) | 00:00 | 22:30 | 1100.00
AKL | DEN | United | 1 (LAX) | 08:00 | 06:30 | 850.00
AKL | DEN | American | 2 (HNL, DFW) | 10:30 | 09:15 | 1050.00
AKL | DEN | Delta | 1 (SFO) | 14:00 | 11:45 | 920.00
AKL | DEN | Qantas | 2 (SYD, LAX) | 16:00 | 14:30 | 1200.00
AKL | DEN | Air New Zealand | 1 (HNL) | 18:00 | 16:45 | 950.00
AKL | DEN | Emirates | 2 (MEL, LAX) | 20:00 | 19:30 | 1300.00
AKL | DEN | Lufthansa | 2 (HKG, FRA) | 22:00 | 21:45 | 1400.00
AKL | DEN | Singapore Airlines | 1 (SIN) | 00:00 | 22:30 | 1100.00


DEN | DPS | United | 0 | 08:00 | 18:30 | 850.00
DEN | DPS | American | 1 (LAX) | 09:15 | 21:45 | 950.00
DEN | DPS | Delta | 0 | 10:30 | 20:50 | 900.00
DEN | DPS | Southwest | 1 (SFO) | 11:45 | 23:10 | 1000.00
DEN | DPS | Alaska | 0 | 13:00 | 21:20 | 920.00
DEN | DPS | JetBlue | 1 (ORD) | 14:15 | 00:30 | 1050.00
DEN | DPS | Spirit | 1 (DFW) | 15:30 | 02:50 | 1100.00
DEN | DPS | Frontier | 0 | 16:45 | 23:10 | 980.00
DPS | DEN | United | 0 | 07:00 | 17:30 | 820.00
DPS | DEN | American | 1 (HNL) | 08:15 | 20:45 | 960.00
DPS | DEN | Delta | 0 | 09:30 | 19:50 | 910.00
DPS | DEN | Southwest | 1 (PHX) | 10:45 | 22:10 | 1020.00
DPS | DEN | Alaska | 0 | 12:00 | 20:20 | 930.00
DPS | DEN | JetBlue | 1 (SFO) | 13:15 | 01:30 | 1080.00
DPS | DEN | Spirit | 1 (LAX) | 14:30 | 03:50 | 1120.00
DPS | DEN | Frontier | 0 | 15:45 | 22:10 | 990.00


DEN | BCN | United | 0 | 10:30 | 18:45 | 850.00
DEN | BCN | Lufthansa | 1 (FRA) | 11:15 | 20:10 | 1050.00
DEN | BCN | American | 1 (PHL) | 12:00 | 20:50 | 950.00
DEN | BCN | Iberia | 0 | 13:45 | 22:00 | 800.00
DEN | BCN | Delta | 1 (AMS) | 14:20 | 23:10 | 1100.00
DEN | BCN | Swiss | 1 (ZRH) | 15:00 | 23:40 | 1000.00
DEN | BCN | TAP Air Portugal | 1 (LIS) | 16:30 | 01:15 | 1200.00
DEN | BCN | Air Europa | 1 (MAD) | 17:45 | 02:20 | 1150.00
BCN | DEN | United | 0 | 09:00 | 17:15 | 900.00
BCN | DEN | Lufthansa | 1 (FRA) | 10:45 | 19:00 | 1150.00
BCN | DEN | American | 1 (PHL) | 11:30 | 20:20 | 1050.00
BCN | DEN | Iberia | 0 | 12:15 | 20:45 | 850.00
BCN | DEN | Delta | 1 (AMS) | 13:00 | 21:40 | 1100.00
BCN | DEN | Swiss | 1 (ZRH) | 14:30 | 22:55 | 1000.00
BCN | DEN | TAP Air Portugal | 1 (LIS) | 15:45 | 00:30 | 1250.00
BCN | DEN | Air Europa | 1 (MAD) | 17:00 | 01:45 | 1200.00


DEN | PEK | UA | 1 (NRT) | 10:30 | 14:45 | 850.00
DEN | PEK | AA | 2 (LAX, HKG) | 12:15 | 18:20 | 1100.00
DEN | PEK | DL | 1 (SEA) | 14:00 | 20:10 | 900.00
DEN | PEK | HU | 0 | 16:45 | 22:50 | 750.00
DEN | PEK | CA | 1 (SFO) | 08:00 | 14:05 | 1000.00
DEN | PEK | MU | 2 (ORD, ICN) | 11:30 | 19:40 | 1200.00
DEN | PEK | CZ | 1 (LAX) | 09:15 | 15:20 | 950.00
DEN | PEK | JL | 1 (NRT) | 13:45 | 19:55 | 1050.00
PEK | DEN | UA | 1 (HKG) | 10:00 | 08:10 | 900.00
PEK | DEN | AA | 2 (NRT, LAX) | 12:30 | 10:40 | 1200.00
PEK | DEN | DL | 1 (ICN) | 14:45 | 12:55 | 950.00
PEK | DEN | HU | 0 | 17:15 | 15:25 | 800.00
PEK | DEN | CA | 1 (SFO) | 08:45 | 06:55 | 1000.00
