

Here are the 16 flight plans:

IAH | PHL | United | Non-stop | 06:00 | 10:05 | 258.00
IAH | DEN | JetBlue | 0 | 18:00 | 19:35 | 240.00
IAH | DEN | Alaska | 1 (SEA) | 19:30 | 22:25 | 360.00

DEN | IAH | United | 0 | 06:00 | 08:35 | 230.00
DEN | IAH | American | 1 (ORD) | 07:15 | 10:10 | 290.00
DEN | IAH | Delta | 0 | 09:45 | 11:20 | 210.00
DEN | IAH | Southwest | 1 (PHX) | 11:00 | 13:55 | 310.00
DEN | IAH | Frontier | 0 | 13:30 | 15:05 | 190.00
DEN | IAH | Spirit | 1 (MCO) | 14:45 | 17:40 | 330.00
DEN | IAH | JetBlue | 0 | 16:00 | 17:35 | 260.00
DEN | IAH | Alaska | 1 (SFO) | 17:30 | 20:25 | 380.00


Here are the 16 flight plans:

IAH | CHS | United | Non-stop | 08:00 | 11:15 | 248.00
IAH | CHS | American | 1 stop (CLT) | 09:30 | 13:45 | 278.00
IAH | CHS | Delta | Non-stop | 10:45 | 14:00 | 288.00
IAH | CHS | Southwest | 1 stop (ATL) | 12:00 | 16:15 | 298.00
IAH | CHS | Frontier | Non-stop | 13:15 | 16:30 | 228.00
IAH | CHS | Spirit | 1 stop (FLL) | 14:30 | 18:45 | 258.00
IAH | CHS | JetBlue | Non-stop | 15:45 | 19:00 | 268.00
IAH | CHS | Alaska | 1 stop (ORD) | 17:00 | 21:15 | 288.00

CHS | IAH | United | Non-stop | 08:30 | 10:45 | 238.00
CHS | IAH | American | 1 stop (PHL) | 09:45 | 13:00 | 268.00
CHS | IAH | Delta | Non-stop | 11:00 | 13:15 | 278.00
CHS | IAH | Southwest | 1 stop (BNA) | 12:15 | 15:30 | 288.00
CHS | IAH | Frontier | Non-stop | 13:30 | 15:45 | 218.00
CHS | IAH | Spirit | 1 stop (MCO) | 14:45 | 17:00 | 248.00
CHS | IAH | JetBlue | Non-stop | 16:00 | 18:15 | 258.00
CHS | IAH | Alaska | 1 stop (SFO) | 17:15 | 20:30 | 288.00


Here are the 16 flight plans:

IAH | RAP | United | 0 | 08:00 | 10:30 | 420.00
IAH | RAP | American | 1 (DEN) | 09:15 | 12:45 | 480.00
IAH | RAP | Delta | 0 | 10:45 | 13:15 | 450.00
IAH | RAP | Southwest | 1 (PHX) | 11:30 | 14:50 | 510.00
IAH | RAP | Frontier | 0 | 12:00 | 14:30 | 390.00
IAH | RAP | JetBlue | 1 (LAX) | 13:15 | 16:30 | 530.00
IAH | RAP | Spirit | 0 | 14:30 | 16:50 | 360.00
IAH | RAP | Alaska | 1 (SEA) | 15:45 | 19:00 | 550.00
RAP | IAH | United | 0 | 08:30 | 11:00 | 410.00
RAP | IAH | American | 1 (ORD) | 09:45 | 13:10 | 490.00
RAP | IAH | Delta | 0 | 11:15 | 13:45 | 460.00
RAP | IAH | Southwest | 1 (DAL) | 12:00 | 14:30 | 520.00
RAP | IAH | Frontier | 0 | 13:30 | 15:50 | 380.00
RAP | IAH | JetBlue | 1 (MIA) | 14:45 | 17:10 | 540.00
RAP | IAH | Spirit | 0 | 15:15 | 17:35 | 370.00
RAP | IAH | Alaska | 1 (SFO) | 16:30 | 19:45 | 560.00


Here are the 16 flight plans:

IAH | FCA | United | 1 (DEN) | 08:00 | 12:30 | 450.00
IAH | FCA | American | 0 | 09:30 | 14:00 | 520.00
IAH | FCA | Delta | 1 (ATL) | 10:45 | 16:15 | 480.00
IAH | FCA | Southwest | 0 | 12:00 | 16:30 | 400.00
IAH | FCA | Lufthansa | 1 (FRA) | 13:15 | 19:45 | 650.00
IAH | FCA | Alaska | 1 (SEA) | 14:30 | 20:00 | 580.00
IAH | FCA | JetBlue | 0 | 15:45 | 20:15 | 420.00
IAH | FCA | Spirit | 1 (LAS) | 17:00 | 22:30 | 380.00

FCA | IAH | United | 1 (SFO) | 08:30 | 13:00 | 420.00
FCA | IAH | American | 0 | 10:00 | 14:30 | 500.00
FCA | IAH | Delta | 1 (MSP) | 11:15 | 15:45 | 460.00
FCA | IAH | Southwest | 0 | 12:30 | 16:00 | 380.00
FCA | IAH | Lufthansa | 1 (FRA) | 13:45 | 19:15 | 620.00
FCA | IAH | Alaska | 1 (PDX) | 15:00 | 20:30 | 540.00
FCA | IAH | JetBlue | 0 | 16:15 | 20:45 | 400.00
FCA | IAH | Spirit | 1 (PHX) | 17:30 | 22:00 | 360.00


Here are the 16 flight plans:

IAH | FLG | American Airlines | Non-stop | 08:00 | 10:30 | 425.00
IAH | FLG | United Airlines | 1 stop (DEN) | 09:15 | 12:45 | 450.00
IAH | FLG | Delta Air Lines | Non-stop | 10:30 | 13:00 | 475.00
IAH | FLG | Spirit Airlines | 1 stop (LAS) | 11:45 | 15:15 | 395.00
IAH | FLG | Frontier Airlines | Non-stop | 13:00 | 15:30 | 405.00
IAH | FLG | Alaska Airlines | 1 stop (SFO) | 14:15 | 17:45 | 520.00
IAH | FLG | Southwest Airlines | Non-stop | 15:30 | 18:00 | 435.00
IAH | FLG | JetBlue Airways | 1 stop (PHX) | 16:45 | 20:15 | 455.00
FLG | IAH | American Airlines | Non-stop | 08:00 | 10:30 | 425.00
FLG | IAH | United Airlines | 1 stop (DEN) | 09:15 | 12:45 | 450.00
FLG | IAH | Delta Air Lines | Non-stop | 10:30 | 13:00 | 475.00
FLG | IAH | Spirit Airlines | 1 stop (LAS) | 11:45 | 15:15 | 395.00
FLG | IAH | Frontier Airlines | Non-stop | 13:00 | 15:30 | 405.00
FLG | IAH | Alaska Airlines | 1 stop (SFO) | 14:15 | 17:45 | 520.00
FLG | IAH | Southwest Airlines | Non-stop | 15:30 | 18:00 | 435.00
FLG | IAH | JetBlue Airways | 1 stop (PHX) | 16:45 | 20:15 | 455.00


Here are the 16 flight plans:

IAH | LAS | United | 0 | 08:00 | 09:30 | 250.00
IAH | LAS | American | 1 (DFW) | 09:15 | 12:45 | 320.00
IAH | LAS | Delta | 0 | 11:30 | 13:00 | 280.00
IAH | LAS | Spirit | 1 (DEN) | 12:50 | 16:20 | 220.00
IAH | LAS | Southwest | 0 | 14:00 | 15:30 | 260.00
IAH | LAS | Frontier | 1 (PHX) | 15:15 | 18:45 | 240.00
IAH | LAS | Alaska | 0 | 16:30 | 18:00 | 300.00
IAH | LAS | JetBlue | 1 (LAX) | 17:45 | 21:15 | 350.00
LAS | IAH | United | 0 | 06:00 | 09:30 | 230.00
LAS | IAH | American | 1 (PHX) | 07:15 | 11:45 | 310.00
LAS | IAH | Delta | 0 | 09:30 | 12:00 | 290.00
LAS | IAH | Spirit | 1 (DEN) | 10:50 | 14:20 | 210.00
LAS | IAH | Southwest | 0 | 12:00 | 14:30 | 250.00
LAS | IAH | Frontier | 1 (ABQ) | 13:15 | 16:45 | 270.00
LAS | IAH | Alaska | 0 | 14:30 | 17:00 | 330.00
LAS | IAH | JetBlue | 1 (LAX) | 15:45 | 19:15 | 360.00


Here are the 16 flight plans:

IAH | TYS | United | 0 | 08:00 | 11:15 | 250.00
IAH | TYS | American | 1 (DFW) | 09:30 | 13:45 | 320.00
IAH | TYS | Delta | 0 | 11:00 | 14:20 | 280.00
IAH | TYS | Southwest | 1 (BNA) | 12:45 | 16:10 | 300.00
IAH | TYS | United | 1 (ATL) | 14:15 | 18:30 | 350.00
IAH | TYS | American | 0 | 15:30 | 18:45 | 290.00
IAH | TYS | Delta | 1 (CLT) | 17:00 | 20:25 | 330.00
IAH | TYS | Southwest | 0 | 19:15 | 22:30 | 260.00
TYS | IAH | United | 0 | 08:00 | 09:20 | 230.00
TYS | IAH | American | 1 (DFW) | 09:30 | 12:45 | 300.00
TYS | IAH | Delta | 0 | 11:00 | 12:20 | 240.00
TYS | IAH | Southwest | 1 (BNA) | 12:45 | 15:10 | 280.00
TYS | IAH | United | 1 (ATL) | 14:15 | 17:30 | 320.00
TYS | IAH | American | 0 | 15:30 | 16:45 | 250.00
TYS | IAH | Delta | 1 (CLT) | 17:00 | 19:25 | 290.00
TYS | IAH | Southwest | 0 | 19:15 | 20:30 | 220.00


Here are the 16 flight plans:

IAH | AVL | United | Non-stop | 06:00 | 09:15 | 278.50
IAH | AVL | American | 1 stop (CLT) | 07:30 | 11:45 | 312.00
IAH | AVL | Delta | Non-stop | 08:45 | 12:00 | 299.00
IAH | AVL | Spirit | 1 stop (FLL) | 10:00 | 14:15 | 239.00
IAH | AVL | Frontier | Non-stop | 11:15 | 14:30 | 259.00
IAH | AVL | Southwest | 1 stop (BNA) | 12:30 | 16:45 | 289.00
IAH | AVL | JetBlue | Non-stop | 13:45 | 17:00 | 269.00
IAH | AVL | Alaska | 1 stop (SFO) | 15:00 | 19:15 | 329.00
AVL | IAH | United | Non-stop | 06:30 | 08:45 | 248.00
AVL | IAH | American | 1 stop (RDU) | 08:00 | 11:15 | 282.00
AVL | IAH | Delta | Non-stop | 09:15 | 11:30 | 259.00
AVL | IAH | Spirit | 1 stop (ATL) | 10:30 | 13:45 | 219.00
AVL | IAH | Frontier | Non-stop | 11:45 | 14:00 | 239.00
AVL | IAH | Southwest | 1 stop (HOU) | 12:50 | 15:05 | 279.00
AVL | IAH | JetBlue | Non-stop | 14:00 | 16:15 | 249.00
AVL | IAH | Alaska | 1 stop (ORD) | 15:15 | 18:30 | 309.00


Here are the 16 flight plans:

IAH | JAC | United | 0 | 08:00 | 11:15 | 450.00
IAH | JAC | American | 1 (DEN) | 09:30 | 13:45 | 520.00
IAH | JAC | Delta | 0 | 10:45 | 14:00 | 480.00
IAH | JAC | Southwest | 1 (PHX) | 12:00 | 16:15 | 550.00
IAH | JAC | Alaska | 0 | 13:15 | 16:30 | 500.00
IAH | JAC | JetBlue | 1 (LAX) | 14:30 | 18:45 | 580.00
IAH | JAC | Spirit | 0 | 15:45 | 19:00 | 420.00
IAH | JAC | Frontier | 1 (MSP) | 17:00 | 21:15 | 600.00
JAC | IAH | United | 0 | 08:30 | 11:45 | 420.00
JAC | IAH | American | 1 (ORD) | 10:00 | 14:15 | 540.00
JAC | IAH | Delta | 0 | 11:15 | 14:30 | 460.00
JAC | IAH | Southwest | 1 (LAS) | 12:30 | 16:45 | 570.00
JAC | IAH | Alaska | 0 | 13:45 | 17:00 | 490.00
JAC | IAH | JetBlue | 1 (SFO) | 15:00 | 19:15 | 610.00
JAC | IAH | Spirit | 0 | 16:15 | 19:30 | 440.00
JAC | IAH | Frontier | 1 (ATL) | 17:30 | 21:45 | 630.00


Here are the 16 flight plans:

IAH | EYW | AA | 0 | 08:00 | 11:15 | 278.00
IAH | EYW | UA | 1 (MIA) | 09:30 | 13:45 | 320.00
IAH | EYW | WN | 0 | 10:45 | 14:00 | 298.00
IAH | EYW | DL | 1 (ATL) | 12:00 | 16:15 | 350.00
IAH | EYW | F9 | 0 | 13:30 | 16:45 | 268.00
IAH | EYW | NK | 1 (FLL) | 14:45 | 18:00 | 288.00
IAH | EYW | B6 | 0 | 16:00 | 19:15 | 258.00
IAH | EYW | AS | 1 (MSY) | 17:30 | 21:45 | 328.00
EYW | IAH | AA | 0 | 08:00 | 10:15 | 278.00
EYW | IAH | UA | 1 (MIA) | 09:30 | 12:45 | 320.00
EYW | IAH | WN | 0 | 10:45 | 13:00 | 298.00
EYW | IAH | DL | 1 (ATL) | 12:00 | 15:15 | 350.00
EYW | IAH | F9 | 0 | 13:30 | 15:45 | 268.00
EYW | IAH | NK | 1 (FLL) | 14:45 | 17:00 | 288.00
EYW | IAH | B6 | 0 | 16:00 | 18:15 | 258.00
EYW | IAH | AS | 1 (MSY) | 17:30 | 20:45 | 328.00


Here are the 16 flight plans:

IAH | RNO | United | 0 | 08:00 | 10:35 | 425.00
IAH | RNO | American | 1 (DFW) | 09:15 | 13:20 | 550.00
IAH | RNO | Delta | 0 | 11:30 | 14:05 | 480.00
IAH | RNO | Southwest | 1 (PHX) | 12:45 | 16:10 | 520.00
IAH | RNO | Alaska | 0 | 14:00 | 16:35 | 450.00
IAH | RNO | JetBlue | 1 (LAX) | 15:15 | 19:20 | 600.00
IAH | RNO | Spirit | 0 | 16:30 | 19:05 | 380.00
IAH | RNO | Frontier | 1 (DEN) | 17:45 | 21:10 | 500.00

RNO | IAH | United | 0 | 06:00 | 11:35 | 410.00
RNO | IAH | American | 1 (PHX) | 07:15 | 12:20 | 530.00
RNO | IAH | Delta | 0 | 09:30 | 14:05 | 460.00
RNO | IAH | Southwest | 1 (LAS) | 10:45 | 15:10 | 490.00
RNO | IAH | Alaska | 0 | 12:00 | 15:35 | 420.00
RNO | IAH | JetBlue | 1 (SFO) | 13:15 | 17:20 | 580.00
RNO | IAH | Spirit | 0 | 14:30 | 18:05 | 350.00
RNO | IAH | Frontier | 1 (ORD) | 15:45 | 20:10 | 510.00


Here are the 16 flight plans:

IAH | TVL | United | Non-stop | 08:00 | 11:15 | 450.00
IAH | TVL | American | 1 stop (DEN) | 09:30 | 13:45 | 520.00
IAH | TVL | Delta | Non-stop | 10:45 | 14:00 | 480.00
IAH | TVL | Southwest | 1 stop (PHX) | 12:00 | 16:15 | 550.00
IAH | TVL | Alaska | Non-stop | 13:15 | 16:30 | 500.00
IAH | TVL | JetBlue | 1 stop (LAX) | 14:30 | 18:45 | 580.00
IAH | TVL | Spirit | 1 stop (LAS) | 15:45 | 20:00 | 620.00
IAH | TVL | Frontier | Non-stop | 17:00 | 20:15 | 530.00
TVL | IAH | United | Non-stop | 08:00 | 11:15 | 420.00
TVL | IAH | American | 1 stop (ORD) | 09:30 | 13:45 | 490.00
TVL | IAH | Delta | Non-stop | 10:45 | 14:00 | 450.00
TVL | IAH | Southwest | 1 stop (DAL) | 12:00 | 16:15 | 510.00
TVL | IAH | Alaska | Non-stop | 13:15 | 16:30 | 470.00
TVL | IAH | JetBlue | 1 stop (SFO) | 14:30 | 18:45 | 540.00
TVL | IAH | Spirit | 1 stop (DFW) | 15:45 | 20:00 | 600.00
TVL | IAH | Frontier | Non-stop | 17:00 | 20:15 | 500.00


Here are the 16 flight plans:

IAH | MCD | United | 0 | 08:00 | 10:30 | 150.00
IAH | MCD | American | 1 (DFW) | 09:15 | 12:45 | 220.00
IAH | MCD | Delta | 0 | 10:45 | 13:15 | 180.00
IAH | MCD | Southwest | 1 (HOU) | 12:00 | 15:30 | 200.00
IAH | MCD | United | 0 | 13:30 | 16:00 | 160.00
IAH | MCD | American | 1 (ORD) | 14:45 | 18:15 | 240.00
IAH | MCD | Delta | 0 | 16:00 | 18:30 | 190.00
IAH | MCD | Southwest | 1 (DAL) | 17:15 | 20:45 | 210.00
MCD | IAH | United | 0 | 08:30 | 10:00 | 140.00
MCD | IAH | American | 1 (CLT) | 09:45 | 12:15 | 230.00
MCD | IAH | Delta | 0 | 11:15 | 13:45 | 170.00
MCD | IAH | Southwest | 1 (AUS) | 12:30 | 15:00 | 200.00
MCD | IAH | United | 0 | 14:00 | 16:30 | 150.00
MCD | IAH | American | 1 (MIA) | 15:15 | 17:45 | 250.00
MCD | IAH | Delta | 0 | 16:30 | 19:00 | 180.00
MCD | IAH | Southwest | 1 (SAT) | 17:45 | 20:15 | 220.00


Here are the 16 flight plans:

IAH | PLN | American Airlines | Non-stop | 08:00 | 11:15 | 420.00
IAH | PLN | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 450.00
IAH | PLN | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
IAH | PLN | Spirit Airlines | 1 stop (ORD) | 12:15 | 16:30 | 380.00
IAH | PLN | Frontier Airlines | Non-stop | 13:30 | 16:45 | 410.00
IAH | PLN | Southwest Airlines | 1 stop (STL) | 14:45 | 18:00 | 440.00
IAH | PLN | JetBlue Airways | Non-stop | 16:00 | 19:15 | 460.00
IAH | PLN | Alaska Airlines | 1 stop (SEA) | 17:15 | 20:30 | 490.00
PLN | IAH | American Airlines | Non-stop | 08:30 | 11:45 | 430.00
PLN | IAH | Delta Air Lines | 1 stop (MSP) | 09:45 | 13:00 | 460.00
PLN | IAH | United Airlines | Non-stop | 11:00 | 14:15 | 500.00
PLN | IAH | Spirit Airlines | 1 stop (DFW) | 12:30 | 15:45 | 390.00
PLN | IAH | Frontier Airlines | Non-stop | 13:45 | 16:00 | 420.00
PLN | IAH | Southwest Airlines | 1 stop (BNA) | 15:00 | 17:15 | 450.00
PLN | IAH | JetBlue Airways | Non-stop | 16:15 | 18:30 | 470.00
PLN | IAH | Alaska Airlines | 1 stop (DEN) | 17:30 | 20:45 | 510.00


Here are the 16 flight plans:

IAH | OGG | United | 1 (HNL) | 08:00 | 14:30 | 850.00
IAH | OGG | American | 0 | 09:30 | 17:15 | 950.00
IAH | OGG | Delta | 1 (LAX) | 10:45 | 18:20 | 1050.00
IAH | OGG | Hawaiian | 0 | 12:00 | 19:45 | 1200.00
IAH | OGG | Alaska | 1 (SFO) | 13:15 | 20:50 | 1100.00
IAH | OGG | Spirit | 1 (LAS) | 14:30 | 22:05 | 900.00
IAH | OGG | Frontier | 1 (DEN) | 15:45 | 23:20 | 1000.00
IAH | OGG | Southwest | 0 | 17:00 | 00:45 | 1300.00
OGG | IAH | United | 1 (HNL) | 08:00 | 14:30 | 850.00
OGG | IAH | American | 0 | 09:30 | 17:15 | 950.00
OGG | IAH | Delta | 1 (LAX) | 10:45 | 18:20 | 1050.00
OGG | IAH | Hawaiian | 0 | 12:00 | 19:45 | 1200.00
OGG | IAH | Alaska | 1 (SFO) | 13:15 | 20:50 | 1100.00
OGG | IAH | Spirit | 1 (LAS) | 14:30 | 22:05 | 900.00
OGG | IAH | Frontier | 1 (DEN) | 15:45 | 23:20 | 1000.00
OGG | IAH | Southwest | 0 | 17:00 | 00:45 | 1300.00
OGG | IAH | JetBlue | 1 (ORD) | 18:15 | 01:50 | 1250.00


Here are the 16 flight plans:

IAH | RAP | United | 0 | 08:00 | 10:30 | 425.00
IAH | RAP | American | 1 (DEN) | 09:15 | 13:45 | 512.50
IAH | RAP | Delta | 0 | 10:45 | 13:15 | 475.00
IAH | RAP | Frontier | 1 (PHX) | 11:30 | 15:00 | 392.00
IAH | RAP | Southwest | 0 | 12:15 | 14:45 | 450.00
IAH | RAP | Alaska | 1 (SEA) | 13:00 | 16:30 | 525.00
IAH | RAP | JetBlue | 0 | 14:30 | 17:00 | 495.00
IAH | RAP | Spirit | 1 (LAS) | 15:45 | 18:15 | 422.50
RAP | IAH | United | 0 | 06:00 | 08:30 | 400.00
RAP | IAH | American | 1 (DFW) | 07:15 | 11:45 | 487.50
RAP | IAH | Delta | 0 | 08:45 | 11:15 | 460.00
RAP | IAH | Frontier | 1 (MCI) | 09:30 | 12:00 | 382.00
RAP | IAH | Southwest | 0 | 10:15 | 12:45 | 430.00
RAP | IAH | Alaska | 1 (PDX) | 11:00 | 14:30 | 510.00
RAP | IAH | JetBlue | 0 | 12:30 | 15:00 | 480.00
RAP | IAH | Spirit | 1 (ORD) | 13:45 | 16:15 | 402.50


Here are the 16 flight plans:

IAH | MYR | United | Non-stop | 08:00 | 11:15 | 250.00
IAH | MYR | American | 1 stop (CLT) | 09:30 | 13:45 | 280.00
IAH | MYR | Delta | Non-stop | 10:45 | 14:00 | 220.00
IAH | MYR | Spirit | 1 stop (FLL) | 12:15 | 16:30 | 200.00
IAH | MYR | Southwest | Non-stop | 13:50 | 17:05 | 240.00
IAH | MYR | Frontier | 1 stop (ATL) | 15:20 | 19:35 | 260.00
IAH | MYR | JetBlue | Non-stop | 16:40 | 20:00 | 230.00
IAH | MYR | Alaska | 1 stop (ORD) | 18:00 | 22:15 | 290.00
MYR | IAH | United | Non-stop | 08:30 | 09:45 | 270.00
MYR | IAH | American | 1 stop (PHL) | 10:00 | 13:15 | 300.00
MYR | IAH | Delta | Non-stop | 11:30 | 12:50 | 250.00
MYR | IAH | Spirit | 1 stop (BWI) | 12:45 | 16:00 | 220.00
MYR | IAH | Southwest | Non-stop | 14:10 | 15:30 | 280.00
MYR | IAH | Frontier | 1 stop (DEN) | 15:35 | 19:50 | 310.00
MYR | IAH | JetBlue | Non-stop | 16:50 | 18:10 | 240.00
MYR | IAH | Alaska | 1 stop (SFO) | 18:10 | 22:25 | 330.00


Here are the 16 flight plans:

IAH | SFO | United | 0 | 08:00 | 10:30 | 450.00
IAH | SFO | American | 1 (DEN) | 09:15 | 12:45 | 520.00
IAH | SFO | Delta | 0 | 10:45 | 13:15 | 480.00
IAH | SFO | Southwest | 1 (PHX) | 11:30 | 14:50 | 550.00
IAH | SFO | Alaska | 0 | 12:15 | 14:45 | 500.00
IAH | SFO | JetBlue | 1 (LAX) | 13:00 | 16:20 | 580.00
IAH | SFO | Spirit | 1 (LAS) | 14:30 | 17:50 | 600.00
IAH | SFO | Frontier | 0 | 15:15 | 17:45 | 520.00
SFO | IAH | United | 0 | 08:00 | 13:30 | 420.00
SFO | IAH | American | 1 (PHX) | 09:15 | 14:45 | 490.00
SFO | IAH | Delta | 0 | 10:45 | 15:15 | 450.00
SFO | IAH | Southwest | 1 (DEN) | 11:30 | 16:00 | 510.00
SFO | IAH | Alaska | 0 | 12:15 | 16:45 | 480.00
SFO | IAH | JetBlue | 1 (LAX) | 13:00 | 17:20 | 540.00
SFO | IAH | Spirit | 1 (LAS) | 14:30 | 18:50 | 620.00
SFO | IAH | Frontier | 0 | 15:15 | 19:45 | 500.00


Here are the 16 flight plans:

IAH | OAK | United | Non-stop | 08:00 | 10:35 | 245.00
IAH | OAK | American | 1 stop (DFW) | 09:15 | 12:50 | 290.00
IAH | OAK | Delta | Non-stop | 10:45 | 13:20 | 270.00
IAH | OAK | Southwest | 1 stop (PHX) | 11:30 | 15:05 | 320.00
IAH | OAK | Alaska | Non-stop | 12:15 | 14:50 | 250.00
IAH | OAK | JetBlue | 1 stop (LAX) | 13:00 | 16:35 | 300.00
IAH | OAK | Spirit | 1 stop (LAS) | 14:45 | 18:20 | 280.00
IAH | OAK | Frontier | Non-stop | 15:30 | 18:05 | 230.00
OAK | IAH | United | Non-stop | 06:00 | 11:40 | 220.00
OAK | IAH | American | 1 stop (SFO) | 07:15 | 12:55 | 260.00
OAK | IAH | Delta | Non-stop | 08:45 | 14:25 | 240.00
OAK | IAH | Southwest | 1 stop (SAN) | 09:30 | 15:10 | 310.00
OAK | IAH | Alaska | Non-stop | 10:15 | 15:55 | 210.00
OAK | IAH | JetBlue | 1 stop (DEN) | 11:00 | 16:40 | 290.00
OAK | IAH | Spirit | 1 stop (ORD) | 12:45 | 18:25 | 250.00
OAK | IAH | Frontier | Non-stop | 13:30 | 19:05 | 200.00
OAK | IAH | Hawaiian | 1 stop (LAX) | 14:15 | 20:50 | 330.00


Here are the 16 flight plans:

IAH | SMF | United | Non-stop | 08:00 | 10:30 | 250.00
IAH | SMF | American | 1 stop (DFW) | 09:15 | 12:45 | 270.00
IAH | SMF | Delta | Non-stop | 10:30 | 13:00 | 220.00
IAH | SMF | Southwest | 1 stop (DEN) | 11:45 | 15:15 | 300.00
IAH | SMF | Alaska | Non-stop | 13:00 | 15:30 | 240.00
IAH | SMF | JetBlue | 1 stop (LAX) | 14:15 | 17:45 | 280.00
IAH | SMF | Spirit | Non-stop | 15:30 | 18:00 | 210.00
IAH | SMF | Frontier | 1 stop (PHX) | 16:45 | 20:15 | 290.00
SMF | IAH | United | Non-stop | 08:00 | 12:30 | 260.00
SMF | IAH | American | 1 stop (ORD) | 09:15 | 14:45 | 310.00
SMF | IAH | Delta | Non-stop | 10:30 | 14:00 | 230.00
SMF | IAH | Southwest | 1 stop (SJC) | 11:45 | 16:15 | 330.00
SMF | IAH | Alaska | Non-stop | 13:00 | 16:30 | 250.00
SMF | IAH | JetBlue | 1 stop (SAN) | 14:15 | 18:45 | 320.00
SMF | IAH | Spirit | Non-stop | 15:30 | 19:00 | 220.00
SMF | IAH | Frontier | 1 stop (LAS) | 16:45 | 21:15 | 340.00


Here are the 16 flight plans:

IAH | SAF | United | 1 (DEN) | 08:00 | 10:35 | 450.00
IAH | SAF | American | 0 | 10:30 | 12:55 | 520.00
IAH | SAF | Delta | 1 (ATL) | 12:15 | 15:05 | 480.00
IAH | SAF | Southwest | 0 | 14:00 | 16:25 | 500.00
IAH | SAF | United | 1 (IAH) | 16:30 | 19:10 | 460.00
IAH | SAF | Alaska | 1 (SEA) | 18:45 | 21:35 | 490.00
IAH | SAF | Frontier | 0 | 20:00 | 22:25 | 510.00
IAH | SAF | JetBlue | 1 (LAX) | 21:15 | 23:55 | 470.00
SAF | IAH | United | 1 (DEN) | 06:00 | 08:35 | 440.00
SAF | IAH | American | 0 | 08:30 | 10:55 | 510.00
SAF | IAH | Delta | 1 (ATL) | 10:15 | 13:05 | 490.00
SAF | IAH | Southwest | 0 | 12:00 | 14:25 | 500.00
SAF | IAH | United | 1 (IAH) | 14:30 | 17:10 | 470.00
SAF | IAH | Alaska | 1 (SEA) | 16:45 | 19:35 | 480.00
SAF | IAH | Frontier | 0 | 18:00 | 20:25 | 520.00
SAF | IAH | JetBlue | 1 (LAX) | 20:15 | 22:55 | 450.00


Here are the 16 flight plans:

IAH | ABQ | United | Non-stop | 08:00 | 09:35 | 198.00
IAH | ABQ | American | 1 stop (DFW) | 09:15 | 12:10 | 220.00
IAH | ABQ | Delta | Non-stop | 11:00 | 12:30 | 240.00
IAH | ABQ | Southwest | 1 stop (HOU) | 12:30 | 15:20 | 200.00
IAH | ABQ | Frontier | Non-stop | 14:00 | 15:35 | 180.00
IAH | ABQ | Spirit | 1 stop (DAL) | 15:45 | 18:40 | 210.00
IAH | ABQ | JetBlue | Non-stop | 17:00 | 18:30 | 230.00
IAH | ABQ | Alaska | 1 stop (SAN) | 19:15 | 22:10 | 250.00

ABQ | IAH | United | Non-stop | 06:00 | 07:35 | 190.00
ABQ | IAH | American | 1 stop (PHX) | 07:15 | 10:10 | 210.00
ABQ | IAH | Delta | Non-stop | 09:00 | 10:30 | 220.00
ABQ | IAH | Southwest | 1 stop (ELP) | 11:30 | 14:20 | 200.00
ABQ | IAH | Frontier | Non-stop | 13:00 | 14:35 | 170.00
ABQ | IAH | Spirit | 1 stop (AUS) | 15:45 | 18:40 | 230.00
ABQ | IAH | JetBlue | Non-stop | 17:00 | 18:30 | 240.00
ABQ | IAH | Alaska | 1 stop (LAX) | 19:15 | 22:10 | 260.00


Here are the 16 flight plans:

IAH | SAV | UA | 0 | 08:00 | 11:15 | 278.00
IAH | SAV | AA | 1 (CLT) | 09:30 | 13:45 | 298.00
IAH | SAV | DL | 0 | 10:45 | 14:00 | 268.00
IAH | SAV | WN | 1 (HOU) | 11:15 | 15:30 | 238.00
IAH | SAV | F9 | 0 | 12:00 | 15:15 | 248.00
IAH | SAV | NK | 1 (MSY) | 13:30 | 17:45 | 288.00
IAH | SAV | B6 | 0 | 14:45 | 18:00 | 258.00
IAH | SAV | SY | 1 (ATL) | 15:15 | 19:30 | 308.00

SAV | IAH | UA | 0 | 08:00 | 09:30 | 278.00
SAV | IAH | AA | 1 (CLT) | 09:30 | 12:45 | 298.00
SAV | IAH | DL | 0 | 10:45 | 12:00 | 268.00
SAV | IAH | WN | 1 (HOU) | 11:15 | 14:30 | 238.00
SAV | IAH | F9 | 0 | 12:00 | 13:15 | 248.00
SAV | IAH | NK | 1 (MSY) | 13:30 | 16:45 | 288.00
SAV | IAH | B6 | 0 | 14:45 | 16:00 | 258.00
SAV | IAH | SY | 1 (ATL) | 15:15 | 18:30 | 308.00


Here are the 16 flight plans:

IAH | JAX | United | 0 | 08:00 | 11:15 | 278.00
IAH | JAX | American | 1 (DFW) | 09:30 | 13:45 | 298.00
IAH | JAX | Delta | 0 | 10:45 | 14:00 | 258.00
IAH | JAX | Southwest | 1 (HOU) | 12:15 | 16:30 | 288.00
