

Here are the 16 flight plans:

BOS | SEA | AA | 1 (ORD) | 06:00 | 11:30 | 450.00
LAS | BOS | WN | 0 | 09:00 | 16:15 | 390.00
LAS | BOS | DL | 1 (MSP) | 10:30 | 18:50 | 510.00
LAS | BOS | B6 | 0 | 12:00 | 19:15 | 410.00
LAS | BOS | AS | 1 (PDX) | 13:30 | 21:55 | 490.00
LAS | BOS | F9 | 0 | 15:00 | 22:15 | 360.00
LAS | BOS | NK | 1 (IAH) | 16:30 | 00:50 | 470.00


Here are the 16 flight plans:

BOS | TYS | American Airlines | 0 | 08:00 | 11:15 | 250.00
BOS | TYS | Delta Air Lines | 1 (ATL) | 09:30 | 13:45 | 320.00
BOS | TYS | United Airlines | 0 | 11:00 | 14:15 | 280.00
BOS | TYS | JetBlue Airways | 1 (JFK) | 12:30 | 16:45 | 300.00
BOS | TYS | Spirit Airlines | 0 | 14:00 | 17:15 | 220.00
BOS | TYS | Frontier Airlines | 1 (ORD) | 15:30 | 19:45 | 350.00
BOS | TYS | Southwest Airlines | 0 | 17:00 | 20:15 | 260.00
BOS | TYS | Alaska Airlines | 1 (DEN) | 18:30 | 22:45 | 380.00
TYS | BOS | American Airlines | 0 | 08:00 | 11:15 | 250.00
TYS | BOS | Delta Air Lines | 1 (CLT) | 09:30 | 13:45 | 320.00
TYS | BOS | United Airlines | 0 | 11:00 | 14:15 | 280.00
TYS | BOS | JetBlue Airways | 1 (MIA) | 12:30 | 16:45 | 300.00
TYS | BOS | Spirit Airlines | 0 | 14:00 | 17:15 | 220.00
TYS | BOS | Frontier Airlines | 1 (PHL) | 15:30 | 19:45 | 350.00
TYS | BOS | Southwest Airlines | 0 | 17:00 | 20:15 | 260.00
TYS | BOS | Alaska Airlines | 1 (SFO) | 18:30 | 22:45 | 380.00


Here are the 16 flight plans:

BOS | AVL | AA | 1 (CLT) | 08:00 | 11:35 | 248.50
BOS | AVL | DL | 1 (ATL) | 09:30 | 13:10 | 275.00
BOS | AVL | UA | 1 (EWR) | 10:15 | 14:00 | 290.00
BOS | AVL | WN | 1 (BWI) | 11:00 | 14:45 | 220.00
BOS | AVL | B6 | 1 (FLL) | 12:30 | 16:15 | 240.00
BOS | AVL | AA | 2 (CLT, RDU) | 13:45 | 17:30 | 320.00
BOS | AVL | DL | 2 (ATL, CHS) | 15:00 | 19:00 | 350.00
BOS | AVL | UA | 0 | 16:30 | 19:15 | 200.00
AVL | BOS | AA | 1 (CLT) | 08:00 | 11:35 | 248.50
AVL | BOS | DL | 1 (ATL) | 09:30 | 13:10 | 275.00
AVL | BOS | UA | 1 (EWR) | 10:15 | 14:00 | 290.00
AVL | BOS | WN | 1 (BWI) | 11:00 | 14:45 | 220.00
AVL | BOS | B6 | 1 (FLL) | 12:30 | 16:15 | 240.00
AVL | BOS | AA | 2 (CLT, RDU) | 13:45 | 17:30 | 320.00
AVL | BOS | DL | 2 (ATL, CHS) | 15:00 | 19:00 | 350.00
AVL | BOS | UA | 0 | 16:30 | 19:15 | 200.00
AVL | BOS | WN | 0 | 18:00 | 21:00 | 180.00


Here are the 16 flight plans:

BOS | JAC | AA | 0 | 06:00 | 10:30 | 450.00
BOS | JAC | UA | 1 (DEN) | 08:30 | 14:45 | 520.00
BOS | JAC | DL | 0 | 10:00 | 14:30 | 480.00
BOS | JAC | WN | 1 (MDW) | 12:30 | 18:15 | 550.00
BOS | JAC | AS | 0 | 14:00 | 18:30 | 500.00
BOS | JAC | F9 | 1 (DEN) | 16:00 | 21:45 | 580.00
BOS | JAC | B6 | 0 | 18:00 | 22:30 | 530.00
BOS | JAC | SY | 1 (MSP) | 20:00 | 02:15 | 610.00

JAC | BOS | AA | 0 | 06:00 | 12:30 | 420.00
JAC | BOS | UA | 1 (SFO) | 08:30 | 16:45 | 540.00
JAC | BOS | DL | 0 | 10:00 | 14:30 | 460.00
JAC | BOS | WN | 1 (LAS) | 12:30 | 19:15 | 590.00
JAC | BOS | AS | 0 | 14:00 | 18:30 | 510.00
JAC | BOS | F9 | 1 (DEN) | 16:00 | 22:45 | 620.00
JAC | BOS | B6 | 0 | 18:00 | 22:30 | 560.00
JAC | BOS | SY | 1 (MKE) | 20:00 | 02:15 | 650.00


Here are the 16 flight plans:

BOS | EYW | AA | 0 | 06:00 | 10:35 | 245.00
BOS | EYW | DL | 1 (ATL) | 07:30 | 12:50 | 320.00
BOS | EYW | UA | 0 | 08:15 | 12:40 | 280.00
BOS | EYW | WN | 1 (FLL) | 09:00 | 14:20 | 290.00
BOS | EYW | B6 | 0 | 10:00 | 14:25 | 260.00
BOS | EYW | AS | 1 (MIA) | 11:30 | 16:00 | 310.00
BOS | EYW | F9 | 1 (TPA) | 12:45 | 17:10 | 330.00
BOS | EYW | NK | 0 | 14:00 | 18:25 | 240.00
EYW | BOS | AA | 0 | 06:30 | 10:05 | 230.00
EYW | BOS | DL | 1 (ATL) | 07:45 | 12:15 | 300.00
EYW | BOS | UA | 0 | 09:00 | 13:25 | 250.00
EYW | BOS | WN | 1 (FLL) | 10:30 | 15:50 | 270.00
EYW | BOS | B6 | 0 | 11:45 | 16:10 | 220.00
EYW | BOS | AS | 1 (MIA) | 13:00 | 17:35 | 290.00
EYW | BOS | F9 | 1 (TPA) | 14:15 | 18:40 | 350.00
EYW | BOS | NK | 0 | 15:30 | 20:00 | 210.00


Here are the 16 flight plans:

BOS | RNO | AA | 1 (DFW) | 08:00 | 12:45 | 542.50
BOS | RNO | UA | 2 (EWR, SFO) | 09:30 | 16:15 | 623.00
BOS | RNO | DL | 0 | 11:00 | 15:30 | 498.00
BOS | RNO | WN | 1 (DEN) | 12:15 | 17:00 | 568.50
BOS | RNO | AS | 2 (PDX, SEA) | 13:45 | 20:30 | 698.00
BOS | RNO | B6 | 1 (LAX) | 14:30 | 19:15 | 538.00
BOS | RNO | F9 | 1 (ORD) | 15:45 | 21:30 | 488.50
BOS | RNO | NK | 2 (MCO, PHX) | 17:00 | 23:45 | 648.00
RNO | BOS | AA | 1 (DFW) | 08:00 | 16:45 | 542.50
RNO | BOS | UA | 2 (SFO, EWR) | 09:30 | 18:15 | 623.00
RNO | BOS | DL | 0 | 11:00 | 19:30 | 498.00
RNO | BOS | WN | 1 (DEN) | 12:15 | 20:00 | 568.50
RNO | BOS | AS | 2 (SEA, PDX) | 13:45 | 22:30 | 698.00
RNO | BOS | B6 | 1 (LAX) | 14:30 | 21:15 | 538.00
RNO | BOS | F9 | 1 (ORD) | 15:45 | 23:30 | 488.50
RNO | BOS | NK | 2 (PHX, MCO) | 17:00 | 01:45 | 648.00


Here are the 16 flight plans:

BOS | TVL | AA | 0 | 06:00 | 09:35 | 425.00
BOS | TVL | UA | 1 (DEN) | 08:30 | 12:10 | 550.00
BOS | TVL | DL | 0 | 10:45 | 14:20 | 475.00
BOS | TVL | WN | 1 (MDW) | 12:15 | 16:50 | 520.00
BOS | TVL | AS | 0 | 14:00 | 17:35 | 450.00
BOS | TVL | B6 | 1 (JFK) | 15:30 | 19:55 | 600.00
BOS | TVL | F9 | 1 (DEN) | 17:00 | 21:30 | 580.00
BOS | TVL | NK | 0 | 19:15 | 22:50 | 500.00
TVL | BOS | AA | 0 | 06:00 | 09:35 | 425.00
TVL | BOS | UA | 1 (SFO) | 08:30 | 12:10 | 570.00
TVL | BOS | DL | 0 | 10:45 | 14:20 | 490.00
TVL | BOS | WN | 1 (PHX) | 12:15 | 16:50 | 540.00
TVL | BOS | AS | 0 | 14:00 | 17:35 | 460.00
TVL | BOS | B6 | 1 (LAX) | 15:30 | 19:55 | 620.00
TVL | BOS | F9 | 1 (ORD) | 17:00 | 21:30 | 590.00
TVL | BOS | NK | 0 | 19:15 | 22:50 | 510.00


Here are the 16 flight plans:

BOS | MCD | AA | 0 | 06:00 | 09:30 | 240.00
BOS | MCD | UA | 1 (ORD) | 07:30 | 12:15 | 310.00
BOS | MCD | DL | 0 | 08:15 | 11:45 | 270.00
BOS | MCD | WN | 1 (MDW) | 09:00 | 14:30 | 290.00
BOS | MCD | AS | 0 | 10:30 | 14:00 | 250.00
BOS | MCD | F9 | 1 (DEN) | 11:45 | 16:15 | 330.00
BOS | MCD | NK | 0 | 12:50 | 16:20 | 280.00
BOS | MCD | B6 | 1 (JFK) | 14:00 | 18:30 | 300.00
MCD | BOS | AA | 0 | 06:30 | 10:00 | 230.00
MCD | BOS | UA | 1 (EWR) | 07:45 | 12:10 | 320.00
MCD | BOS | DL | 0 | 09:20 | 12:50 | 260.00
MCD | BOS | WN | 1 (BWI) | 10:30 | 15:00 | 280.00
MCD | BOS | AS | 0 | 11:45 | 15:15 | 240.00
MCD | BOS | F9 | 1 (ATL) | 12:50 | 17:20 | 350.00
MCD | BOS | NK | 0 | 14:10 | 17:40 | 290.00
MCD | BOS | B6 | 1 (PBI) | 15:20 | 19:50 | 310.00


Here are the 16 flight plans:

BOS | PLN | AA | 1 (DTW) | 06:00 | 10:45 | 425.00
BOS | PLN | UA | 1 (ORD) | 08:30 | 13:15 | 450.00
BOS | PLN | DL | 1 (ATL) | 10:45 | 15:30 | 475.00
BOS | PLN | WN | 1 (MDW) | 12:15 | 16:50 | 400.00
BOS | PLN | AS | 1 (SEA) | 14:00 | 18:45 | 525.00
BOS | PLN | B6 | 1 (JFK) | 16:30 | 21:15 | 500.00
BOS | PLN | F9 | 1 (DEN) | 18:45 | 23:30 | 475.00
BOS | PLN | NK | 1 (FLL) | 20:00 | 00:45 | 450.00
PLN | BOS | AA | 1 (DTW) | 06:00 | 10:45 | 425.00
PLN | BOS | UA | 1 (ORD) | 08:30 | 13:15 | 450.00
PLN | BOS | DL | 1 (ATL) | 10:45 | 15:30 | 475.00
PLN | BOS | WN | 1 (MDW) | 12:15 | 16:50 | 400.00
PLN | BOS | AS | 1 (SEA) | 14:00 | 18:45 | 525.00
PLN | BOS | B6 | 1 (JFK) | 16:30 | 21:15 | 500.00
PLN | BOS | F9 | 1 (DEN) | 18:45 | 23:30 | 475.00
PLN | BOS | NK | 1 (FLL) | 20:00 | 00:45 | 450.00


Here are the 16 flight plans:

BOS | OGG | American Airlines | Non-stop | 08:00 | 14:30 | 850.00
BOS | OGG | Delta Air Lines | 1 stop (LAX) | 09:15 | 16:45 | 720.00
BOS | OGG | United Airlines | 2 stops (SFO, LAX) | 10:30 | 18:15 | 950.00
BOS | OGG | Hawaiian Airlines | Non-stop | 11:45 | 17:15 | 900.00
BOS | OGG | Alaska Airlines | 1 stop (SEA) | 12:50 | 19:20 | 780.00
BOS | OGG | JetBlue Airways | 2 stops (JFK, LAX) | 14:05 | 20:30 | 820.00
BOS | OGG | Spirit Airlines | 1 stop (ORD) | 15:20 | 21:45 | 690.00
BOS | OGG | Southwest Airlines | 2 stops (BWI, LAX) | 16:35 | 22:55 | 850.00

OGG | BOS | American Airlines | Non-stop | 08:30 | 18:00 | 900.00
OGG | BOS | Delta Air Lines | 1 stop (LAX) | 09:45 | 19:15 | 780.00
OGG | BOS | United Airlines | 2 stops (SFO, DEN) | 11:00 | 20:30 | 950.00
OGG | BOS | Hawaiian Airlines | Non-stop | 12:15 | 21:45 | 920.00
OGG | BOS | Alaska Airlines | 1 stop (PDX) | 13:30 | 22:55 | 810.00
OGG | BOS | JetBlue Airways | 2 stops (JFK, MIA) | 14:45 | 23:59 | 890.00
OGG | BOS | Spirit Airlines | 1 stop (ORD) | 15:50 | 00:20 | 750.00
OGG | BOS | Southwest Airlines | 2 stops (PHX, BWI) | 17:05 | 01:30 | 920.00


Here are the 16 flight plans:

BOS | RAP | AA | 0 | 08:00 | 10:30 | 250.00
BOS | RAP | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
BOS | RAP | DL | 0 | 10:45 | 13:15 | 280.00
BOS | RAP | WN | 1 (MDW) | 11:30 | 15:00 | 350.00
BOS | RAP | AS | 0 | 12:15 | 14:45 | 300.00
BOS | RAP | F9 | 1 (ORD) | 13:00 | 16:30 | 380.00
BOS | RAP | B6 | 0 | 14:30 | 17:00 | 330.00
BOS | RAP | NK | 1 (DFW) | 15:15 | 18:45 | 410.00

RAP | BOS | AA | 0 | 06:00 | 10:30 | 240.00
RAP | BOS | UA | 1 (IAH) | 07:15 | 12:45 | 310.00
RAP | BOS | DL | 0 | 08:45 | 12:15 | 260.00
RAP | BOS | WN | 1 (DEN) | 09:30 | 14:00 | 340.00
RAP | BOS | AS | 0 | 10:15 | 13:45 | 290.00
RAP | BOS | F9 | 1 (MCO) | 11:00 | 15:30 | 370.00
RAP | BOS | B6 | 0 | 12:30 | 15:00 | 320.00
RAP | BOS | NK | 1 (LAS) | 13:15 | 17:45 | 400.00


Here are the 16 flight plans:

BOS | MYR | American Airlines | Non-stop | 06:00 | 09:15 | 278.00
BOS | MYR | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:50 | 325.00
BOS | MYR | United Airlines | Non-stop | 10:45 | 14:00 | 298.00
BOS | MYR | JetBlue Airways | 1 stop (FLL) | 12:00 | 16:20 | 355.00
BOS | MYR | Spirit Airlines | 1 stop (EWR) | 14:15 | 18:35 | 288.00
BOS | MYR | Frontier Airlines | Non-stop | 16:30 | 19:45 | 268.00
BOS | MYR | Southwest Airlines | 1 stop (BWI) | 18:00 | 22:15 | 318.00
BOS | MYR | Alaska Airlines | 1 stop (ORD) | 20:45 | 01:00 | 338.00

MYR | BOS | American Airlines | Non-stop | 06:30 | 09:45 | 298.00
MYR | BOS | Delta Air Lines | 1 stop (CLT) | 08:00 | 12:20 | 348.00
MYR | BOS | United Airlines | Non-stop | 10:00 | 13:15 | 318.00
MYR | BOS | JetBlue Airways | 1 stop (MCO) | 11:30 | 15:50 | 368.00
MYR | BOS | Spirit Airlines | 1 stop (LGA) | 13:45 | 17:05 | 308.00
MYR | BOS | Frontier Airlines | Non-stop | 15:15 | 18:30 | 288.00
MYR | BOS | Southwest Airlines | 1 stop (PIT) | 16:45 | 20:10 | 328.00
MYR | BOS | Alaska Airlines | 1 stop (DEN) | 19:00 | 22:25 | 358.00


Here are the 16 flight plans:

BOS | SFO | AA | 0 | 08:00 | 11:30 | 450.00
BOS | SFO | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
BOS | SFO | DL | 0 | 10:30 | 14:00 | 480.00
BOS | SFO | WN | 1 (MDW) | 11:45 | 16:15 | 550.00
BOS | SFO | AS | 0 | 13:00 | 16:30 | 500.00
BOS | SFO | B6 | 1 (JFK) | 14:15 | 18:45 | 580.00
BOS | SFO | F9 | 1 (DEN) | 15:30 | 19:55 | 600.00
BOS | SFO | NK | 1 (ORD) | 16:45 | 21:10 | 620.00
SFO | BOS | AA | 0 | 08:00 | 16:30 | 470.00
SFO | BOS | UA | 1 (IAH) | 09:15 | 17:45 | 540.00
SFO | BOS | DL | 0 | 10:30 | 18:00 | 510.00
SFO | BOS | WN | 1 (PHX) | 11:45 | 20:15 | 570.00
SFO | BOS | AS | 0 | 13:00 | 20:30 | 530.00
SFO | BOS | B6 | 1 (LAX) | 14:15 | 22:45 | 590.00
SFO | BOS | F9 | 1 (ORD) | 15:30 | 23:55 | 610.00
SFO | BOS | NK | 1 (DEN) | 16:45 | 01:10 | 630.00


Here are the 16 flight plans:

BOS | OAK | AA | 0 | 06:00 | 11:30 | 450.00
BOS | OAK | UA | 1 (SFO) | 08:30 | 14:15 | 520.00
BOS | OAK | DL | 0 | 10:00 | 15:30 | 480.00
BOS | OAK | WN | 1 (DEN) | 12:00 | 18:45 | 550.00
BOS | OAK | AS | 0 | 14:30 | 20:00 | 500.00
BOS | OAK | F9 | 1 (LAS) | 16:00 | 22:30 | 580.00
BOS | OAK | B6 | 0 | 18:30 | 00:15 | 530.00
BOS | OAK | NK | 1 (ORD) | 20:00 | 02:45 | 610.00

OAK | BOS | AA | 0 | 06:30 | 15:15 | 420.00
OAK | BOS | UA | 1 (LAX) | 08:00 | 17:30 | 490.00
OAK | BOS | DL | 0 | 10:30 | 18:45 | 450.00
OAK | BOS | WN | 1 (PHX) | 12:30 | 21:15 | 520.00
OAK | BOS | AS | 0 | 14:00 | 22:30 | 470.00
OAK | BOS | F9 | 1 (MCO) | 16:30 | 01:15 | 560.00
OAK | BOS | B6 | 0 | 18:00 | 02:45 | 500.00
OAK | BOS | NK | 1 (DFW) | 20:30 | 05:15 | 630.00


Here are the 16 flight plans:

BOS | SMF | AA | 0 | 08:00 | 11:30 | 450.00
BOS | SMF | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
BOS | SMF | DL | 0 | 10:30 | 14:00 | 480.00
BOS | SMF | WN | 1 (MDW) | 11:45 | 16:15 | 550.00
BOS | SMF | AS | 0 | 13:00 | 16:30 | 500.00
BOS | SMF | F9 | 1 (LAS) | 14:15 | 18:45 | 580.00
BOS | SMF | NK | 1 (ORD) | 15:30 | 20:00 | 610.00
BOS | SMF | B6 | 0 | 17:00 | 20:30 | 530.00
SMF | BOS | AA | 0 | 08:00 | 16:30 | 470.00
SMF | BOS | UA | 1 (SFO) | 09:15 | 18:45 | 540.00
SMF | BOS | DL | 0 | 10:30 | 19:00 | 510.00
SMF | BOS | WN | 1 (PHX) | 11:45 | 21:15 | 590.00
SMF | BOS | AS | 0 | 13:00 | 21:30 | 520.00
SMF | BOS | F9 | 1 (DEN) | 14:15 | 23:45 | 620.00
SMF | BOS | NK | 1 (ORD) | 15:30 | 01:00 | 650.00
SMF | BOS | B6 | 0 | 17:00 | 02:30 | 560.00


Here are the 16 flight plans:

BOS | SAF | AA | 0 | 08:00 | 11:35 | 420.00
BOS | SAF | UA | 1 (DEN) | 09:30 | 13:15 | 480.00
BOS | SAF | WN | 0 | 10:15 | 13:50 | 450.00
BOS | SAF | DL | 1 (ATL) | 11:00 | 15:30 | 520.00
BOS | SAF | AS | 0 | 12:00 | 15:25 | 400.00
BOS | SAF | F9 | 1 (ORD) | 13:30 | 17:05 | 500.00
BOS | SAF | B6 | 0 | 14:15 | 17:40 | 430.00
BOS | SAF | NK | 1 (DFW) | 15:00 | 18:35 | 550.00
SAF | BOS | AA | 0 | 08:00 | 14:35 | 440.00
SAF | BOS | UA | 1 (IAH) | 09:30 | 16:15 | 510.00
SAF | BOS | WN | 0 | 10:15 | 16:50 | 470.00
SAF | BOS | DL | 1 (MSP) | 11:00 | 18:30 | 540.00
SAF | BOS | AS | 0 | 12:00 | 18:25 | 420.00
SAF | BOS | F9 | 1 (DEN) | 13:30 | 20:05 | 530.00
SAF | BOS | B6 | 0 | 14:15 | 20:40 | 450.00
SAF | BOS | NK | 1 (ORD) | 15:00 | 21:35 | 570.00


BOS | ABQ | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
BOS | ABQ | Delta Air Lines | 1 stop (DEN) | 09:15 | 13:45 | 495.00
BOS | ABQ | United Airlines | 1 stop (ORD) | 10:30 | 15:00 | 525.00
BOS | ABQ | JetBlue Airways | Non-stop | 11:45 | 15:15 | 450.00
BOS | ABQ | Spirit Airlines | 1 stop (DFW) | 12:00 | 16:30 | 375.00
BOS | ABQ | Alaska Airlines | 1 stop (SFO) | 13:15 | 17:45 | 550.00
BOS | ABQ | Frontier Airlines | 1 stop (MIA) | 14:30 | 19:00 | 400.00
BOS | ABQ | Southwest Airlines | Non-stop | 15:45 | 19:15 | 480.00
ABQ | BOS | American Airlines | Non-stop | 08:00 | 14:30 | 450.00
ABQ | BOS | Delta Air Lines | 1 stop (ATL) | 09:15 | 16:45 | 520.00
ABQ | BOS | United Airlines | 1 stop (IAH) | 10:30 | 18:00 | 545.00
ABQ | BOS | JetBlue Airways | Non-stop | 11:45 | 19:15 | 475.00
ABQ | BOS | Spirit Airlines | 1 stop (BWI) | 12:00 | 20:30 | 395.00
ABQ | BOS | Alaska Airlines | 1 stop (LAX) | 13:15 | 21:45 | 565.00
ABQ | BOS | Frontier Airlines | 1 stop (ORD) | 14:30 | 22:00 | 420.00
ABQ | BOS | Southwest Airlines | Non-stop | 15:45 | 22:15 | 490.00


Here are the 16 flight plans:

BOS | SAV | AA | 0 | 06:00 | 09:15 | 215.00
BOS | SAV | DL | 1 (ATL) | 07:30 | 11:45 | 275.00
BOS | SAV | UA | 0 | 08:15 | 11:30 | 240.00
BOS | SAV | WN | 1 (BWI) | 09:00 | 13:15 | 290.00
BOS | SAV | AS | 0 | 10:30 | 13:45 | 260.00
BOS | SAV | F9 | 1 (MCO) | 11:45 | 15:00 | 310.00
BOS | SAV | NK | 0 | 13:00 | 16:15 | 230.00
BOS | SAV | B6 | 1 (JFK) | 14:30 | 17:45 | 330.00

SAV | BOS | AA | 0 | 06:00 | 08:15 | 200.00
SAV | BOS | DL | 1 (CLT) | 07:30 | 10:45 | 260.00
SAV | BOS | UA | 0 | 08:15 | 11:30 | 220.00
SAV | BOS | WN | 1 (PBI) | 09:00 | 12:15 | 280.00
SAV | BOS | AS | 0 | 10:30 | 13:45 | 240.00
SAV | BOS | F9 | 1 (TPA) | 11:45 | 14:00 | 300.00
SAV | BOS | NK | 0 | 13:00 | 15:15 | 210.00
SAV | BOS | B6 | 1 (MIA) | 14:30 | 16:45 | 320.00


Here are the 16 flight plans:

BOS | JAX | AA | 0 | 06:00 | 09:35 | 178.00
BOS | JAX | DL | 1 (ATL) | 08:15 | 12:50 | 220.00
BOS | JAX | UA | 0 | 10:30 | 14:05 | 198.00
BOS | JAX | WN | 1 (BWI) | 12:00 | 16:25 | 240.00
BOS | JAX | B6 | 0 | 14:45 | 18:20 | 210.00
BOS | JAX | AS | 1 (CLT) | 16:15 | 20:40 | 260.00
BOS | JAX | F9 | 0 | 18:30 | 22:05 | 180.00
BOS | JAX | NK | 1 (PIT) | 20:00 | 23:35 | 280.00
JAX | BOS | AA | 0 | 06:30 | 09:05 | 190.00
JAX | BOS | DL | 1 (ATL) | 08:45 | 12:20 | 230.00
JAX | BOS | UA | 0 | 11:00 | 14:35 | 210.00
JAX | BOS | WN | 1 (BWI) | 12:30 | 16:05 | 250.00
JAX | BOS | B6 | 0 | 15:15 | 18:50 | 220.00
JAX | BOS | AS | 1 (CLT) | 16:45 | 20:20 | 270.00
JAX | BOS | F9 | 0 | 18:50 | 22:25 | 200.00
JAX | BOS | NK | 1 (PIT) | 20:20 | 23:55 | 290.00


Here are the 16 flight plans:

BOS | SFB | American Airlines | Non-stop | 06:00 | 10:05 | 248.00
BOS | SFB | Delta Air Lines | 1 stop (ATL) | 07:30 | 12:20 | 298.00
BOS | SFB | United Airlines | Non-stop | 08:15 | 12:10 | 220.00
BOS | SFB | JetBlue Airways | 1 stop (FLL) | 09:00 | 14:05 | 280.00
BOS | SFB | Spirit Airlines | 1 stop (BWI) | 10:45 | 15:50 | 240.00
BOS | SFB | Alaska Airlines | Non-stop | 12:00 | 16:05 | 260.00
BOS | SFB | Frontier Airlines | 1 stop (TPA) | 13:30 | 18:20 | 230.00
BOS | SFB | Southwest Airlines | Non-stop | 15:15 | 19:10 | 250.00
SFB | BOS | American Airlines | Non-stop | 06:30 | 10:25 | 220.00
SFB | BOS | Delta Air Lines | 1 stop (CLT) | 07:45 | 12:35 | 290.00
SFB | BOS | United Airlines | Non-stop | 09:00 | 13:05 | 240.00
SFB | BOS | JetBlue Airways | 1 stop (JFK) | 10:30 | 15:25 | 270.00
SFB | BOS | Spirit Airlines | 1 stop (EWR) | 11:45 | 16:40 | 210.00
SFB | BOS | Alaska Airlines | Non-stop | 13:15 | 17:10 | 230.00
SFB | BOS | Frontier Airlines | 1 stop (PBI) | 14:45 | 19:35 | 200.00
SFB | BOS | Southwest Airlines | Non-stop | 16:00 | 20:05 | 260.00


Here are the 16 flight plans:

BOS | MTJ | American Airlines | Non-stop | 06:00 | 08:30 | 250.00
BOS | MTJ | Delta Air Lines | 1 stop (DEN) | 08:15 | 12:45 | 320.00
BOS | MTJ | United Airlines | Non-stop | 10:30 | 13:00 | 280.00
BOS | MTJ | JetBlue Airways | 1 stop (ORD) | 12:00 | 16:30 | 350.00
BOS | MTJ | Spirit Airlines | 1 stop (DFW) | 14:45 | 19:15 | 290.00
BOS | MTJ | Alaska Airlines | Non-stop | 16:00 | 18:30 | 260.00
BOS | MTJ | Southwest Airlines | 1 stop (MDW) | 18:30 | 22:45 | 330.00
BOS | MTJ | Frontier Airlines | 1 stop (IAH) | 20:15 | 00:45 | 310.00

MTJ | BOS | American Airlines | Non-stop | 07:00 | 09:30 | 240.00
MTJ | BOS | Delta Air Lines | 1 stop (ATL) | 09:30 | 14:00 | 300.00
MTJ | BOS | United Airlines | Non-stop | 11:45 | 14:15 | 270.00
MTJ | BOS | JetBlue Airways | 1 stop (JFK) | 13:15 | 17:30 | 340.00
MTJ | BOS | Spirit Airlines | 1 stop (LAX) | 15:00 | 20:30 | 360.00
MTJ | BOS | Alaska Airlines | Non-stop | 17:00 | 19:30 | 250.00
MTJ | BOS | Southwest Airlines | 1 stop (BWI) | 19:30 | 23:45 | 320.00
MTJ | BOS | Frontier Airlines | 1 stop (MCO) | 21:45 | 02:15 | 290.00


BOS | DRO | AA | 0 | 06:00 | 09:35 | 248.00
BOS | DRO | UA | 1 (ORD) | 07:15 | 11:20 | 278.00
BOS | DRO | DL | 0 | 08:30 | 12:05 | 298.00
BOS | DRO | WN | 1 (MDW) | 09:45 | 13:50 | 238.00
BOS | DRO | AS | 0 | 11:00 | 14:35 | 268.00
BOS | DRO | B6 | 1 (JFK) | 12:15 | 16:20 | 288.00
BOS | DRO | F9 | 0 | 13:30 | 16:55 | 228.00
BOS | DRO | NK | 1 (EWR) | 14:45 | 18:50 | 258.00
DRO | BOS | AA | 0 | 06:00 | 09:35 | 248.00
DRO | BOS | UA | 1 (DEN) | 07:15 | 11:20 | 278.00
DRO | BOS | DL | 0 | 08:30 | 12:05 | 298.00
DRO | BOS | WN | 1 (STL) | 09:45 | 13:50 | 238.00
DRO | BOS | AS | 0 | 11:00 | 14:35 | 268.00
DRO | BOS | B6 | 1 (MCO) | 12:15 | 16:20 | 288.00
DRO | BOS | F9 | 0 | 13:30 | 16:55 | 228.00
DRO | BOS | NK | 1 (TPA) | 14:45 | 18:50 | 258.00


Here are the 16 flight plans:

BOS | BOZ | AA | 1 (ORD) | 08:00 | 14:30 | 542.00
BOS | BOZ | UA | 2 (EWR, IAD) | 09:30 | 18:15 | 623.00
BOS | BOZ | DL | 0 | 11:00 | 16:30 | 478.00
BOS | BOZ | WN | 1 (MDW) | 12:30 | 19:00 | 512.00
BOS | BOZ | AS | 2 (SEA, DEN) | 13:00 | 20:45 | 698.00
BOS | BOZ | F9 | 1 (DEN) | 14:30 | 21:15 | 438.00
BOS | BOZ | B6 | 0 | 15:00 | 20:30 | 492.00
BOS | BOZ | NK | 1 (FLL) | 16:30 | 23:00 | 562.00
BOZ | BOS | AA | 1 (DFW) | 08:00 | 14:30 | 528.00
BOZ | BOS | UA | 2 (SFO, EWR) | 09:30 | 18:15 | 643.00
BOZ | BOS | DL | 0 | 11:00 | 16:30 | 498.00
BOZ | BOS | WN | 1 (PHX) | 12:30 | 19:00 | 522.00
BOZ | BOS | AS | 2 (PDX, ORD) | 13:00 | 20:45 | 718.00
BOZ | BOS | F9 | 1 (DEN) | 14:30 | 21:15 | 458.00
BOZ | BOS | B6 | 0 | 15:00 | 20:30 | 502.00
BOZ | BOS | NK | 1 (MCO) | 16:30 | 23:00 | 582.00


Here are the 16 flight plans:

BOS | JAC | AA | 0 | 06:00 | 09:30 | 450.00
BOS | JAC | UA | 1 (DEN) | 08:30 | 12:15 | 520.00
BOS | JAC | DL | 0 | 10:00 | 13:30 | 480.00
BOS | JAC | WN | 1 (MDW) | 11:30 | 15:45 | 550.00
BOS | JAC | AS | 0 | 13:00 | 16:30 | 500.00
