

IAD | MIA | AA | 0 | 06:00 | 09:30 | 250.00
IAD | OGG | Alaska | 1 (SEA) | 16:20 | 00:50 | 1150.00
IAD | OGG | American | 2 (DFW, LAX) | 17:40 | 02:15 | 1250.00
IAD | OGG | Delta | 1 (ATL) | 19:10 | 03:40 | 1300.00
OGG | IAD | United | 0 | 08:30 | 18:00 | 850.00
OGG | IAD | American | 1 (LAX) | 09:50 | 20:25 | 920.00
OGG | IAD | Delta | 0 | 11:10 | 21:40 | 980.00
OGG | IAD | Hawaiian | 0 | 12:40 | 23:10 | 1050.00
OGG | IAD | United | 1 (SFO) | 14:00 | 00:35 | 1100.00
OGG | IAD | Alaska | 1 (SEA) | 15:30 | 02:05 | 1150.00
OGG | IAD | American | 2 (LAX, DFW) | 16:50 | 03:30 | 1250.00
OGG | IAD | Delta | 1 (ATL) | 18:20 | 05:00 | 1300.00


Here are the 16 flight plans:

IAD | RAP | UA | 0 | 06:00 | 08:35 | 450.00
IAD | RAP | AA | 1 (ORD) | 07:15 | 11:20 | 520.00
IAD | RAP | DL | 0 | 08:45 | 11:10 | 480.00
IAD | RAP | WN | 1 (DEN) | 09:30 | 13:45 | 550.00
IAD | RAP | UA | 1 (EWR) | 10:50 | 14:55 | 580.00
IAD | RAP | AA | 0 | 12:15 | 14:40 | 500.00
IAD | RAP | DL | 1 (ATL) | 13:45 | 18:00 | 620.00
IAD | RAP | WN | 0 | 15:00 | 17:25 | 530.00
RAP | IAD | UA | 0 | 06:30 | 09:05 | 420.00
RAP | IAD | AA | 1 (DFW) | 07:45 | 12:00 | 540.00
RAP | IAD | DL | 0 | 09:10 | 11:35 | 490.00
RAP | IAD | WN | 1 (PHX) | 10:25 | 14:40 | 570.00
RAP | IAD | UA | 1 (IAH) | 11:50 | 15:55 | 590.00
RAP | IAD | AA | 0 | 13:20 | 15:45 | 510.00
RAP | IAD | DL | 1 (MSP) | 14:45 | 18:50 | 640.00
RAP | IAD | WN | 0 | 16:00 | 18:25 | 550.00


Here are the 16 flight plans:

IAD | MYR | AA | 0 | 08:00 | 10:30 | 250.00
IAD | MYR | UA | 1 (CLT) | 09:30 | 12:45 | 320.00
IAD | MYR | DL | 0 | 11:00 | 13:30 | 280.00
IAD | MYR | WN | 1 (BWI) | 12:30 | 15:45 | 350.00
IAD | MYR | AA | 1 (PIT) | 14:00 | 17:15 | 300.00
IAD | MYR | UA | 0 | 15:30 | 18:00 | 260.00
IAD | MYR | DL | 1 (ATL) | 17:00 | 20:15 | 330.00
IAD | MYR | WN | 0 | 19:30 | 22:00 | 290.00
MYR | IAD | AA | 0 | 08:00 | 10:30 | 240.00
MYR | IAD | UA | 1 (CLT) | 09:30 | 12:45 | 310.00
MYR | IAD | DL | 0 | 11:00 | 13:30 | 270.00
MYR | IAD | WN | 1 (BWI) | 12:30 | 15:45 | 340.00
MYR | IAD | AA | 1 (PIT) | 14:00 | 17:15 | 290.00
MYR | IAD | UA | 0 | 15:30 | 18:00 | 250.00
MYR | IAD | DL | 1 (ATL) | 17:00 | 20:15 | 320.00
MYR | IAD | WN | 0 | 19:30 | 22:00 | 280.00


IAD | OAK | American Airlines | 0 | 08:00 | 11:30 | 450.00
IAD | OAK | Delta Air Lines | 1 (SFO) | 09:30 | 13:15 | 520.00
IAD | OAK | United Airlines | 0 | 10:00 | 13:45 | 480.00
IAD | OAK | Southwest Airlines | 1 (DEN) | 11:00 | 15:20 | 550.00
IAD | OAK | Alaska Airlines | 0 | 12:00 | 15:30 | 500.00
IAD | OAK | JetBlue Airways | 1 (LAX) | 13:00 | 16:45 | 580.00
IAD | OAK | Spirit Airlines | 0 | 14:00 | 17:20 | 420.00
IAD | OAK | Frontier Airlines | 1 (PHX) | 15:00 | 18:50 | 600.00
OAK | IAD | American Airlines | 0 | 08:00 | 15:30 | 480.00
OAK | IAD | Delta Air Lines | 1 (ATL) | 09:30 | 17:15 | 580.00
OAK | IAD | United Airlines | 0 | 10:00 | 16:45 | 500.00
OAK | IAD | Southwest Airlines | 1 (DAL) | 11:00 | 18:20 | 620.00
OAK | IAD | Alaska Airlines | 0 | 12:00 | 19:30 | 520.00
OAK | IAD | JetBlue Airways | 1 (JFK) | 13:00 | 20:45 | 650.00
OAK | IAD | Spirit Airlines | 0 | 14:00 | 21:20 | 440.00
OAK | IAD | Frontier Airlines | 1 (MIA) | 15:00 | 22:50 | 680.00


Here are the 16 flight plans:

IAD | SMF | UA | 1 (SFO) | 08:00 | 11:30 | 450.00
IAD | SMF | AA | 2 (ORD, DEN) | 09:30 | 14:15 | 520.00
IAD | SMF | DL | 0 | 10:00 | 13:00 | 380.00
IAD | SMF | WN | 1 (BWI) | 11:15 | 14:45 | 420.00
IAD | SMF | AS | 1 (SEA) | 12:30 | 15:50 | 490.00
IAD | SMF | F9 | 1 (DEN) | 13:45 | 17:00 | 350.00
IAD | SMF | B6 | 1 (JFK) | 14:50 | 18:10 | 410.00
IAD | SMF | NK | 1 (LAS) | 16:00 | 19:20 | 320.00
SMF | IAD | UA | 1 (SFO) | 08:30 | 16:00 | 480.00
SMF | IAD | AA | 2 (DEN, ORD) | 09:45 | 17:30 | 550.00
SMF | IAD | DL | 0 | 10:30 | 18:00 | 410.00
SMF | IAD | WN | 1 (PHX) | 11:50 | 19:10 | 440.00
SMF | IAD | AS | 1 (SEA) | 13:00 | 20:20 | 510.00
SMF | IAD | F9 | 1 (DEN) | 14:15 | 21:30 | 390.00
SMF | IAD | B6 | 1 (JFK) | 15:30 | 22:50 | 460.00
SMF | IAD | NK | 1 (LAS) | 16:45 | 00:05 | 330.00


Here are the 16 flight plans:

IAD | SAF | UA | 1 (DEN) | 08:00 | 11:45 | 542.00
IAD | SAF | AA | 0 | 10:30 | 13:15 | 480.00
IAD | SAF | DL | 1 (ATL) | 12:00 | 15:50 | 520.00
IAD | SAF | WN | 1 (MDW) | 14:30 | 18:20 | 498.00
IAD | SAF | UA | 0 | 16:00 | 19:00 | 510.00
IAD | SAF | F9 | 1 (DEN) | 18:30 | 22:15 | 460.00
IAD | SAF | DL | 1 (MSP) | 20:00 | 23:45 | 530.00
IAD | SAF | AA | 1 (ORD) | 21:30 | 01:20 | 500.00
SAF | IAD | UA | 1 (DEN) | 08:00 | 14:45 | 550.00
SAF | IAD | DL | 0 | 10:30 | 16:30 | 490.00
SAF | IAD | WN | 1 (HOU) | 12:00 | 18:50 | 480.00
SAF | IAD | AA | 1 (DFW) | 14:30 | 20:20 | 520.00
SAF | IAD | F9 | 1 (DEN) | 16:00 | 22:45 | 450.00
SAF | IAD | DL | 1 (ATL) | 18:30 | 01:15 | 540.00
SAF | IAD | UA | 0 | 20:00 | 23:55 | 500.00
SAF | IAD | WN | 1 (DAL) | 21:30 | 02:20 | 510.00


Here are the 16 flight plans:

IAD | ABQ | UA | Non-stop | 08:00 | 10:30 | 420.00
IAD | ABQ | AA | 1 stop (DFW) | 09:15 | 12:45 | 480.00
IAD | ABQ | WN | Non-stop | 10:30 | 13:00 | 450.00
IAD | ABQ | DL | 1 stop (ATL) | 11:45 | 15:15 | 510.00
IAD | ABQ | UA | 1 stop (ORD) | 13:00 | 16:30 | 490.00
IAD | ABQ | F9 | Non-stop | 14:15 | 16:45 | 380.00
IAD | ABQ | AA | 2 stops (DFW, DEN) | 15:30 | 19:00 | 550.00
IAD | ABQ | WN | 1 stop (BWI) | 17:00 | 20:30 | 520.00
ABQ | IAD | UA | Non-stop | 08:00 | 13:30 | 400.00
ABQ | IAD | AA | 1 stop (DFW) | 09:15 | 15:45 | 460.00
ABQ | IAD | WN | Non-stop | 10:30 | 16:00 | 430.00
ABQ | IAD | DL | 1 stop (ATL) | 11:45 | 17:15 | 500.00
ABQ | IAD | UA | 1 stop (ORD) | 13:00 | 18:30 | 480.00
ABQ | IAD | F9 | Non-stop | 14:15 | 18:45 | 410.00
ABQ | IAD | AA | 2 stops (DFW, DEN) | 15:30 | 21:00 | 580.00
ABQ | IAD | WN | 1 stop (BWI) | 17:00 | 22:30 | 540.00


Here are the 16 flight plans:

IAD | SAV | American Airlines | Non-stop | 06:00 | 08:15 | 198.00
IAD | SAV | Delta Air Lines | 1 stop (ATL) | 07:30 | 10:45 | 220.00
IAD | SAV | United Airlines | Non-stop | 09:00 | 11:15 | 240.00
IAD | SAV | JetBlue Airways | 1 stop (FLL) | 10:15 | 13:30 | 280.00
IAD | SAV | Spirit Airlines | 1 stop (MCO) | 11:45 | 15:00 | 200.00
IAD | SAV | Alaska Airlines | Non-stop | 12:30 | 14:45 | 260.00
IAD | SAV | Frontier Airlines | 1 stop (CLT) | 13:15 | 16:30 | 230.00
IAD | SAV | Southwest Airlines | Non-stop | 14:00 | 16:15 | 210.00
SAV | IAD | American Airlines | Non-stop | 06:00 | 07:45 | 190.00
SAV | IAD | Delta Air Lines | 1 stop (ATL) | 07:30 | 10:15 | 210.00
SAV | IAD | United Airlines | Non-stop | 09:00 | 10:45 | 230.00
SAV | IAD | JetBlue Airways | 1 stop (FLL) | 10:15 | 13:00 | 250.00
SAV | IAD | Spirit Airlines | 1 stop (MCO) | 11:45 | 14:30 | 220.00
SAV | IAD | Alaska Airlines | Non-stop | 12:30 | 14:15 | 240.00
SAV | IAD | Frontier Airlines | 1 stop (CLT) | 13:15 | 16:00 | 200.00
SAV | IAD | Southwest Airlines | Non-stop | 14:00 | 15:45 | 220.00
SAV | IAD | Hawaiian Airlines | 1 stop (MIA) | 15:00 | 18:15 | 280.00


Here are the 16 flight plans:

IAD | JAX | AA | Non-stop | 06:00 | 08:30 | 178.00
IAD | JAX | UA | 1 stop (CLT) | 07:15 | 11:20 | 220.50
IAD | JAX | DL | Non-stop | 08:45 | 11:10 | 198.00
IAD | JAX | WN | 1 stop (BWI) | 09:30 | 13:00 | 240.00
IAD | JAX | B6 | Non-stop | 11:00 | 13:25 | 210.00
IAD | JAX | F9 | 1 stop (ATL) | 12:15 | 16:20 | 280.50
IAD | JAX | NK | Non-stop | 13:45 | 16:10 | 230.00
IAD | JAX | SY | 1 stop (PIT) | 15:00 | 19:05 | 290.50
JAX | IAD | AA | Non-stop | 06:30 | 08:55 | 190.00
JAX | IAD | UA | 1 stop (EWR) | 07:45 | 11:50 | 250.50
JAX | IAD | DL | Non-stop | 09:15 | 11:40 | 220.00
JAX | IAD | WN | 1 stop (MDW) | 10:30 | 14:05 | 270.00
JAX | IAD | B6 | Non-stop | 11:45 | 14:10 | 240.00
JAX | IAD | F9 | 1 stop (MCO) | 13:00 | 16:55 | 300.50
JAX | IAD | NK | Non-stop | 14:30 | 16:55 | 260.00
JAX | IAD | SY | 1 stop (BNA) | 15:45 | 19:50 | 310.50


Here are the 16 flight plans:

IAD | SFB | AA | 0 | 08:00 | 11:05 | 250.00
IAD | SFB | UA | 1 (MIA) | 09:30 | 13:40 | 320.00
IAD | SFB | DL | 0 | 10:15 | 13:20 | 280.00
IAD | SFB | WN | 1 (BWI) | 11:45 | 15:55 | 350.00
IAD | SFB | F9 | 0 | 13:00 | 16:05 | 220.00
IAD | SFB | NK | 1 (PIT) | 14:30 | 18:40 | 380.00
IAD | SFB | B6 | 0 | 15:45 | 19:00 | 300.00
IAD | SFB | AS | 1 (CLT) | 17:15 | 21:25 | 420.00
SFB | IAD | AA | 0 | 08:30 | 11:35 | 270.00
SFB | IAD | UA | 1 (TPA) | 09:55 | 14:05 | 340.00
SFB | IAD | DL | 0 | 11:20 | 14:25 | 290.00
SFB | IAD | WN | 1 (JAX) | 12:45 | 16:55 | 360.00
SFB | IAD | F9 | 0 | 14:00 | 17:05 | 230.00
SFB | IAD | NK | 1 (RDU) | 15:30 | 19:40 | 400.00
SFB | IAD | B6 | 0 | 16:45 | 20:00 | 310.00
SFB | IAD | AS | 1 (ATL) | 18:15 | 22:25 | 440.00


Here are the 16 flight plans:

IAD | MTJ | UA | 0 | 08:00 | 10:35 | 250.00
IAD | MTJ | AA | 1 (ORD) | 09:15 | 12:40 | 320.00
IAD | MTJ | DL | 0 | 11:45 | 14:20 | 280.00
IAD | MTJ | WN | 1 (DEN) | 12:55 | 16:20 | 300.00
IAD | MTJ | F9 | 0 | 14:30 | 17:05 | 220.00
IAD | MTJ | UA | 1 (EWR) | 15:45 | 19:10 | 350.00
IAD | MTJ | AS | 0 | 17:00 | 19:35 | 260.00
IAD | MTJ | B6 | 1 (JFK) | 18:15 | 21:40 | 330.00
MTJ | IAD | UA | 0 | 06:00 | 08:35 | 230.00
MTJ | IAD | AA | 1 (DFW) | 07:15 | 10:40 | 290.00
MTJ | IAD | DL | 0 | 09:45 | 12:20 | 240.00
MTJ | IAD | WN | 1 (PHX) | 11:55 | 15:20 | 310.00
MTJ | IAD | F9 | 0 | 13:30 | 16:05 | 200.00
MTJ | IAD | UA | 1 (SFO) | 14:45 | 18:10 | 360.00
MTJ | IAD | AS | 0 | 16:00 | 18:35 | 270.00
MTJ | IAD | B6 | 1 (LAX) | 17:15 | 20:40 | 340.00


IAD | DRO | American Airlines | Non-stop | 06:00 | 08:35 | 278.50
IAD | DRO | United Airlines | 1 stop (DEN) | 07:15 | 11:20 | 312.00
IAD | DRO | Delta Air Lines | Non-stop | 09:45 | 12:10 | 289.00
IAD | DRO | Southwest Airlines | 1 stop (MDW) | 11:00 | 15:05 | 342.50
IAD | DRO | Alaska Airlines | 1 stop (SEA) | 12:30 | 17:25 | 359.00
IAD | DRO | JetBlue Airways | Non-stop | 14:15 | 16:40 | 299.50
IAD | DRO | Spirit Airlines | 1 stop (LAS) | 15:45 | 20:50 | 329.00
IAD | DRO | Frontier Airlines | 1 stop (ORD) | 17:00 | 21:55 | 349.50
DRO | IAD | American Airlines | Non-stop | 06:30 | 09:05 | 268.00
DRO | IAD | United Airlines | 1 stop (IAH) | 08:00 | 12:40 | 322.50
DRO | IAD | Delta Air Lines | Non-stop | 10:15 | 12:40 | 279.50
DRO | IAD | Southwest Airlines | 1 stop (STL) | 11:30 | 15:25 | 352.00
DRO | IAD | Alaska Airlines | 1 stop (SFO) | 13:00 | 17:45 | 369.50
DRO | IAD | JetBlue Airways | Non-stop | 14:45 | 17:10 | 309.00
DRO | IAD | Spirit Airlines | 1 stop (PHX) | 16:15 | 21:10 | 339.50
DRO | IAD | Frontier Airlines | 1 stop (MCO) | 17:30 | 22:25 | 359.00


Here are the 16 flight plans:

IAD | BOZ | UA | 0 | 08:00 | 12:30 | 542.50
IAD | BOZ | AA | 1 (ORD) | 09:30 | 14:45 | 621.00
IAD | BOZ | DL | 0 | 11:15 | 15:40 | 599.00
IAD | BOZ | WN | 1 (MDW) | 12:45 | 17:10 | 649.50
IAD | BOZ | AS | 0 | 14:00 | 18:25 | 579.00
IAD | BOZ | B6 | 1 (JFK) | 15:30 | 20:00 | 699.50
IAD | BOZ | F9 | 0 | 17:00 | 21:25 | 549.00
IAD | BOZ | NK | 1 (EWR) | 18:30 | 23:05 | 729.50
BOZ | IAD | UA | 0 | 08:30 | 12:55 | 572.50
BOZ | IAD | AA | 1 (DFW) | 09:45 | 14:10 | 651.00
BOZ | IAD | DL | 0 | 11:20 | 15:45 | 629.00
BOZ | IAD | WN | 1 (DEN) | 12:50 | 17:20 | 679.50
BOZ | IAD | AS | 0 | 14:10 | 18:35 | 609.00
BOZ | IAD | B6 | 1 (LAX) | 15:40 | 20:15 | 749.50
BOZ | IAD | F9 | 0 | 17:10 | 21:35 | 599.00
BOZ | IAD | NK | 1 (ORD) | 18:40 | 23:15 | 779.50


IAD | FAT | UA | 1 (DEN) | 08:00 | 11:15 | 450.00
IAD | FAT | AA | 0 | 09:30 | 12:45 | 520.00
IAD | FAT | DL | 1 (ATL) | 11:45 | 15:00 | 480.00
IAD | FAT | WN | 1 (BWI) | 13:15 | 16:30 | 400.00
IAD | FAT | AS | 1 (SEA) | 14:30 | 17:45 | 500.00
IAD | FAT | B6 | 1 (JFK) | 16:00 | 19:15 | 550.00
IAD | FAT | F9 | 1 (DEN) | 17:45 | 21:00 | 420.00
IAD | FAT | NK | 1 (ORD) | 19:15 | 22:30 | 380.00
FAT | IAD | UA | 1 (SFO) | 06:00 | 13:15 | 480.00
FAT | IAD | AA | 0 | 07:30 | 14:45 | 520.00
FAT | IAD | DL | 1 (LAX) | 09:45 | 16:00 | 500.00
FAT | IAD | WN | 1 (PHX) | 11:15 | 17:30 | 420.00
FAT | IAD | AS | 1 (PDX) | 12:45 | 19:00 | 550.00
FAT | IAD | B6 | 1 (LGA) | 14:15 | 20:30 | 580.00
FAT | IAD | F9 | 1 (DEN) | 15:45 | 22:00 | 440.00
FAT | IAD | NK | 1 (ORD) | 17:15 | 23:30 | 400.00


Here are the 16 flight plans:

IAD | SGU | American Airlines | Non-stop | 08:00 | 11:05 | 350.00
IAD | SGU | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 420.00
IAD | SGU | United Airlines | Non-stop | 10:45 | 13:50 | 380.00
IAD | SGU | Spirit Airlines | 1 stop (FLL) | 11:15 | 15:30 | 280.00
IAD | SGU | Alaska Airlines | 1 stop (SEA) | 12:00 | 16:15 | 450.00
IAD | SGU | JetBlue Airways | Non-stop | 13:30 | 16:35 | 320.00
IAD | SGU | Southwest Airlines | 1 stop (DAL) | 14:45 | 18:00 | 400.00
IAD | SGU | Frontier Airlines | 1 stop (DEN) | 16:00 | 19:15 | 300.00
SGU | IAD | American Airlines | Non-stop | 08:00 | 11:05 | 350.00
SGU | IAD | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 420.00
SGU | IAD | United Airlines | Non-stop | 10:45 | 13:50 | 380.00
SGU | IAD | Spirit Airlines | 1 stop (FLL) | 11:15 | 15:30 | 280.00
SGU | IAD | Alaska Airlines | 1 stop (SEA) | 12:00 | 16:15 | 450.00
SGU | IAD | JetBlue Airways | Non-stop | 13:30 | 16:35 | 320.00
SGU | IAD | Southwest Airlines | 1 stop (DAL) | 14:45 | 18:00 | 400.00
SGU | IAD | Frontier Airlines | 1 stop (DEN) | 16:00 | 19:15 | 300.00


IAD | AMS | UA | 0 | 08:00 | 18:30 | 450.00
IAD | AMS | KL | 1 (CDG) | 09:30 | 19:45 | 520.00
IAD | AMS | AA | 0 | 11:00 | 21:15 | 480.00
IAD | AMS | DL | 1 (ATL) | 12:30 | 22:50 | 550.00
IAD | AMS | LH | 1 (FRA) | 14:00 | 23:20 | 580.00
IAD | AMS | UA | 0 | 15:30 | 00:45 | 500.00
IAD | AMS | AF | 1 (CDG) | 17:00 | 02:10 | 520.00
IAD | AMS | BA | 1 (LHR) | 19:30 | 04:40 | 600.00
AMS | IAD | KL | 0 | 08:00 | 10:30 | 420.00
AMS | IAD | UA | 1 (EWR) | 09:30 | 12:00 | 480.00
AMS | IAD | AA | 0 | 11:00 | 13:30 | 450.00
AMS | IAD | DL | 1 (ATL) | 12:30 | 15:00 | 500.00
AMS | IAD | LH | 1 (FRA) | 14:00 | 16:30 | 520.00
AMS | IAD | AF | 1 (CDG) | 15:30 | 18:00 | 480.00
AMS | IAD | BA | 1 (LHR) | 17:00 | 19:30 | 550.00
AMS | IAD | UA | 0 | 19:30 | 22:00 | 420.00


Here are the 16 flight plans:

IAD | AUA | American Airlines | 0 | 08:00 | 12:30 | 450.00
IAD | AUA | Delta Air Lines | 1 (MIA) | 09:15 | 14:45 | 520.00
IAD | AUA | United Airlines | 0 | 10:30 | 15:00 | 480.00
IAD | AUA | JetBlue Airways | 1 (FLL) | 11:45 | 16:15 | 550.00
IAD | AUA | Spirit Airlines | 1 (TPA) | 13:00 | 17:30 | 420.00
IAD | AUA | American Airlines | 0 | 14:15 | 18:45 | 500.00
IAD | AUA | Delta Air Lines | 1 (ATL) | 15:30 | 20:00 | 580.00
IAD | AUA | United Airlines | 0 | 16:45 | 21:15 | 510.00
AUA | IAD | American Airlines | 0 | 08:00 | 12:30 | 480.00
AUA | IAD | Delta Air Lines | 1 (MIA) | 09:15 | 14:45 | 550.00
AUA | IAD | United Airlines | 0 | 10:30 | 15:00 | 500.00
AUA | IAD | JetBlue Airways | 1 (FLL) | 11:45 | 16:15 | 580.00
AUA | IAD | Spirit Airlines | 1 (TPA) | 13:00 | 17:30 | 450.00
AUA | IAD | American Airlines | 0 | 14:15 | 18:45 | 520.00
AUA | IAD | Delta Air Lines | 1 (ATL) | 15:30 | 20:00 | 600.00
AUA | IAD | United Airlines | 0 | 16:45 | 21:15 | 530.00


Here are the 16 flight plans:

IAD | ATH | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
IAD | ATH | AA | 1 (CDG) | 10:00 | 20:30 | 900.00
IAD | ATH | DL | 0 | 12:00 | 22:30 | 700.00
IAD | ATH | LH | 1 (FRA) | 14:00 | 00:30 | 950.00
IAD | ATH | TK | 1 (IST) | 16:00 | 02:30 | 800.00
IAD | ATH | AZ | 1 (FCO) | 18:00 | 04:30 | 850.00
IAD | ATH | OA | 1 (AMS) | 20:00 | 06:30 | 900.00
IAD | ATH | SU | 1 (SVO) | 22:00 | 08:30 | 950.00
ATH | IAD | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
ATH | IAD | AA | 1 (CDG) | 10:00 | 20:30 | 900.00
ATH | IAD | DL | 0 | 12:00 | 22:30 | 700.00
ATH | IAD | LH | 1 (FRA) | 14:00 | 00:30 | 950.00
ATH | IAD | TK | 1 (IST) | 16:00 | 02:30 | 800.00
ATH | IAD | AZ | 1 (FCO) | 18:00 | 04:30 | 850.00
ATH | IAD | OA | 1 (AMS) | 20:00 | 06:30 | 900.00
ATH | IAD | SU | 1 (SVO) | 22:00 | 08:30 | 950.00


Here are the 16 flight plans:

IAD | AKL | NZ | 1 (LAX) | 08:00 | 06:00 | 1050.00
IAD | AKL | UA | 2 (SFO, HNL) | 10:00 | 10:00 | 1200.00
IAD | AKL | AA | 1 (DFW) | 14:00 | 12:00 | 1100.00
IAD | AKL | QF | 2 (LAX, SYD) | 16:00 | 14:00 | 1300.00
IAD | AKL | DL | 1 (ATL) | 18:00 | 16:00 | 1000.00
IAD | AKL | NZ | 2 (ORD, LAX) | 20:00 | 18:00 | 1250.00
IAD | AKL | UA | 1 (SFO) | 22:00 | 20:00 | 1150.00
IAD | AKL | AA | 2 (PHL, LAX) | 00:00 | 22:00 | 1350.00
AKL | IAD | NZ | 1 (LAX) | 08:00 | 06:00 | 1050.00
AKL | IAD | UA | 2 (HNL, SFO) | 10:00 | 10:00 | 1200.00
AKL | IAD | AA | 1 (DFW) | 14:00 | 12:00 | 1100.00
AKL | IAD | QF | 2 (SYD, LAX) | 16:00 | 14:00 | 1300.00
AKL | IAD | DL | 1 (ATL) | 18:00 | 16:00 | 1000.00
AKL | IAD | NZ | 2 (LAX, ORD) | 20:00 | 18:00 | 1250.00
AKL | IAD | UA | 1 (SFO) | 22:00 | 20:00 | 1150.00
AKL | IAD | AA | 2 (LAX, PHL) | 00:00 | 22:00 | 1350.00


Here are the 16 flight plans:

IAD | DPS | SQ | 1 (NRT) | 08:30 | 22:45 | 850.00
IAD | DPS | JL | 1 (HND) | 10:15 | 00:50 | 920.00
IAD | DPS | UA | 1 (SIN) | 12:00 | 02:35 | 780.00
IAD | DPS | TG | 1 (BKK) | 14:45 | 05:20 | 950.00
IAD | DPS | MH | 1 (KUL) | 16:30 | 07:05 | 870.00
IAD | DPS | CZ | 1 (CAN) | 18:15 | 08:40 | 800.00
IAD | DPS | CI | 1 (TPE) | 20:00 | 10:25 | 840.00
IAD | DPS | OZ | 1 (ICN) | 22:45 | 12:10 | 910.00
DPS | IAD | SQ | 1 (SIN) | 00:10 | 06:35 | 860.00
DPS | IAD | JL | 1 (HND) | 02:45 | 09:10 | 930.00
DPS | IAD | UA | 1 (NRT) | 05:20 | 11:45 | 790.00
DPS | IAD | TG | 1 (BKK) | 07:55 | 14:20 | 970.00
DPS | IAD | MH | 1 (KUL) | 10:30 | 16:55 | 890.00
DPS | IAD | CZ | 1 (CAN) | 13:05 | 19:30 | 820.00
DPS | IAD | CI | 1 (TPE) | 15:40 | 22:05 | 850.00
DPS | IAD | OZ | 1 (ICN) | 18:15 | 00:40 | 900.00
DPS | IAD | AA | 2 (HKG, LAX) | 21:00 | 06:25 | 1050.00


Here are the 16 flight plans:

IAD | BCN | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
IAD | BCN | Iberia | 1 stop (MAD) | 10:30 | 20:15 | 520.00
IAD | BCN | Lufthansa | 1 stop (FRA) | 12:45 | 22:50 | 580.00
IAD | BCN | United Airlines | Non-stop | 14:15 | 00:45 | 480.00
IAD | BCN | Swiss International | 1 stop (ZRH) | 16:00 | 02:20 | 550.00
IAD | BCN | TAP Air Portugal | 1 stop (LIS) | 18:30 | 04:50 | 500.00
IAD | BCN | British Airways | 1 stop (LHR) | 20:45 | 06:10 | 540.00
IAD | BCN | KLM Royal Dutch | 1 stop (AMS) | 22:15 | 07:40 | 510.00

BCN | IAD | American Airlines | Non-stop | 09:00 | 11:30 | 420.00
BCN | IAD | Iberia | 1 stop (MAD) | 11:30 | 14:15 | 490.00
BCN | IAD | Lufthansa | 1 stop (FRA) | 13:45 | 16:50 | 560.00
BCN | IAD | United Airlines | Non-stop | 15:15 | 17:45 | 460.00
BCN | IAD | Swiss International | 1 stop (ZRH) | 17:00 | 20:20 | 530.00
BCN | IAD | TAP Air Portugal | 1 stop (LIS) | 19:30 | 22:50 | 480.00
BCN | IAD | British Airways | 1 stop (LHR) | 21:45 | 01:10 | 500.00
BCN | IAD | KLM Royal Dutch | 1 stop (AMS) | 23:15 | 02:40 | 490.00


Here are the 16 flight plans:

IAD | PEK | UA | 1 (NRT) | 10:30 | 14:45 | 850.00
IAD | PEK | AA | 2 (ORD, HKG) | 08:15 | 18:20 | 1200.00
IAD | PEK | CA | 0 | 14:00 | 16:15 | 900.00
IAD | PEK | LH | 1 (FRA) | 11:45 | 15:50 | 1100.00
IAD | PEK | CX | 1 (HKG) | 09:30 | 13:40 | 1000.00
IAD | PEK | JL | 1 (NRT) | 12:15 | 16:25 | 1050.00
IAD | PEK | KE | 1 (ICN) | 13:45 | 18:00 | 1150.00
IAD | PEK | SQ | 1 (SIN) | 10:00 | 14:10 | 1250.00
PEK | IAD | UA | 1 (NRT) | 10:30 | 08:45 | 800.00
PEK | IAD | AA | 2 (HKG, ORD) | 08:15 | 18:20 | 1300.00
PEK | IAD | CA | 0 | 14:00 | 12:15 | 850.00
PEK | IAD | LH | 1 (FRA) | 11:45 | 09:50 | 1000.00
PEK | IAD | CX | 1 (HKG) | 09:30 | 07:40 | 950.00
PEK | IAD | JL | 1 (NRT) | 12:15 | 10:25 | 1050.00
PEK | IAD | KE | 1 (ICN) | 13:45 | 12:00 | 1100.00
PEK | IAD | SQ | 1 (SIN) | 10:00 | 08:10 | 1200.00


Here are the 16 flight plans:

IAD | BER | Lufthansa | Non-stop | 08:00 | 18:30 | 450.00
IAD | BER | United | 1 stop (FRA) | 10:30 | 20:45 | 520.00
IAD | BER | American | Non-stop | 12:00 | 22:15 | 480.00
IAD | BER | Delta | 1 stop (CDG) | 14:00 | 23:50 | 550.00
IAD | BER | British Airways | Non-stop | 16:00 | 00:30 | 500.00
IAD | BER | Air France | 1 stop (ORY) | 18:00 | 02:20 | 580.00
IAD | BER | KLM | Non-stop | 20:00 | 04:15 | 530.00
IAD | BER | Swiss | 1 stop (ZRH) | 22:00 | 06:30 | 610.00

BER | IAD | Lufthansa | Non-stop | 08:30 | 12:00 | 420.00
BER | IAD | United | 1 stop (EWR) | 10:00 | 15:20 | 490.00
BER | IAD | American | Non-stop | 12:30 | 16:45 | 450.00
BER | IAD | Delta | 1 stop (AMS) | 14:30 | 19:50 | 510.00
