

Here are the 16 flight plans:

LAX | ORD | American Airlines | Non-stop | 08:00 | 14:35 | 425.00
LAX | BOS | Alaska Airlines | Non-stop | 13:00 | 22:30 | 525.00
LAX | BOS | Spirit Airlines | 1 stop (ORD) | 14:15 | 23:45 | 450.00
LAX | BOS | Southwest Airlines | 1 stop (MDW) | 15:30 | 01:00 | 500.00
LAX | BOS | Frontier Airlines | 1 stop (DEN) | 16:45 | 02:15 | 480.00
BOS | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
BOS | LAX | Delta Air Lines | 1 stop (MSP) | 09:15 | 13:45 | 520.00
BOS | LAX | United Airlines | Non-stop | 10:30 | 14:00 | 575.00
BOS | LAX | JetBlue Airways | 1 stop (FLL) | 11:45 | 16:15 | 505.00
BOS | LAX | Alaska Airlines | Non-stop | 13:00 | 16:30 | 550.00
BOS | LAX | Spirit Airlines | 1 stop (LAS) | 14:15 | 18:45 | 480.00
BOS | LAX | Southwest Airlines | 1 stop (STL) | 15:30 | 20:00 | 530.00
BOS | LAX | Frontier Airlines | 1 stop (PHX) | 16:45 | 21:15 | 510.00


Here are the 16 flight plans:

LAX | MRY | American Airlines | Non-stop | 08:00 | 09:35 | 178.00
LAX | MRY | United Airlines | Non-stop | 10:15 | 11:50 | 198.00
LAX | MRY | Delta Air Lines | 1 stop (SFO) | 12:30 | 14:55 | 238.00
LAX | MRY | Alaska Airlines | Non-stop | 14:00 | 15:35 | 218.00
LAX | MRY | Spirit Airlines | 1 stop (LAS) | 16:15 | 18:40 | 208.00
LAX | MRY | Southwest Airlines | Non-stop | 18:30 | 20:05 | 228.00
LAX | MRY | Frontier Airlines | 1 stop (PHX) | 20:45 | 23:10 | 248.00
LAX | MRY | JetBlue Airways | Non-stop | 22:00 | 23:35 | 258.00
MRY | LAX | American Airlines | Non-stop | 06:00 | 07:35 | 188.00
MRY | LAX | United Airlines | Non-stop | 08:15 | 09:50 | 208.00
MRY | LAX | Delta Air Lines | 1 stop (SFO) | 10:30 | 12:55 | 248.00
MRY | LAX | Alaska Airlines | Non-stop | 12:45 | 14:20 | 228.00
MRY | LAX | Spirit Airlines | 1 stop (LAS) | 15:00 | 17:25 | 218.00
MRY | LAX | Southwest Airlines | Non-stop | 17:15 | 18:50 | 238.00
MRY | LAX | Frontier Airlines | 1 stop (PHX) | 19:30 | 22:05 | 258.00
MRY | LAX | JetBlue Airways | Non-stop | 21:00 | 22:35 | 268.00


Here are the 16 flight plans:

LAX | SJC | American Airlines | Non-stop | 06:00 | 07:30 | 120.00
LAX | SJC | Delta Air Lines | Non-stop | 08:15 | 09:45 | 150.00
LAX | SJC | United Airlines | Non-stop | 10:30 | 12:00 | 180.00
LAX | SJC | Southwest Airlines | Non-stop | 12:45 | 14:15 | 140.00
LAX | SJC | Alaska Airlines | 1 stop (LAS) | 15:00 | 17:30 | 220.00
LAX | SJC | Spirit Airlines | 1 stop (PHX) | 16:30 | 19:00 | 200.00
LAX | SJC | Frontier Airlines | 1 stop (DEN) | 18:00 | 20:30 | 240.00
LAX | SJC | JetBlue Airways | 1 stop (SFO) | 19:30 | 22:00 | 260.00
SJC | LAX | American Airlines | Non-stop | 06:30 | 08:00 | 130.00
SJC | LAX | Delta Air Lines | Non-stop | 08:45 | 10:15 | 160.00
SJC | LAX | United Airlines | Non-stop | 11:00 | 12:30 | 190.00
SJC | LAX | Southwest Airlines | Non-stop | 13:15 | 14:45 | 150.00
SJC | LAX | Alaska Airlines | 1 stop (PDX) | 14:30 | 16:30 | 230.00
SJC | LAX | Spirit Airlines | 1 stop (LAS) | 16:00 | 18:00 | 210.00
SJC | LAX | Frontier Airlines | 1 stop (SFO) | 17:30 | 19:30 | 250.00
SJC | LAX | JetBlue Airways | 1 stop (PHX) | 19:00 | 21:00 | 270.00


Here are the 16 flight plans:

LAX | SFO | American Airlines | Non-stop | 06:00 | 07:20 | 120.00
LAX | SFO | United Airlines | Non-stop | 08:30 | 09:50 | 150.00
LAX | SFO | Delta Air Lines | 1 stop (LAS) | 10:15 | 12:45 | 180.00
LAX | SFO | Southwest Airlines | Non-stop | 12:00 | 13:20 | 100.00
LAX | SFO | Alaska Airlines | Non-stop | 14:30 | 15:50 | 130.00
LAX | SFO | JetBlue Airways | 1 stop (SAN) | 16:45 | 19:15 | 160.00
LAX | SFO | Spirit Airlines | Non-stop | 18:00 | 19:20 | 90.00
LAX | SFO | Virgin America | Non-stop | 20:30 | 21:50 | 140.00

SFO | LAX | American Airlines | Non-stop | 06:30 | 07:50 | 110.00
SFO | LAX | United Airlines | 1 stop (SJC) | 08:00 | 10:30 | 170.00
SFO | LAX | Delta Air Lines | Non-stop | 10:45 | 12:15 | 120.00
SFO | LAX | Southwest Airlines | Non-stop | 12:30 | 13:50 | 100.00
SFO | LAX | Alaska Airlines | 1 stop (PDX) | 14:00 | 16:30 | 190.00
SFO | LAX | JetBlue Airways | Non-stop | 16:15 | 17:35 | 130.00
SFO | LAX | Spirit Airlines | 1 stop (OAK) | 18:30 | 20:50 | 150.00
SFO | LAX | Virgin America | Non-stop | 20:00 | 21:20 | 140.00


Here are the 16 flight plans:

LAX | EGE | American Airlines | Non-stop | 08:00 | 11:15 | 425.00
LAX | EGE | United Airlines | 1 stop (DEN) | 09:30 | 13:45 | 510.00
LAX | EGE | Delta Air Lines | Non-stop | 11:00 | 14:20 | 475.00
LAX | EGE | Alaska Airlines | 1 stop (SEA) | 12:30 | 17:00 | 550.00
LAX | EGE | Southwest Airlines | Non-stop | 14:00 | 17:25 | 450.00
LAX | EGE | Frontier Airlines | 1 stop (PHX) | 15:30 | 20:00 | 530.00
LAX | EGE | JetBlue Airways | Non-stop | 17:00 | 20:25 | 490.00
LAX | EGE | Spirit Airlines | 1 stop (LAS) | 19:00 | 23:30 | 520.00
EGE | LAX | American Airlines | Non-stop | 06:00 | 07:35 | 410.00
EGE | LAX | United Airlines | 1 stop (SFO) | 08:30 | 12:00 | 540.00
EGE | LAX | Delta Air Lines | Non-stop | 10:00 | 11:40 | 460.00
EGE | LAX | Alaska Airlines | 1 stop (PDX) | 12:00 | 15:30 | 570.00
EGE | LAX | Southwest Airlines | Non-stop | 14:00 | 15:40 | 430.00
EGE | LAX | Frontier Airlines | 1 stop (DEN) | 16:00 | 19:30 | 500.00
EGE | LAX | JetBlue Airways | Non-stop | 18:00 | 19:40 | 480.00
EGE | LAX | Spirit Airlines | 1 stop (PHX) | 20:00 | 23:30 | 520.00


Here are the 16 flight plans:

LAX | DEN | United | 0 | 06:00 | 09:15 | 220.00
LAX | DEN | American | 1 (SFO) | 07:30 | 11:45 | 280.00
LAX | DEN | Delta | 0 | 08:45 | 12:00 | 250.00
LAX | DEN | Southwest | 0 | 10:15 | 13:30 | 200.00
LAX | DEN | Alaska | 1 (SEA) | 11:50 | 15:05 | 300.00
LAX | DEN | JetBlue | 0 | 13:20 | 16:35 | 230.00
LAX | DEN | Spirit | 1 (LAS) | 14:40 | 17:55 | 260.00
LAX | DEN | Frontier | 0 | 16:00 | 19:15 | 240.00
DEN | LAX | United | 0 | 06:30 | 08:45 | 210.00
DEN | LAX | American | 1 (DFW) | 08:00 | 11:15 | 290.00
DEN | LAX | Delta | 0 | 09:20 | 11:35 | 270.00
DEN | LAX | Southwest | 0 | 11:40 | 14:55 | 190.00
DEN | LAX | Alaska | 1 (PDX) | 13:10 | 16:25 | 310.00
DEN | LAX | JetBlue | 0 | 14:30 | 17:45 | 250.00
DEN | LAX | Spirit | 1 (PHX) | 15:50 | 19:05 | 280.00
DEN | LAX | Frontier | 0 | 17:10 | 20:25 | 230.00


Here are the 16 flight plans:

LAX | CHS | American Airlines | Non-stop | 08:00 | 16:45 | 450.00
LAX | CHS | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 520.00
LAX | CHS | United Airlines | Non-stop | 10:45 | 19:20 | 480.00
LAX | CHS | Spirit Airlines | 1 stop (DFW) | 12:00 | 20:50 | 420.00
LAX | CHS | Alaska Airlines | Non-stop | 13:15 | 21:40 | 500.00
LAX | CHS | JetBlue Airways | 1 stop (JFK) | 14:30 | 23:05 | 550.00
LAX | CHS | Southwest Airlines | Non-stop | 15:45 | 00:20 | 530.00
LAX | CHS | Frontier Airlines | 1 stop (DEN) | 17:00 | 02:35 | 490.00
CHS | LAX | American Airlines | Non-stop | 06:00 | 08:45 | 470.00
CHS | LAX | Delta Air Lines | 1 stop (MIA) | 07:30 | 11:15 | 540.00
CHS | LAX | United Airlines | Non-stop | 09:00 | 12:30 | 510.00
CHS | LAX | Spirit Airlines | 1 stop (ORD) | 10:30 | 14:10 | 450.00
CHS | LAX | Alaska Airlines | Non-stop | 12:00 | 15:30 | 520.00
CHS | LAX | JetBlue Airways | 1 stop (BOS) | 13:30 | 17:05 | 580.00
CHS | LAX | Southwest Airlines | Non-stop | 15:00 | 18:30 | 560.00
CHS | LAX | Frontier Airlines | 1 stop (PHX) | 16:30 | 20:55 | 500.00


Here are the 16 flight plans:

LAX | RAP | American Airlines | Non-stop | 06:00 | 09:15 | 345.00
LAX | RAP | Delta Air Lines | 1 stop (DEN) | 08:30 | 12:45 | 425.00
LAX | RAP | United Airlines | Non-stop | 10:00 | 13:15 | 395.00
LAX | RAP | Southwest Airlines | 1 stop (PHX) | 12:00 | 16:15 | 455.00
LAX | RAP | Alaska Airlines | Non-stop | 14:00 | 17:15 | 375.00
LAX | RAP | JetBlue Airways | 1 stop (SFO) | 16:00 | 20:15 | 485.00
LAX | RAP | Spirit Airlines | Non-stop | 18:00 | 21:15 | 325.00
LAX | RAP | Frontier Airlines | 1 stop (LAS) | 20:00 | 00:15 | 405.00
RAP | LAX | American Airlines | Non-stop | 06:30 | 08:45 | 365.00
RAP | LAX | Delta Air Lines | 1 stop (SLC) | 09:00 | 13:15 | 445.00
RAP | LAX | United Airlines | Non-stop | 11:00 | 13:15 | 415.00
RAP | LAX | Southwest Airlines | 1 stop (ABQ) | 13:00 | 17:15 | 475.00
RAP | LAX | Alaska Airlines | Non-stop | 15:00 | 17:15 | 385.00
RAP | LAX | JetBlue Airways | 1 stop (ORD) | 17:00 | 21:15 | 505.00
RAP | LAX | Spirit Airlines | Non-stop | 19:00 | 21:15 | 335.00
RAP | LAX | Frontier Airlines | 1 stop (MSP) | 21:00 | 01:15 | 435.00


Here are the 16 flight plans:

LAX | FCA | American Airlines | 0 | 08:00 | 16:45 | 450.00
LAX | FCA | Delta Air Lines | 1 (SFO) | 09:30 | 19:15 | 520.00
LAX | FCA | United Airlines | 0 | 11:00 | 19:50 | 480.00
LAX | FCA | Alaska Airlines | 1 (SEA) | 12:45 | 21:30 | 550.00
LAX | FCA | Spirit Airlines | 0 | 14:00 | 22:45 | 420.00
LAX | FCA | Frontier Airlines | 1 (DEN) | 15:30 | 00:15 | 500.00
LAX | FCA | Southwest Airlines | 0 | 17:00 | 01:45 | 460.00
LAX | FCA | JetBlue Airways | 1 (LAS) | 19:00 | 03:45 | 540.00
FCA | LAX | American Airlines | 0 | 08:00 | 11:45 | 430.00
FCA | LAX | Delta Air Lines | 1 (SLC) | 09:30 | 14:15 | 510.00
FCA | LAX | United Airlines | 0 | 11:00 | 15:50 | 470.00
FCA | LAX | Alaska Airlines | 1 (PDX) | 12:45 | 18:30 | 530.00
FCA | LAX | Spirit Airlines | 0 | 14:00 | 20:45 | 400.00
FCA | LAX | Frontier Airlines | 1 (PHX) | 15:30 | 22:15 | 490.00
FCA | LAX | Southwest Airlines | 0 | 17:00 | 01:45 | 450.00
FCA | LAX | JetBlue Airways | 1 (SFO) | 19:00 | 04:45 | 520.00


Here are the 16 flight plans:

LAX | FLG | American Airlines | Non-stop | 08:00 | 11:15 | 245.00
LAX | FLG | Delta Air Lines | 1 stop (PHX) | 09:30 | 13:45 | 270.00
LAX | FLG | United Airlines | Non-stop | 11:00 | 14:15 | 230.00
LAX | FLG | Southwest Airlines | 1 stop (LAS) | 12:30 | 16:45 | 290.00
LAX | FLG | Alaska Airlines | Non-stop | 14:00 | 17:15 | 240.00
LAX | FLG | JetBlue Airways | 1 stop (SFO) | 15:30 | 19:45 | 310.00
LAX | FLG | Spirit Airlines | 1 stop (DEN) | 17:00 | 21:15 | 250.00
LAX | FLG | Frontier Airlines | Non-stop | 19:00 | 22:15 | 220.00

FLG | LAX | American Airlines | Non-stop | 06:00 | 07:15 | 210.00
FLG | LAX | Delta Air Lines | 1 stop (SFO) | 07:30 | 11:45 | 280.00
FLG | LAX | United Airlines | Non-stop | 09:00 | 10:15 | 200.00
FLG | LAX | Southwest Airlines | 1 stop (PHX) | 10:30 | 14:45 | 260.00
FLG | LAX | Alaska Airlines | Non-stop | 12:00 | 13:15 | 230.00
FLG | LAX | JetBlue Airways | 1 stop (LAS) | 13:30 | 17:45 | 300.00
FLG | LAX | Spirit Airlines | 1 stop (DEN) | 15:00 | 19:15 | 240.00
FLG | LAX | Frontier Airlines | Non-stop | 17:00 | 18:15 | 220.00


Here are the 16 flight plans:

LAX | LAS | American Airlines | 0 | 08:00 | 09:15 | 120.00
LAX | LAS | Delta Air Lines | 0 | 10:30 | 11:45 | 150.00
LAX | LAS | United Airlines | 1 (SFO) | 12:00 | 14:30 | 200.00
LAX | LAS | Southwest Airlines | 0 | 14:00 | 15:15 | 180.00
LAX | LAS | Alaska Airlines | 0 | 16:00 | 17:15 | 220.00
LAX | LAS | JetBlue Airways | 0 | 18:00 | 19:15 | 250.00
LAX | LAS | Spirit Airlines | 1 (PHX) | 20:00 | 22:30 | 280.00
LAX | LAS | Frontier Airlines | 0 | 22:00 | 23:15 | 300.00

LAS | LAX | American Airlines | 0 | 08:00 | 09:15 | 120.00
LAS | LAX | Delta Air Lines | 0 | 10:30 | 11:45 | 150.00
LAS | LAX | United Airlines | 1 (DEN) | 12:00 | 14:30 | 200.00
LAS | LAX | Southwest Airlines | 0 | 14:00 | 15:15 | 180.00
LAS | LAX | Alaska Airlines | 0 | 16:00 | 17:15 | 220.00
LAS | LAX | JetBlue Airways | 0 | 18:00 | 19:15 | 250.00
LAS | LAX | Spirit Airlines | 1 (TUS) | 20:00 | 22:30 | 280.00
LAS | LAX | Frontier Airlines | 0 | 22:00 | 23:15 | 300.00


Here are the 16 flight plans:

LAX | TYS | American Airlines | 1 (DFW) | 06:00 | 14:30 | 542.00
LAX | TYS | Delta Air Lines | 0 | 08:30 | 16:15 | 625.00
LAX | TYS | United Airlines | 1 (IAH) | 09:45 | 17:20 | 570.00
LAX | TYS | Southwest Airlines | 0 | 11:00 | 18:45 | 505.00
LAX | TYS | Alaska Airlines | 1 (SEA) | 12:15 | 20:00 | 595.00
LAX | TYS | JetBlue Airways | 0 | 13:30 | 21:15 | 525.00
LAX | TYS | Spirit Airlines | 1 (LAS) | 14:45 | 22:20 | 480.00
LAX | TYS | Frontier Airlines | 0 | 16:00 | 23:45 | 450.00
TYS | LAX | American Airlines | 1 (CLT) | 06:30 | 09:15 | 520.00
TYS | LAX | Delta Air Lines | 0 | 08:00 | 10:45 | 650.00
TYS | LAX | United Airlines | 1 (ORD) | 09:15 | 12:00 | 580.00
TYS | LAX | Southwest Airlines | 0 | 10:30 | 13:15 | 510.00
TYS | LAX | Alaska Airlines | 1 (PDX) | 11:45 | 14:30 | 610.00
TYS | LAX | JetBlue Airways | 0 | 13:00 | 15:45 | 535.00
TYS | LAX | Spirit Airlines | 1 (DEN) | 14:15 | 16:55 | 490.00
TYS | LAX | Frontier Airlines | 0 | 15:30 | 18:15 | 460.00


Here are the 16 flight plans:

LAX | AVL | American Airlines | Non-stop | 08:00 | 16:30 | 420.00
LAX | AVL | Delta Air Lines | 1 stop (ATL) | 09:30 | 19:15 | 480.00
LAX | AVL | United Airlines | Non-stop | 11:00 | 19:45 | 450.00
LAX | AVL | Southwest Airlines | 1 stop (DEN) | 12:30 | 21:10 | 520.00
LAX | AVL | Alaska Airlines | Non-stop | 14:00 | 22:45 | 500.00
LAX | AVL | JetBlue Airways | 1 stop (JFK) | 15:30 | 00:15 | 550.00
LAX | AVL | Spirit Airlines | 1 stop (LAS) | 17:00 | 02:30 | 380.00
LAX | AVL | Frontier Airlines | Non-stop | 19:00 | 03:45 | 430.00
AVL | LAX | American Airlines | Non-stop | 06:00 | 08:30 | 390.00
AVL | LAX | Delta Air Lines | 1 stop (SFO) | 07:30 | 12:15 | 510.00
AVL | LAX | United Airlines | Non-stop | 09:00 | 13:45 | 470.00
AVL | LAX | Southwest Airlines | 1 stop (DAL) | 11:30 | 17:10 | 530.00
AVL | LAX | Alaska Airlines | Non-stop | 13:00 | 18:45 | 490.00
AVL | LAX | JetBlue Airways | 1 stop (BOS) | 14:30 | 22:15 | 560.00
AVL | LAX | Spirit Airlines | 1 stop (ORD) | 16:00 | 00:30 | 400.00
AVL | LAX | Frontier Airlines | Non-stop | 18:00 | 02:45 | 440.00


Here are the 16 flight plans:

LAX | JAC | American Airlines | Non-stop | 08:00 | 11:45 | 425.00
LAX | JAC | United Airlines | 1 stop (DEN) | 09:30 | 14:10 | 499.00
LAX | JAC | Delta Air Lines | Non-stop | 10:15 | 13:50 | 475.00
LAX | JAC | Alaska Airlines | 1 stop (SFO) | 11:00 | 15:40 | 549.00
LAX | JAC | Spirit Airlines | 1 stop (LAS) | 12:30 | 16:50 | 399.00
LAX | JAC | Frontier Airlines | Non-stop | 13:45 | 17:20 | 449.00
LAX | JAC | Southwest Airlines | 1 stop (PHX) | 14:50 | 18:30 | 529.00
LAX | JAC | JetBlue Airways | Non-stop | 16:00 | 19:35 | 499.00
JAC | LAX | American Airlines | Non-stop | 08:15 | 10:50 | 450.00
JAC | LAX | United Airlines | 1 stop (DEN) | 09:45 | 13:25 | 525.00
JAC | LAX | Delta Air Lines | Non-stop | 11:10 | 13:40 | 495.00
JAC | LAX | Alaska Airlines | 1 stop (SFO) | 12:20 | 15:50 | 579.00
JAC | LAX | Spirit Airlines | 1 stop (LAS) | 13:40 | 16:10 | 429.00
JAC | LAX | Frontier Airlines | Non-stop | 14:55 | 17:25 | 479.00
JAC | LAX | Southwest Airlines | 1 stop (PHX) | 15:50 | 18:20 | 559.00
JAC | LAX | JetBlue Airways | Non-stop | 17:05 | 19:35 | 519.00


Here are the 16 flight plans:

LAX | EYW | American Airlines | Non-stop | 08:00 | 16:45 | 450.00
LAX | EYW | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 520.00
LAX | EYW | United Airlines | Non-stop | 11:00 | 19:20 | 480.00
LAX | EYW | Spirit Airlines | 1 stop (DFW) | 12:15 | 20:50 | 400.00
LAX | EYW | Alaska Airlines | Non-stop | 14:00 | 22:30 | 510.00
LAX | EYW | JetBlue Airways | 1 stop (JFK) | 15:45 | 00:10 | 550.00
LAX | EYW | Southwest Airlines | Non-stop | 17:00 | 23:40 | 420.00
LAX | EYW | Frontier Airlines | 1 stop (DEN) | 18:30 | 01:05 | 380.00
EYW | LAX | American Airlines | Non-stop | 06:00 | 09:20 | 420.00
EYW | LAX | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:50 | 490.00
EYW | LAX | United Airlines | Non-stop | 09:00 | 12:40 | 450.00
EYW | LAX | Spirit Airlines | 1 stop (DFW) | 10:15 | 14:50 | 410.00
EYW | LAX | Alaska Airlines | Non-stop | 11:30 | 15:10 | 480.00
EYW | LAX | JetBlue Airways | 1 stop (JFK) | 12:45 | 17:20 | 500.00
EYW | LAX | Southwest Airlines | Non-stop | 14:00 | 17:40 | 440.00
EYW | LAX | Frontier Airlines | 1 stop (DEN) | 15:15 | 19:55 | 390.00


Here are the 16 flight plans:

LAX | RNO | American Airlines | Non-stop | 06:00 | 07:30 | 198.00
LAX | RNO | Delta Air Lines | 1 stop (SFO) | 08:15 | 11:00 | 220.00
LAX | RNO | United Airlines | Non-stop | 09:45 | 11:15 | 240.00
LAX | RNO | Alaska Airlines | 1 stop (SEA) | 11:30 | 14:15 | 280.00
LAX | RNO | Spirit Airlines | 1 stop (LAS) | 13:00 | 15:45 | 190.00
LAX | RNO | Southwest Airlines | Non-stop | 14:15 | 15:45 | 210.00
LAX | RNO | Frontier Airlines | 1 stop (DEN) | 15:45 | 18:30 | 250.00
LAX | RNO | JetBlue Airways | Non-stop | 17:00 | 18:30 | 230.00
RNO | LAX | American Airlines | Non-stop | 06:30 | 07:45 | 200.00
RNO | LAX | Delta Air Lines | 1 stop (SFO) | 08:45 | 11:30 | 240.00
RNO | LAX | United Airlines | Non-stop | 10:15 | 11:45 | 260.00
RNO | LAX | Alaska Airlines | 1 stop (PDX) | 11:45 | 14:30 | 290.00
RNO | LAX | Spirit Airlines | 1 stop (PHX) | 13:15 | 15:50 | 210.00
RNO | LAX | Southwest Airlines | Non-stop | 14:30 | 15:55 | 230.00
RNO | LAX | Frontier Airlines | 1 stop (LAS) | 15:55 | 18:40 | 270.00
RNO | LAX | JetBlue Airways | Non-stop | 17:15 | 18:40 | 250.00


Here are the 16 flight plans:

LAX | TVL | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
LAX | TVL | Delta Air Lines | 1 stop (SFO) | 09:30 | 13:45 | 520.00
LAX | TVL | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
LAX | TVL | Alaska Airlines | 1 stop (SEA) | 12:00 | 16:15 | 550.00
LAX | TVL | Spirit Airlines | 1 stop (LAS) | 13:15 | 17:30 | 400.00
LAX | TVL | Frontier Airlines | Non-stop | 14:30 | 17:45 | 420.00
LAX | TVL | Southwest Airlines | 1 stop (PHX) | 15:45 | 19:00 | 500.00
LAX | TVL | JetBlue Airways | Non-stop | 17:00 | 20:15 | 460.00
TVL | LAX | American Airlines | Non-stop | 06:00 | 08:15 | 430.00
TVL | LAX | Delta Air Lines | 1 stop (DEN) | 07:30 | 11:45 | 510.00
TVL | LAX | United Airlines | Non-stop | 09:00 | 11:15 | 490.00
TVL | LAX | Alaska Airlines | 1 stop (PDX) | 10:15 | 14:30 | 540.00
TVL | LAX | Spirit Airlines | 1 stop (OAK) | 11:30 | 15:45 | 410.00
TVL | LAX | Frontier Airlines | Non-stop | 12:45 | 15:00 | 440.00
TVL | LAX | Southwest Airlines | 1 stop (SJC) | 14:00 | 17:15 | 530.00
TVL | LAX | JetBlue Airways | Non-stop | 15:15 | 17:30 | 470.00


Here are the 16 flight plans:

LAX | MCD | AA | 1 (DFW) | 08:00 | 12:45 | 450.00
LAX | MCD | UA | 0 | 10:30 | 14:15 | 380.00
LAX | MCD | WN | 1 (PHX) | 12:45 | 17:00 | 420.00
LAX | MCD | DL | 0 | 14:00 | 17:45 | 400.00
LAX | MCD | AS | 1 (SFO) | 16:15 | 20:30 | 480.00
LAX | MCD | F9 | 0 | 18:00 | 21:45 | 350.00
LAX | MCD | NK | 1 (LAS) | 19:30 | 23:55 | 440.00
LAX | MCD | B6 | 0 | 21:00 | 00:45 | 410.00
MCD | LAX | AA | 1 (ORD) | 07:00 | 09:30 | 460.00
MCD | LAX | UA | 0 | 09:30 | 12:15 | 390.00
MCD | LAX | WN | 1 (DEN) | 11:45 | 15:10 | 430.00
MCD | LAX | DL | 0 | 13:15 | 16:00 | 410.00
MCD | LAX | AS | 1 (SEA) | 15:00 | 18:25 | 490.00
MCD | LAX | F9 | 0 | 16:45 | 19:30 | 370.00
MCD | LAX | NK | 1 (IAH) | 18:15 | 21:40 | 450.00
MCD | LAX | B6 | 0 | 20:00 | 22:45 | 420.00


Here are the 16 flight plans:

LAX | PLN | American Airlines | Non-stop | 08:00 | 15:30 | 420.00
LAX | PLN | Delta Air Lines | 1 stop (DEN) | 10:30 | 18:15 | 450.00
LAX | PLN | United Airlines | Non-stop | 12:00 | 19:30 | 480.00
LAX | PLN | Alaska Airlines | 1 stop (SEA) | 14:00 | 21:45 | 520.00
LAX | PLN | Spirit Airlines | 1 stop (LAS) | 16:00 | 23:59 | 380.00
LAX | PLN | Frontier Airlines | 1 stop (PHX) | 18:00 | 01:30 | 400.00
LAX | PLN | JetBlue Airways | Non-stop | 20:00 | 03:30 | 440.00
LAX | PLN | Southwest Airlines | 1 stop (DAL) | 22:00 | 05:15 | 460.00

PLN | LAX | American Airlines | Non-stop | 08:30 | 11:00 | 410.00
PLN | LAX | Delta Air Lines | 1 stop (MSP) | 10:00 | 14:30 | 480.00
PLN | LAX | United Airlines | Non-stop | 12:30 | 15:30 | 500.00
PLN | LAX | Alaska Airlines | 1 stop (PDX) | 14:30 | 18:15 | 540.00
PLN | LAX | Spirit Airlines | 1 stop (ORD) | 16:30 | 20:45 | 390.00
PLN | LAX | Frontier Airlines | 1 stop (IAH) | 18:30 | 22:59 | 420.00
PLN | LAX | JetBlue Airways | Non-stop | 20:30 | 23:30 | 450.00
PLN | LAX | Southwest Airlines | 1 stop (STL) | 22:30 | 02:15 | 470.00


Here are the 16 flight plans:

LAX | OGG | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
LAX | OGG | Delta Air Lines | 1 stop (SFO) | 09:15 | 13:45 | 450.00
LAX | OGG | United Airlines | Non-stop | 10:30 | 14:00 | 395.00
LAX | OGG | Hawaiian Airlines | Non-stop | 12:00 | 15:30 | 475.00
LAX | OGG | Alaska Airlines | 1 stop (SAN) | 13:45 | 17:15 | 420.00
LAX | OGG | Spirit Airlines | 1 stop (LAS) | 15:00 | 18:30 | 380.00
LAX | OGG | Frontier Airlines | 1 stop (DEN) | 16:15 | 20:45 | 410.00
LAX | OGG | Southwest Airlines | Non-stop | 18:00 | 21:30 | 440.00
OGG | LAX | American Airlines | Non-stop | 06:00 | 09:30 | 400.00
OGG | LAX | Delta Air Lines | 1 stop (HNL) | 07:15 | 11:45 | 465.00
OGG | LAX | United Airlines | Non-stop | 09:30 | 13:00 | 430.00
OGG | LAX | Hawaiian Airlines | Non-stop | 11:00 | 14:30 | 490.00
OGG | LAX | Alaska Airlines | 1 stop (PDX) | 12:45 | 16:15 | 450.00
OGG | LAX | Spirit Airlines | 1 stop (OAK) | 14:00 | 17:30 | 410.00
OGG | LAX | Frontier Airlines | 1 stop (PHX) | 15:15 | 18:45 | 440.00
OGG | LAX | Southwest Airlines | Non-stop | 17:00 | 20:30 | 470.00


Here are the 16 flight plans:

LAX | RAP | American Airlines | Non-stop | 08:00 | 11:15 | 425.00
LAX | RAP | Delta Air Lines | 1 stop (DEN) | 09:30 | 13:45 | 550.00
LAX | RAP | United Airlines | Non-stop | 10:45 | 14:00 | 475.00
LAX | RAP | Southwest Airlines | 1 stop (PHX) | 12:00 | 16:15 | 500.00
LAX | RAP | Alaska Airlines | Non-stop | 13:15 | 16:30 | 450.00
LAX | RAP | JetBlue Airways | 1 stop (SFO) | 14:30 | 18:45 | 525.00
LAX | RAP | Spirit Airlines | 1 stop (LAS) | 15:45 | 20:00 | 400.00
LAX | RAP | Frontier Airlines | Non-stop | 17:00 | 20:15 | 420.00
RAP | LAX | American Airlines | Non-stop | 08:30 | 09:45 | 400.00
RAP | LAX | Delta Air Lines | 1 stop (SLC) | 09:45 | 13:00 | 525.00
RAP | LAX | United Airlines | Non-stop | 11:00 | 12:15 | 450.00
RAP | LAX | Southwest Airlines | 1 stop (DEN) | 12:15 | 15:30 | 475.00
RAP | LAX | Alaska Airlines | Non-stop | 13:30 | 14:45 | 420.00
RAP | LAX | JetBlue Airways | 1 stop (PHX) | 14:45 | 17:00 | 500.00
RAP | LAX | Spirit Airlines | 1 stop (LAS) | 16:00 | 18:15 | 425.00
RAP | LAX | Frontier Airlines | Non-stop | 17:15 | 18:30 | 400.00


Here are the 16 flight plans:

LAX | MYR | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | MYR | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 520.00
