

ORD | IAH | United | 0 | 08:00 | 11:15 | 250.00
ORD | AMS | KL | 1 (CDG) | 09:15 | 19:30 | 520.00
ORD | AMS | AA | 0 | 10:30 | 20:00 | 480.00
ORD | AMS | LH | 1 (FRA) | 11:45 | 21:15 | 550.00
ORD | AMS | DL | 0 | 13:00 | 22:20 | 500.00
ORD | AMS | BA | 1 (LHR) | 14:15 | 23:30 | 580.00
ORD | AMS | UX | 0 | 15:30 | 00:45 | 530.00
ORD | AMS | AC | 1 (YYZ) | 16:45 | 02:00 | 610.00

AMS | ORD | KL | 0 | 08:00 | 10:30 | 420.00
AMS | ORD | UA | 1 (EWR) | 09:15 | 12:00 | 490.00
AMS | ORD | AA | 0 | 10:30 | 13:00 | 450.00
AMS | ORD | LH | 1 (MUC) | 11:45 | 14:30 | 520.00
AMS | ORD | DL | 0 | 13:00 | 15:30 | 480.00
AMS | ORD | BA | 1 (LHR) | 14:15 | 16:45 | 550.00
AMS | ORD | UX | 0 | 15:30 | 18:00 | 500.00
AMS | ORD | AC | 1 (YYZ) | 16:45 | 19:15 | 580.00


ORD | AUA | American Airlines | 1 (MIA) | 08:00 | 14:30 | 542.00
ORD | AUA | Delta Air Lines | 0 | 10:30 | 16:15 | 620.00
ORD | AUA | United Airlines | 1 (EWR) | 12:45 | 19:00 | 578.00
ORD | AUA | Spirit Airlines | 1 (FLL) | 14:15 | 20:45 | 450.00
ORD | AUA | JetBlue Airways | 0 | 16:00 | 21:30 | 650.00
ORD | AUA | Frontier Airlines | 1 (ATL) | 17:30 | 23:15 | 480.00
ORD | AUA | Southwest Airlines | 1 (BNA) | 19:00 | 00:45 | 520.00
ORD | AUA | Alaska Airlines | 0 | 21:00 | 02:30 | 700.00
AUA | ORD | American Airlines | 1 (CLT) | 08:30 | 14:45 | 560.00
AUA | ORD | Delta Air Lines | 0 | 10:00 | 16:25 | 640.00
AUA | ORD | United Airlines | 1 (IAH) | 11:45 | 18:15 | 590.00
AUA | ORD | Spirit Airlines | 1 (TPA) | 13:15 | 20:30 | 470.00
AUA | ORD | JetBlue Airways | 0 | 15:00 | 21:35 | 680.00
AUA | ORD | Frontier Airlines | 1 (MCO) | 16:30 | 22:50 | 500.00
AUA | ORD | Southwest Airlines | 1 (STL) | 18:00 | 00:20 | 550.00
AUA | ORD | Alaska Airlines | 0 | 20:00 | 02:40 | 730.00


Here are the 16 flight plans:

ORD | ATH | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
ORD | ATH | AA | 1 (CDG) | 10:00 | 20:30 | 900.00
ORD | ATH | DL | 1 (AMS) | 12:00 | 22:30 | 950.00
ORD | ATH | LH | 1 (FRA) | 14:00 | 00:30 | 1000.00
ORD | ATH | TK | 2 (IST, MXP) | 16:00 | 02:30 | 1100.00
ORD | ATH | AZ | 1 (FCO) | 18:00 | 04:30 | 1050.00
ORD | ATH | BA | 1 (LHR) | 20:00 | 06:30 | 1200.00
ORD | ATH | OA | 1 (SKG) | 22:00 | 08:30 | 1150.00
ATH | ORD | UA | 1 (LHR) | 08:00 | 18:30 | 900.00
ATH | ORD | AA | 1 (CDG) | 10:00 | 20:30 | 950.00
ATH | ORD | DL | 1 (AMS) | 12:00 | 22:30 | 1000.00
ATH | ORD | LH | 1 (FRA) | 14:00 | 00:30 | 1100.00
ATH | ORD | TK | 2 (IST, MXP) | 16:00 | 02:30 | 1200.00
ATH | ORD | AZ | 1 (FCO) | 18:00 | 04:30 | 1150.00
ATH | ORD | BA | 1 (LHR) | 20:00 | 06:30 | 1250.00
ATH | ORD | OA | 1 (SKG) | 22:00 | 08:30 | 1200.00


Here are the 16 flight plans:

ORD | AKL | NZ | 1 (HNL) | 08:30 | 06:15 | 850.00
ORD | AKL | UA | 2 (SFO, NRT) | 10:00 | 08:45 | 1200.00
ORD | AKL | AA | 1 (LAX) | 12:15 | 10:50 | 950.00
ORD | AKL | QF | 2 (DFW, SYD) | 14:30 | 13:15 | 1400.00
ORD | AKL | HA | 1 (HNL) | 16:45 | 15:30 | 1000.00
ORD | AKL | CX | 2 (LAX, HKG) | 19:00 | 17:45 | 1300.00
ORD | AKL | JL | 2 (NRT, SYD) | 21:15 | 20:00 | 1250.00
ORD | AKL | SQ | 1 (SIN) | 23:30 | 22:15 | 1100.00

AKL | ORD | NZ | 1 (HNL) | 08:45 | 06:30 | 900.00
AKL | ORD | UA | 2 (NRT, SFO) | 10:15 | 08:00 | 1150.00
AKL | ORD | AA | 1 (LAX) | 12:30 | 11:15 | 1050.00
AKL | ORD | QF | 2 (SYD, DFW) | 14:45 | 13:30 | 1350.00
AKL | ORD | HA | 1 (HNL) | 17:00 | 15:45 | 950.00
AKL | ORD | CX | 2 (HKG, LAX) | 19:15 | 18:00 | 1200.00
AKL | ORD | JL | 2 (SYD, NRT) | 21:30 | 20:15 | 1100.00
AKL | ORD | SQ | 1 (SIN) | 23:45 | 22:30 | 1000.00


Here are the 16 flight plans:

ORD | DPS | UA | 1 (HKG) | 13:30 | 20:35 | 850.00
ORD | DPS | AA | 2 (LAX, NRT) | 08:00 | 21:50 | 1100.00
ORD | DPS | SQ | 1 (SIN) | 10:45 | 22:15 | 1200.00
ORD | DPS | CX | 1 (HKG) | 14:15 | 23:50 | 1050.00
ORD | DPS | JL | 2 (LAX, NRT) | 09:00 | 22:20 | 1300.00
ORD | DPS | QF | 1 (SYD) | 11:30 | 23:05 | 1250.00
ORD | DPS | NH | 2 (LAX, NRT) | 08:30 | 21:45 | 1150.00
ORD | DPS | TG | 1 (BKK) | 12:00 | 22:40 | 1000.00

DPS | ORD | UA | 1 (HKG) | 09:00 | 19:25 | 900.00
DPS | ORD | AA | 2 (NRT, LAX) | 11:30 | 22:10 | 1250.00
DPS | ORD | SQ | 1 (SIN) | 08:15 | 18:40 | 1050.00
DPS | ORD | CX | 1 (HKG) | 10:45 | 20:15 | 950.00
DPS | ORD | JL | 2 (NRT, LAX) | 09:45 | 21:20 | 1300.00
DPS | ORD | QF | 1 (SYD) | 12:15 | 22:50 | 1150.00
DPS | ORD | NH | 2 (NRT, LAX) | 11:00 | 21:35 | 1100.00
DPS | ORD | TG | 1 (BKK) | 09:30 | 20:05 | 900.00


ORD | BCN | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
ORD | BCN | Iberia | Non-stop | 10:00 | 20:30 | 950.00
ORD | BCN | Lufthansa | 1 stop (FRA) | 12:00 | 22:50 | 720.00
ORD | BCN | United Airlines | Non-stop | 14:00 | 00:30 | 780.00
ORD | BCN | Delta Air Lines | 1 stop (CDG) | 16:00 | 02:20 | 690.00
ORD | BCN | Swiss International | 1 stop (ZRH) | 18:00 | 04:10 | 820.00
ORD | BCN | Air Europa | 1 stop (MAD) | 20:00 | 06:00 | 750.00
ORD | BCN | TAP Air Portugal | 1 stop (LIS) | 22:00 | 08:30 | 680.00
BCN | ORD | American Airlines | Non-stop | 09:00 | 11:30 | 920.00
BCN | ORD | Iberia | Non-stop | 11:00 | 13:30 | 980.00
BCN | ORD | Lufthansa | 1 stop (FRA) | 13:00 | 17:20 | 790.00
BCN | ORD | United Airlines | Non-stop | 15:00 | 17:30 | 840.00
BCN | ORD | Delta Air Lines | 1 stop (CDG) | 17:00 | 21:20 | 740.00
BCN | ORD | Swiss International | 1 stop (ZRH) | 19:00 | 23:10 | 870.00
BCN | ORD | Air Europa | 1 stop (MAD) | 21:00 | 01:00 | 810.00
BCN | ORD | TAP Air Portugal | 1 stop (LIS) | 23:00 | 03:30 | 730.00


Here are the 16 flight plans:

ORD | PEK | UA | 1 (NRT) | 14:30 | 17:45 | 850.00
ORD | PEK | CA | 0 | 10:15 | 13:20 | 1200.00
ORD | PEK | AA | 2 (DFW, HKG) | 08:00 | 12:30 | 1100.00
ORD | PEK | JL | 1 (HND) | 16:45 | 20:00 | 900.00
ORD | PEK | MU | 0 | 12:00 | 15:05 | 1300.00
ORD | PEK | CX | 1 (HKG) | 09:30 | 13:35 | 1000.00
ORD | PEK | KE | 2 (ATL, ICN) | 11:00 | 15:35 | 1050.00
ORD | PEK | HU | 1 (XIY) | 13:15 | 16:40 | 950.00
PEK | ORD | UA | 1 (SFO) | 09:00 | 07:30 | 900.00
PEK | ORD | CA | 0 | 14:30 | 12:50 | 1300.00
PEK | ORD | AA | 2 (LAX, DFW) | 11:45 | 10:20 | 1100.00
PEK | ORD | JL | 1 (NRT) | 16:00 | 14:30 | 850.00
PEK | ORD | MU | 0 | 10:00 | 08:30 | 1200.00
PEK | ORD | CX | 1 (HKG) | 08:15 | 06:45 | 1000.00
PEK | ORD | KE | 2 (ICN, SEA) | 13:30 | 11:50 | 1050.00
PEK | ORD | HU | 1 (XIY) | 15:45 | 14:10 | 950.00


ORD | BER | Lufthansa | 1 (FRA) | 08:00 | 16:30 | 850.00
ORD | BER | United | 2 (EWR, FRA) | 10:00 | 20:30 | 950.00
ORD | BER | American | 1 (PHL) | 12:00 | 22:00 | 800.00
ORD | BER | Delta | 0 | 14:00 | 18:00 | 700.00
ORD | BER | Air Berlin | 1 (DUS) | 16:00 | 23:59 | 650.00
ORD | BER | Austrian | 1 (VIE) | 18:00 | 01:00 | 750.00
ORD | BER | Swiss | 1 (ZRH) | 20:00 | 02:30 | 900.00
ORD | BER | Turkish | 1 (IST) | 22:00 | 05:00 | 1000.00
BER | ORD | Lufthansa | 1 (FRA) | 08:00 | 10:30 | 850.00
BER | ORD | United | 2 (FRA, EWR) | 10:00 | 16:30 | 950.00
BER | ORD | American | 1 (PHL) | 12:00 | 18:00 | 800.00
BER | ORD | Delta | 0 | 14:00 | 16:00 | 700.00
BER | ORD | Air Berlin | 1 (DUS) | 16:00 | 20:00 | 650.00
BER | ORD | Austrian | 1 (VIE) | 18:00 | 22:30 | 750.00
BER | ORD | Swiss | 1 (ZRH) | 20:00 | 00:30 | 900.00
BER | ORD | Turkish | 1 (IST) | 22:00 | 04:00 | 1000.00


ORD | EZE | American Airlines | 0 | 08:00 | 20:30 | 850.00
ORD | EZE | LATAM | 1 (SCL) | 10:00 | 23:59 | 720.00
ORD | EZE | United Airlines | 0 | 14:00 | 02:00 | 950.00
ORD | EZE | Delta Air Lines | 1 (ATL) | 16:00 | 04:30 | 820.00
ORD | EZE | Aerolineas Argentinas | 0 | 18:00 | 06:00 | 900.00
ORD | EZE | Avianca | 1 (BOG) | 20:00 | 08:30 | 780.00
ORD | EZE | Copa Airlines | 1 (PTY) | 22:00 | 10:30 | 840.00
ORD | EZE | Qantas | 2 (LAX, SCL) | 00:00 | 14:30 | 1,050.00
EZE | ORD | American Airlines | 0 | 08:00 | 20:30 | 850.00
EZE | ORD | LATAM | 1 (SCL) | 10:00 | 23:59 | 720.00
EZE | ORD | United Airlines | 0 | 14:00 | 02:00 | 950.00
EZE | ORD | Delta Air Lines | 1 (ATL) | 16:00 | 04:30 | 820.00
EZE | ORD | Aerolineas Argentinas | 0 | 18:00 | 06:00 | 900.00
EZE | ORD | Avianca | 1 (BOG) | 20:00 | 08:30 | 780.00
EZE | ORD | Copa Airlines | 1 (PTY) | 22:00 | 10:30 | 840.00
EZE | ORD | Qantas | 2 (LAX, SCL) | 00:00 | 14:30 | 1,050.00
EZE | ORD | Air Canada | 1 (YYZ) | 06:00 | 18:30 | 910.00


Here are the 16 flight plans:

ORD | SJD | American Airlines | Non-stop | 08:00 | 11:35 | 542.00
ORD | SJD | United Airlines | 1 stop (IAH) | 09:15 | 13:50 | 625.00
ORD | SJD | Delta Air Lines | Non-stop | 10:30 | 14:05 | 580.00
ORD | SJD | Frontier Airlines | 1 stop (DEN) | 11:45 | 16:20 | 520.00
ORD | SJD | Spirit Airlines | 1 stop (DFW) | 12:50 | 17:25 | 450.00
ORD | SJD | Alaska Airlines | Non-stop | 14:00 | 17:35 | 650.00
ORD | SJD | JetBlue Airways | 1 stop (LAX) | 15:15 | 19:50 | 600.00
ORD | SJD | Southwest Airlines | 1 stop (PHX) | 16:30 | 21:05 | 550.00
SJD | ORD | American Airlines | Non-stop | 08:00 | 12:35 | 542.00
SJD | ORD | United Airlines | 1 stop (SFO) | 09:15 | 14:50 | 625.00
SJD | ORD | Delta Air Lines | Non-stop | 10:30 | 15:05 | 580.00
SJD | ORD | Frontier Airlines | 1 stop (MIA) | 11:45 | 16:20 | 520.00
SJD | ORD | Spirit Airlines | 1 stop (ATL) | 12:50 | 17:25 | 450.00
SJD | ORD | Alaska Airlines | Non-stop | 14:00 | 17:35 | 650.00
SJD | ORD | JetBlue Airways | 1 stop (JFK) | 15:15 | 19:50 | 600.00
SJD | ORD | Southwest Airlines | 1 stop (DAL) | 16:30 | 21:05 | 550.00
SJD | ORD | Aeromexico | Non-stop | 17:45 | 21:20 | 620.00


ORD | CAI | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
ORD | CAI | Emirates | 1 (DXB) | 09:30 | 20:00 | 920.00
ORD | CAI | Turkish Airlines | 1 (IST) | 10:00 | 21:00 | 780.00
ORD | CAI | British Airways | 1 (LHR) | 11:00 | 22:00 | 950.00
ORD | CAI | EgyptAir | 0 | 12:00 | 23:30 | 600.00
ORD | CAI | KLM | 1 (AMS) | 13:00 | 00:30 | 820.00
ORD | CAI | Air France | 1 (CDG) | 14:00 | 01:30 | 900.00
ORD | CAI | Swiss International | 1 (ZRH) | 15:00 | 02:30 | 860.00
CAI | ORD | Lufthansa | 1 (FRA) | 08:00 | 14:30 | 870.00
CAI | ORD | Emirates | 1 (DXB) | 09:30 | 16:00 | 940.00
CAI | ORD | Turkish Airlines | 1 (IST) | 10:00 | 17:00 | 800.00
CAI | ORD | British Airways | 1 (LHR) | 11:00 | 18:00 | 970.00
CAI | ORD | EgyptAir | 0 | 12:00 | 19:30 | 620.00
CAI | ORD | KLM | 1 (AMS) | 13:00 | 20:30 | 840.00
CAI | ORD | Air France | 1 (CDG) | 14:00 | 21:30 | 920.00
CAI | ORD | Swiss International | 1 (ZRH) | 15:00 | 22:30 | 880.00
CAI | ORD | United Airlines | 1 (EWR) | 16:00 | 23:30 | 810.00


ORD | CUN | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
ORD | CUN | United Airlines | 1 stop (IAH) | 09:15 | 14:45 | 520.00
ORD | CUN | Delta Air Lines | Non-stop | 10:30 | 15:00 | 480.00
ORD | CUN | Spirit Airlines | 1 stop (FLL) | 11:45 | 17:15 | 380.00
ORD | CUN | Frontier Airlines | 1 stop (DEN) | 12:00 | 18:30 | 420.00
ORD | CUN | Aeromexico | Non-stop | 13:15 | 17:45 | 500.00
ORD | CUN | Southwest Airlines | 1 stop (HOU) | 14:30 | 19:00 | 440.00
ORD | CUN | VivaAerobus | 1 stop (GDL) | 15:45 | 20:15 | 400.00
CUN | ORD | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
CUN | ORD | United Airlines | 1 stop (EWR) | 09:15 | 14:45 | 520.00
CUN | ORD | Delta Air Lines | Non-stop | 10:30 | 15:00 | 480.00
CUN | ORD | Spirit Airlines | 1 stop (BWI) | 11:45 | 17:15 | 380.00
CUN | ORD | Frontier Airlines | 1 stop (MCO) | 12:00 | 18:30 | 420.00
CUN | ORD | Aeromexico | Non-stop | 13:15 | 17:45 | 500.00
CUN | ORD | Southwest Airlines | 1 stop (STL) | 14:30 | 19:00 | 440.00
CUN | ORD | VivaAerobus | 1 stop (PVR) | 15:45 | 20:15 | 400.00
CUN | ORD | Interjet | Non-stop | 16:00 | 20:30 | 460.00


ORD | CPT | UA | 0 | 08:00 | 18:30 | 850.00
ORD | CPT | AA | 1 (LHR) | 09:15 | 20:45 | 950.00
ORD | CPT | BA | 2 (LHR, JNB) | 10:30 | 22:15 | 1100.00
ORD | CPT | SA | 0 | 11:45 | 21:15 | 1000.00
ORD | CPT | DL | 1 (AMS) | 12:50 | 23:20 | 1050.00
ORD | CPT | LH | 2 (FRA, JNB) | 14:05 | 00:40 | 1250.00
ORD | CPT | KL | 1 (AMS) | 15:20 | 01:50 | 1150.00
ORD | CPT | QR | 0 | 16:35 | 02:05 | 1200.00
CPT | ORD | UA | 0 | 08:30 | 18:00 | 900.00
CPT | ORD | AA | 1 (LHR) | 09:45 | 20:15 | 1000.00
CPT | ORD | BA | 2 (JNB, LHR) | 11:00 | 21:45 | 1150.00
CPT | ORD | SA | 0 | 12:15 | 22:45 | 1050.00
CPT | ORD | DL | 1 (AMS) | 13:30 | 23:55 | 1100.00
CPT | ORD | LH | 2 (JNB, FRA) | 14:45 | 01:20 | 1250.00
CPT | ORD | KL | 1 (AMS) | 16:00 | 02:30 | 1150.00
CPT | ORD | QR | 0 | 17:15 | 03:45 | 1200.00


ORD | CPH | AA | 0 | 08:00 | 18:30 | 450.00
ORD | CPH | UA | 1 (AMS) | 09:30 | 20:15 | 520.00
ORD | CPH | DL | 0 | 11:00 | 21:45 | 480.00
ORD | CPH | LH | 1 (FRA) | 12:30 | 23:00 | 550.00
ORD | CPH | SK | 0 | 14:00 | 00:30 | 500.00
ORD | CPH | BA | 1 (LHR) | 15:30 | 02:15 | 580.00
ORD | CPH | KL | 1 (AMS) | 17:00 | 03:45 | 520.00
ORD | CPH | AF | 1 (CDG) | 19:00 | 05:30 | 600.00
CPH | ORD | AA | 0 | 09:00 | 11:30 | 420.00
CPH | ORD | UA | 1 (LHR) | 10:30 | 13:15 | 490.00
CPH | ORD | DL | 0 | 12:00 | 14:45 | 450.00
CPH | ORD | LH | 1 (FRA) | 13:30 | 16:00 | 510.00
CPH | ORD | SK | 0 | 15:00 | 17:30 | 480.00
CPH | ORD | BA | 1 (LHR) | 16:30 | 19:15 | 530.00
CPH | ORD | KL | 1 (AMS) | 18:00 | 20:45 | 500.00
CPH | ORD | AF | 1 (CDG) | 20:00 | 22:30 | 550.00


Here are the 16 flight plans:

ORD | DXB | Emirates | 1 (LHR) | 14:30 | 12:15 | 850.00
ORD | DXB | Qatar Airways | 1 (DOH) | 16:45 | 14:20 | 920.00
ORD | DXB | Turkish Airlines | 1 (IST) | 18:10 | 16:00 | 780.00
ORD | DXB | Lufthansa | 1 (FRA) | 20:30 | 18:10 | 900.00
ORD | DXB | American Airlines | 1 (CDG) | 22:00 | 19:40 | 950.00
ORD | DXB | United Airlines | 1 (EWR) | 08:15 | 06:05 | 980.00
ORD | DXB | Delta Air Lines | 1 (AMS) | 10:40 | 08:25 | 840.00
ORD | DXB | Air India | 2 (DEL, BOM) | 12:50 | 10:30 | 1100.00

DXB | ORD | Emirates | 1 (LHR) | 02:15 | 06:05 | 900.00
DXB | ORD | Qatar Airways | 1 (DOH) | 04:45 | 08:30 | 970.00
DXB | ORD | Turkish Airlines | 1 (IST) | 07:10 | 11:00 | 850.00
DXB | ORD | Lufthansa | 1 (FRA) | 09:30 | 13:20 | 930.00
DXB | ORD | American Airlines | 1 (CDG) | 11:45 | 15:35 | 1000.00
DXB | ORD | United Airlines | 1 (EWR) | 14:00 | 18:00 | 1050.00
DXB | ORD | Delta Air Lines | 1 (AMS) | 16:25 | 20:15 | 890.00
DXB | ORD | Air France | 2 (CDG, AMS) | 18:50 | 22:40 | 1200.00


ORD | DUB | American Airlines | 0 | 08:00 | 17:30 | 850.00
ORD | DUB | United Airlines | 1 (LHR) | 10:30 | 19:15 | 720.00
ORD | DUB | Lufthansa | 1 (FRA) | 12:45 | 21:00 | 950.00
ORD | DUB | Delta Air Lines | 0 | 14:00 | 22:30 | 800.00
ORD | DUB | Aer Lingus | 0 | 16:15 | 00:45 | 750.00
ORD | DUB | KLM Royal Dutch | 1 (AMS) | 18:30 | 02:15 | 880.00
ORD | DUB | British Airways | 1 (LHR) | 20:45 | 04:30 | 920.00
ORD | DUB | Swiss International | 1 (ZRH) | 22:50 | 06:25 | 1050.00
DUB | ORD | American Airlines | 0 | 09:00 | 11:30 | 900.00
DUB | ORD | United Airlines | 1 (EWR) | 11:15 | 14:45 | 780.00
DUB | ORD | Lufthansa | 1 (FRA) | 13:30 | 17:00 | 1020.00
DUB | ORD | Delta Air Lines | 0 | 15:45 | 19:15 | 860.00
DUB | ORD | Aer Lingus | 0 | 18:00 | 21:30 | 820.00
DUB | ORD | KLM Royal Dutch | 1 (AMS) | 20:15 | 23:45 | 940.00
DUB | ORD | British Airways | 1 (LHR) | 22:30 | 02:00 | 1000.00
DUB | ORD | Swiss International | 1 (ZRH) | 00:45 | 04:15 | 1080.00


Here are the 16 flight plans:

ORD | EDI | AA | 0 | 08:00 | 17:45 | 450.00
ORD | EDI | BA | 1 (LHR) | 10:30 | 20:15 | 520.00
ORD | EDI | UA | 0 | 12:45 | 22:30 | 480.00
ORD | EDI | LH | 1 (FRA) | 14:00 | 23:50 | 550.00
ORD | EDI | DL | 0 | 16:15 | 01:00 | 500.00
ORD | EDI | VS | 1 (LHR) | 18:30 | 03:15 | 580.00
ORD | EDI | AC | 1 (YYZ) | 20:45 | 05:30 | 610.00
ORD | EDI | KL | 1 (AMS) | 22:50 | 07:35 | 630.00
EDI | ORD | AA | 0 | 08:00 | 10:45 | 420.00
EDI | ORD | BA | 1 (LHR) | 10:30 | 13:15 | 490.00
EDI | ORD | UA | 0 | 12:45 | 15:30 | 450.00
EDI | ORD | LH | 1 (FRA) | 14:00 | 16:50 | 520.00
EDI | ORD | DL | 0 | 16:15 | 18:00 | 480.00
EDI | ORD | VS | 1 (LHR) | 18:30 | 21:15 | 550.00
EDI | ORD | AC | 1 (YYZ) | 20:45 | 23:30 | 580.00
EDI | ORD | KL | 1 (AMS) | 22:50 | 01:35 | 600.00


ORD | HAN | Vietnam Airlines | 1 (NRT) | 13:30 | 06:15 | 850.00
ORD | HAN | Japan Airlines | 1 (HKG) | 14:45 | 07:30 | 920.00
ORD | HAN | Korean Air | 1 (ICN) | 16:00 | 09:05 | 980.00
ORD | HAN | China Eastern | 2 (PVG, KMG) | 18:15 | 12:20 | 1100.00
ORD | HAN | Asiana Airlines | 1 (ICN) | 20:30 | 14:25 | 1050.00
ORD | HAN | ANA | 1 (NRT) | 22:00 | 16:05 | 1000.00
ORD | HAN | Cathay Pacific | 1 (HKG) | 08:00 | 04:05 | 950.00
ORD | HAN | Singapore Airlines | 1 (SIN) | 10:15 | 06:10 | 1020.00
HAN | ORD | Vietnam Airlines | 1 (NRT) | 08:30 | 19:25 | 880.00
HAN | ORD | Japan Airlines | 1 (HKG) | 10:45 | 21:40 | 960.00
HAN | ORD | Korean Air | 1 (ICN) | 12:00 | 23:05 | 1010.00
HAN | ORD | China Eastern | 2 (KMG, PVG) | 14:15 | 02:20 | 1120.00
HAN | ORD | Asiana Airlines | 1 (ICN) | 16:30 | 04:25 | 1060.00
HAN | ORD | ANA | 1 (NRT) | 18:00 | 06:05 | 1030.00
HAN | ORD | Cathay Pacific | 1 (HKG) | 20:15 | 08:10 | 980.00
HAN | ORD | Singapore Airlines | 1 (SIN) | 22:30 | 10:25 | 1040.00


Here are the 16 flight plans:

ORD | HKG | UA | 1 (NRT) | 10:00 | 14:30 | 850.00
ORD | HKG | AA | 2 (DFW, NRT) | 08:30 | 16:15 | 950.00
ORD | HKG | CX | 0 | 13:00 | 18:00 | 1,200.00
ORD | HKG | JL | 1 (NRT) | 11:45 | 16:15 | 1,050.00
ORD | HKG | CA | 1 (PEK) | 09:15 | 15:30 | 900.00
ORD | HKG | SQ | 1 (SIN) | 10:30 | 16:45 | 1,100.00
ORD | HKG | KE | 1 (ICN) | 12:00 | 17:30 | 1,000.00
ORD | HKG | BR | 1 (TPE) | 11:15 | 16:45 | 950.00

HKG | ORD | UA | 1 (NRT) | 09:00 | 08:30 | 900.00
HKG | ORD | AA | 2 (DFW, LAX) | 11:30 | 11:15 | 1,050.00
HKG | ORD | CX | 0 | 14:30 | 14:00 | 1,250.00
HKG | ORD | JL | 1 (NRT) | 13:15 | 12:45 | 1,100.00
HKG | ORD | CA | 1 (PEK) | 10:45 | 10:15 | 950.00
HKG | ORD | SQ | 1 (SIN) | 12:00 | 11:30 | 1,150.00
HKG | ORD | KE | 1 (ICN) | 11:45 | 11:15 | 1,050.00
HKG | ORD | BR | 1 (TPE) | 10:15 | 09:45 | 900.00


Here are the 16 flight plans:

ORD | IST | Turkish Airlines | Non-stop | 08:00 | 17:30 | 850.00
ORD | IST | Lufthansa | 1 (FRA) | 10:30 | 20:00 | 1050.00
ORD | IST | United Airlines | Non-stop | 13:45 | 23:15 | 900.00
ORD | IST | American Airlines | 1 (PHL) | 15:00 | 01:30 | 1200.00
ORD | IST | Emirates | 1 (DXB) | 18:00 | 04:00 | 1100.00
ORD | IST | Delta Air Lines | Non-stop | 20:15 | 06:45 | 950.00
ORD | IST | Qatar Airways | 1 (DOH) | 21:30 | 07:00 | 1000.00
ORD | IST | Austrian Airlines | 1 (VIE) | 22:45 | 08:15 | 1150.00
IST | ORD | Turkish Airlines | Non-stop | 09:00 | 13:30 | 800.00
IST | ORD | Lufthansa | 1 (FRA) | 11:30 | 16:00 | 1000.00
IST | ORD | United Airlines | Non-stop | 14:15 | 18:45 | 850.00
IST | ORD | American Airlines | 1 (PHL) | 16:00 | 22:30 | 1100.00
IST | ORD | Emirates | 1 (DXB) | 19:00 | 01:30 | 1050.00
IST | ORD | Delta Air Lines | Non-stop | 21:15 | 04:45 | 900.00
IST | ORD | Qatar Airways | 1 (DOH) | 22:30 | 06:00 | 950.00
IST | ORD | Austrian Airlines | 1 (VIE) | 23:45 | 07:15 | 1020.00


ORD | TLV | American Airlines | Non-stop | 13:45 | 06:15 | 850.00
ORD | TLV | El Al | Non-stop | 20:10 | 12:40 | 900.00
ORD | TLV | United Airlines | 1 stop (AMS) | 08:00 | 18:30 | 750.00
ORD | TLV | Lufthansa | 1 stop (FRA) | 14:30 | 09:50 | 800.00
ORD | TLV | Turkish Airlines | 1 stop (IST) | 18:00 | 12:20 | 700.00
ORD | TLV | Delta Air Lines | 2 stops (CDG, AMS) | 09:30 | 20:10 | 650.00
ORD | TLV | Austrian Airlines | 2 stops (VIE, IST) | 11:45 | 21:40 | 600.00
ORD | TLV | Swiss International | 2 stops (ZRH, FRA) | 16:15 | 10:50 | 720.00
TLV | ORD | El Al | Non-stop | 08:30 | 12:10 | 950.00
TLV | ORD | American Airlines | Non-stop | 23:50 | 05:20 | 880.00
TLV | ORD | United Airlines | 1 stop (LHR) | 14:00 | 20:40 | 780.00
TLV | ORD | Lufthansa | 1 stop (MUC) | 10:15 | 18:50 | 820.00
TLV | ORD | Turkish Airlines | 1 stop (IST) | 17:00 | 23:30 | 740.00
TLV | ORD | Delta Air Lines | 2 stops (CDG, AMS) | 12:30 | 22:10 | 680.00
TLV | ORD | Austrian Airlines | 2 stops (VIE, FRA) | 15:45 | 00:20 | 620.00
TLV | ORD | Swiss International | 2 stops (ZRH, LHR) | 19:15 | 02:50 | 760.00


ORD | LIM | American Airlines | 1 (MIA) | 08:00 | 18:35 | 850.00
ORD | LIM | LATAM | 0 | 10:30 | 20:50 | 950.00
ORD | LIM | United Airlines | 1 (IAH) | 12:45 | 22:10 | 780.00
ORD | LIM | Avianca | 1 (BOG) | 14:20 | 23:40 | 920.00
ORD | LIM | Delta Air Lines | 1 (ATL) | 16:00 | 00:25 | 870.00
ORD | LIM | Copa Airlines | 1 (PTY) | 18:15 | 02:35 | 840.00
ORD | LIM | Spirit Airlines | 1 (FLL) | 20:30 | 04:50 | 760.00
ORD | LIM | Aeromexico | 1 (MEX) | 22:45 | 06:05 | 900.00
LIM | ORD | LATAM | 0 | 09:15 | 17:30 | 980.00
LIM | ORD | American Airlines | 1 (MIA) | 11:45 | 20:00 | 820.00
LIM | ORD | United Airlines | 1 (IAH) | 14:10 | 22:25 | 890.00
LIM | ORD | Avianca | 1 (BOG) | 16:35 | 00:55 | 940.00
