

Here are the 16 flight plans:

JFK | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
JFK | FAT | Frontier Airlines | 1 stop (DEN) | 16:00 | 20:15 | 490.00
JFK | FAT | Southwest Airlines | Non-stop | 17:30 | 20:45 | 530.00
FAT | JFK | American Airlines | Non-stop | 06:00 | 13:15 | 470.00
FAT | JFK | Delta Air Lines | 1 stop (ATL) | 07:30 | 15:45 | 540.00
FAT | JFK | United Airlines | Non-stop | 09:00 | 16:15 | 500.00
FAT | JFK | JetBlue Airways | 1 stop (MIA) | 10:30 | 18:45 | 570.00
FAT | JFK | Alaska Airlines | Non-stop | 12:00 | 19:15 | 520.00
FAT | JFK | Spirit Airlines | 1 stop (DFW) | 13:30 | 21:45 | 450.00
FAT | JFK | Frontier Airlines | 1 stop (PHX) | 15:00 | 23:15 | 510.00
FAT | JFK | Southwest Airlines | Non-stop | 16:30 | 00:45 | 550.00


Here are the 16 flight plans:

JFK | SJC | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
JFK | SJC | Delta Air Lines | 1 stop (LAX) | 09:30 | 13:45 | 520.00
JFK | SJC | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
JFK | SJC | JetBlue Airways | 1 stop (DEN) | 12:15 | 17:30 | 550.00
JFK | SJC | Alaska Airlines | Non-stop | 14:00 | 17:15 | 500.00
JFK | SJC | Spirit Airlines | 1 stop (ORD) | 15:30 | 20:45 | 420.00
JFK | SJC | Frontier Airlines | 1 stop (MIA) | 17:00 | 22:15 | 490.00
JFK | SJC | Southwest Airlines | Non-stop | 19:15 | 22:30 | 530.00

SJC | JFK | American Airlines | Non-stop | 06:00 | 14:15 | 420.00
SJC | JFK | Delta Air Lines | 1 stop (ATL) | 07:30 | 16:45 | 500.00
SJC | JFK | United Airlines | Non-stop | 09:00 | 17:15 | 450.00
SJC | JFK | JetBlue Airways | 1 stop (BOS) | 11:15 | 19:30 | 520.00
SJC | JFK | Alaska Airlines | Non-stop | 12:45 | 20:00 | 480.00
SJC | JFK | Spirit Airlines | 1 stop (DFW) | 14:30 | 22:45 | 490.00
SJC | JFK | Frontier Airlines | 1 stop (PHX) | 16:00 | 00:15 | 510.00
SJC | JFK | Southwest Airlines | Non-stop | 18:15 | 02:30 | 550.00


Here are the 16 flight plans:

JFK | SGU | American Airlines | Non-stop | 08:00 | 11:05 | 425.00
JFK | SGU | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:40 | 495.00
JFK | SGU | United Airlines | Non-stop | 10:45 | 14:00 | 475.00
JFK | SGU | JetBlue Airways | 1 stop (BOS) | 12:15 | 16:20 | 450.00
JFK | SGU | Alaska Airlines | Non-stop | 14:00 | 17:10 | 405.00
JFK | SGU | Spirit Airlines | 1 stop (FLL) | 15:30 | 19:35 | 395.00
JFK | SGU | Frontier Airlines | 1 stop (DEN) | 17:00 | 21:05 | 425.00
JFK | SGU | Southwest Airlines | Non-stop | 18:30 | 21:40 | 450.00
SGU | JFK | American Airlines | Non-stop | 08:00 | 11:05 | 425.00
SGU | JFK | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:40 | 495.00
SGU | JFK | United Airlines | Non-stop | 10:45 | 14:00 | 475.00
SGU | JFK | JetBlue Airways | 1 stop (BOS) | 12:15 | 16:20 | 450.00
SGU | JFK | Alaska Airlines | Non-stop | 14:00 | 17:10 | 405.00
SGU | JFK | Spirit Airlines | 1 stop (FLL) | 15:30 | 19:35 | 395.00
SGU | JFK | Frontier Airlines | 1 stop (DEN) | 17:00 | 21:05 | 425.00
SGU | JFK | Southwest Airlines | Non-stop | 18:30 | 21:40 | 450.00


Here are the 16 flight plans:

JFK | LAS | American Airlines | Non-stop | 08:00 | 11:05 | 420.00
JFK | LAS | Delta Air Lines | 1 stop (DFW) | 09:30 | 13:45 | 480.00
JFK | LAS | United Airlines | Non-stop | 10:45 | 14:00 | 450.00
JFK | LAS | JetBlue Airways | 1 stop (BOS) | 12:15 | 16:30 | 510.00
JFK | LAS | Alaska Airlines | Non-stop | 14:00 | 17:15 | 490.00
JFK | LAS | Spirit Airlines | 1 stop (FLL) | 15:30 | 20:45 | 430.00
JFK | LAS | Frontier Airlines | 1 stop (DEN) | 17:00 | 22:15 | 460.00
JFK | LAS | Southwest Airlines | Non-stop | 19:15 | 22:30 | 500.00
LAS | JFK | American Airlines | Non-stop | 06:00 | 13:05 | 440.00
LAS | JFK | Delta Air Lines | 1 stop (ATL) | 07:30 | 15:45 | 520.00
LAS | JFK | United Airlines | Non-stop | 09:00 | 16:05 | 470.00
LAS | JFK | JetBlue Airways | 1 stop (MCO) | 11:15 | 18:30 | 540.00
LAS | JFK | Alaska Airlines | Non-stop | 13:00 | 20:05 | 510.00
LAS | JFK | Spirit Airlines | 1 stop (ORD) | 14:30 | 21:45 | 450.00
LAS | JFK | Frontier Airlines | 1 stop (PHX) | 16:00 | 23:15 | 480.00
LAS | JFK | Southwest Airlines | Non-stop | 18:15 | 01:30 | 530.00


Here are the 16 flight plans:

JFK | AMS | Delta | Non-stop | 08:00 | 18:30 | 450.00
JFK | AMS | KLM | Non-stop | 10:00 | 20:30 | 520.00
JFK | AMS | American | 1 stop (LHR) | 12:00 | 22:30 | 580.00
JFK | AMS | United | 1 stop (EWR) | 14:00 | 00:30 | 620.00
JFK | AMS | Lufthansa | 2 stops (FRA, MUC) | 16:00 | 02:30 | 750.00
JFK | AMS | Air France | 1 stop (CDG) | 18:00 | 04:30 | 680.00
JFK | AMS | British Airways | 1 stop (LHR) | 20:00 | 06:30 | 700.00
JFK | AMS | Swiss | 1 stop (ZRH) | 22:00 | 08:30 | 720.00

AMS | JFK | KLM | Non-stop | 08:00 | 10:00 | 500.00
AMS | JFK | Delta | Non-stop | 10:00 | 12:00 | 480.00
AMS | JFK | American | 1 stop (LHR) | 12:00 | 14:30 | 610.00
AMS | JFK | United | 1 stop (EWR) | 14:00 | 16:30 | 650.00
AMS | JFK | Lufthansa | 2 stops (FRA, MUC) | 16:00 | 18:30 | 780.00
AMS | JFK | Air France | 1 stop (CDG) | 18:00 | 20:30 | 710.00
AMS | JFK | British Airways | 1 stop (LHR) | 20:00 | 22:30 | 730.00
AMS | JFK | Swiss | 1 stop (ZRH) | 22:00 | 00:30 | 750.00


Here are the 16 flight plans:

JFK | AUA | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
JFK | AUA | Delta Air Lines | 1 stop (MIA) | 09:15 | 14:45 | 520.00
JFK | AUA | JetBlue Airways | Non-stop | 10:30 | 15:00 | 480.00
JFK | AUA | United Airlines | 1 stop (EWR) | 11:45 | 17:15 | 550.00
JFK | AUA | Spirit Airlines | 1 stop (FLL) | 13:00 | 18:30 | 420.00
JFK | AUA | Caribbean Airlines | Non-stop | 14:15 | 18:45 | 500.00
JFK | AUA | Avianca | 1 stop (BOG) | 15:30 | 21:00 | 580.00
JFK | AUA | Copa Airlines | 1 stop (PTY) | 16:45 | 22:15 | 560.00
AUA | JFK | American Airlines | Non-stop | 08:00 | 11:30 | 480.00
AUA | JFK | Delta Air Lines | 1 stop (ATL) | 09:15 | 14:45 | 520.00
AUA | JFK | JetBlue Airways | Non-stop | 10:30 | 14:00 | 450.00
AUA | JFK | United Airlines | 1 stop (IAD) | 11:45 | 16:15 | 550.00
AUA | JFK | Spirit Airlines | 1 stop (BWI) | 13:00 | 17:30 | 420.00
AUA | JFK | Caribbean Airlines | Non-stop | 14:15 | 17:45 | 500.00
AUA | JFK | Avianca | 1 stop (LIM) | 15:30 | 20:00 | 580.00
AUA | JFK | Copa Airlines | 1 stop (SJO) | 16:45 | 21:15 | 560.00


Here are the 16 flight plans:

JFK | ATH | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
JFK | ATH | Emirates | 1 stop (DXB) | 09:30 | 20:45 | 720.00
JFK | ATH | Lufthansa | 1 stop (FRA) | 10:15 | 21:50 | 900.00
JFK | ATH | Turkish Airlines | 1 stop (IST) | 11:00 | 22:20 | 780.00
JFK | ATH | British Airways | Non-stop | 12:30 | 23:50 | 950.00
JFK | ATH | Qatar Airways | 1 stop (DOH) | 13:45 | 01:10 | 820.00
JFK | ATH | KLM | 1 stop (AMS) | 14:50 | 02:20 | 860.00
JFK | ATH | Swiss International | 1 stop (ZRH) | 16:15 | 03:40 | 890.00

ATH | JFK | Aegean Airlines | Non-stop | 09:00 | 12:30 | 700.00
ATH | JFK | Delta Air Lines | 1 stop (CDG) | 10:30 | 14:50 | 760.00
ATH | JFK | Austrian Airlines | 1 stop (VIE) | 11:45 | 16:10 | 820.00
ATH | JFK | Alitalia | 1 stop (FCO) | 13:00 | 17:25 | 790.00
ATH | JFK | Iberia | 1 stop (MAD) | 14:15 | 18:40 | 850.00
ATH | JFK | TAP Air Portugal | 1 stop (LIS) | 15:30 | 20:00 | 810.00
ATH | JFK | Finnair | 1 stop (HEL) | 16:45 | 21:10 | 840.00
ATH | JFK | United Airlines | Non-stop | 18:00 | 22:30 | 920.00


Here are the 16 flight plans:

JFK | AKL | Qantas | 1 (LAX) | 08:00 | 06:00 (+1) | 850.00
JFK | AKL | American Airlines | 2 (LAX, HNL) | 10:00 | 09:00 (+1) | 1200.00
JFK | AKL | Air New Zealand | 0 | 14:00 | 05:00 (+1) | 950.00
JFK | AKL | Delta | 1 (SFO) | 16:00 | 12:00 (+1) | 1000.00
JFK | AKL | United | 2 (SFO, NRT) | 18:00 | 14:00 (+1) | 1300.00
JFK | AKL | Emirates | 1 (DXB) | 20:00 | 17:00 (+1) | 1100.00
JFK | AKL | Lufthansa | 2 (FRA, HKG) | 22:00 | 20:00 (+1) | 1400.00
JFK | AKL | Singapore Airlines | 1 (SIN) | 00:00 | 22:00 (+1) | 1050.00

AKL | JFK | Air New Zealand | 0 | 08:00 | 06:00 (-1) | 900.00
AKL | JFK | Qantas | 1 (MEL) | 10:00 | 08:00 (-1) | 1000.00
AKL | JFK | American Airlines | 2 (HNL, LAX) | 12:00 | 10:00 (-1) | 1250.00
AKL | JFK | Delta | 1 (SFO) | 14:00 | 12:00 (-1) | 950.00
AKL | JFK | United | 2 (NRT, SFO) | 16:00 | 14:00 (-1) | 1350.00
AKL | JFK | Emirates | 1 (DXB) | 18:00 | 16:00 (-1) | 1150.00
AKL | JFK | Lufthansa | 2 (HKG, FRA) | 20:00 | 18:00 (-1) | 1450.00
AKL | JFK | Singapore Airlines | 1 (SIN) | 22:00 | 20:00 (-1) | 1100.00


Here are the 16 flight plans:

JFK | DPS | Singapore Airlines | 1 (NRT) | 09:30 | 22:45 | 850.00
JFK | DPS | Qantas | 2 (LAX, BKK) | 13:15 | 06:10 | 1200.00
JFK | DPS | Emirates | 1 (DXB) | 20:00 | 09:30 | 1100.00
JFK | DPS | Turkish Airlines | 2 (IST, BOM) | 16:45 | 08:50 | 1300.00
JFK | DPS | Lufthansa | 1 (FRA) | 11:00 | 23:10 | 1000.00
JFK | DPS | China Eastern | 2 (PVG, KUL) | 14:30 | 05:45 | 900.00
JFK | DPS | Japan Airlines | 1 (NRT) | 18:00 | 07:30 | 1050.00
JFK | DPS | Korean Air | 2 (ICN, SIN) | 10:45 | 22:00 | 1250.00
DPS | JFK | Singapore Airlines | 1 (SIN) | 08:00 | 20:30 | 900.00
DPS | JFK | Qantas | 2 (BKK, LAX) | 14:00 | 06:45 | 1300.00
DPS | JFK | Emirates | 1 (DXB) | 20:30 | 08:00 | 1100.00
DPS | JFK | Turkish Airlines | 2 (BOM, IST) | 16:00 | 09:15 | 1400.00
DPS | JFK | Lufthansa | 1 (FRA) | 11:30 | 23:40 | 1050.00
DPS | JFK | China Eastern | 2 (KUL, PVG) | 15:00 | 06:20 | 950.00
DPS | JFK | Japan Airlines | 1 (NRT) | 18:30 | 08:00 | 1100.00
DPS | JFK | Korean Air | 2 (SIN, ICN) | 10:00 | 22:15 | 1350.00


Here are the 16 flight plans:

JFK | BCN | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
JFK | BCN | Iberia | 1 stop (MAD) | 10:30 | 20:45 | 520.00
JFK | BCN | Delta | Non-stop | 12:00 | 22:15 | 480.00
JFK | BCN | Lufthansa | 1 stop (FRA) | 14:00 | 00:30 | 550.00
JFK | BCN | United | Non-stop | 16:00 | 02:15 | 500.00
JFK | BCN | Air Europa | 1 stop (MAD) | 18:00 | 04:30 | 530.00
JFK | BCN | Swiss | 1 stop (ZRH) | 20:00 | 06:15 | 570.00
JFK | BCN | TAP Air Portugal | 1 stop (LIS) | 22:00 | 08:30 | 540.00
BCN | JFK | American Airlines | Non-stop | 09:00 | 11:30 | 420.00
BCN | JFK | Iberia | 1 stop (MAD) | 11:30 | 14:45 | 490.00
BCN | JFK | Delta | Non-stop | 13:30 | 16:00 | 450.00
BCN | JFK | Lufthansa | 1 stop (FRA) | 15:30 | 18:45 | 510.00
BCN | JFK | United | Non-stop | 17:30 | 20:00 | 470.00
BCN | JFK | Air Europa | 1 stop (MAD) | 19:30 | 22:45 | 500.00
BCN | JFK | Swiss | 1 stop (ZRH) | 21:30 | 00:45 | 530.00
BCN | JFK | TAP Air Portugal | 1 stop (LIS) | 23:30 | 02:45 | 490.00


Here are the 16 flight plans:

JFK | PEK | American Airlines | Non-stop | 13:30 | 16:15 | 850.00
JFK | PEK | China Eastern | 1 stop (NRT) | 08:00 | 19:30 | 720.00
JFK | PEK | Delta Air Lines | Non-stop | 10:45 | 13:30 | 900.00
JFK | PEK | Hainan Airlines | 1 stop (XIY) | 14:15 | 21:45 | 780.00
JFK | PEK | Japan Airlines | 1 stop (NRT) | 09:30 | 20:15 | 840.00
JFK | PEK | Korean Air | 1 stop (ICN) | 11:45 | 22:30 | 860.00
JFK | PEK | Air China | Non-stop | 12:00 | 14:45 | 920.00
JFK | PEK | Asiana Airlines | 1 stop (ICN) | 16:15 | 23:50 | 880.00
PEK | JFK | American Airlines | Non-stop | 10:00 | 10:30 | 950.00
PEK | JFK | China Eastern | 1 stop (NRT) | 07:30 | 18:00 | 820.00
PEK | JFK | Delta Air Lines | Non-stop | 12:30 | 13:00 | 980.00
PEK | JFK | Hainan Airlines | 1 stop (XIY) | 15:45 | 22:20 | 860.00
PEK | JFK | Japan Airlines | 1 stop (NRT) | 09:00 | 19:30 | 900.00
PEK | JFK | Korean Air | 1 stop (ICN) | 11:00 | 21:45 | 940.00
PEK | JFK | Air China | Non-stop | 13:30 | 14:00 | 1,020.00
PEK | JFK | Asiana Airlines | 1 stop (ICN) | 16:30 | 23:55 | 960.00


Here are the 16 flight plans:

JFK | BER | Lufthansa | Non-stop | 08:00 | 18:30 | 450.00
JFK | BER | American Airlines | 1 stop (CDG) | 10:30 | 21:15 | 520.00
JFK | BER | Delta | Non-stop | 12:00 | 22:45 | 480.00
JFK | BER | United | 1 stop (AMS) | 14:15 | 00:30 | 550.00
JFK | BER | Air France | 1 stop (CDG) | 16:00 | 02:45 | 580.00
JFK | BER | KLM | 1 stop (AMS) | 18:30 | 05:15 | 610.00
JFK | BER | British Airways | Non-stop | 20:00 | 06:45 | 500.00
JFK | BER | Iberia | 1 stop (MAD) | 22:15 | 08:45 | 630.00

BER | JFK | Lufthansa | Non-stop | 09:00 | 11:30 | 420.00
BER | JFK | American Airlines | 1 stop (LHR) | 11:30 | 15:15 | 490.00
BER | JFK | Delta | Non-stop | 13:00 | 16:45 | 450.00
BER | JFK | United | 1 stop (FRA) | 15:15 | 20:30 | 510.00
BER | JFK | Air France | 1 stop (CDG) | 17:00 | 22:45 | 540.00
BER | JFK | KLM | 1 stop (AMS) | 19:30 | 01:15 | 570.00
BER | JFK | British Airways | Non-stop | 21:00 | 03:45 | 480.00
BER | JFK | Iberia | 1 stop (MAD) | 23:15 | 06:45 | 600.00


Here are the 16 flight plans:

JFK | EZE | American Airlines | 1 (GRU) | 08:00 | 22:30 | 850.00
JFK | EZE | Delta Air Lines | 0 | 10:30 | 21:15 | 950.00
JFK | EZE | LATAM | 1 (LIM) | 14:00 | 02:45 | 720.00
JFK | EZE | United Airlines | 2 (MIA, SCL) | 16:30 | 05:15 | 990.00
JFK | EZE | Avianca | 1 (BOG) | 18:00 | 04:30 | 820.00
JFK | EZE | Copa Airlines | 1 (PTY) | 20:00 | 06:45 | 880.00
JFK | EZE | Aerolíneas Argentinas | 0 | 22:00 | 07:30 | 1,020.00
JFK | EZE | Iberia | 1 (MAD) | 00:30 | 09:15 | 1,050.00
EZE | JFK | American Airlines | 1 (GRU) | 09:00 | 19:30 | 920.00
EZE | JFK | Delta Air Lines | 0 | 11:30 | 20:15 | 1,070.00
EZE | JFK | LATAM | 1 (LIM) | 15:00 | 03:45 | 840.00
EZE | JFK | United Airlines | 2 (SCL, MIA) | 17:30 | 06:15 | 1,100.00
EZE | JFK | Avianca | 1 (BOG) | 19:00 | 05:30 | 900.00
EZE | JFK | Copa Airlines | 1 (PTY) | 21:00 | 07:45 | 960.00
EZE | JFK | Aerolíneas Argentinas | 0 | 23:00 | 08:30 | 1,140.00
EZE | JFK | Iberia | 1 (MAD) | 01:30 | 10:15 | 1,170.00


Here are the 16 flight plans:

JFK | SJD | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
JFK | SJD | Delta Air Lines | 1 stop (MIA) | 09:30 | 15:45 | 520.00
JFK | SJD | United Airlines | Non-stop | 11:00 | 15:20 | 480.00
JFK | SJD | JetBlue Airways | 1 stop (FLL) | 12:30 | 18:00 | 550.00
JFK | SJD | Spirit Airlines | 1 stop (ATL) | 14:00 | 19:30 | 400.00
JFK | SJD | Alaska Airlines | Non-stop | 15:30 | 19:50 | 500.00
JFK | SJD | Frontier Airlines | 1 stop (DEN) | 16:30 | 21:45 | 420.00
JFK | SJD | Southwest Airlines | 1 stop (HOU) | 18:00 | 23:15 | 460.00
SJD | JFK | American Airlines | Non-stop | 08:30 | 14:50 | 470.00
SJD | JFK | Delta Air Lines | 1 stop (LAX) | 09:45 | 16:10 | 540.00
SJD | JFK | United Airlines | Non-stop | 11:15 | 17:35 | 510.00
SJD | JFK | JetBlue Airways | 1 stop (SFO) | 12:45 | 19:00 | 570.00
SJD | JFK | Spirit Airlines | 1 stop (ORD) | 14:15 | 20:30 | 440.00
SJD | JFK | Alaska Airlines | Non-stop | 15:45 | 21:10 | 530.00
SJD | JFK | Frontier Airlines | 1 stop (PHX) | 16:45 | 22:10 | 450.00
SJD | JFK | Southwest Airlines | 1 stop (DAL) | 18:15 | 23:40 | 490.00


Here are the 16 flight plans:

JFK | CAI | EgyptAir | 1 (LHR) | 10:30 | 22:45 | 850.00
JFK | CAI | Lufthansa | 2 (FRA, IST) | 14:15 | 07:10 | 1200.00
JFK | CAI | Turkish Airlines | 1 (IST) | 18:00 | 12:30 | 900.00
JFK | CAI | Emirates | 2 (DXB, KWI) | 20:45 | 14:50 | 1500.00
JFK | CAI | British Airways | 1 (LHR) | 08:00 | 20:15 | 1000.00
JFK | CAI | Qatar Airways | 1 (DOH) | 12:30 | 05:45 | 1100.00
JFK | CAI | Etihad Airways | 2 (AUH, CAI) | 16:15 | 11:20 | 1300.00
JFK | CAI | Delta Air Lines | 1 (CDG) | 09:45 | 22:00 | 950.00
CAI | JFK | EgyptAir | 1 (LHR) | 02:00 | 09:15 | 800.00
CAI | JFK | Lufthansa | 2 (IST, FRA) | 05:30 | 14:45 | 1100.00
CAI | JFK | Turkish Airlines | 1 (IST) | 11:45 | 18:00 | 850.00
CAI | JFK | Emirates | 2 (KWI, DXB) | 15:15 | 07:30 | 1400.00
CAI | JFK | British Airways | 1 (LHR) | 20:30 | 05:45 | 1000.00
CAI | JFK | Qatar Airways | 1 (DOH) | 23:59 | 10:15 | 1050.00
CAI | JFK | Etihad Airways | 2 (CAI, AUH) | 07:45 | 17:20 | 1250.00
CAI | JFK | Delta Air Lines | 1 (CDG) | 09:15 | 16:30 | 900.00


Here are the 16 flight plans:

JFK | CUN | American Airlines | Non-stop | 08:00 | 11:35 | 450.00
JFK | CUN | Delta Air Lines | 1 stop (MIA) | 09:30 | 13:45 | 520.00
JFK | CUN | JetBlue Airways | Non-stop | 10:45 | 14:10 | 380.00
JFK | CUN | United Airlines | 1 stop (IAH) | 12:15 | 16:30 | 580.00
JFK | CUN | Spirit Airlines | 1 stop (FLL) | 13:50 | 18:05 | 420.00
JFK | CUN | Frontier Airlines | 1 stop (ATL) | 15:20 | 19:35 | 500.00
JFK | CUN | Alaska Airlines | Non-stop | 16:40 | 20:05 | 480.00
JFK | CUN | Southwest Airlines | 1 stop (BNA) | 18:10 | 22:25 | 550.00
CUN | JFK | American Airlines | Non-stop | 08:00 | 11:35 | 450.00
CUN | JFK | Delta Air Lines | 1 stop (MIA) | 09:30 | 13:45 | 520.00
CUN | JFK | JetBlue Airways | Non-stop | 10:45 | 14:10 | 380.00
CUN | JFK | United Airlines | 1 stop (IAH) | 12:15 | 16:30 | 580.00
CUN | JFK | Spirit Airlines | 1 stop (FLL) | 13:50 | 18:05 | 420.00
CUN | JFK | Frontier Airlines | 1 stop (ATL) | 15:20 | 19:35 | 500.00
CUN | JFK | Alaska Airlines | Non-stop | 16:40 | 20:05 | 480.00
CUN | JFK | Southwest Airlines | 1 stop (BNA) | 18:10 | 22:25 | 550.00


Here are the 16 flight plans:

JFK | CPT | Delta | 1 (AMS) | 08:00 | 20:30 | 850.00
JFK | CPT | Lufthansa | 2 (FRA, NBO) | 10:30 | 22:45 | 1100.00
JFK | CPT | South African | 0 | 12:00 | 06:00 | 900.00
JFK | CPT | Emirates | 1 (DXB) | 14:00 | 08:15 | 1000.00
JFK | CPT | Turkish | 1 (IST) | 16:00 | 10:30 | 950.00
JFK | CPT | British Airways | 1 (LHR) | 18:00 | 12:15 | 1050.00
JFK | CPT | Qatar | 1 (DOH) | 20:00 | 14:30 | 1020.00
JFK | CPT | KLM | 1 (AMS) | 22:00 | 16:45 | 980.00
CPT | JFK | Delta | 1 (AMS) | 08:00 | 18:30 | 850.00
CPT | JFK | Lufthansa | 2 (NBO, FRA) | 10:30 | 20:45 | 1100.00
CPT | JFK | South African | 0 | 12:00 | 06:00 | 900.00
CPT | JFK | Emirates | 1 (DXB) | 14:00 | 08:15 | 1000.00
CPT | JFK | Turkish | 1 (IST) | 16:00 | 10:30 | 950.00
CPT | JFK | British Airways | 1 (LHR) | 18:00 | 12:15 | 1050.00
CPT | JFK | Qatar | 1 (DOH) | 20:00 | 14:30 | 1020.00
CPT | JFK | KLM | 1 (AMS) | 22:00 | 16:45 | 980.00
CPT | JFK | United | 2 (EWR, LHR) | 00:30 | 10:15 | 1200.00


Here are the 16 flight plans:

JFK | CPH | American Airlines | 0 | 08:00 | 18:30 | 450.00
JFK | CPH | Delta Air Lines | 1 (AMS) | 10:30 | 20:45 | 520.00
JFK | CPH | Norwegian Air | 0 | 12:15 | 22:40 | 380.00
JFK | CPH | Lufthansa | 1 (FRA) | 14:00 | 00:15 | 600.00
JFK | CPH | United Airlines | 0 | 16:45 | 02:10 | 480.00
JFK | CPH | Icelandair | 1 (KEF) | 18:30 | 04:00 | 550.00
JFK | CPH | SAS | 0 | 20:15 | 05:40 | 420.00
JFK | CPH | British Airways | 1 (LHR) | 22:00 | 06:30 | 580.00

CPH | JFK | Scandinavian Airlines | 0 | 08:30 | 10:50 | 400.00
CPH | JFK | Air France | 1 (CDG) | 10:15 | 13:35 | 520.00
CPH | JFK | KLM Royal Dutch | 1 (AMS) | 11:45 | 15:10 | 480.00
CPH | JFK | Swiss International | 1 (ZRH) | 13:00 | 16:25 | 550.00
CPH | JFK | Austrian Airlines | 1 (VIE) | 14:30 | 18:00 | 500.00
CPH | JFK | Turkish Airlines | 1 (IST) | 15:45 | 19:15 | 580.00
CPH | JFK | Finnair | 1 (HEL) | 17:00 | 20:30 | 520.00
CPH | JFK | TAP Air Portugal | 1 (LIS) | 18:15 | 21:45 | 500.00


Here are the 16 flight plans:

JFK | DXB | Emirates | Non-stop | 08:00 | 19:30 | 850.00
JFK | DXB | Qatar Airways | 1 stop (DOH) | 10:30 | 22:15 | 920.00
JFK | DXB | Lufthansa | 1 stop (FRA) | 13:45 | 01:20 | 950.00
JFK | DXB | Turkish Airlines | 1 stop (IST) | 15:00 | 02:30 | 980.00
JFK | DXB | American Airlines | 2 stops (PHL, LHR) | 17:15 | 05:00 | 1100.00
JFK | DXB | Delta Air Lines | 1 stop (AMS) | 19:30 | 06:15 | 1050.00
JFK | DXB | United Airlines | 2 stops (EWR, FRA) | 21:45 | 08:30 | 1150.00
JFK | DXB | Air India | 1 stop (DEL) | 23:59 | 10:30 | 1000.00
DXB | JFK | Emirates | Non-stop | 02:00 | 06:30 | 900.00
DXB | JFK | Qatar Airways | 1 stop (DOH) | 05:00 | 11:45 | 970.00
DXB | JFK | Lufthansa | 1 stop (FRA) | 08:30 | 15:20 | 1000.00
DXB | JFK | Turkish Airlines | 1 stop (IST) | 11:00 | 18:30 | 1030.00
DXB | JFK | American Airlines | 2 stops (LHR, PHL) | 13:45 | 22:00 | 1180.00
DXB | JFK | Delta Air Lines | 1 stop (AMS) | 16:15 | 23:45 | 1120.00
DXB | JFK | United Airlines | 2 stops (FRA, EWR) | 19:30 | 02:30 | 1220.00
DXB | JFK | Air India | 1 stop (DEL) | 22:00 | 05:30 | 1080.00


Here are the 16 flight plans:

JFK | DUB | American Airlines | Non-stop | 08:00 | 17:30 | 450.00
JFK | DUB | Delta Air Lines | 1 stop (BOS) | 09:30 | 19:15 | 520.00
JFK | DUB | Aer Lingus | Non-stop | 10:00 | 19:00 | 480.00
JFK | DUB | United Airlines | 1 stop (EWR) | 11:15 | 20:45 | 550.00
JFK | DUB | Lufthansa | 1 stop (FRA) | 12:00 | 21:30 | 620.00
JFK | DUB | KLM Royal Dutch | 1 stop (AMS) | 13:30 | 22:15 | 580.00
JFK | DUB | British Airways | 1 stop (LHR) | 14:45 | 23:00 | 600.00
JFK | DUB | Iberia | 1 stop (MAD) | 16:00 | 23:45 | 630.00
DUB | JFK | Aer Lingus | Non-stop | 08:30 | 10:30 | 420.00
DUB | JFK | American Airlines | 1 stop (PHL) | 09:45 | 12:15 | 500.00
DUB | JFK | Delta Air Lines | 1 stop (CDG) | 11:00 | 13:30 | 530.00
DUB | JFK | United Airlines | 1 stop (ORD) | 12:15 | 14:45 | 560.00
DUB | JFK | Lufthansa | 1 stop (MUC) | 13:30 | 15:55 | 590.00
DUB | JFK | KLM Royal Dutch | 1 stop (BRU) | 14:45 | 16:55 | 520.00
DUB | JFK | British Airways | 1 stop (MAN) | 16:00 | 18:15 | 550.00
DUB | JFK | Iberia | 1 stop (BCN) | 17:15 | 19:30 | 580.00


Here are the 16 flight plans:

JFK | EDI | American Airlines | 1 (LHR) | 08:00 | 18:30 | 650.00
JFK | EDI | British Airways | 1 (LHR) | 10:00 | 20:30 | 720.00
JFK | EDI | Delta Air Lines | 1 (AMS) | 12:00 | 22:30 | 750.00
JFK | EDI | United Airlines | 1 (EWR) | 14:00 | 00:30 | 680.00
JFK | EDI | Lufthansa | 1 (FRA) | 16:00 | 02:30 | 780.00
JFK | EDI | Air France | 1 (CDG) | 18:00 | 04:30 | 800.00
JFK | EDI | KLM Royal Dutch | 1 (AMS) | 20:00 | 06:30 | 820.00
JFK | EDI | Iberia | 1 (MAD) | 22:00 | 08:30 | 850.00
EDI | JFK | American Airlines | 1 (LHR) | 09:00 | 11:30 | 620.00
EDI | JFK | British Airways | 1 (LHR) | 11:00 | 13:30 | 690.00
EDI | JFK | Delta Air Lines | 1 (AMS) | 13:00 | 15:30 | 710.00
EDI | JFK | United Airlines | 1 (EWR) | 15:00 | 17:30 | 640.00
EDI | JFK | Lufthansa | 1 (FRA) | 17:00 | 19:30 | 760.00
