

Here are the 16 flight plans:

CLT | BOS | American Airlines | Non-stop | 06:00 | 09:05 | 250.00
FLG | CLT | AA | 1 (PHX) | 08:30 | 14:05 | 420.00
FLG | CLT | UA | 0 | 09:15 | 13:50 | 490.00
FLG | CLT | DL | 1 (LAX) | 10:00 | 15:35 | 510.00
FLG | CLT | WN | 0 | 11:30 | 15:05 | 440.00
FLG | CLT | AS | 1 (SFO) | 12:45 | 17:20 | 530.00
FLG | CLT | B6 | 0 | 14:00 | 17:35 | 450.00
FLG | CLT | F9 | 1 (ORD) | 15:15 | 19:45 | 480.00
FLG | CLT | NK | 0 | 16:30 | 20:05 | 410.00


Here are the 16 flight plans:

CLT | LAS | AA | 0 | 08:00 | 10:30 | 250.00
CLT | LAS | DL | 1 (DEN) | 09:15 | 12:45 | 320.00
CLT | LAS | WN | 0 | 10:45 | 13:15 | 280.00
CLT | LAS | UA | 1 (ORD) | 11:30 | 15:00 | 350.00
CLT | LAS | F9 | 0 | 12:00 | 14:30 | 220.00
CLT | LAS | AS | 1 (SEA) | 13:15 | 16:45 | 380.00
CLT | LAS | NK | 0 | 14:30 | 17:00 | 240.00
CLT | LAS | B6 | 1 (JFK) | 15:45 | 19:15 | 400.00

LAS | CLT | AA | 0 | 08:30 | 15:00 | 270.00
LAS | CLT | DL | 1 (SFO) | 09:45 | 17:15 | 340.00
LAS | CLT | WN | 0 | 11:00 | 17:30 | 290.00
LAS | CLT | UA | 1 (IAH) | 12:15 | 19:45 | 360.00
LAS | CLT | F9 | 0 | 13:30 | 20:00 | 230.00
LAS | CLT | AS | 1 (PDX) | 14:45 | 22:15 | 390.00
LAS | CLT | NK | 0 | 16:00 | 22:30 | 260.00
LAS | CLT | B6 | 1 (MIA) | 17:15 | 00:45 | 420.00


Here are the 16 flight plans:

CLT | TYS | AA | 1 (BNA) | 06:00 | 08:15 | 258.00
CLT | TYS | DL | 0 | 07:30 | 08:45 | 298.00
CLT | TYS | UA | 1 (IAD) | 09:00 | 11:20 | 220.00
CLT | TYS | WN | 1 (ATL) | 10:15 | 12:30 | 240.00
CLT | TYS | AA | 0 | 11:45 | 13:00 | 320.00
CLT | TYS | DL | 1 (CVG) | 13:00 | 15:15 | 280.00
CLT | TYS | UA | 0 | 14:30 | 15:45 | 350.00
CLT | TYS | WN | 1 (BHM) | 16:00 | 18:15 | 260.00
TYS | CLT | AA | 0 | 06:00 | 07:15 | 280.00
TYS | CLT | DL | 1 (CHS) | 07:30 | 09:45 | 240.00
TYS | CLT | UA | 1 (EWR) | 09:00 | 11:15 | 300.00
TYS | CLT | WN | 0 | 10:15 | 11:30 | 220.00
TYS | CLT | AA | 1 (RDU) | 11:45 | 13:55 | 250.00
TYS | CLT | DL | 0 | 13:00 | 14:15 | 330.00
TYS | CLT | UA | 1 (PIT) | 14:30 | 16:45 | 290.00
TYS | CLT | WN | 1 (JAX) | 16:00 | 18:10 | 270.00


Here are the 16 flight plans:

CLT | AVL | American Airlines | Non-stop | 06:00 | 07:15 | 178.00
CLT | AVL | Delta Air Lines | Non-stop | 08:30 | 09:45 | 198.00
CLT | AVL | United Airlines | 1 stop (IAD) | 10:00 | 12:30 | 220.00
CLT | AVL | Frontier Airlines | Non-stop | 11:15 | 12:30 | 158.00
CLT | AVL | Spirit Airlines | 1 stop (BWI) | 12:45 | 15:00 | 240.00
CLT | AVL | American Airlines | Non-stop | 14:00 | 15:15 | 188.00
CLT | AVL | Delta Air Lines | 1 stop (ATL) | 15:30 | 17:45 | 258.00
CLT | AVL | United Airlines | Non-stop | 17:00 | 18:15 | 208.00
AVL | CLT | American Airlines | Non-stop | 06:30 | 07:45 | 168.00
AVL | CLT | Delta Air Lines | 1 stop (JFK) | 08:00 | 10:15 | 230.00
AVL | CLT | United Airlines | Non-stop | 09:15 | 10:30 | 178.00
AVL | CLT | Frontier Airlines | 1 stop (MCO) | 10:45 | 13:00 | 250.00
AVL | CLT | Spirit Airlines | Non-stop | 12:00 | 13:15 | 198.00
AVL | CLT | American Airlines | 1 stop (PIT) | 13:30 | 15:45 | 268.00
AVL | CLT | Delta Air Lines | Non-stop | 15:00 | 16:15 | 208.00
AVL | CLT | United Airlines | 1 stop (EWR) | 16:30 | 18:45 | 280.00


Here are the 16 flight plans:

CLT | JAC | AA | 0 | 08:00 | 10:30 | 250.00
CLT | JAC | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
CLT | JAC | DL | 0 | 10:45 | 13:15 | 280.00
CLT | JAC | WN | 1 (DAL) | 11:30 | 15:00 | 350.00
CLT | JAC | AS | 1 (SEA) | 12:00 | 16:30 | 420.00
CLT | JAC | B6 | 0 | 13:15 | 15:45 | 290.00
CLT | JAC | F9 | 1 (ORD) | 14:00 | 17:30 | 380.00
CLT | JAC | NK | 1 (IAH) | 15:00 | 18:30 | 400.00
JAC | CLT | AA | 0 | 06:00 | 08:30 | 230.00
JAC | CLT | UA | 1 (SFO) | 07:15 | 10:45 | 300.00
JAC | CLT | DL | 0 | 08:45 | 11:15 | 260.00
JAC | CLT | WN | 1 (PHX) | 09:30 | 12:00 | 330.00
JAC | CLT | AS | 1 (LAX) | 10:00 | 13:30 | 410.00
JAC | CLT | B6 | 0 | 11:15 | 13:45 | 270.00
JAC | CLT | F9 | 1 (MIA) | 12:00 | 14:30 | 360.00
JAC | CLT | NK | 1 (DFW) | 13:00 | 15:30 | 390.00


Here are the 16 flight plans:

CLT | EYW | AA | 0 | 08:00 | 10:30 | 250.00
CLT | EYW | DL | 1 (MIA) | 09:15 | 12:45 | 320.00
CLT | EYW | WN | 0 | 10:45 | 13:15 | 280.00
CLT | EYW | UA | 1 (FLL) | 12:00 | 15:30 | 350.00
CLT | EYW | B6 | 0 | 13:30 | 16:00 | 290.00
CLT | EYW | AA | 1 (TPA) | 14:45 | 18:15 | 380.00
CLT | EYW | DL | 0 | 16:00 | 18:30 | 310.00
CLT | EYW | WN | 1 (JAX) | 17:15 | 20:45 | 330.00
EYW | CLT | AA | 0 | 08:30 | 11:00 | 270.00
EYW | CLT | DL | 1 (MIA) | 09:45 | 13:15 | 340.00
EYW | CLT | WN | 0 | 11:15 | 13:45 | 300.00
EYW | CLT | UA | 1 (FLL) | 12:30 | 15:00 | 360.00
EYW | CLT | B6 | 0 | 13:45 | 16:15 | 310.00
EYW | CLT | AA | 1 (TPA) | 15:00 | 17:30 | 390.00
EYW | CLT | DL | 0 | 16:15 | 18:45 | 330.00
EYW | CLT | WN | 1 (JAX) | 17:30 | 20:00 | 350.00


Here are the 16 flight plans:

CLT | RNO | AA | 1 (DFW) | 08:00 | 11:35 | 450.00
CLT | RNO | UA | 1 (ORD) | 09:30 | 13:05 | 520.00
CLT | RNO | DL | 1 (ATL) | 11:15 | 14:50 | 480.00
CLT | RNO | WN | 1 (DEN) | 12:45 | 16:20 | 400.00
CLT | RNO | AS | 2 (BNA, SEA) | 13:30 | 18:10 | 600.00
CLT | RNO | F9 | 1 (MCO) | 14:50 | 18:25 | 380.00
CLT | RNO | NK | 1 (LAS) | 16:00 | 19:35 | 420.00
CLT | RNO | B6 | 1 (JFK) | 17:30 | 21:05 | 550.00
RNO | CLT | AA | 1 (PHX) | 06:00 | 13:30 | 480.00
RNO | CLT | UA | 1 (SFO) | 07:30 | 15:05 | 500.00
RNO | CLT | DL | 1 (LAX) | 09:00 | 16:35 | 520.00
RNO | CLT | WN | 1 (DAL) | 10:30 | 18:05 | 440.00
RNO | CLT | AS | 2 (PDX, DFW) | 11:45 | 19:20 | 620.00
RNO | CLT | F9 | 1 (IAH) | 13:15 | 19:50 | 400.00
RNO | CLT | NK | 1 (MIA) | 14:45 | 21:20 | 460.00
RNO | CLT | B6 | 1 (BOS) | 16:15 | 22:50 | 580.00


Here are the 16 flight plans:

CLT | TVL | AA | 0 | 08:00 | 11:15 | 278.00
CLT | TVL | DL | 1 (ATL) | 09:30 | 13:45 | 320.00
CLT | TVL | UA | 0 | 10:45 | 14:00 | 298.00
CLT | TVL | WN | 1 (DEN) | 12:00 | 16:20 | 350.00
CLT | TVL | AS | 0 | 13:15 | 16:30 | 288.00
CLT | TVL | B6 | 1 (JFK) | 14:30 | 18:45 | 380.00
CLT | TVL | F9 | 0 | 15:45 | 19:00 | 258.00
CLT | TVL | NK | 1 (ORD) | 17:00 | 21:15 | 330.00
TVL | CLT | AA | 0 | 06:00 | 09:15 | 268.00
TVL | CLT | DL | 1 (SFO) | 07:30 | 11:45 | 310.00
TVL | CLT | UA | 0 | 08:45 | 12:00 | 288.00
TVL | CLT | WN | 1 (PHX) | 10:00 | 14:20 | 340.00
TVL | CLT | AS | 0 | 11:15 | 14:30 | 278.00
TVL | CLT | B6 | 1 (LAX) | 12:30 | 16:45 | 360.00
TVL | CLT | F9 | 0 | 13:45 | 17:00 | 248.00
TVL | CLT | NK | 1 (IAH) | 15:00 | 19:15 | 300.00


Here are the 16 flight plans:

CLT | MCD | AA | Non-stop | 06:00 | 08:30 | 250.00
CLT | MCD | DL | 1 stop (ATL) | 08:15 | 12:45 | 320.00
CLT | MCD | UA | Non-stop | 10:30 | 13:00 | 280.00
CLT | MCD | WN | 1 stop (BNA) | 12:00 | 16:30 | 350.00
CLT | MCD | F9 | Non-stop | 14:15 | 16:45 | 220.00
CLT | MCD | AS | 1 stop (DFW) | 16:00 | 20:30 | 380.00
CLT | MCD | B6 | Non-stop | 18:30 | 21:00 | 240.00
CLT | MCD | NK | 1 stop (EWR) | 20:45 | 01:15 | 420.00
MCD | CLT | AA | Non-stop | 06:00 | 08:30 | 250.00
MCD | CLT | DL | 1 stop (ATL) | 08:15 | 12:45 | 320.00
MCD | CLT | UA | Non-stop | 10:30 | 13:00 | 280.00
MCD | CLT | WN | 1 stop (BNA) | 12:00 | 16:30 | 350.00
MCD | CLT | F9 | Non-stop | 14:15 | 16:45 | 220.00
MCD | CLT | AS | 1 stop (DFW) | 16:00 | 20:30 | 380.00
MCD | CLT | B6 | Non-stop | 18:30 | 21:00 | 240.00
MCD | CLT | NK | 1 stop (EWR) | 20:45 | 01:15 | 420.00


Here are the 16 flight plans:

CLT | PLN | AA | 0 | 08:00 | 10:15 | 250.00
CLT | PLN | DL | 1 (ATL) | 09:30 | 12:45 | 280.00
CLT | PLN | UA | 0 | 11:00 | 13:15 | 220.00
CLT | PLN | WN | 1 (BNA) | 12:30 | 15:45 | 300.00
CLT | PLN | AA | 0 | 14:00 | 16:15 | 240.00
CLT | PLN | DL | 1 (CVG) | 15:30 | 18:45 | 260.00
CLT | PLN | UA | 0 | 17:00 | 19:15 | 230.00
CLT | PLN | WN | 1 (MDW) | 18:30 | 21:45 | 290.00
PLN | CLT | AA | 0 | 08:00 | 10:15 | 250.00
PLN | CLT | DL | 1 (DTW) | 09:30 | 12:45 | 280.00
PLN | CLT | UA | 0 | 11:00 | 13:15 | 220.00
PLN | CLT | WN | 1 (STL) | 12:30 | 15:45 | 300.00
PLN | CLT | AA | 0 | 14:00 | 16:15 | 240.00
PLN | CLT | DL | 1 (IND) | 15:30 | 18:45 | 260.00
PLN | CLT | UA | 0 | 17:00 | 19:15 | 230.00
PLN | CLT | WN | 1 (CMH) | 18:30 | 21:45 | 290.00


Here are the 16 flight plans:

CLT | OGG | AA | 1 (DFW) | 08:00 | 18:35 | 850.00
CLT | OGG | UA | 2 (IAH, SFO) | 09:15 | 21:50 | 1050.00
CLT | OGG | DL | 0 | 10:30 | 19:20 | 900.00
CLT | OGG | WN | 1 (DEN) | 11:45 | 20:55 | 780.00
CLT | OGG | AS | 2 (ATL, SEA) | 12:50 | 23:15 | 1200.00
CLT | OGG | F9 | 1 (MCO) | 14:05 | 22:30 | 650.00
CLT | OGG | B6 | 1 (JFK) | 15:20 | 23:45 | 750.00
CLT | OGG | NK | 2 (FLL, LAX) | 16:35 | 01:10 | 1100.00
OGG | CLT | AA | 1 (PHX) | 08:15 | 18:40 | 920.00
OGG | CLT | UA | 2 (SFO, ORD) | 09:30 | 21:05 | 1150.00
OGG | CLT | DL | 0 | 10:45 | 20:25 | 980.00
OGG | CLT | WN | 1 (HNL) | 12:00 | 22:20 | 850.00
OGG | CLT | AS | 2 (PDX, DFW) | 13:15 | 23:40 | 1250.00
OGG | CLT | F9 | 1 (LAS) | 14:30 | 23:55 | 700.00
OGG | CLT | B6 | 1 (MIA) | 15:45 | 01:10 | 800.00
OGG | CLT | NK | 2 (LAX, MSP) | 17:00 | 02:25 | 1200.00


Here are the 16 flight plans:

CLT | RAP | AA | 0 | 06:00 | 08:30 | 250.00
CLT | RAP | UA | 1 (DEN) | 08:15 | 12:45 | 320.00
CLT | RAP | DL | 0 | 10:30 | 13:00 | 280.00
CLT | RAP | WN | 1 (MDW) | 12:00 | 16:30 | 350.00
CLT | RAP | AS | 0 | 14:15 | 16:45 | 300.00
CLT | RAP | F9 | 1 (IAH) | 16:00 | 20:30 | 380.00
CLT | RAP | NK | 0 | 18:30 | 21:00 | 330.00
CLT | RAP | B6 | 1 (JFK) | 20:45 | 01:15 | 410.00

RAP | CLT | AA | 0 | 07:00 | 09:30 | 240.00
RAP | CLT | UA | 1 (ORD) | 09:15 | 13:45 | 310.00
RAP | CLT | DL | 0 | 11:30 | 14:00 | 260.00
RAP | CLT | WN | 1 (STL) | 13:00 | 17:30 | 340.00
RAP | CLT | AS | 0 | 15:15 | 17:45 | 290.00
RAP | CLT | F9 | 1 (DEN) | 17:00 | 21:30 | 360.00
RAP | CLT | NK | 0 | 19:30 | 22:00 | 320.00
RAP | CLT | B6 | 1 (LAX) | 21:45 | 02:15 | 400.00


Here are the 16 flight plans:

CLT | MYR | AA | 0 | 06:00 | 07:30 | 198.00
CLT | MYR | UA | 1 (EWR) | 08:30 | 11:15 | 278.00
CLT | MYR | DL | 0 | 10:00 | 11:30 | 218.00
CLT | MYR | WN | 1 (BWI) | 12:00 | 14:45 | 298.00
CLT | MYR | AA | 0 | 14:00 | 15:30 | 238.00
CLT | MYR | UA | 1 (ORD) | 16:00 | 19:15 | 318.00
CLT | MYR | DL | 0 | 18:00 | 19:30 | 258.00
CLT | MYR | WN | 1 (ATL) | 20:00 | 22:45 | 338.00
MYR | CLT | AA | 0 | 06:00 | 07:30 | 208.00
MYR | CLT | UA | 1 (EWR) | 08:30 | 11:15 | 288.00
MYR | CLT | DL | 0 | 10:00 | 11:30 | 228.00
MYR | CLT | WN | 1 (BWI) | 12:00 | 14:45 | 308.00
MYR | CLT | AA | 0 | 14:00 | 15:30 | 248.00
MYR | CLT | UA | 1 (ORD) | 16:00 | 19:15 | 328.00
MYR | CLT | DL | 0 | 18:00 | 19:30 | 268.00
MYR | CLT | WN | 1 (ATL) | 20:00 | 22:45 | 348.00


Here are the 16 flight plans:

CLT | SFO | AA | 0 | 08:00 | 11:15 | 450.00
CLT | SFO | UA | 1 (DEN) | 09:30 | 13:45 | 520.00
CLT | SFO | DL | 0 | 11:00 | 14:20 | 480.00
CLT | SFO | WN | 1 (PHX) | 12:30 | 16:50 | 550.00
CLT | SFO | AS | 0 | 14:00 | 17:25 | 500.00
CLT | SFO | F9 | 1 (LAS) | 15:30 | 19:55 | 580.00
CLT | SFO | B6 | 0 | 17:00 | 20:20 | 530.00
CLT | SFO | NK | 1 (ORD) | 19:30 | 23:50 | 610.00
SFO | CLT | AA | 0 | 08:00 | 15:20 | 480.00
SFO | CLT | UA | 1 (IAH) | 09:30 | 17:45 | 550.00
SFO | CLT | DL | 0 | 11:00 | 18:20 | 510.00
SFO | CLT | WN | 1 (DAL) | 12:30 | 20:50 | 590.00
SFO | CLT | AS | 0 | 14:00 | 21:25 | 540.00
SFO | CLT | F9 | 1 (MCO) | 15:30 | 23:55 | 620.00
SFO | CLT | B6 | 0 | 17:00 | 00:20 | 560.00
SFO | CLT | NK | 1 (EWR) | 19:30 | 02:50 | 650.00


Here are the 16 flight plans:

CLT | OAK | AA | 0 | 08:00 | 11:15 | 450.00
CLT | OAK | UA | 1 (SFO) | 09:30 | 13:45 | 520.00
CLT | OAK | DL | 0 | 11:00 | 14:20 | 480.00
CLT | OAK | WN | 1 (DEN) | 12:15 | 16:30 | 550.00
CLT | OAK | AS | 0 | 13:45 | 17:00 | 510.00
CLT | OAK | F9 | 1 (LAS) | 15:00 | 19:15 | 580.00
CLT | OAK | NK | 0 | 16:30 | 20:45 | 530.00
CLT | OAK | B6 | 1 (JFK) | 18:00 | 22:15 | 600.00
OAK | CLT | AA | 0 | 08:00 | 15:15 | 420.00
OAK | CLT | UA | 1 (LAX) | 09:30 | 17:45 | 490.00
OAK | CLT | DL | 0 | 11:00 | 18:20 | 450.00
OAK | CLT | WN | 1 (PHX) | 12:15 | 20:30 | 520.00
OAK | CLT | AS | 0 | 13:45 | 21:00 | 480.00
OAK | CLT | F9 | 1 (MIA) | 15:00 | 23:15 | 550.00
OAK | CLT | NK | 0 | 16:30 | 00:45 | 500.00
OAK | CLT | B6 | 1 (BOS) | 18:00 | 02:15 | 570.00


Here are the 16 flight plans:

CLT | SMF | AA | Non-stop | 08:00 | 11:05 | 420.00
CLT | SMF | UA | 1 stop (DEN) | 09:30 | 13:45 | 480.00
CLT | SMF | DL | Non-stop | 11:15 | 14:20 | 450.00
CLT | SMF | WN | 1 stop (PHX) | 12:00 | 16:10 | 510.00
CLT | SMF | AS | 1 stop (SEA) | 13:45 | 18:00 | 520.00
CLT | SMF | F9 | Non-stop | 15:30 | 18:35 | 400.00
CLT | SMF | NK | 1 stop (ORD) | 16:15 | 20:25 | 540.00
CLT | SMF | B6 | Non-stop | 17:00 | 20:05 | 430.00
SMF | CLT | AA | Non-stop | 08:00 | 15:05 | 440.00
SMF | CLT | UA | 1 stop (SFO) | 09:30 | 17:45 | 500.00
SMF | CLT | DL | Non-stop | 11:15 | 18:20 | 470.00
SMF | CLT | WN | 1 stop (LAS) | 12:00 | 19:10 | 530.00
SMF | CLT | AS | 1 stop (PDX) | 13:45 | 21:00 | 550.00
SMF | CLT | F9 | Non-stop | 15:30 | 22:35 | 410.00
SMF | CLT | NK | 1 stop (DFW) | 16:15 | 23:25 | 560.00
SMF | CLT | B6 | Non-stop | 17:00 | 23:05 | 450.00


Here are the 16 flight plans:

CLT | SAF | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
CLT | SAF | UA | 1 (IAH) | 09:30 | 12:45 | 450.00
CLT | SAF | DL | 1 (ATL) | 11:00 | 14:15 | 480.00
CLT | SAF | WN | 1 (DAL) | 12:30 | 15:45 | 410.00
CLT | SAF | AA | 2 (DFW, PHX) | 14:00 | 18:15 | 550.00
CLT | SAF | UA | 2 (IAH, ABQ) | 15:30 | 19:45 | 580.00
CLT | SAF | DL | 2 (ATL, DEN) | 17:00 | 21:15 | 610.00
CLT | SAF | WN | 2 (DAL, TPA) | 18:30 | 22:45 | 540.00
SAF | CLT | AA | 1 (DFW) | 08:00 | 11:15 | 425.00
SAF | CLT | UA | 1 (IAH) | 09:30 | 12:45 | 450.00
SAF | CLT | DL | 1 (ATL) | 11:00 | 14:15 | 480.00
SAF | CLT | WN | 1 (DAL) | 12:30 | 15:45 | 410.00
SAF | CLT | AA | 2 (PHX, DFW) | 14:00 | 18:15 | 550.00
SAF | CLT | UA | 2 (ABQ, IAH) | 15:30 | 19:45 | 580.00
SAF | CLT | DL | 2 (DEN, ATL) | 17:00 | 21:15 | 610.00
SAF | CLT | WN | 2 (TPA, DAL) | 18:30 | 22:45 | 540.00


Here are the 16 flight plans:

CLT | ABQ | AA | 1 (DFW) | 06:00 | 09:35 | 450.00
CLT | ABQ | DL | 1 (ATL) | 08:30 | 12:05 | 520.00
CLT | ABQ | UA | 2 (ORD, DEN) | 10:15 | 15:50 | 650.00
CLT | ABQ | WN | 1 (HOU) | 12:45 | 16:20 | 380.00
CLT | ABQ | F9 | 1 (DEN) | 14:00 | 17:35 | 420.00
CLT | ABQ | AA | 0 | 15:30 | 18:05 | 580.00
CLT | ABQ | DL | 1 (SLC) | 17:15 | 20:50 | 600.00
CLT | ABQ | UA | 1 (IAH) | 19:00 | 22:35 | 550.00
ABQ | CLT | AA | 1 (DFW) | 06:00 | 11:35 | 480.00
ABQ | CLT | DL | 1 (ATL) | 08:30 | 14:05 | 540.00
ABQ | CLT | UA | 2 (DEN, ORD) | 10:15 | 16:50 | 680.00
ABQ | CLT | WN | 1 (HOU) | 12:45 | 17:20 | 400.00
ABQ | CLT | F9 | 1 (DEN) | 14:00 | 18:35 | 440.00
ABQ | CLT | AA | 0 | 15:30 | 19:05 | 590.00
ABQ | CLT | DL | 1 (SLC) | 17:15 | 21:50 | 620.00
ABQ | CLT | UA | 1 (IAH) | 19:00 | 23:35 | 570.00


Here are the 16 flight plans:

CLT | SAV | AA | 0 | 08:00 | 09:30 | 150.00
CLT | SAV | DL | 1 (ATL) | 10:30 | 13:15 | 220.00
CLT | SAV | UA | 0 | 12:00 | 13:30 | 180.00
CLT | SAV | WN | 1 (BHM) | 14:00 | 16:45 | 240.00
CLT | SAV | F9 | 0 | 16:30 | 18:00 | 120.00
CLT | SAV | NK | 1 (EWR) | 18:00 | 21:30 | 280.00
CLT | SAV | B6 | 0 | 20:00 | 21:30 | 200.00
CLT | SAV | SY | 1 (MCO) | 22:00 | 01:45 | 320.00

SAV | CLT | AA | 0 | 08:30 | 10:00 | 160.00
SAV | CLT | DL | 1 (JAX) | 11:00 | 13:45 | 250.00
SAV | CLT | UA | 0 | 13:30 | 15:00 | 190.00
SAV | CLT | WN | 1 (PBI) | 15:00 | 17:45 | 260.00
SAV | CLT | F9 | 0 | 18:00 | 19:30 | 130.00
SAV | CLT | NK | 1 (ORD) | 20:00 | 23:30 | 300.00
SAV | CLT | B6 | 0 | 21:30 | 23:00 | 210.00
SAV | CLT | SY | 1 (TPA) | 23:30 | 02:15 | 330.00


Here are the 16 flight plans:

CLT | JAX | AA | 0 | 06:00 | 08:15 | 178.00
CLT | JAX | DL | 1 (ATL) | 07:30 | 10:45 | 235.00
CLT | JAX | UA | 0 | 08:45 | 11:00 | 198.00
CLT | JAX | WN | 1 (BHM) | 09:15 | 12:30 | 220.00
CLT | JAX | AA | 0 | 10:00 | 12:15 | 185.00
CLT | JAX | DL | 1 (MCO) | 11:30 | 14:45 | 250.00
CLT | JAX | UA | 0 | 12:45 | 15:00 | 210.00
CLT | JAX | WN | 1 (CHS) | 14:00 | 17:15 | 240.00
JAX | CLT | AA | 0 | 06:00 | 08:15 | 178.00
JAX | CLT | DL | 1 (ATL) | 07:30 | 10:45 | 235.00
JAX | CLT | UA | 0 | 08:45 | 11:00 | 198.00
JAX | CLT | WN | 1 (BHM) | 09:15 | 12:30 | 220.00
JAX | CLT | AA | 0 | 10:00 | 12:15 | 185.00
JAX | CLT | DL | 1 (MCO) | 11:30 | 14:45 | 250.00
JAX | CLT | UA | 0 | 12:45 | 15:00 | 210.00
JAX | CLT | WN | 1 (CHS) | 14:00 | 17:15 | 240.00


Here are the 16 flight plans:

CLT | SFB | AA | 0 | 06:00 | 08:15 | 198.00
CLT | SFB | DL | 1 (ATL) | 08:30 | 11:45 | 229.00
CLT | SFB | WN | 0 | 10:00 | 12:20 | 209.00
CLT | SFB | UA | 1 (EWR) | 12:30 | 15:50 | 249.00
CLT | SFB | F9 | 0 | 14:00 | 16:25 | 189.00
CLT | SFB | NK | 1 (TPA) | 16:00 | 19:20 | 219.00
CLT | SFB | B6 | 0 | 18:00 | 20:20 | 199.00
CLT | SFB | SY | 1 (MCO) | 20:00 | 23:20 | 239.00
SFB | CLT | AA | 0 | 06:30 | 08:45 | 208.00
SFB | CLT | DL | 1 (ATL) | 09:00 | 12:15 | 239.00
SFB | CLT | WN | 0 | 11:00 | 13:20 | 219.00
SFB | CLT | UA | 1 (EWR) | 13:30 | 16:50 | 259.00
SFB | CLT | F9 | 0 | 15:00 | 17:25 | 199.00
SFB | CLT | NK | 1 (TPA) | 17:00 | 20:20 | 229.00
SFB | CLT | B6 | 0 | 19:00 | 21:20 | 209.00
SFB | CLT | SY | 1 (MCO) | 21:00 | 00:20 | 249.00


Here are the 16 flight plans:

CLT | MTJ | AA | 1 (DEN) | 06:00 | 09:35 | 425.00
CLT | MTJ | UA | 0 | 08:30 | 11:05 | 450.00
CLT | MTJ | DL | 1 (ATL) | 10:15 | 13:50 | 480.00
CLT | MTJ | WN | 1 (STL) | 12:00 | 15:35 | 400.00
CLT | MTJ | AA | 0 | 14:45 | 17:20 | 420.00
CLT | MTJ | UA | 1 (ORD) | 16:30 | 19:55 | 460.00
CLT | MTJ | DL | 0 | 18:15 | 20:50 | 440.00
CLT | MTJ | WN | 1 (BNA) | 20:00 | 23:25 | 410.00

MTJ | CLT | UA | 1 (IAH) | 06:00 | 11:35 | 430.00
MTJ | CLT | AA | 0 | 08:30 | 13:05 | 460.00
MTJ | CLT | DL | 1 (MSP) | 10:15 | 14:50 | 490.00
MTJ | CLT | WN | 1 (DAL) | 12:00 | 15:35 | 420.00
MTJ | CLT | UA | 0 | 14:45 | 17:20 | 450.00
MTJ | CLT | AA | 1 (DFW) | 16:30 | 19:55 | 480.00
MTJ | CLT | DL | 0 | 18:15 | 20:50 | 470.00
MTJ | CLT | WN | 1 (MDW) | 20:00 | 23:25 | 440.00


Here are the 16 flight plans:

CLT | DRO | American Airlines | 1 (DFW) | 08:00 | 11:15 | 450.00
CLT | DRO | Delta Air Lines | 0 | 09:30 | 11:45 | 520.00
CLT | DRO | United Airlines | 1 (ORD) | 10:45 | 14:00 | 480.00
CLT | DRO | Frontier Airlines | 1 (DEN) | 12:00 | 15:20 | 380.00
CLT | DRO | Spirit Airlines | 1 (LAS) | 13:15 | 16:30 | 420.00
CLT | DRO | Southwest Airlines | 0 | 14:30 | 17:00 | 550.00
CLT | DRO | Alaska Airlines | 1 (SFO) | 15:45 | 19:05 | 500.00
CLT | DRO | JetBlue Airways | 1 (JFK) | 17:00 | 20:20 | 460.00
DRO | CLT | American Airlines | 1 (PHX) | 08:15 | 12:30 | 490.00
DRO | CLT | Delta Air Lines | 0 | 09:45 | 13:00 | 580.00
DRO | CLT | United Airlines | 1 (IAH) | 11:00 | 14:20 | 510.00
DRO | CLT | Frontier Airlines | 1 (MCO) | 12:30 | 15:50 | 440.00
DRO | CLT | Spirit Airlines | 1 (ATL) | 13:45 | 16:55 | 480.00
DRO | CLT | Southwest Airlines | 0 | 15:00 | 17:25 | 600.00
DRO | CLT | Alaska Airlines | 1 (SEA) | 16:15 | 19:35 | 530.00
DRO | CLT | JetBlue Airways | 1 (BOS) | 17:30 | 20:50 | 500.00


Here are the 16 flight plans:

CLT | BOZ | AA | 0 | 08:00 | 11:15 | 450.00
CLT | BOZ | UA | 1 (ORD) | 09:30 | 14:45 | 520.00
CLT | BOZ | DL | 0 | 11:00 | 14:20 | 480.00
CLT | BOZ | WN | 1 (MDW) | 12:15 | 17:30 | 550.00
CLT | BOZ | AS | 0 | 14:00 | 17:20 | 500.00
CLT | BOZ | B6 | 1 (JFK) | 15:30 | 20:45 | 580.00
CLT | BOZ | F9 | 0 | 17:00 | 20:20 | 530.00
CLT | BOZ | NK | 1 (EWR) | 18:30 | 23:45 | 610.00
BOZ | CLT | AA | 0 | 08:00 | 11:15 | 450.00
BOZ | CLT | UA | 1 (DEN) | 09:30 | 14:45 | 520.00
BOZ | CLT | DL | 0 | 11:00 | 14:20 | 480.00
BOZ | CLT | WN | 1 (HOU) | 12:15 | 17:30 | 550.00
BOZ | CLT | AS | 0 | 14:00 | 17:20 | 500.00
BOZ | CLT | B6 | 1 (BOS) | 15:30 | 20:45 | 580.00
BOZ | CLT | F9 | 0 | 17:00 | 20:20 | 530.00
