

Here are the 16 flight plans:

MSY | MCO | AA | 0 | 06:00 | 08:30 | 198.00
MSY | MYR | Alaska Airlines | 1 stop (SFO) | 18:30 | 21:50 | 250.00
MYR | MSY | American Airlines | Non-stop | 06:00 | 08:30 | 190.00
MYR | MSY | Delta Air Lines | 1 stop (BHM) | 07:15 | 10:45 | 210.00
MYR | MSY | United Airlines | Non-stop | 09:00 | 11:30 | 200.00
MYR | MSY | Spirit Airlines | 1 stop (TPA) | 10:30 | 14:00 | 170.00
MYR | MSY | JetBlue Airways | Non-stop | 12:00 | 14:30 | 220.00
MYR | MSY | Frontier Airlines | 1 stop (IAH) | 13:45 | 16:15 | 190.00
MYR | MSY | Southwest Airlines | Non-stop | 15:00 | 17:30 | 230.00
MYR | MSY | Alaska Airlines | 1 stop (ORD) | 16:30 | 19:50 | 240.00


Here are the 16 flight plans:

MSY | OAK | American Airlines | 1 (DFW) | 08:00 | 11:30 | 542.00
MSY | OAK | United Airlines | 0 | 09:30 | 12:45 | 612.00
MSY | OAK | Delta Air Lines | 1 (ATL) | 10:15 | 14:00 | 578.00
MSY | OAK | Spirit Airlines | 1 (LAS) | 11:00 | 15:30 | 498.00
MSY | OAK | Alaska Airlines | 0 | 12:00 | 15:15 | 638.00
MSY | OAK | Frontier Airlines | 1 (DEN) | 13:30 | 17:45 | 528.00
MSY | OAK | JetBlue Airways | 1 (FLL) | 14:45 | 19:00 | 548.00
MSY | OAK | Southwest Airlines | 0 | 16:00 | 19:15 | 658.00

OAK | MSY | American Airlines | 1 (PHX) | 07:00 | 13:30 | 522.00
OAK | MSY | United Airlines | 0 | 08:30 | 14:45 | 632.00
OAK | MSY | Delta Air Lines | 1 (SFO) | 09:45 | 16:00 | 588.00
OAK | MSY | Spirit Airlines | 1 (IAH) | 11:15 | 17:30 | 478.00
OAK | MSY | Alaska Airlines | 0 | 12:30 | 17:45 | 648.00
OAK | MSY | Frontier Airlines | 1 (MCO) | 13:45 | 19:00 | 508.00
OAK | MSY | JetBlue Airways | 1 (BOS) | 15:00 | 20:15 | 568.00
OAK | MSY | Southwest Airlines | 0 | 16:15 | 20:30 | 678.00


Here are the 16 flight plans:

MSY | SMF | AA | 1 (DFW) | 08:00 | 11:35 | 420.00
MSY | SMF | UA | 0 | 09:15 | 12:45 | 450.00
MSY | SMF | WN | 1 (DAL) | 10:30 | 14:05 | 380.00
MSY | SMF | DL | 1 (ATL) | 11:45 | 15:20 | 510.00
MSY | SMF | AS | 0 | 13:00 | 16:30 | 480.00
MSY | SMF | F9 | 1 (DEN) | 14:15 | 17:45 | 350.00
MSY | SMF | NK | 1 (IAH) | 15:30 | 19:00 | 320.00
MSY | SMF | B6 | 0 | 16:45 | 20:15 | 400.00

SMF | MSY | AA | 1 (PHX) | 08:00 | 14:35 | 440.00
SMF | MSY | UA | 0 | 09:15 | 15:45 | 470.00
SMF | MSY | WN | 1 (LAS) | 10:30 | 16:05 | 390.00
SMF | MSY | DL | 1 (SFO) | 11:45 | 17:20 | 530.00
SMF | MSY | AS | 0 | 13:00 | 18:30 | 500.00
SMF | MSY | F9 | 1 (ORD) | 14:15 | 19:45 | 360.00
SMF | MSY | NK | 1 (MCO) | 15:30 | 21:00 | 330.00
SMF | MSY | B6 | 0 | 16:45 | 22:15 | 410.00


Here are the 16 flight plans:

MSY | SAF | AA | 0 | 08:00 | 10:30 | 250.00
MSY | SAF | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
MSY | SAF | DL | 0 | 10:45 | 13:15 | 280.00
MSY | SAF | WN | 1 (HOU) | 11:30 | 15:00 | 300.00
MSY | SAF | AS | 0 | 12:00 | 14:30 | 260.00
MSY | SAF | F9 | 1 (DAL) | 13:15 | 16:45 | 290.00
MSY | SAF | NK | 0 | 14:30 | 17:00 | 240.00
MSY | SAF | B6 | 1 (LAX) | 15:45 | 19:15 | 330.00
SAF | MSY | AA | 0 | 08:00 | 10:30 | 250.00
SAF | MSY | UA | 1 (SFO) | 09:15 | 12:45 | 320.00
SAF | MSY | DL | 0 | 10:45 | 13:15 | 280.00
SAF | MSY | WN | 1 (PHX) | 11:30 | 15:00 | 300.00
SAF | MSY | AS | 0 | 12:00 | 14:30 | 260.00
SAF | MSY | F9 | 1 (IAH) | 13:15 | 16:45 | 290.00
SAF | MSY | NK | 0 | 14:30 | 17:00 | 240.00
SAF | MSY | B6 | 1 (ORD) | 15:45 | 19:15 | 330.00


Here are the 16 flight plans:

MSY | ABQ | American Airlines | 1 (DFW) | 08:00 | 11:30 | 542.00
MSY | ABQ | Delta Air Lines | 2 (ATL, DEN) | 09:30 | 14:45 | 623.00
MSY | ABQ | United Airlines | 0 | 10:15 | 13:20 | 498.00
MSY | ABQ | Southwest Airlines | 1 (HOU) | 11:00 | 14:15 | 568.00
MSY | ABQ | Frontier Airlines | 2 (IAH, COS) | 12:30 | 17:00 | 653.00
MSY | ABQ | Spirit Airlines | 1 (LAS) | 13:45 | 16:50 | 588.00
MSY | ABQ | JetBlue Airways | 0 | 15:00 | 18:05 | 528.00
MSY | ABQ | Alaska Airlines | 2 (SEA, SFO) | 16:15 | 20:30 | 693.00

ABQ | MSY | American Airlines | 1 (PHX) | 08:30 | 12:45 | 512.00
ABQ | MSY | Delta Air Lines | 2 (SLC, ATL) | 09:45 | 14:50 | 643.00
ABQ | MSY | United Airlines | 0 | 11:00 | 14:05 | 478.00
ABQ | MSY | Southwest Airlines | 1 (DAL) | 12:15 | 15:30 | 548.00
ABQ | MSY | Frontier Airlines | 2 (DEN, IAH) | 13:30 | 17:45 | 683.00
ABQ | MSY | Spirit Airlines | 1 (ORD) | 14:45 | 18:00 | 608.00
ABQ | MSY | JetBlue Airways | 0 | 16:00 | 19:05 | 558.00
ABQ | MSY | Alaska Airlines | 2 (PDX, DFW) | 17:15 | 21:30 | 718.00


Here are the 16 flight plans:

MSY | SAV | Delta | 1 (ATL) | 06:00 | 09:15 | 278.00
MSY | SAV | American | 0 | 08:30 | 10:45 | 298.00
MSY | SAV | United | 1 (IAH) | 10:15 | 13:30 | 248.00
MSY | SAV | Spirit | 0 | 12:00 | 14:15 | 198.00
MSY | SAV | JetBlue | 1 (FLL) | 14:30 | 17:45 | 268.00
MSY | SAV | Frontier | 0 | 16:15 | 18:30 | 228.00
MSY | SAV | Southwest | 1 (BHM) | 18:00 | 21:15 | 288.00
MSY | SAV | Alaska | 0 | 20:45 | 23:00 | 308.00
SAV | MSY | Delta | 1 (ATL) | 06:30 | 09:45 | 288.00
SAV | MSY | American | 0 | 09:00 | 11:15 | 318.00
SAV | MSY | United | 1 (IAH) | 11:45 | 15:00 | 258.00
SAV | MSY | Spirit | 0 | 13:30 | 15:45 | 208.00
SAV | MSY | JetBlue | 1 (FLL) | 16:00 | 19:15 | 288.00
SAV | MSY | Frontier | 0 | 17:45 | 20:00 | 238.00
SAV | MSY | Southwest | 1 (BHM) | 19:30 | 22:45 | 308.00
SAV | MSY | Alaska | 0 | 21:15 | 23:30 | 328.00


Here are the 16 flight plans:

MSY | JAX | AA | 0 | 06:00 | 08:30 | 198.00
MSY | JAX | DL | 1 (ATL) | 07:15 | 11:45 | 258.00
MSY | JAX | WN | 0 | 08:45 | 11:15 | 220.00
MSY | JAX | UA | 1 (IAH) | 09:30 | 14:10 | 302.00
MSY | JAX | F9 | 0 | 10:50 | 13:20 | 180.00
MSY | JAX | B6 | 1 (BOS) | 11:45 | 16:25 | 328.00
MSY | JAX | NK | 0 | 13:10 | 15:40 | 210.00
MSY | JAX | AS | 1 (DFW) | 14:20 | 19:00 | 350.00
JAX | MSY | AA | 0 | 06:30 | 08:00 | 190.00
JAX | MSY | DL | 1 (ATL) | 07:45 | 11:15 | 240.00
JAX | MSY | WN | 0 | 09:00 | 11:30 | 230.00
JAX | MSY | UA | 1 (IAH) | 10:15 | 14:45 | 290.00
JAX | MSY | F9 | 0 | 11:30 | 14:00 | 200.00
JAX | MSY | B6 | 1 (BOS) | 12:45 | 17:15 | 320.00
JAX | MSY | NK | 0 | 14:00 | 16:30 | 220.00
JAX | MSY | AS | 1 (DFW) | 15:20 | 20:00 | 340.00


Here are the 16 flight plans:

MSY | SFB | AA | Non-stop | 06:00 | 08:35 | 198.00
MSY | SFB | DL | 1 stop (ATL) | 07:30 | 11:15 | 229.00
MSY | SFB | UA | Non-stop | 09:15 | 11:45 | 219.00
MSY | SFB | WN | 1 stop (HOU) | 10:00 | 13:20 | 249.00
MSY | SFB | F9 | Non-stop | 11:45 | 14:10 | 189.00
MSY | SFB | NK | 1 stop (FLL) | 12:30 | 15:55 | 269.00
MSY | SFB | B6 | Non-stop | 14:00 | 16:25 | 209.00
MSY | SFB | SY | 1 stop (TPA) | 15:15 | 18:40 | 239.00
SFB | MSY | AA | Non-stop | 06:00 | 07:35 | 178.00
SFB | MSY | DL | 1 stop (ATL) | 07:30 | 10:15 | 209.00
SFB | MSY | UA | Non-stop | 09:15 | 10:45 | 199.00
SFB | MSY | WN | 1 stop (HOU) | 10:00 | 12:20 | 229.00
SFB | MSY | F9 | Non-stop | 11:45 | 13:10 | 169.00
SFB | MSY | NK | 1 stop (FLL) | 12:30 | 14:55 | 249.00
SFB | MSY | B6 | Non-stop | 14:00 | 15:25 | 189.00
SFB | MSY | SY | 1 stop (TPA) | 15:15 | 17:40 | 219.00


Here are the 16 flight plans:

MSY | MTJ | AA | 0 | 08:00 | 10:30 | 250.00
MSY | MTJ | UA | 1 (DEN) | 09:15 | 12:45 | 320.00
MSY | MTJ | DL | 0 | 11:00 | 13:30 | 280.00
MSY | MTJ | WN | 1 (HOU) | 12:45 | 16:15 | 350.00
MSY | MTJ | F9 | 0 | 14:00 | 16:30 | 220.00
MSY | MTJ | NK | 1 (ORD) | 15:30 | 19:00 | 400.00
MSY | MTJ | B6 | 0 | 17:00 | 19:30 | 300.00
MSY | MTJ | SY | 1 (MSP) | 18:45 | 22:15 | 420.00

MTJ | MSY | AA | 0 | 08:30 | 11:00 | 270.00
MTJ | MSY | UA | 1 (IAH) | 09:45 | 13:15 | 330.00
MTJ | MSY | DL | 0 | 11:30 | 14:00 | 290.00
MTJ | MSY | WN | 1 (DAL) | 12:15 | 15:45 | 360.00
MTJ | MSY | F9 | 0 | 14:30 | 17:00 | 240.00
MTJ | MSY | NK | 1 (ATL) | 16:00 | 19:30 | 410.00
MTJ | MSY | B6 | 0 | 17:30 | 20:00 | 310.00
MTJ | MSY | SY | 1 (DEN) | 19:15 | 22:45 | 440.00


Here are the 16 flight plans:

MSY | DRO | AA | 0 | 08:00 | 10:30 | 278.50
MSY | DRO | UA | 1 (DEN) | 09:15 | 13:45 | 345.00
MSY | DRO | WN | 0 | 10:45 | 13:15 | 299.00
MSY | DRO | DL | 1 (ATL) | 11:30 | 15:00 | 389.50
MSY | DRO | F9 | 0 | 12:15 | 14:45 | 259.00
MSY | DRO | AS | 1 (DFW) | 13:00 | 16:30 | 419.50
MSY | DRO | NK | 0 | 14:30 | 17:00 | 239.00
MSY | DRO | B6 | 1 (JFK) | 15:45 | 19:15 | 449.50
DRO | MSY | AA | 0 | 08:00 | 10:30 | 278.50
DRO | MSY | UA | 1 (SFO) | 09:15 | 13:45 | 365.00
DRO | MSY | WN | 0 | 10:45 | 13:15 | 299.00
DRO | MSY | DL | 1 (MSP) | 11:30 | 15:00 | 399.50
DRO | MSY | F9 | 0 | 12:15 | 14:45 | 259.00
DRO | MSY | AS | 1 (ORD) | 13:00 | 16:30 | 429.50
DRO | MSY | NK | 0 | 14:30 | 17:00 | 239.00
DRO | MSY | B6 | 1 (BOS) | 15:45 | 19:15 | 469.50


Here are the 16 flight plans:

MSY | BOZ | AA | 1 (DFW) | 08:00 | 11:15 | 450.00
MSY | BOZ | UA | 0 | 10:30 | 13:45 | 520.00
MSY | BOZ | DL | 2 (ATL, ORD) | 12:00 | 17:30 | 620.00
MSY | BOZ | WN | 1 (HOU) | 14:00 | 17:20 | 480.00
MSY | BOZ | AS | 1 (SEA) | 16:00 | 20:15 | 550.00
MSY | BOZ | B6 | 1 (FLL) | 18:00 | 21:25 | 500.00
MSY | BOZ | F9 | 1 (DEN) | 20:00 | 23:20 | 530.00
MSY | BOZ | NK | 2 (IAH, LAS) | 22:00 | 02:30 | 680.00

BOZ | MSY | AA | 1 (PHX) | 08:00 | 11:15 | 420.00
BOZ | MSY | UA | 0 | 10:30 | 13:45 | 490.00
BOZ | MSY | DL | 2 (SFO, LAX) | 12:00 | 17:30 | 650.00
BOZ | MSY | WN | 1 (ABQ) | 14:00 | 17:20 | 460.00
BOZ | MSY | AS | 1 (PDX) | 16:00 | 20:15 | 510.00
BOZ | MSY | B6 | 1 (JFK) | 18:00 | 21:25 | 480.00
BOZ | MSY | F9 | 1 (MCO) | 20:00 | 23:20 | 500.00
BOZ | MSY | NK | 2 (ORD, DFW) | 22:00 | 02:30 | 630.00


Here are the 16 flight plans:

MSY | FAT | American Airlines | 1 (DFW) | 08:00 | 11:30 | 425.00
MSY | FAT | Delta Air Lines | 0 | 09:30 | 12:45 | 395.00
MSY | FAT | United Airlines | 2 (IAH, SFO) | 10:15 | 14:50 | 525.00
MSY | FAT | Southwest Airlines | 1 (HOU) | 11:00 | 14:20 | 455.00
MSY | FAT | Alaska Airlines | 1 (SEA) | 12:30 | 16:00 | 485.00
MSY | FAT | JetBlue Airways | 0 | 13:45 | 17:10 | 415.00
MSY | FAT | Spirit Airlines | 2 (FLL, LAX) | 14:50 | 19:20 | 595.00
MSY | FAT | Frontier Airlines | 1 (DEN) | 15:30 | 19:00 | 505.00
FAT | MSY | American Airlines | 1 (PHX) | 06:00 | 12:30 | 445.00
FAT | MSY | Delta Air Lines | 0 | 07:15 | 13:40 | 375.00
FAT | MSY | United Airlines | 2 (SFO, IAH) | 08:30 | 15:05 | 555.00
FAT | MSY | Southwest Airlines | 1 (LAX) | 09:45 | 15:10 | 475.00
FAT | MSY | Alaska Airlines | 1 (PDX) | 11:00 | 16:30 | 515.00
FAT | MSY | JetBlue Airways | 0 | 12:20 | 17:50 | 435.00
FAT | MSY | Spirit Airlines | 2 (LAX, FLL) | 13:40 | 19:10 | 635.00
FAT | MSY | Frontier Airlines | 1 (DEN) | 14:50 | 20:20 | 565.00


Here are the 16 flight plans:

MSY | SGU | American Airlines | Non-stop | 08:00 | 10:35 | 278.00
MSY | SGU | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:10 | 298.00
MSY | SGU | United Airlines | Non-stop | 10:45 | 13:20 | 288.00
MSY | SGU | Spirit Airlines | 1 stop (DFW) | 11:30 | 15:50 | 248.00
MSY | SGU | Southwest Airlines | Non-stop | 12:00 | 14:35 | 268.00
MSY | SGU | Frontier Airlines | 1 stop (DEN) | 13:15 | 17:40 | 228.00
MSY | SGU | Alaska Airlines | Non-stop | 14:30 | 17:05 | 308.00
MSY | SGU | JetBlue Airways | 1 stop (MCO) | 15:45 | 19:20 | 288.00
SGU | MSY | American Airlines | Non-stop | 08:30 | 11:05 | 278.00
SGU | MSY | Delta Air Lines | 1 stop (SLC) | 09:50 | 13:45 | 298.00
SGU | MSY | United Airlines | Non-stop | 11:15 | 13:50 | 288.00
SGU | MSY | Spirit Airlines | 1 stop (LAS) | 12:00 | 15:25 | 248.00
SGU | MSY | Southwest Airlines | Non-stop | 13:30 | 16:05 | 268.00
SGU | MSY | Frontier Airlines | 1 stop (PHX) | 14:45 | 18:10 | 228.00
SGU | MSY | Alaska Airlines | Non-stop | 16:00 | 18:35 | 308.00
SGU | MSY | JetBlue Airways | 1 stop (ORD) | 17:15 | 20:40 | 288.00


Here are the 16 flight plans:

MSY | AMS | Delta | Non-stop | 08:00 | 17:30 | 850.00
MSY | AMS | KLM | 1 stop (CDG) | 09:30 | 19:15 | 720.00
MSY | AMS | American | Non-stop | 11:00 | 20:30 | 950.00
MSY | AMS | Lufthansa | 1 stop (FRA) | 12:30 | 22:00 | 820.00
MSY | AMS | United | 2 stops (EWR, FRA) | 13:00 | 23:45 | 690.00
MSY | AMS | Air France | 1 stop (CDG) | 14:00 | 00:30 | 780.00
MSY | AMS | British Airways | 1 stop (LHR) | 15:00 | 01:15 | 850.00
MSY | AMS | Iberia | 2 stops (MAD, LHR) | 16:00 | 02:45 | 620.00
AMS | MSY | Delta | Non-stop | 08:00 | 11:30 | 920.00
AMS | MSY | KLM | 1 stop (CDG) | 09:30 | 13:15 | 790.00
AMS | MSY | American | Non-stop | 11:00 | 14:30 | 1020.00
AMS | MSY | Lufthansa | 1 stop (FRA) | 12:30 | 16:00 | 890.00
AMS | MSY | United | 2 stops (EWR, FRA) | 13:00 | 17:45 | 740.00
AMS | MSY | Air France | 1 stop (CDG) | 14:00 | 18:30 | 870.00
AMS | MSY | British Airways | 1 stop (LHR) | 15:00 | 19:15 | 940.00
AMS | MSY | Iberia | 2 stops (MAD, LHR) | 16:00 | 20:45 | 680.00


Here are the 16 flight plans:

MSY | AUA | AA | 1 (MIA) | 08:00 | 12:30 | 450.00
MSY | AUA | DL | 0 | 10:30 | 14:15 | 520.00
MSY | AUA | WN | 1 (FLL) | 12:45 | 17:00 | 480.00
MSY | AUA | UA | 1 (IAH) | 14:00 | 18:30 | 500.00
MSY | AUA | B6 | 0 | 16:00 | 19:45 | 550.00
MSY | AUA | NK | 1 (TPA) | 17:30 | 21:50 | 420.00
MSY | AUA | F9 | 1 (ATL) | 19:00 | 23:20 | 390.00
MSY | AUA | SY | 0 | 20:30 | 00:15 | 580.00
AUA | MSY | AA | 1 (CLT) | 08:30 | 12:50 | 460.00
AUA | MSY | DL | 0 | 11:00 | 14:25 | 540.00
AUA | MSY | WN | 1 (BNA) | 13:15 | 16:40 | 490.00
AUA | MSY | UA | 1 (EWR) | 14:45 | 18:10 | 510.00
AUA | MSY | B6 | 0 | 16:30 | 19:55 | 570.00
AUA | MSY | NK | 1 (PBI) | 18:00 | 21:25 | 430.00
AUA | MSY | F9 | 1 (MCO) | 19:30 | 23:00 | 400.00
AUA | MSY | SY | 0 | 21:00 | 00:35 | 590.00


Here are the 16 flight plans:

MSY | ATH | Delta | 1 (JFK) | 08:00 | 18:30 | 850.00
MSY | ATH | Lufthansa | 2 (FRA, MUC) | 10:30 | 21:45 | 1200.00
MSY | ATH | American Airlines | 1 (PHL) | 12:15 | 23:50 | 950.00
MSY | ATH | United | 2 (EWR, LHR) | 14:00 | 02:10 | 1300.00
MSY | ATH | Air France | 1 (CDG) | 16:30 | 03:00 | 1100.00
MSY | ATH | KLM | 2 (AMS, IST) | 18:45 | 05:15 | 1400.00
MSY | ATH | British Airways | 1 (LHR) | 20:50 | 06:20 | 1250.00
MSY | ATH | Turkish Airlines | 2 (IST, MXP) | 22:10 | 08:30 | 1450.00
ATH | MSY | Delta | 1 (JFK) | 09:00 | 19:30 | 800.00
ATH | MSY | Lufthansa | 2 (MUC, FRA) | 11:30 | 23:45 | 1150.00
ATH | MSY | American Airlines | 1 (PHL) | 13:15 | 01:50 | 900.00
ATH | MSY | United | 2 (LHR, EWR) | 15:00 | 03:10 | 1250.00
ATH | MSY | Air France | 1 (CDG) | 17:30 | 04:00 | 1050.00
ATH | MSY | KLM | 2 (IST, AMS) | 19:45 | 06:15 | 1350.00
ATH | MSY | British Airways | 1 (LHR) | 21:50 | 07:20 | 1200.00
ATH | MSY | Turkish Airlines | 2 (MXP, IST) | 23:10 | 09:30 | 1400.00


Here are the 16 flight plans:

MSY | AKL | NZ | 1 (LAX) | 08:00 | 06:00 | 850.00
MSY | AKL | UA | 2 (IAH, SFO) | 10:00 | 09:00 | 1200.00
MSY | AKL | AA | 1 (DFW) | 12:00 | 10:00 | 900.00
MSY | AKL | QF | 2 (LAX, SYD) | 14:00 | 12:00 | 1500.00
MSY | AKL | DL | 1 (ATL) | 16:00 | 14:00 | 1000.00
MSY | AKL | HA | 2 (HNL, SYD) | 18:00 | 16:00 | 1300.00
MSY | AKL | VA | 1 (LAX) | 20:00 | 18:00 | 1100.00
MSY | AKL | FJ | 2 (LAX, NAN) | 22:00 | 20:00 | 1400.00
AKL | MSY | NZ | 1 (LAX) | 08:00 | 06:00 | 900.00
AKL | MSY | UA | 2 (SFO, IAH) | 10:00 | 09:00 | 1300.00
AKL | MSY | AA | 1 (DFW) | 12:00 | 10:00 | 1000.00
AKL | MSY | QF | 2 (SYD, LAX) | 14:00 | 12:00 | 1600.00
AKL | MSY | DL | 1 (ATL) | 16:00 | 14:00 | 1200.00
AKL | MSY | HA | 2 (SYD, HNL) | 18:00 | 16:00 | 1500.00
AKL | MSY | VA | 1 (LAX) | 20:00 | 18:00 | 1100.00
AKL | MSY | FJ | 2 (NAN, LAX) | 22:00 | 20:00 | 1400.00


Here are the 16 flight plans:

MSY | DPS | AA | 1 (HNL) | 08:00 | 19:30 | 850.00
MSY | DPS | UA | 2 (IAH, NRT) | 10:00 | 22:45 | 1100.00
MSY | DPS | DL | 1 (LAX) | 12:00 | 01:15 | 900.00
MSY | DPS | SQ | 0 | 14:00 | 06:00 | 1200.00
MSY | DPS | WN | 2 (DAL, HND) | 16:00 | 02:30 | 1000.00
MSY | DPS | AS | 1 (SEA) | 18:00 | 08:45 | 1050.00
MSY | DPS | HA | 1 (HNL) | 20:00 | 10:30 | 950.00
MSY | DPS | JL | 2 (DFW, NRT) | 22:00 | 12:15 | 1250.00
DPS | MSY | AA | 1 (HNL) | 08:00 | 19:30 | 850.00
DPS | MSY | UA | 2 (NRT, IAH) | 10:00 | 22:45 | 1100.00
DPS | MSY | DL | 1 (LAX) | 12:00 | 01:15 | 900.00
DPS | MSY | SQ | 0 | 14:00 | 06:00 | 1200.00
DPS | MSY | WN | 2 (HND, DAL) | 16:00 | 02:30 | 1000.00
DPS | MSY | AS | 1 (SEA) | 18:00 | 08:45 | 1050.00
DPS | MSY | HA | 1 (HNL) | 20:00 | 10:30 | 950.00
DPS | MSY | JL | 2 (NRT, DFW) | 22:00 | 12:15 | 1250.00


Here are the 16 flight plans:

MSY | BCN | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
MSY | BCN | Iberia | 1 stop (MAD) | 10:30 | 20:15 | 720.00
MSY | BCN | Delta Air Lines | Non-stop | 12:00 | 22:00 | 900.00
MSY | BCN | Lufthansa | 1 stop (FRA) | 14:30 | 23:45 | 780.00
MSY | BCN | United Airlines | 2 stops (EWR, CDG) | 16:00 | 01:15 | 650.00
MSY | BCN | Air Europa | 1 stop (MAD) | 18:00 | 02:30 | 600.00
MSY | BCN | KLM Royal Dutch Airlines | 1 stop (AMS) | 20:00 | 04:15 | 730.00
MSY | BCN | Turkish Airlines | 1 stop (IST) | 22:00 | 06:30 | 680.00

BCN | MSY | Iberia | Non-stop | 08:30 | 12:15 | 800.00
BCN | MSY | American Airlines | 1 stop (PHL) | 10:00 | 14:45 | 750.00
BCN | MSY | Delta Air Lines | Non-stop | 12:30 | 16:15 | 850.00
BCN | MSY | Lufthansa | 1 stop (FRA) | 14:00 | 18:45 | 780.00
BCN | MSY | United Airlines | 2 stops (EWR, IAD) | 16:30 | 21:15 | 680.00
BCN | MSY | Air France | 1 stop (CDG) | 18:30 | 22:15 | 700.00
BCN | MSY | KLM Royal Dutch Airlines | 1 stop (AMS) | 20:30 | 00:15 | 730.00
BCN | MSY | British Airways | 1 stop (LHR) | 22:30 | 02:15 | 720.00


Here are the 16 flight plans:

MSY | PEK | AA | 1 (NRT) | 08:00 | 20:30 | 850.00
MSY | PEK | UA | 2 (IAH, HKG) | 10:30 | 23:15 | 1050.00
MSY | PEK | DL | 1 (ATL) | 12:45 | 02:20 | 900.00
MSY | PEK | CX | 1 (HKG) | 14:15 | 04:00 | 950.00
MSY | PEK | JL | 2 (DFW, NRT) | 16:00 | 05:30 | 1100.00
MSY | PEK | MU | 1 (PVG) | 18:30 | 07:15 | 1000.00
MSY | PEK | HU | 2 (IAH, CAN) | 20:15 | 09:00 | 1150.00
MSY | PEK | CA | 1 (PEK) | 22:00 | 10:45 | 980.00

PEK | MSY | AA | 1 (NRT) | 09:00 | 21:30 | 850.00
PEK | MSY | UA | 2 (HKG, IAH) | 11:30 | 00:15 | 1050.00
PEK | MSY | DL | 1 (ATL) | 13:45 | 02:20 | 900.00
PEK | MSY | CX | 1 (HKG) | 15:15 | 04:00 | 950.00
PEK | MSY | JL | 2 (NRT, DFW) | 17:00 | 05:30 | 1100.00
PEK | MSY | MU | 1 (PVG) | 19:30 | 07:15 | 1000.00
PEK | MSY | HU | 2 (CAN, IAH) | 21:15 | 09:00 | 1150.00
PEK | MSY | CA | 1 (PEK) | 23:00 | 10:45 | 980.00


Here are the 16 flight plans:

MSY | BER | AA | 1 (PHL) | 08:00 | 18:30 | 850.00
MSY | BER | UA | 2 (EWR, FRA) | 10:30 | 20:15 | 1100.00
MSY | BER | DL | 0 | 13:45 | 06:00 | 1200.00
MSY | BER | LH | 1 (FRA) | 15:00 | 09:30 | 1000.00
MSY | BER | BA | 1 (LHR) | 17:00 | 11:00 | 950.00
MSY | BER | KL | 2 (AMS, CDG) | 19:30 | 14:45 | 1250.00
MSY | BER | AF | 1 (CDG) | 21:00 | 15:30 | 1050.00
MSY | BER | TK | 1 (IST) | 22:30 | 18:00 | 900.00
BER | MSY | AA | 1 (PHL) | 08:00 | 14:30 | 800.00
BER | MSY | UA | 2 (EWR, IAD) | 10:30 | 19:15 | 1000.00
BER | MSY | DL | 0 | 13:45 | 20:00 | 1100.00
BER | MSY | LH | 1 (FRA) | 15:00 | 22:30 | 950.00
BER | MSY | BA | 1 (LHR) | 17:00 | 00:30 | 900.00
BER | MSY | KL | 2 (AMS, MIA) | 19:30 | 03:45 | 1200.00
BER | MSY | AF | 1 (CDG) | 21:00 | 05:30 | 1000.00
BER | MSY | TK | 1 (IST) | 22:30 | 07:00 | 850.00


Here are the 16 flight plans:

MSY | EZE | LATAM | 1 (MIA) | 08:00 | 21:35 | 849.00
MSY | EZE | American | 2 (MIA, GRU) | 09:30 | 22:50 | 1099.00
MSY | EZE | Delta | 1 (ATL) | 10:15 | 22:20 | 899.00
MSY | EZE | Aerolineas Argentinas | 0 | 11:00 | 20:30 | 799.00
MSY | EZE | LATAM | 1 (FLL) | 12:45 | 23:55 | 929.00
MSY | EZE | United | 2 (IAH, SCL) | 13:20 | 00:10 | 1299.00
MSY | EZE | Avianca | 1 (BOG) | 14:50 | 23:15 | 999.00
MSY | EZE | Copa | 1 (PTY) | 16:30 | 00:40 | 1049.00
EZE | MSY | LATAM | 1 (MIA) | 08:00 | 18:35 | 849.00
EZE | MSY | American | 2 (GRU, MIA) | 09:30 | 20:50 | 1099.00
EZE | MSY | Delta | 1 (ATL) | 10:15 | 20:20 | 899.00
EZE | MSY | Aerolineas Argentinas | 0 | 11:00 | 18:30 | 799.00
EZE | MSY | LATAM | 1 (FLL) | 12:45 | 21:55 | 929.00
EZE | MSY | United | 2 (SCL, IAH) | 13:20 | 22:10 | 1299.00
EZE | MSY | Avianca | 1 (BOG) | 14:50 | 21:15 | 999.00
EZE | MSY | Copa | 1 (PTY) | 16:30 | 22:40 | 1049.00


Here are the 16 flight plans:

MSY | SJD | American Airlines | Non-stop | 08:00 | 10:30 | 542.00
MSY | SJD | Delta Air Lines | 1 stop (DFW) | 09:15 | 13:45 | 612.00
MSY | SJD | United Airlines | Non-stop | 10:45 | 13:15 | 582.00
MSY | SJD | Spirit Airlines | 1 stop (IAH) | 11:30 | 15:00 | 452.00
MSY | SJD | Alaska Airlines | 1 stop (LAX) | 12:00 | 16:30 | 692.00
MSY | SJD | JetBlue Airways | Non-stop | 13:15 | 15:45 | 512.00
