

Here are the 16 flight plans:

SFO | CLT | AA | 0 | 08:00 | 17:15 | 425.00
SFO | FCA | Alaska | 1 (SEA) | 11:45 | 19:15 | 550.00
SFO | FCA | Southwest | 0 | 13:00 | 19:30 | 500.00
SFO | FCA | Frontier | 1 (LAS) | 14:15 | 21:45 | 580.00
SFO | FCA | JetBlue | 0 | 15:30 | 22:00 | 510.00
SFO | FCA | Spirit | 1 (PHX) | 16:45 | 00:15 | 620.00

FCA | SFO | United | 0 | 08:30 | 10:00 | 420.00
FCA | SFO | American | 1 (DFW) | 09:45 | 12:15 | 490.00
FCA | SFO | Delta | 0 | 11:00 | 12:30 | 450.00
FCA | SFO | Alaska | 1 (PDX) | 12:15 | 14:45 | 520.00
FCA | SFO | Southwest | 0 | 13:30 | 15:00 | 480.00
FCA | SFO | Frontier | 1 (SNA) | 14:45 | 17:15 | 560.00
FCA | SFO | JetBlue | 0 | 15:50 | 17:20 | 500.00
FCA | SFO | Spirit | 1 (ORD) | 16:55 | 20:25 | 600.00


Here are the 16 flight plans:

SFO | FLG | American Airlines | 1 (PHX) | 08:00 | 11:35 | 345.00
SFO | FLG | Delta Air Lines | 0 | 09:30 | 12:50 | 275.00
SFO | FLG | United Airlines | 1 (DEN) | 10:45 | 14:20 | 310.00
SFO | FLG | Southwest Airlines | 0 | 12:15 | 15:40 | 290.00
SFO | FLG | Alaska Airlines | 1 (SEA) | 13:50 | 17:25 | 320.00
SFO | FLG | JetBlue Airways | 0 | 15:00 | 18:30 | 260.00
SFO | FLG | Spirit Airlines | 1 (LAS) | 16:20 | 20:00 | 240.00
SFO | FLG | Frontier Airlines | 0 | 18:00 | 21:35 | 230.00
FLG | SFO | American Airlines | 1 (PHX) | 06:00 | 09:35 | 330.00
FLG | SFO | Delta Air Lines | 0 | 07:30 | 10:50 | 280.00
FLG | SFO | United Airlines | 1 (DEN) | 09:15 | 12:50 | 300.00
FLG | SFO | Southwest Airlines | 0 | 11:00 | 14:25 | 260.00
FLG | SFO | Alaska Airlines | 1 (SEA) | 12:45 | 16:20 | 310.00
FLG | SFO | JetBlue Airways | 0 | 14:30 | 17:55 | 250.00
FLG | SFO | Spirit Airlines | 1 (LAS) | 16:00 | 19:40 | 220.00
FLG | SFO | Frontier Airlines | 0 | 17:45 | 21:20 | 210.00


Here are the 16 flight plans:

SFO | LAS | UA | 0 | 08:00 | 09:35 | 150.00
SFO | LAS | AA | 1 (PHX) | 09:15 | 12:05 | 220.00
SFO | LAS | WN | 0 | 10:30 | 12:05 | 180.00
SFO | LAS | DL | 1 (LAX) | 11:45 | 14:20 | 280.00
SFO | LAS | AS | 0 | 13:00 | 14:35 | 200.00
SFO | LAS | B6 | 1 (SAN) | 14:15 | 16:50 | 250.00
SFO | LAS | F9 | 0 | 15:30 | 17:05 | 160.00
SFO | LAS | NK | 1 (DEN) | 16:45 | 19:20 | 300.00
LAS | SFO | UA | 0 | 08:00 | 09:35 | 150.00
LAS | SFO | AA | 1 (PHX) | 09:15 | 12:05 | 220.00
LAS | SFO | WN | 0 | 10:30 | 12:05 | 180.00
LAS | SFO | DL | 1 (LAX) | 11:45 | 14:20 | 280.00
LAS | SFO | AS | 0 | 13:00 | 14:35 | 200.00
LAS | SFO | B6 | 1 (SAN) | 14:15 | 16:50 | 250.00
LAS | SFO | F9 | 0 | 15:30 | 17:05 | 160.00
LAS | SFO | NK | 1 (DEN) | 16:45 | 19:20 | 300.00


Here are the 16 flight plans:

SFO | TYS | UA | 1 (DEN) | 08:00 | 16:45 | 542.00
SFO | TYS | AA | 0 | 10:30 | 18:15 | 472.00
SFO | TYS | WN | 1 (PHX) | 12:45 | 21:10 | 512.00
SFO | TYS | DL | 1 (ATL) | 14:15 | 22:40 | 552.00
SFO | TYS | AS | 1 (SEA) | 16:00 | 23:35 | 532.00
SFO | TYS | F9 | 1 (DEN) | 17:30 | 00:05 | 492.00
SFO | TYS | NK | 1 (ORD) | 19:00 | 01:30 | 512.00
SFO | TYS | B6 | 1 (JFK) | 20:45 | 02:15 | 542.00
TYS | SFO | UA | 1 (IAH) | 06:00 | 09:20 | 482.00
TYS | SFO | AA | 0 | 08:15 | 11:40 | 442.00
TYS | SFO | WN | 1 (DAL) | 10:50 | 14:15 | 492.00
TYS | SFO | DL | 1 (MSP) | 12:20 | 15:45 | 522.00
TYS | SFO | AS | 1 (PDX) | 14:00 | 17:25 | 502.00
TYS | SFO | F9 | 1 (DEN) | 15:40 | 19:05 | 472.00
TYS | SFO | NK | 1 (LAS) | 17:10 | 20:35 | 492.00
TYS | SFO | B6 | 1 (BOS) | 19:30 | 22:55 | 522.00


Here are the 16 flight plans:

SFO | AVL | AA | 1 (DFW) | 08:00 | 17:30 | 548.50
SFO | AVL | UA | 1 (ORD) | 10:30 | 20:00 | 623.00
SFO | AVL | DL | 1 (ATL) | 12:00 | 21:30 | 598.50
SFO | AVL | WN | 1 (DEN) | 14:00 | 23:00 | 573.00
SFO | AVL | AS | 2 (SEA, CLT) | 06:00 | 19:30 | 653.50
SFO | AVL | F9 | 1 (LAS) | 16:00 | 01:00 | 523.00
SFO | AVL | NK | 1 (IAH) | 18:00 | 03:00 | 543.50
SFO | AVL | B6 | 1 (JFK) | 20:00 | 05:00 | 583.00
AVL | SFO | AA | 1 (CLT) | 08:30 | 11:30 | 513.50
AVL | SFO | UA | 1 (EWR) | 10:00 | 13:00 | 593.00
AVL | SFO | DL | 1 (ATL) | 12:30 | 15:30 | 568.50
AVL | SFO | WN | 1 (MDW) | 14:30 | 17:30 | 543.00
AVL | SFO | AS | 2 (PDX, SLC) | 06:30 | 12:30 | 623.50
AVL | SFO | F9 | 1 (PHX) | 16:30 | 19:30 | 503.00
AVL | SFO | NK | 1 (DFW) | 18:30 | 21:30 | 533.50
AVL | SFO | B6 | 1 (BOS) | 20:30 | 23:30 | 563.00


Here are the 16 flight plans:

SFO | JAC | UA | 0 | 08:00 | 12:30 | 450.00
SFO | JAC | AA | 1 (DEN) | 09:30 | 15:15 | 520.00
SFO | JAC | WN | 0 | 11:00 | 15:45 | 480.00
SFO | JAC | DL | 1 (SLC) | 12:30 | 18:00 | 550.00
SFO | JAC | AS | 0 | 14:00 | 18:30 | 500.00
SFO | JAC | F9 | 1 (LAS) | 15:30 | 20:15 | 480.00
SFO | JAC | B6 | 0 | 17:00 | 21:30 | 520.00
SFO | JAC | HA | 1 (HNL) | 18:30 | 23:15 | 600.00
JAC | SFO | UA | 0 | 08:30 | 11:00 | 420.00
JAC | SFO | AA | 1 (PHX) | 09:00 | 13:45 | 500.00
JAC | SFO | WN | 0 | 10:30 | 14:15 | 450.00
JAC | SFO | DL | 1 (ATL) | 11:30 | 16:15 | 580.00
JAC | SFO | AS | 0 | 13:00 | 16:45 | 480.00
JAC | SFO | F9 | 1 (DEN) | 14:30 | 18:15 | 500.00
JAC | SFO | B6 | 0 | 16:00 | 19:45 | 520.00
JAC | SFO | HA | 1 (LAX) | 17:30 | 21:15 | 550.00


Here are the 16 flight plans:

SFO | EYW | AA | 1 (MIA) | 08:00 | 17:35 | 450.00
SFO | EYW | UA | 1 (ORD) | 09:30 | 19:10 | 520.00
SFO | EYW | WN | 1 (DEN) | 11:15 | 20:45 | 480.00
SFO | EYW | DL | 2 (ATL, MIA) | 13:00 | 22:20 | 600.00
SFO | EYW | AS | 1 (SEA) | 14:45 | 23:25 | 550.00
SFO | EYW | B6 | 1 (JFK) | 16:30 | 00:50 | 580.00
SFO | EYW | F9 | 1 (DEN) | 18:00 | 02:30 | 500.00
SFO | EYW | NK | 2 (LAX, MIA) | 20:00 | 04:10 | 650.00
EYW | SFO | AA | 1 (MIA) | 08:30 | 13:05 | 420.00
EYW | SFO | UA | 1 (ORD) | 10:15 | 15:40 | 490.00
EYW | SFO | WN | 1 (DEN) | 12:00 | 17:25 | 450.00
EYW | SFO | DL | 2 (ATL, LAX) | 13:45 | 20:10 | 620.00
EYW | SFO | AS | 1 (SEA) | 15:30 | 21:55 | 570.00
EYW | SFO | B6 | 1 (JFK) | 17:15 | 23:40 | 590.00
EYW | SFO | F9 | 1 (DEN) | 19:00 | 01:30 | 510.00
EYW | SFO | NK | 2 (MIA, LAX) | 21:00 | 03:20 | 680.00


Here are the 16 flight plans:

SFO | RNO | American Airlines | Non-stop | 06:00 | 07:30 | 198.00
SFO | RNO | United Airlines | 1 stop (LAX) | 08:00 | 11:15 | 220.00
SFO | RNO | Delta Air Lines | Non-stop | 10:00 | 11:30 | 210.00
SFO | RNO | Alaska Airlines | 1 stop (SAN) | 12:00 | 14:45 | 240.00
SFO | RNO | Southwest Airlines | Non-stop | 14:00 | 15:30 | 180.00
SFO | RNO | Frontier Airlines | 1 stop (DEN) | 16:00 | 19:15 | 200.00
SFO | RNO | JetBlue Airways | Non-stop | 18:00 | 19:30 | 230.00
SFO | RNO | Spirit Airlines | 1 stop (LAS) | 20:00 | 22:45 | 190.00
RNO | SFO | American Airlines | Non-stop | 06:30 | 08:00 | 205.00
RNO | SFO | United Airlines | 1 stop (SJC) | 08:30 | 11:45 | 235.00
RNO | SFO | Delta Air Lines | Non-stop | 10:30 | 12:00 | 225.00
RNO | SFO | Alaska Airlines | 1 stop (PDX) | 12:30 | 15:15 | 255.00
RNO | SFO | Southwest Airlines | Non-stop | 14:30 | 16:00 | 195.00
RNO | SFO | Frontier Airlines | 1 stop (PHX) | 16:30 | 19:45 | 210.00
RNO | SFO | JetBlue Airways | Non-stop | 18:30 | 20:00 | 240.00
RNO | SFO | Spirit Airlines | 1 stop (ONT) | 20:30 | 22:55 | 200.00


Here are the 16 flight plans:

SFO | TVL | UA | 0 | 08:00 | 10:45 | 198.00
SFO | TVL | AA | 1 (DEN) | 09:30 | 13:15 | 225.00
SFO | TVL | WN | 0 | 11:15 | 13:50 | 179.00
SFO | TVL | DL | 1 (SLC) | 12:00 | 15:30 | 249.00
SFO | TVL | AS | 0 | 14:30 | 17:00 | 199.00
SFO | TVL | F9 | 1 (LAS) | 15:45 | 18:20 | 219.00
SFO | TVL | B6 | 0 | 17:00 | 19:30 | 189.00
SFO | TVL | NK | 1 (PHX) | 18:30 | 21:00 | 239.00
TVL | SFO | UA | 0 | 06:00 | 08:45 | 208.00
TVL | SFO | AA | 1 (DFW) | 07:30 | 11:15 | 235.00
TVL | SFO | WN | 0 | 09:15 | 11:50 | 169.00
TVL | SFO | DL | 1 (ATL) | 10:00 | 13:30 | 259.00
TVL | SFO | AS | 0 | 12:30 | 15:00 | 209.00
TVL | SFO | F9 | 1 (MCO) | 13:45 | 16:20 | 229.00
TVL | SFO | B6 | 0 | 15:00 | 17:30 | 189.00
TVL | SFO | NK | 1 (ORD) | 16:30 | 19:00 | 249.00


SFO | MCD | AA | 0 | 08:00 | 11:15 | 250.00
SFO | MCD | UA | 1 (DEN) | 09:30 | 13:45 | 320.00
SFO | MCD | WN | 0 | 11:45 | 15:00 | 200.00
SFO | MCD | DL | 1 (LAX) | 13:15 | 17:30 | 380.00
SFO | MCD | AS | 0 | 15:00 | 18:15 | 280.00
SFO | MCD | F9 | 1 (PHX) | 16:30 | 20:45 | 300.00
SFO | MCD | B6 | 0 | 18:00 | 21:15 | 220.00
SFO | MCD | NK | 1 (LAS) | 20:15 | 00:30 | 350.00
MCD | SFO | AA | 0 | 06:00 | 08:15 | 230.00
MCD | SFO | UA | 1 (IAH) | 07:30 | 11:45 | 330.00
MCD | SFO | WN | 0 | 09:45 | 12:00 | 210.00
MCD | SFO | DL | 1 (ATL) | 11:15 | 15:30 | 390.00
MCD | SFO | AS | 0 | 13:00 | 15:15 | 290.00
MCD | SFO | F9 | 1 (DEN) | 14:30 | 18:45 | 310.00
MCD | SFO | B6 | 0 | 16:00 | 18:15 | 240.00
MCD | SFO | NK | 1 (ORD) | 18:15 | 22:30 | 360.00


Here are the 16 flight plans:

SFO | PLN | American Airlines | Non-stop | 08:00 | 15:30 | 450.00
SFO | PLN | United Airlines | 1 stop (DEN) | 09:30 | 17:45 | 520.00
SFO | PLN | Delta Air Lines | Non-stop | 11:00 | 18:15 | 480.00
SFO | PLN | Alaska Airlines | 1 stop (SEA) | 12:30 | 20:00 | 550.00
SFO | PLN | Spirit Airlines | 2 stops (LAS, PHX) | 14:00 | 22:30 | 420.00
SFO | PLN | Frontier Airlines | 1 stop (MSP) | 15:30 | 23:45 | 500.00
SFO | PLN | JetBlue Airways | Non-stop | 17:00 | 00:15 | 510.00
SFO | PLN | Southwest Airlines | 1 stop (DAL) | 18:30 | 01:45 | 530.00
PLN | SFO | American Airlines | Non-stop | 06:00 | 09:30 | 400.00
PLN | SFO | United Airlines | 1 stop (IAH) | 07:30 | 11:45 | 470.00
PLN | SFO | Delta Air Lines | Non-stop | 09:00 | 12:15 | 440.00
PLN | SFO | Alaska Airlines | 1 stop (PDX) | 10:30 | 14:00 | 490.00
PLN | SFO | Spirit Airlines | 2 stops (ORD, DEN) | 12:00 | 16:30 | 410.00
PLN | SFO | Frontier Airlines | 1 stop (MKE) | 13:30 | 17:45 | 480.00
PLN | SFO | JetBlue Airways | Non-stop | 15:00 | 18:15 | 460.00
PLN | SFO | Southwest Airlines | 1 stop (STL) | 16:30 | 20:45 | 500.00


Here are the 16 flight plans:

SFO | OGG | HA | 0 | 08:00 | 11:30 | 450.00
SFO | OGG | AA | 1 (LAX) | 09:30 | 14:15 | 520.00
SFO | OGG | UA | 0 | 10:45 | 14:15 | 480.00
SFO | OGG | WN | 1 (HNL) | 11:15 | 15:45 | 550.00
SFO | OGG | DL | 0 | 12:30 | 16:00 | 500.00
SFO | OGG | AS | 1 (PDX) | 13:45 | 18:15 | 580.00
SFO | OGG | F9 | 0 | 15:00 | 18:30 | 420.00
SFO | OGG | NK | 1 (LAX) | 16:15 | 20:45 | 600.00
OGG | SFO | HA | 0 | 08:00 | 14:30 | 480.00
OGG | SFO | AA | 1 (PHX) | 09:30 | 16:15 | 560.00
OGG | SFO | UA | 0 | 10:45 | 16:15 | 500.00
OGG | SFO | WN | 1 (HNL) | 11:15 | 17:45 | 620.00
OGG | SFO | DL | 0 | 12:30 | 18:00 | 520.00
OGG | SFO | AS | 1 (PDX) | 13:45 | 20:15 | 640.00
OGG | SFO | F9 | 0 | 15:00 | 20:30 | 440.00
OGG | SFO | NK | 1 (LAX) | 16:15 | 22:45 | 680.00


SFO | RAP | UA | 0 | 08:00 | 11:30 | 250.00
SFO | RAP | AA | 1 (DEN) | 09:15 | 13:45 | 320.00
SFO | RAP | WN | 0 | 10:30 | 14:00 | 280.00
SFO | RAP | DL | 1 (SLC) | 11:45 | 16:15 | 350.00
SFO | RAP | F9 | 0 | 13:00 | 16:30 | 220.00
SFO | RAP | AS | 1 (SEA) | 14:15 | 18:45 | 380.00
SFO | RAP | B6 | 0 | 15:30 | 19:00 | 240.00
SFO | RAP | NK | 1 (LAS) | 16:45 | 21:15 | 300.00
RAP | SFO | UA | 0 | 08:00 | 10:30 | 230.00
RAP | SFO | AA | 1 (ORD) | 09:15 | 13:45 | 330.00
RAP | SFO | WN | 0 | 10:30 | 13:00 | 260.00
RAP | SFO | DL | 1 (ATL) | 11:45 | 16:15 | 360.00
RAP | SFO | F9 | 0 | 13:00 | 15:30 | 210.00
RAP | SFO | AS | 1 (PDX) | 14:15 | 18:45 | 390.00
RAP | SFO | B6 | 0 | 15:30 | 18:00 | 270.00
RAP | SFO | NK | 1 (PHX) | 16:45 | 21:15 | 310.00


Here are the 16 flight plans:

SFO | MYR | UA | 1 (DEN) | 08:00 | 17:30 | 450.00
SFO | MYR | AA | 1 (ORD) | 10:30 | 19:50 | 480.00
SFO | MYR | DL | 1 (ATL) | 12:00 | 21:20 | 520.00
SFO | MYR | WN | 1 (DAL) | 14:00 | 22:30 | 500.00
SFO | MYR | AS | 0 | 16:00 | 23:30 | 550.00
SFO | MYR | UA | 2 (DEN, IAH) | 18:00 | 01:50 | 600.00
SFO | MYR | AA | 2 (ORD, CLT) | 20:00 | 03:20 | 650.00
SFO | MYR | DL | 2 (ATL, MIA) | 22:00 | 05:40 | 700.00

MYR | SFO | UA | 1 (DEN) | 08:00 | 10:30 | 420.00
MYR | SFO | AA | 1 (ORD) | 10:30 | 13:00 | 450.00
MYR | SFO | DL | 1 (ATL) | 12:00 | 14:30 | 480.00
MYR | SFO | WN | 1 (DAL) | 14:00 | 16:30 | 450.00
MYR | SFO | AS | 0 | 16:00 | 18:30 | 500.00
MYR | SFO | UA | 2 (DEN, IAH) | 18:00 | 21:50 | 580.00
MYR | SFO | AA | 2 (ORD, CLT) | 20:00 | 00:20 | 620.00
MYR | SFO | DL | 2 (ATL, MIA) | 22:00 | 02:40 | 680.00


Here are the 16 flight plans:

SFO | SFO | UA | 0 | 06:00 | 07:30 | 150.00
SFO | SFO | AA | 1 (LAX) | 08:15 | 10:45 | 220.00
SFO | SFO | WN | 0 | 09:30 | 11:00 | 180.00
SFO | SFO | DL | 2 (DEN, SEA) | 10:45 | 14:15 | 350.00
SFO | SFO | AS | 1 (PDX) | 12:00 | 14:30 | 280.00
SFO | SFO | UA | 0 | 13:15 | 14:45 | 120.00
SFO | SFO | B6 | 1 (LGB) | 14:30 | 16:45 | 250.00
SFO | SFO | WN | 0 | 15:45 | 17:15 | 200.00
SFO | SFO | SFO | 0 | 06:00 | 07:30 | 150.00
SFO | SFO | AA | 1 (LAX) | 08:15 | 10:45 | 220.00
SFO | SFO | WN | 0 | 09:30 | 11:00 | 180.00
SFO | SFO | DL | 2 (DEN, SEA) | 10:45 | 14:15 | 350.00
SFO | SFO | AS | 1 (PDX) | 12:00 | 14:30 | 280.00
SFO | SFO | UA | 0 | 13:15 | 14:45 | 120.00
SFO | SFO | B6 | 1 (LGB) | 14:30 | 16:45 | 250.00
SFO | SFO | WN | 0 | 15:45 | 17:15 | 200.00


Here are the 16 flight plans:

SFO | OAK | AA | 0 | 08:00 | 08:45 | 125.00
SFO | OAK | UA | 0 | 09:30 | 10:15 | 150.00
SFO | OAK | WN | 1 (SJC) | 11:00 | 12:30 | 180.00
SFO | OAK | DL | 0 | 13:45 | 14:30 | 120.00
SFO | OAK | AS | 0 | 15:15 | 16:00 | 140.00
SFO | OAK | F9 | 1 (LAX) | 17:00 | 18:45 | 220.00
SFO | OAK | NK | 0 | 19:30 | 20:15 | 130.00
SFO | OAK | B6 | 0 | 21:00 | 21:45 | 160.00

OAK | SFO | AA | 0 | 06:30 | 07:15 | 110.00
OAK | SFO | UA | 1 (SMF) | 08:15 | 10:00 | 200.00
OAK | SFO | WN | 0 | 10:45 | 11:30 | 140.00
OAK | SFO | DL | 0 | 12:30 | 13:15 | 120.00
OAK | SFO | AS | 1 (PDX) | 14:15 | 16:00 | 240.00
OAK | SFO | F9 | 0 | 16:45 | 17:30 | 150.00
OAK | SFO | NK | 0 | 18:15 | 19:00 | 130.00
OAK | SFO | B6 | 1 (LGB) | 20:00 | 21:45 | 280.00


Here are the 16 flight plans:

SFO | SMF | UA | 0 | 08:00 | 09:15 | 120.00
SFO | SMF | WN | 1 (LAX) | 09:30 | 12:45 | 180.00
SFO | SMF | AA | 0 | 11:00 | 12:15 | 150.00
SFO | SMF | DL | 1 (SEA) | 12:30 | 15:45 | 220.00
SFO | SMF | AS | 0 | 14:00 | 15:15 | 130.00
SFO | SMF | F9 | 1 (DEN) | 15:30 | 18:45 | 200.00
SFO | SMF | NK | 0 | 17:00 | 18:15 | 140.00
SFO | SMF | B6 | 1 (LGB) | 19:30 | 22:45 | 210.00

SMF | SFO | UA | 0 | 08:00 | 09:15 | 120.00
SMF | SFO | WN | 1 (PHX) | 09:30 | 12:45 | 190.00
SMF | SFO | AA | 0 | 11:00 | 12:15 | 160.00
SMF | SFO | DL | 1 (SLC) | 12:30 | 15:45 | 230.00
SMF | SFO | AS | 0 | 14:00 | 15:15 | 140.00
SMF | SFO | F9 | 1 (LAS) | 15:30 | 18:45 | 200.00
SMF | SFO | NK | 0 | 17:00 | 18:15 | 150.00
SMF | SFO | B6 | 1 (SAN) | 19:30 | 22:45 | 220.00


Here are the 16 flight plans:

SFO | SAF | AA | 1 (DEN) | 08:00 | 11:45 | 425.00
SFO | SAF | UA | 0 | 09:30 | 12:15 | 395.00
SFO | SAF | WN | 1 (PHX) | 10:15 | 13:50 | 475.00
SFO | SAF | DL | 1 (LAX) | 11:00 | 14:30 | 525.00
SFO | SAF | AS | 0 | 12:30 | 15:15 | 445.00
SFO | SAF | B6 | 1 (LAS) | 13:45 | 17:10 | 505.00
SFO | SAF | F9 | 1 (AUS) | 14:30 | 18:00 | 485.00
SFO | SAF | NK | 1 (IAH) | 15:15 | 18:45 | 455.00
SAF | SFO | AA | 1 (DFW) | 06:00 | 07:45 | 405.00
SAF | SFO | UA | 0 | 07:30 | 09:15 | 375.00
SAF | SFO | WN | 1 (SAN) | 08:15 | 11:50 | 535.00
SAF | SFO | DL | 1 (SLC) | 09:00 | 11:30 | 495.00
SAF | SFO | AS | 0 | 10:30 | 12:15 | 425.00
SAF | SFO | B6 | 1 (PDX) | 11:45 | 14:20 | 465.00
SAF | SFO | F9 | 1 (DEN) | 12:30 | 15:05 | 505.00
SAF | SFO | NK | 1 (LAX) | 13:15 | 15:50 | 485.00


Here are the 16 flight plans:

SFO | ABQ | UA | 0 | 06:00 | 10:05 | 250.00
SFO | ABQ | AA | 1 (DEN) | 07:30 | 12:10 | 320.00
SFO | ABQ | WN | 0 | 08:15 | 12:20 | 280.00
SFO | ABQ | DL | 1 (LAX) | 09:00 | 13:40 | 350.00
SFO | ABQ | AS | 0 | 10:30 | 14:35 | 300.00
SFO | ABQ | F9 | 1 (PHX) | 11:45 | 16:10 | 290.00
SFO | ABQ | B6 | 0 | 13:00 | 16:55 | 270.00
SFO | ABQ | NK | 1 (LAS) | 14:15 | 18:30 | 310.00

ABQ | SFO | UA | 0 | 06:30 | 08:25 | 240.00
ABQ | SFO | AA | 1 (DFW) | 07:50 | 11:20 | 330.00
ABQ | SFO | WN | 0 | 09:20 | 11:25 | 260.00
ABQ | SFO | DL | 1 (SLC) | 10:40 | 13:50 | 360.00
ABQ | SFO | AS | 0 | 12:00 | 14:05 | 290.00
ABQ | SFO | F9 | 1 (DEN) | 13:20 | 16:40 | 280.00
ABQ | SFO | B6 | 0 | 14:45 | 16:50 | 250.00
ABQ | SFO | NK | 1 (PHX) | 16:00 | 19:20 | 300.00


Here are the 16 flight plans:

SFO | SAV | UA | 1 (DEN) | 08:00 | 16:45 | 548.00
SFO | SAV | AA | 2 (DFW, CLT) | 09:30 | 19:15 | 628.00
SFO | SAV | WN | 1 (LAS) | 11:15 | 19:50 | 498.00
SFO | SAV | DL | 1 (ATL) | 13:00 | 20:30 | 578.00
SFO | SAV | AS | 2 (SEA, DFW) | 14:45 | 22:20 | 648.00
SFO | SAV | B6 | 1 (JFK) | 16:30 | 23:50 | 598.00
SFO | SAV | F9 | 2 (DEN, MCO) | 18:15 | 01:45 | 668.00
SFO | SAV | NK | 1 (ORD) | 20:00 | 02:35 | 548.00
SAV | SFO | UA | 1 (IAH) | 08:15 | 10:50 | 528.00
SAV | SFO | AA | 2 (CLT, PHX) | 09:45 | 13:20 | 608.00
SAV | SFO | WN | 1 (HOU) | 11:30 | 14:05 | 478.00
SAV | SFO | DL | 1 (ATL) | 13:15 | 15:45 | 558.00
SAV | SFO | AS | 2 (DFW, SAN) | 14:50 | 18:25 | 638.00
SAV | SFO | B6 | 1 (BOS) | 16:20 | 19:50 | 588.00
SAV | SFO | F9 | 2 (MCO, DEN) | 18:05 | 22:40 | 658.00
SAV | SFO | NK | 1 (ORD) | 19:40 | 23:15 | 538.00


SFO | JAX | American Airlines | 1 (DFW) | 08:00 | 17:30 | 450.00
SFO | JAX | Delta Air Lines | 0 | 10:30 | 19:00 | 520.00
SFO | JAX | United Airlines | 1 (ORD) | 12:00 | 21:30 | 480.00
SFO | JAX | Alaska Airlines | 1 (SEA) | 14:00 | 23:00 | 500.00
SFO | JAX | Southwest Airlines | 1 (DEN) | 15:30 | 00:30 | 420.00
SFO | JAX | JetBlue Airways | 1 (LAX) | 17:00 | 02:00 | 490.00
SFO | JAX | Spirit Airlines | 1 (LAS) | 19:00 | 04:00 | 380.00
SFO | JAX | Frontier Airlines | 1 (PHX) | 20:30 | 05:30 | 400.00
JAX | SFO | American Airlines | 1 (CLT) | 08:30 | 11:30 | 430.00
JAX | SFO | Delta Air Lines | 0 | 11:00 | 14:00 | 550.00
JAX | SFO | United Airlines | 1 (IAH) | 12:30 | 16:00 | 510.00
JAX | SFO | Alaska Airlines | 1 (PDX) | 14:30 | 18:30 | 530.00
JAX | SFO | Southwest Airlines | 1 (HOU) | 16:00 | 20:00 | 440.00
JAX | SFO | JetBlue Airways | 1 (MCO) | 17:30 | 21:30 | 460.00
JAX | SFO | Spirit Airlines | 1 (FLL) | 19:30 | 23:30 | 390.00
JAX | SFO | Frontier Airlines | 1 (ATL) | 21:00 | 01:00 | 410.00


Here are the 16 flight plans:

SFO | SFB | UA | 0 | 06:00 | 09:15 | 178.50
SFO | SFB | AA | 1 (LAX) | 08:30 | 12:45 | 230.00
SFO | SFB | WN | 0 | 10:15 | 13:30 | 198.75
SFO | SFB | DL | 1 (ATL) | 12:00 | 18:15 | 280.00
SFO | SFB | B6 | 0 | 14:45 | 18:00 | 220.00
SFO | SFB | AS | 1 (SEA) | 16:30 | 21:45 | 300.00
SFO | SFB | F9 | 0 | 18:15 | 21:30 | 240.00
SFO | SFB | NK | 1 (DEN) | 20:00 | 01:15 | 320.00

SFB | SFO | UA | 0 | 06:30 | 09:45 | 190.00
SFB | SFO | AA | 1 (DFW) | 08:45 | 13:00 | 250.00
SFB | SFO | WN | 0 | 11:00 | 14:15 | 210.00
SFB | SFO | DL | 1 (MSP) | 13:15 | 18:30 | 290.00
SFB | SFO | B6 | 0 | 15:30 | 18:45 | 230.00
SFB | SFO | AS | 1 (PDX) | 17:45 | 22:00 | 310.00
SFB | SFO | F9 | 0 | 19:30 | 22:45 | 260.00
SFB | SFO | NK | 1 (ORD) | 21:45 | 02:00 | 330.00


Here are the 16 flight plans:

SFO | MTJ | UA | 1 (DEN) | 08:00 | 12:45 | 425.00
SFO | MTJ | AA | 0 | 09:30 | 14:15 | 450.00
SFO | MTJ | WN | 1 (PHX) | 10:15 | 15:50 | 395.00
SFO | MTJ | DL | 1 (SLC) | 11:00 | 16:30 | 480.00
SFO | MTJ | AS | 0 | 12:45 | 17:20 | 420.00
SFO | MTJ | B6 | 1 (LAX) | 13:30 | 18:05 | 410.00
SFO | MTJ | F9 | 1 (LAS) | 14:15 | 19:00 | 380.00
SFO | MTJ | NK | 1 (ORD) | 15:00 | 20:35 | 440.00
MTJ | SFO | UA | 1 (DEN) | 06:00 | 09:45 | 420.00
MTJ | SFO | AA | 0 | 07:30 | 11:15 | 450.00
MTJ | SFO | WN | 1 (PHX) | 08:15 | 12:50 | 400.00
MTJ | SFO | DL | 1 (SLC) | 09:00 | 13:30 | 480.00
MTJ | SFO | AS | 0 | 10:45 | 14:20 | 430.00
MTJ | SFO | B6 | 1 (LAX) | 11:30 | 15:05 | 410.00
MTJ | SFO | F9 | 1 (LAS) | 12:15 | 16:00 | 390.00
MTJ | SFO | NK | 1 (ORD) | 13:00 | 17:35 | 450.00


Here are the 16 flight plans:

SFO | DRO | UA | 1 (DEN) | 08:00 | 12:30 | 350.00
SFO | DRO | AA | 0 | 10:30 | 14:45 | 420.00
SFO | DRO | WN | 1 (PHX) | 12:00 | 17:15 | 380.00
SFO | DRO | DL | 1 (SLC) | 14:00 | 18:30 | 450.00
