

Here are the 16 flight plans:

PHL | SFO | AA | 0 | 08:00 | 11:15 | 425.00
PHL | CHS | AA | 0 | 06:00 | 08:30 | 250.00
PHL | CHS | DL | 1 (ATL) | 07:15 | 10:45 | 320.00
PHL | CHS | UA | 0 | 08:45 | 11:15 | 280.00
PHL | CHS | WN | 1 (BWI) | 09:30 | 12:50 | 300.00
PHL | CHS | AA | 0 | 11:00 | 13:30 | 240.00
PHL | CHS | DL | 1 (CLT) | 12:15 | 15:30 | 350.00
PHL | CHS | UA | 0 | 13:45 | 16:15 | 260.00
PHL | CHS | WN | 1 (EWR) | 15:00 | 18:20 | 330.00
CHS | PHL | AA | 0 | 06:30 | 08:00 | 230.00
CHS | PHL | DL | 1 (ATL) | 07:45 | 10:15 | 290.00
CHS | PHL | UA | 0 | 09:15 | 11:45 | 250.00
CHS | PHL | WN | 1 (BWI) | 10:30 | 13:00 | 270.00
CHS | PHL | AA | 0 | 12:00 | 14:30 | 210.00
CHS | PHL | DL | 1 (CLT) | 13:15 | 15:45 | 310.00
CHS | PHL | UA | 0 | 14:45 | 17:15 | 220.00
CHS | PHL | WN | 1 (EWR) | 16:00 | 18:30 | 280.00


Here are the 16 flight plans:

PHL | RAP | AA | 0 | 08:00 | 10:30 | 450.00
PHL | RAP | UA | 1 (DEN) | 09:30 | 12:45 | 520.00
PHL | RAP | DL | 0 | 11:00 | 13:20 | 480.00
PHL | RAP | WN | 1 (MDW) | 12:30 | 15:50 | 550.00
PHL | RAP | AS | 0 | 14:00 | 16:20 | 500.00
PHL | RAP | B6 | 1 (JFK) | 15:30 | 18:45 | 580.00
PHL | RAP | F9 | 0 | 17:00 | 19:20 | 530.00
PHL | RAP | NK | 1 (ORD) | 18:30 | 21:50 | 610.00
RAP | PHL | AA | 0 | 08:00 | 11:30 | 420.00
RAP | PHL | UA | 1 (SFO) | 09:30 | 13:45 | 490.00
RAP | PHL | DL | 0 | 11:00 | 14:20 | 450.00
RAP | PHL | WN | 1 (LAS) | 12:30 | 16:50 | 520.00
RAP | PHL | AS | 0 | 14:00 | 17:20 | 470.00
RAP | PHL | B6 | 1 (BOS) | 15:30 | 19:45 | 540.00
RAP | PHL | F9 | 0 | 17:00 | 20:20 | 500.00
RAP | PHL | NK | 1 (MIA) | 18:30 | 22:50 | 570.00


Here are the 16 flight plans:

PHL | FCA | AA | 1 (ORD) | 06:00 | 11:35 | 542.50
PHL | FCA | UA | 2 (EWR, DEN) | 08:15 | 14:50 | 630.00
PHL | FCA | DL | 0 | 10:30 | 16:05 | 470.00
PHL | FCA | WN | 1 (MDW) | 12:45 | 19:10 | 510.00
PHL | FCA | AS | 2 (PDX, SEA) | 14:00 | 21:25 | 740.00
PHL | FCA | B6 | 1 (JFK) | 16:15 | 22:40 | 590.00
PHL | FCA | F9 | 1 (DEN) | 18:30 | 00:55 | 420.00
PHL | FCA | NK | 2 (FLL, ORD) | 20:45 | 03:10 | 680.00
FCA | PHL | AA | 1 (DFW) | 06:00 | 11:35 | 520.00
FCA | PHL | UA | 2 (SFO, IAD) | 08:15 | 14:50 | 650.00
FCA | PHL | DL | 0 | 10:30 | 16:05 | 480.00
FCA | PHL | WN | 1 (LAS) | 12:45 | 19:10 | 500.00
FCA | PHL | AS | 2 (SEA, PDX) | 14:00 | 21:25 | 760.00
FCA | PHL | B6 | 1 (BOS) | 16:15 | 22:40 | 610.00
FCA | PHL | F9 | 1 (DEN) | 18:30 | 00:55 | 430.00
FCA | PHL | NK | 2 (ORD, FLL) | 20:45 | 03:10 | 710.00


Here are the 16 flight plans:

PHL | FLG | AA | 1 (ORD) | 06:00 | 11:35 | 450.00
PHL | FLG | UA | 2 (EWR, DEN) | 08:15 | 14:50 | 520.00
PHL | FLG | WN | 0 | 09:30 | 13:10 | 380.00
PHL | FLG | DL | 1 (ATL) | 10:45 | 16:20 | 500.00
PHL | FLG | F9 | 1 (MDW) | 12:00 | 17:35 | 420.00
PHL | FLG | B6 | 2 (JFK, LAS) | 13:15 | 19:40 | 580.00
PHL | FLG | NK | 1 (FLL) | 14:30 | 20:05 | 480.00
PHL | FLG | SY | 0 | 15:45 | 19:20 | 400.00

FLG | PHL | AA | 1 (DFW) | 06:30 | 12:05 | 430.00
FLG | PHL | UA | 2 (SFO, IAD) | 08:00 | 14:30 | 550.00
FLG | PHL | WN | 0 | 09:45 | 14:20 | 410.00
FLG | PHL | DL | 1 (MSP) | 11:00 | 16:35 | 490.00
FLG | PHL | F9 | 1 (DEN) | 12:15 | 17:50 | 450.00
FLG | PHL | B6 | 2 (BOS, CLT) | 13:30 | 19:55 | 600.00
FLG | PHL | NK | 1 (ORD) | 14:45 | 20:20 | 510.00
FLG | PHL | SY | 0 | 16:00 | 20:35 | 440.00


Here are the 16 flight plans:

PHL | LAS | AA | 0 | 08:00 | 10:35 | 250.00
PHL | LAS | UA | 1 (DEN) | 09:15 | 12:50 | 320.00
PHL | LAS | WN | 0 | 10:30 | 13:05 | 220.00
PHL | LAS | DL | 1 (ATL) | 11:45 | 15:20 | 380.00
PHL | LAS | AS | 1 (SEA) | 12:00 | 15:35 | 350.00
PHL | LAS | B6 | 0 | 13:15 | 15:50 | 280.00
PHL | LAS | F9 | 1 (MDW) | 14:30 | 17:05 | 300.00
PHL | LAS | NK | 0 | 15:45 | 18:20 | 240.00
LAS | PHL | AA | 0 | 08:00 | 15:35 | 270.00
LAS | PHL | UA | 1 (SFO) | 09:15 | 16:50 | 340.00
LAS | PHL | WN | 0 | 10:30 | 17:05 | 230.00
LAS | PHL | DL | 1 (MSP) | 11:45 | 18:20 | 360.00
LAS | PHL | AS | 1 (PDX) | 12:00 | 18:35 | 330.00
LAS | PHL | B6 | 0 | 13:15 | 19:50 | 290.00
LAS | PHL | F9 | 1 (IAH) | 14:30 | 20:05 | 310.00
LAS | PHL | NK | 0 | 15:45 | 21:20 | 260.00


Here are the 16 flight plans:

PHL | TYS | American Airlines | 0 | 08:00 | 10:30 | 198.00
PHL | TYS | Delta Air Lines | 1 (ATL) | 09:15 | 12:45 | 229.00
PHL | TYS | United Airlines | 0 | 10:45 | 13:15 | 215.00
PHL | TYS | Frontier Airlines | 1 (MCO) | 11:30 | 15:00 | 199.00
PHL | TYS | Spirit Airlines | 1 (FLL) | 12:15 | 15:45 | 185.00
PHL | TYS | Southwest Airlines | 0 | 13:00 | 15:30 | 225.00
PHL | TYS | JetBlue Airways | 1 (BOS) | 14:30 | 17:00 | 245.00
PHL | TYS | Alaska Airlines | 1 (ORD) | 15:15 | 18:45 | 265.00
TYS | PHL | American Airlines | 0 | 08:30 | 11:00 | 208.00
TYS | PHL | Delta Air Lines | 1 (CVG) | 09:45 | 12:15 | 239.00
TYS | PHL | United Airlines | 0 | 11:15 | 13:45 | 220.00
TYS | PHL | Frontier Airlines | 1 (DEN) | 12:00 | 15:30 | 205.00
TYS | PHL | Spirit Airlines | 1 (TPA) | 13:30 | 16:00 | 190.00
TYS | PHL | Southwest Airlines | 0 | 14:45 | 17:15 | 235.00
TYS | PHL | JetBlue Airways | 1 (JFK) | 15:30 | 18:00 | 255.00
TYS | PHL | Alaska Airlines | 1 (SFO) | 16:15 | 19:45 | 275.00


Here are the 16 flight plans:

PHL | AVL | AA | Non-stop | 06:00 | 08:35 | 198.00
PHL | AVL | DL | 1 stop (CLT) | 07:15 | 10:50 | 225.00
PHL | AVL | UA | Non-stop | 08:30 | 11:05 | 212.00
PHL | AVL | WN | 1 stop (BWI) | 09:45 | 13:20 | 240.00
PHL | AVL | F9 | Non-stop | 11:00 | 13:35 | 185.00
PHL | AVL | AA | 1 stop (PIT) | 12:15 | 15:40 | 250.00
PHL | AVL | DL | Non-stop | 13:30 | 16:05 | 220.00
PHL | AVL | UA | 1 stop (EWR) | 14:45 | 18:10 | 265.00
AVL | PHL | AA | Non-stop | 06:00 | 07:35 | 192.00
AVL | PHL | DL | 1 stop (ATL) | 07:15 | 10:40 | 230.00
AVL | PHL | UA | Non-stop | 08:30 | 10:05 | 205.00
AVL | PHL | WN | 1 stop (ORF) | 09:45 | 13:10 | 245.00
AVL | PHL | F9 | Non-stop | 11:00 | 12:35 | 180.00
AVL | PHL | AA | 1 stop (RDU) | 12:15 | 15:30 | 255.00
AVL | PHL | DL | Non-stop | 13:30 | 15:05 | 210.00
AVL | PHL | UA | 1 stop (IAD) | 14:45 | 17:10 | 270.00


Here are the 16 flight plans:

PHL | JAC | AA | 1 (DEN) | 08:00 | 11:35 | 542.50
PHL | JAC | UA | 0 | 10:30 | 14:05 | 620.00
PHL | JAC | DL | 1 (ATL) | 12:45 | 17:10 | 480.00
PHL | JAC | WN | 1 (MDW) | 14:15 | 19:40 | 510.00
PHL | JAC | AS | 1 (SEA) | 16:00 | 21:25 | 550.00
PHL | JAC | B6 | 1 (JFK) | 17:30 | 22:55 | 530.00
PHL | JAC | F9 | 1 (DEN) | 19:00 | 00:25 | 460.00
PHL | JAC | NK | 1 (ORD) | 20:45 | 02:10 | 490.00
JAC | PHL | AA | 1 (DEN) | 06:00 | 12:35 | 572.50
JAC | PHL | UA | 0 | 08:30 | 14:05 | 650.00
JAC | PHL | DL | 1 (ATL) | 10:45 | 16:10 | 500.00
JAC | PHL | WN | 1 (MDW) | 12:15 | 18:40 | 530.00
JAC | PHL | AS | 1 (SEA) | 14:00 | 20:25 | 570.00
JAC | PHL | B6 | 1 (JFK) | 15:30 | 22:55 | 550.00
JAC | PHL | F9 | 1 (DEN) | 17:00 | 23:25 | 480.00
JAC | PHL | NK | 1 (ORD) | 19:45 | 02:10 | 510.00


Here are the 16 flight plans:

PHL | EYW | AA | 0 | 06:00 | 09:15 | 278.50
PHL | EYW | DL | 1 (ATL) | 07:30 | 11:45 | 308.00
PHL | EYW | UA | 0 | 08:15 | 11:30 | 288.00
PHL | EYW | WN | 1 (FLL) | 09:00 | 13:15 | 328.50
PHL | EYW | B6 | 0 | 10:30 | 13:45 | 298.00
PHL | EYW | AS | 1 (MCO) | 11:45 | 15:00 | 348.00
PHL | EYW | F9 | 0 | 13:00 | 16:15 | 268.00
PHL | EYW | NK | 1 (TPA) | 14:15 | 17:30 | 318.50

EYW | PHL | AA | 0 | 06:30 | 09:45 | 298.00
EYW | PHL | DL | 1 (ATL) | 07:45 | 11:00 | 328.00
EYW | PHL | UA | 0 | 09:00 | 12:15 | 308.00
EYW | PHL | WN | 1 (FLL) | 10:15 | 13:30 | 358.50
EYW | PHL | B6 | 0 | 11:30 | 14:45 | 318.00
EYW | PHL | AS | 1 (MCO) | 12:45 | 15:00 | 378.00
EYW | PHL | F9 | 0 | 14:00 | 17:15 | 288.00
EYW | PHL | NK | 1 (TPA) | 15:15 | 18:30 | 348.50


Here are the 16 flight plans:

PHL | RNO | AA | 0 | 08:00 | 11:15 | 450.00
PHL | RNO | UA | 1 (DEN) | 09:30 | 13:45 | 520.00
PHL | RNO | WN | 0 | 10:45 | 14:00 | 480.00
PHL | RNO | DL | 1 (ATL) | 12:00 | 16:20 | 550.00
PHL | RNO | AS | 0 | 13:15 | 16:30 | 500.00
PHL | RNO | F9 | 1 (MDW) | 14:30 | 18:45 | 420.00
PHL | RNO | NK | 0 | 15:45 | 19:00 | 460.00
PHL | RNO | B6 | 1 (LAX) | 17:00 | 21:15 | 580.00
RNO | PHL | AA | 0 | 08:00 | 15:15 | 430.00
RNO | PHL | UA | 1 (SFO) | 09:30 | 17:45 | 500.00
RNO | PHL | WN | 0 | 10:45 | 18:00 | 450.00
RNO | PHL | DL | 1 (MSP) | 12:00 | 20:20 | 520.00
RNO | PHL | AS | 0 | 13:15 | 20:30 | 470.00
RNO | PHL | F9 | 1 (ORD) | 14:30 | 22:45 | 410.00
RNO | PHL | NK | 0 | 15:45 | 23:00 | 440.00
RNO | PHL | B6 | 1 (JFK) | 17:00 | 01:15 | 560.00


Here are the 16 flight plans:

PHL | TVL | AA | 0 | 08:00 | 11:05 | 450.00
PHL | TVL | UA | 1 (DEN) | 09:30 | 13:40 | 520.00
PHL | TVL | DL | 0 | 11:15 | 14:20 | 480.00
PHL | TVL | WN | 1 (MDW) | 12:45 | 16:50 | 550.00
PHL | TVL | AS | 0 | 14:00 | 17:05 | 500.00
PHL | TVL | F9 | 1 (DFW) | 15:30 | 19:35 | 580.00
PHL | TVL | B6 | 0 | 17:15 | 20:20 | 530.00
PHL | TVL | NK | 1 (LAS) | 19:00 | 22:55 | 610.00
TVL | PHL | AA | 0 | 06:00 | 09:05 | 420.00
TVL | PHL | UA | 1 (SFO) | 07:30 | 11:40 | 490.00
TVL | PHL | DL | 0 | 09:45 | 12:50 | 450.00
TVL | PHL | WN | 1 (PHX) | 11:15 | 14:20 | 520.00
TVL | PHL | AS | 0 | 13:00 | 16:05 | 470.00
TVL | PHL | F9 | 1 (ORD) | 14:30 | 17:35 | 540.00
TVL | PHL | B6 | 0 | 16:15 | 19:20 | 500.00
TVL | PHL | NK | 1 (MIA) | 18:00 | 21:55 | 570.00


Here are the 16 flight plans:

PHL | MCD | AA | 0 | 08:00 | 11:15 | 275.00
PHL | MCD | UA | 1 (ORD) | 09:30 | 14:45 | 325.00
PHL | MCD | DL | 0 | 11:00 | 14:20 | 295.00
PHL | MCD | WN | 1 (BWI) | 12:15 | 16:30 | 305.00
PHL | MCD | AS | 0 | 13:45 | 17:00 | 315.00
PHL | MCD | F9 | 1 (ATL) | 15:00 | 19:15 | 345.00
PHL | MCD | NK | 0 | 16:30 | 19:45 | 335.00
PHL | MCD | B6 | 1 (JFK) | 18:00 | 22:15 | 365.00
MCD | PHL | AA | 0 | 08:30 | 11:45 | 285.00
MCD | PHL | UA | 1 (DEN) | 09:45 | 14:00 | 335.00
MCD | PHL | DL | 0 | 11:15 | 14:30 | 305.00
MCD | PHL | WN | 1 (STL) | 12:30 | 16:45 | 325.00
MCD | PHL | AS | 0 | 14:00 | 17:15 | 335.00
MCD | PHL | F9 | 1 (MIA) | 15:15 | 19:30 | 355.00
MCD | PHL | NK | 0 | 16:45 | 20:00 | 345.00
MCD | PHL | B6 | 1 (BOS) | 18:15 | 22:30 | 375.00


Here are the 16 flight plans:

PHL | PLN | AA | 1 (DTW) | 08:00 | 11:15 | 425.00
PHL | PLN | UA | 1 (ORD) | 09:30 | 12:45 | 450.00
PHL | PLN | DL | 0 | 11:00 | 13:30 | 380.00
PHL | PLN | WN | 1 (MDW) | 12:15 | 15:30 | 410.00
PHL | PLN | AS | 1 (SEA) | 13:45 | 17:00 | 500.00
PHL | PLN | B6 | 1 (JFK) | 15:00 | 18:15 | 440.00
PHL | PLN | F9 | 1 (DEN) | 16:30 | 19:45 | 420.00
PHL | PLN | NK | 1 (LAS) | 18:00 | 21:15 | 460.00
PLN | PHL | AA | 1 (CLT) | 08:00 | 10:30 | 395.00
PLN | PHL | UA | 1 (EWR) | 09:30 | 12:00 | 420.00
PLN | PHL | DL | 0 | 11:00 | 13:00 | 350.00
PLN | PHL | WN | 1 (STL) | 12:15 | 14:30 | 385.00
PLN | PHL | AS | 1 (SFO) | 13:45 | 16:00 | 480.00
PLN | PHL | B6 | 1 (BOS) | 15:00 | 17:15 | 410.00
PLN | PHL | F9 | 1 (MCO) | 16:30 | 18:45 | 400.00
PLN | PHL | NK | 1 (DFW) | 18:00 | 20:15 | 430.00


Here are the 16 flight plans:

PHL | OGG | AA | 0 | 08:00 | 17:35 | 849.00
PHL | OGG | UA | 1 (SFO) | 09:15 | 20:50 | 1023.00
PHL | OGG | HA | 0 | 10:30 | 19:05 | 899.00
PHL | OGG | DL | 1 (LAX) | 11:45 | 22:20 | 1099.00
PHL | OGG | WN | 1 (DEN) | 12:00 | 23:35 | 1049.00
PHL | OGG | AS | 1 (SEA) | 13:15 | 00:50 | 1149.00
PHL | OGG | B6 | 1 (JFK) | 14:30 | 02:05 | 1199.00
PHL | OGG | F9 | 1 (ORD) | 15:45 | 03:20 | 1099.00
OGG | PHL | AA | 0 | 08:00 | 19:35 | 849.00
OGG | PHL | UA | 1 (SFO) | 09:15 | 21:50 | 1023.00
OGG | PHL | HA | 0 | 10:30 | 20:05 | 899.00
OGG | PHL | DL | 1 (LAX) | 11:45 | 23:20 | 1099.00
OGG | PHL | WN | 1 (DEN) | 12:00 | 00:35 | 1049.00
OGG | PHL | AS | 1 (SEA) | 13:15 | 02:50 | 1149.00
OGG | PHL | B6 | 1 (JFK) | 14:30 | 04:05 | 1199.00
OGG | PHL | F9 | 1 (ORD) | 15:45 | 05:20 | 1099.00
OGG | PHL | NK | 1 (IAH) | 16:00 | 06:35 | 1049.00


Here are the 16 flight plans:

PHL | RAP | American Airlines | Non-stop | 06:00 | 08:35 | 425.00
PHL | RAP | United Airlines | 1 stop (DEN) | 08:15 | 12:40 | 550.00
PHL | RAP | Delta Air Lines | Non-stop | 10:45 | 13:20 | 475.00
PHL | RAP | Frontier Airlines | 1 stop (ORD) | 12:00 | 16:25 | 400.00
PHL | RAP | Alaska Airlines | 1 stop (SFO) | 14:30 | 18:55 | 525.00
PHL | RAP | Spirit Airlines | 1 stop (LAS) | 16:15 | 20:40 | 450.00
PHL | RAP | JetBlue Airways | Non-stop | 18:00 | 20:35 | 500.00
PHL | RAP | Southwest Airlines | 1 stop (MDW) | 20:45 | 01:10 | 480.00

RAP | PHL | American Airlines | Non-stop | 06:30 | 09:05 | 440.00
RAP | PHL | United Airlines | 1 stop (IAH) | 08:50 | 13:15 | 520.00
RAP | PHL | Delta Air Lines | Non-stop | 11:15 | 13:40 | 490.00
RAP | PHL | Frontier Airlines | 1 stop (MSP) | 12:45 | 16:10 | 420.00
RAP | PHL | Alaska Airlines | 1 stop (SEA) | 15:00 | 18:25 | 505.00
RAP | PHL | Spirit Airlines | 1 stop (DFW) | 16:30 | 20:55 | 460.00
RAP | PHL | JetBlue Airways | Non-stop | 18:45 | 21:10 | 510.00
RAP | PHL | Southwest Airlines | 1 stop (BNA) | 20:15 | 23:40 | 495.00


Here are the 16 flight plans:

PHL | MYR | AA | 0 | 06:00 | 08:35 | 198.00
PHL | MYR | UA | 1 (CLT) | 08:15 | 11:45 | 229.00
PHL | MYR | DL | 0 | 10:30 | 13:05 | 209.00
PHL | MYR | WN | 1 (BWI) | 12:00 | 15:30 | 249.00
PHL | MYR | F9 | 0 | 14:45 | 17:20 | 189.00
PHL | MYR | NK | 1 (EWR) | 16:15 | 19:45 | 269.00
PHL | MYR | B6 | 0 | 18:00 | 20:35 | 219.00
PHL | MYR | SY | 1 (MCO) | 20:30 | 23:55 | 299.00

MYR | PHL | AA | 0 | 06:30 | 08:55 | 208.00
MYR | PHL | UA | 1 (IAD) | 08:45 | 11:15 | 239.00
MYR | PHL | DL | 0 | 11:15 | 13:40 | 228.00
MYR | PHL | WN | 1 (PIT) | 12:45 | 15:10 | 259.00
MYR | PHL | F9 | 0 | 14:00 | 16:25 | 199.00
MYR | PHL | NK | 1 (LGA) | 15:30 | 18:00 | 279.00
MYR | PHL | B6 | 0 | 17:00 | 19:25 | 229.00
MYR | PHL | SY | 1 (TPA) | 19:30 | 22:55 | 309.00


Here are the 16 flight plans:

PHL | SFO | American Airlines | Non-stop | 08:00 | 11:15 | 425.00
PHL | SFO | United Airlines | 1 stop (DEN) | 09:30 | 13:45 | 475.00
PHL | SFO | Delta Air Lines | Non-stop | 10:45 | 14:00 | 450.00
PHL | SFO | Alaska Airlines | 1 stop (SEA) | 11:15 | 15:30 | 520.00
PHL | SFO | JetBlue Airways | Non-stop | 12:00 | 15:15 | 400.00
PHL | SFO | Spirit Airlines | 1 stop (LAS) | 13:30 | 17:45 | 380.00
PHL | SFO | Frontier Airlines | 1 stop (MCO) | 14:45 | 19:00 | 420.00
PHL | SFO | Southwest Airlines | Non-stop | 16:00 | 19:15 | 440.00
SFO | PHL | American Airlines | Non-stop | 08:00 | 15:15 | 450.00
SFO | PHL | United Airlines | 1 stop (IAH) | 09:30 | 17:45 | 500.00
SFO | PHL | Delta Air Lines | Non-stop | 10:45 | 18:00 | 480.00
SFO | PHL | Alaska Airlines | 1 stop (PDX) | 11:15 | 19:30 | 550.00
SFO | PHL | JetBlue Airways | Non-stop | 12:00 | 19:15 | 420.00
SFO | PHL | Spirit Airlines | 1 stop (ORD) | 13:30 | 21:45 | 400.00
SFO | PHL | Frontier Airlines | 1 stop (DEN) | 14:45 | 22:00 | 460.00
SFO | PHL | Southwest Airlines | Non-stop | 16:00 | 22:15 | 480.00


Here are the 16 flight plans:

PHL | OAK | American Airlines | 1 (DFW) | 08:00 | 11:30 | 450.00
PHL | OAK | United Airlines | 0 | 09:30 | 12:45 | 380.00
PHL | OAK | Delta Air Lines | 1 (ATL) | 10:15 | 14:00 | 520.00
PHL | OAK | Alaska Airlines | 0 | 11:00 | 14:15 | 420.00
PHL | OAK | JetBlue Airways | 1 (BOS) | 12:30 | 16:00 | 480.00
PHL | OAK | Spirit Airlines | 1 (LAS) | 13:45 | 17:15 | 400.00
PHL | OAK | Frontier Airlines | 0 | 15:00 | 18:20 | 360.00
PHL | OAK | Southwest Airlines | 1 (DEN) | 16:15 | 20:00 | 440.00

OAK | PHL | American Airlines | 1 (ORD) | 07:00 | 15:30 | 510.00
OAK | PHL | United Airlines | 0 | 08:15 | 16:45 | 430.00
OAK | PHL | Delta Air Lines | 1 (SFO) | 09:30 | 18:00 | 490.00
OAK | PHL | Alaska Airlines | 0 | 10:45 | 19:10 | 460.00
OAK | PHL | JetBlue Airways | 1 (JFK) | 12:00 | 20:30 | 500.00
OAK | PHL | Spirit Airlines | 1 (IAH) | 13:15 | 21:45 | 450.00
OAK | PHL | Frontier Airlines | 0 | 14:30 | 22:55 | 410.00
OAK | PHL | Southwest Airlines | 1 (MDW) | 15:45 | 00:15 | 480.00


Here are the 16 flight plans:

PHL | SMF | AA | 0 | 08:00 | 11:15 | 450.00
PHL | SMF | UA | 1 (DEN) | 09:30 | 13:45 | 520.00
PHL | SMF | WN | 0 | 10:45 | 14:00 | 380.00
PHL | SMF | DL | 1 (ATL) | 12:00 | 16:20 | 600.00
PHL | SMF | AS | 0 | 13:15 | 16:30 | 420.00
PHL | SMF | F9 | 1 (ORD) | 14:30 | 18:45 | 480.00
PHL | SMF | B6 | 0 | 15:45 | 19:00 | 400.00
PHL | SMF | NK | 1 (DFW) | 17:00 | 21:15 | 550.00
SMF | PHL | AA | 0 | 08:30 | 16:45 | 480.00
SMF | PHL | UA | 1 (SFO) | 09:45 | 18:00 | 520.00
SMF | PHL | WN | 0 | 11:00 | 19:15 | 420.00
SMF | PHL | DL | 1 (LAX) | 12:15 | 20:30 | 580.00
SMF | PHL | AS | 0 | 13:30 | 21:45 | 450.00
SMF | PHL | F9 | 1 (DEN) | 14:45 | 22:00 | 500.00
SMF | PHL | B6 | 0 | 15:55 | 23:10 | 430.00
SMF | PHL | NK | 1 (ORD) | 17:10 | 00:25 | 560.00


Here are the 16 flight plans:

PHL | SAF | American Airlines | Non-stop | 08:00 | 11:35 | 425.00
PHL | SAF | Delta Air Lines | 1 stop (DEN) | 09:15 | 13:40 | 550.00
PHL | SAF | United Airlines | Non-stop | 10:30 | 14:05 | 475.00
PHL | SAF | Frontier Airlines | 1 stop (ORD) | 11:45 | 16:10 | 400.00
PHL | SAF | Southwest Airlines | Non-stop | 13:00 | 16:35 | 450.00
PHL | SAF | JetBlue Airways | 1 stop (JFK) | 14:15 | 18:40 | 525.00
PHL | SAF | Spirit Airlines | 1 stop (LAS) | 15:30 | 20:05 | 375.00
PHL | SAF | Alaska Airlines | Non-stop | 16:45 | 20:20 | 500.00
SAF | PHL | American Airlines | Non-stop | 07:00 | 12:35 | 425.00
SAF | PHL | Delta Air Lines | 1 stop (ATL) | 08:15 | 14:40 | 575.00
SAF | PHL | United Airlines | Non-stop | 09:30 | 14:05 | 475.00
SAF | PHL | Frontier Airlines | 1 stop (MIA) | 10:45 | 16:10 | 425.00
SAF | PHL | Southwest Airlines | Non-stop | 12:00 | 15:35 | 450.00
SAF | PHL | JetBlue Airways | 1 stop (BOS) | 13:15 | 17:40 | 550.00
SAF | PHL | Spirit Airlines | 1 stop (DFW) | 14:30 | 18:05 | 400.00
SAF | PHL | Alaska Airlines | Non-stop | 15:45 | 19:20 | 500.00


Here are the 16 flight plans:

PHL | ABQ | American Airlines | 1 (DFW) | 08:00 | 11:35 | 542.00
PHL | ABQ | United Airlines | 1 (ORD) | 09:30 | 13:05 | 475.00
PHL | ABQ | Delta Air Lines | 1 (ATL) | 10:45 | 14:20 | 512.00
PHL | ABQ | Southwest Airlines | 1 (STL) | 11:15 | 14:50 | 438.00
PHL | ABQ | Alaska Airlines | 1 (SEA) | 12:00 | 15:35 | 502.00
PHL | ABQ | JetBlue Airways | 1 (JFK) | 13:30 | 17:05 | 462.00
PHL | ABQ | Spirit Airlines | 1 (LAS) | 14:45 | 18:20 | 392.00
PHL | ABQ | Frontier Airlines | 1 (DEN) | 16:00 | 19:35 | 422.00

ABQ | PHL | American Airlines | 1 (DFW) | 08:30 | 14:05 | 552.00
ABQ | PHL | United Airlines | 1 (ORD) | 09:45 | 15:20 | 485.00
ABQ | PHL | Delta Air Lines | 1 (ATL) | 11:00 | 16:35 | 522.00
ABQ | PHL | Southwest Airlines | 1 (STL) | 12:15 | 17:50 | 448.00
ABQ | PHL | Alaska Airlines | 1 (SEA) | 13:30 | 19:05 | 512.00
ABQ | PHL | JetBlue Airways | 1 (JFK) | 14:45 | 20:20 | 472.00
ABQ | PHL | Spirit Airlines | 1 (LAS) | 16:00 | 21:35 | 402.00
ABQ | PHL | Frontier Airlines | 1 (DEN) | 17:15 | 22:50 | 432.00


Here are the 16 flight plans:

PHL | SAV | American Airlines | Non-stop | 06:00 | 08:35 | 198.00
PHL | SAV | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:05 | 220.00
PHL | SAV | United Airlines | Non-stop | 08:15 | 10:50 | 225.00
PHL | SAV | Frontier Airlines | 1 stop (MCO) | 09:00 | 13:25 | 180.00
PHL | SAV | Spirit Airlines | 1 stop (FLL) | 10:30 | 14:55 | 190.00
PHL | SAV | Southwest Airlines | Non-stop | 11:45 | 14:20 | 210.00
PHL | SAV | JetBlue Airways | 1 stop (BOS) | 12:50 | 16:25 | 240.00
PHL | SAV | Alaska Airlines | Non-stop | 14:00 | 16:35 | 230.00
SAV | PHL | American Airlines | Non-stop | 06:30 | 08:55 | 205.00
SAV | PHL | Delta Air Lines | 1 stop (ATL) | 07:45 | 11:20 | 235.00
SAV | PHL | United Airlines | Non-stop | 09:00 | 11:25 | 245.00
SAV | PHL | Frontier Airlines | 1 stop (MCO) | 10:15 | 14:40 | 200.00
SAV | PHL | Spirit Airlines | 1 stop (FLL) | 11:30 | 15:55 | 215.00
SAV | PHL | Southwest Airlines | Non-stop | 12:45 | 15:10 | 225.00
SAV | PHL | JetBlue Airways | 1 stop (BOS) | 14:00 | 17:35 | 260.00
SAV | PHL | Alaska Airlines | Non-stop | 15:15 | 17:40 | 250.00


Here are the 16 flight plans:

PHL | JAX | AA | Non-stop | 06:00 | 08:35 | 198.00
PHL | JAX | UA | 1 stop (CLT) | 07:15 | 10:40 | 220.00
PHL | JAX | DL | Non-stop | 08:30 | 11:05 | 235.00
PHL | JAX | WN | 1 stop (BWI) | 09:45 | 13:20 | 255.00
PHL | JAX | F9 | Non-stop | 11:00 | 13:35 | 190.00
PHL | JAX | NK | 1 stop (ATL) | 12:15 | 15:40 | 240.00
PHL | JAX | B6 | Non-stop | 13:30 | 16:05 | 210.00
PHL | JAX | AS | 1 stop (PIT) | 14:45 | 18:10 | 230.00
JAX | PHL | AA | Non-stop | 06:00 | 08:35 | 198.00
