

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
AVL | SEA | JetBlue Airways | 1 stop (BOS) | 16:45 | 21:15 | 438.00


Here are the 16 flight plans:

SEA | JAC | Alaska | 0 | 08:00 | 12:30 | 349.00
SEA | JAC | Delta | 1 (SFO) | 09:30 | 15:15 | 429.00
SEA | JAC | United | 0 | 10:45 | 15:00 | 399.00
SEA | JAC | American | 1 (DFW) | 12:00 | 18:30 | 499.00
SEA | JAC | Southwest | 0 | 13:15 | 17:30 | 379.00
SEA | JAC | Frontier | 1 (DEN) | 14:30 | 20:00 | 449.00
SEA | JAC | Spirit | 0 | 15:45 | 20:15 | 329.00
SEA | JAC | JetBlue | 1 (LAX) | 17:00 | 22:45 | 519.00
JAC | SEA | Alaska | 0 | 06:30 | 10:00 | 319.00
JAC | SEA | Delta | 1 (SLC) | 08:15 | 12:45 | 449.00
JAC | SEA | United | 0 | 09:50 | 13:25 | 369.00
JAC | SEA | American | 1 (PHX) | 11:30 | 16:00 | 479.00
JAC | SEA | Southwest | 0 | 12:45 | 16:15 | 349.00
JAC | SEA | Frontier | 1 (LAS) | 14:00 | 19:30 | 429.00
JAC | SEA | Spirit | 0 | 15:20 | 19:50 | 299.00
JAC | SEA | JetBlue | 1 (SAN) | 16:45 | 22:20 | 509.00


Here are the 16 flight plans:

SEA | EYW | Alaska Airlines | Non-stop | 08:00 | 17:30 | 450.00
SEA | EYW | Delta Air Lines | 1 stop (ATL) | 09:30 | 19:15 | 520.00
SEA | EYW | American Airlines | 1 stop (DFW) | 10:00 | 20:00 | 550.00
SEA | EYW | United Airlines | Non-stop | 11:30 | 20:30 | 480.00
SEA | EYW | Spirit Airlines | 1 stop (LAS) | 12:00 | 21:45 | 420.00
SEA | EYW | Frontier Airlines | 1 stop (DEN) | 13:00 | 22:30 | 400.00
SEA | EYW | JetBlue Airways | Non-stop | 14:30 | 23:00 | 500.00
SEA | EYW | Southwest Airlines | 1 stop (PHX) | 15:00 | 23:45 | 440.00
EYW | SEA | Alaska Airlines | Non-stop | 06:00 | 10:30 | 420.00
EYW | SEA | Delta Air Lines | 1 stop (MSP) | 07:30 | 12:15 | 500.00
EYW | SEA | American Airlines | 1 stop (ORD) | 08:00 | 13:00 | 520.00
EYW | SEA | United Airlines | Non-stop | 09:30 | 14:30 | 450.00
EYW | SEA | Spirit Airlines | 1 stop (FLL) | 10:00 | 15:45 | 380.00
EYW | SEA | Frontier Airlines | 1 stop (IAH) | 11:30 | 16:30 | 400.00
EYW | SEA | JetBlue Airways | Non-stop | 12:30 | 17:00 | 480.00
EYW | SEA | Southwest Airlines | 1 stop (STL) | 13:30 | 18:15 | 440.00


Here are the 16 flight plans:

SEA | RNO | Alaska Airlines | Non-stop | 08:00 | 10:05 | 198.00
SEA | RNO | Delta Air Lines | 1 stop (SFO) | 09:30 | 12:40 | 220.00
SEA | RNO | American Airlines | Non-stop | 11:00 | 13:05 | 210.00
SEA | RNO | United Airlines | 1 stop (DEN) | 12:30 | 15:45 | 240.00
SEA | RNO | Southwest Airlines | Non-stop | 14:00 | 16:05 | 230.00
SEA | RNO | Alaska Airlines | 1 stop (PDX) | 15:30 | 18:40 | 200.00
SEA | RNO | Delta Air Lines | Non-stop | 17:00 | 19:05 | 190.00
SEA | RNO | American Airlines | 1 stop (LAX) | 18:30 | 21:45 | 260.00
RNO | SEA | Alaska Airlines | Non-stop | 08:00 | 09:05 | 180.00
RNO | SEA | Delta Air Lines | 1 stop (SFO) | 09:30 | 12:20 | 210.00
RNO | SEA | United Airlines | Non-stop | 11:00 | 12:05 | 220.00
RNO | SEA | American Airlines | 1 stop (PHX) | 12:30 | 15:20 | 250.00
RNO | SEA | Southwest Airlines | Non-stop | 14:00 | 15:05 | 240.00
RNO | SEA | Alaska Airlines | 1 stop (PDX) | 15:30 | 18:20 | 200.00
RNO | SEA | Delta Air Lines | Non-stop | 17:00 | 18:05 | 190.00
RNO | SEA | United Airlines | 1 stop (DEN) | 18:30 | 21:20 | 280.00


Here are the 16 flight plans:

SEA | TVL | Alaska Airlines | Non-stop | 08:00 | 11:30 | 420.00
SEA | TVL | American Airlines | 1 stop (DFW) | 09:15 | 14:45 | 550.00
SEA | TVL | Delta Air Lines | Non-stop | 10:30 | 14:00 | 480.00
SEA | TVL | United Airlines | 1 stop (SFO) | 11:45 | 16:15 | 520.00
SEA | TVL | Southwest Airlines | 1 stop (PHX) | 13:00 | 17:30 | 500.00
SEA | TVL | JetBlue Airways | Non-stop | 14:15 | 17:45 | 450.00
SEA | TVL | Spirit Airlines | 1 stop (LAS) | 15:30 | 19:00 | 480.00
SEA | TVL | Frontier Airlines | 1 stop (DEN) | 16:45 | 20:15 | 460.00
TVL | SEA | Alaska Airlines | Non-stop | 08:00 | 10:30 | 400.00
TVL | SEA | American Airlines | 1 stop (ORD) | 09:15 | 13:45 | 530.00
TVL | SEA | Delta Air Lines | Non-stop | 10:30 | 13:00 | 510.00
TVL | SEA | United Airlines | 1 stop (IAH) | 11:45 | 15:15 | 500.00
TVL | SEA | Southwest Airlines | 1 stop (DAL) | 13:00 | 16:30 | 490.00
TVL | SEA | JetBlue Airways | Non-stop | 14:15 | 16:45 | 430.00
TVL | SEA | Spirit Airlines | 1 stop (OAK) | 15:30 | 18:00 | 470.00
TVL | SEA | Frontier Airlines | 1 stop (MSP) | 16:45 | 19:15 | 450.00


Here are the 16 flight plans:

SEA | MCD | Alaska | 0 | 08:00 | 11:15 | 250.00
SEA | MCD | Delta | 1 (SFO) | 09:30 | 13:45 | 320.00
SEA | MCD | United | 0 | 11:00 | 14:20 | 280.00
SEA | MCD | American | 1 (LAX) | 12:15 | 16:30 | 350.00
SEA | MCD | Spirit | 0 | 14:00 | 17:20 | 220.00
SEA | MCD | Frontier | 1 (DEN) | 15:30 | 19:45 | 300.00
SEA | MCD | Southwest | 0 | 17:00 | 20:20 | 240.00
SEA | MCD | JetBlue | 1 (PHX) | 18:15 | 22:30 | 330.00

MCD | SEA | Alaska | 0 | 08:00 | 11:15 | 250.00
MCD | SEA | Delta | 1 (SFO) | 09:30 | 13:45 | 320.00
MCD | SEA | United | 0 | 11:00 | 14:20 | 280.00
MCD | SEA | American | 1 (LAX) | 12:15 | 16:30 | 350.00
MCD | SEA | Spirit | 0 | 14:00 | 17:20 | 220.00
MCD | SEA | Frontier | 1 (DEN) | 15:30 | 19:45 | 300.00
MCD | SEA | Southwest | 0 | 17:00 | 20:20 | 240.00
MCD | SEA | JetBlue | 1 (PHX) | 18:15 | 22:30 | 330.00


Here are the 16 flight plans:

SEA | PLN | Alaska Airlines | Non-stop | 08:00 | 14:30 | 450.00
SEA | PLN | Delta Air Lines | 1 stop (DEN) | 09:15 | 16:45 | 520.00
SEA | PLN | United Airlines | Non-stop | 10:30 | 17:00 | 480.00
SEA | PLN | American Airlines | 1 stop (ORD) | 11:45 | 19:15 | 550.00
SEA | PLN | Southwest Airlines | 1 stop (PHX) | 13:00 | 20:30 | 500.00
SEA | PLN | JetBlue Airways | Non-stop | 14:15 | 20:45 | 460.00
SEA | PLN | Spirit Airlines | 1 stop (LAS) | 15:30 | 22:00 | 420.00
SEA | PLN | Frontier Airlines | 1 stop (MSP) | 16:45 | 23:15 | 490.00
PLN | SEA | Alaska Airlines | Non-stop | 08:00 | 10:30 | 430.00
PLN | SEA | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:45 | 500.00
PLN | SEA | United Airlines | Non-stop | 10:30 | 13:00 | 450.00
PLN | SEA | American Airlines | 1 stop (CLT) | 11:45 | 15:15 | 520.00
PLN | SEA | Southwest Airlines | 1 stop (STL) | 13:00 | 16:30 | 480.00
PLN | SEA | JetBlue Airways | Non-stop | 14:15 | 16:45 | 440.00
PLN | SEA | Spirit Airlines | 1 stop (DFW) | 15:30 | 18:00 | 410.00
PLN | SEA | Frontier Airlines | 1 stop (IAH) | 16:45 | 19:15 | 470.00


Here are the 16 flight plans:

SEA | OGG | Alaska Airlines | Non-stop | 08:00 | 11:15 | 425.00
SEA | OGG | Delta Air Lines | 1 stop (LAX) | 09:30 | 13:45 | 512.00
SEA | OGG | American Airlines | 1 stop (PHX) | 10:15 | 14:30 | 550.00
SEA | OGG | United Airlines | Non-stop | 11:00 | 14:15 | 475.00
SEA | OGG | Hawaiian Airlines | Non-stop | 12:00 | 15:15 | 500.00
SEA | OGG | Southwest Airlines | 1 stop (SFO) | 13:30 | 17:45 | 520.00
SEA | OGG | JetBlue Airways | 1 stop (LGB) | 14:15 | 18:30 | 540.00
SEA | OGG | Spirit Airlines | 1 stop (LAS) | 15:00 | 19:15 | 480.00
OGG | SEA | Alaska Airlines | Non-stop | 08:00 | 11:15 | 425.00
OGG | SEA | Delta Air Lines | 1 stop (LAX) | 09:30 | 13:45 | 512.00
OGG | SEA | American Airlines | 1 stop (PHX) | 10:15 | 14:30 | 550.00
OGG | SEA | United Airlines | Non-stop | 11:00 | 14:15 | 475.00
OGG | SEA | Hawaiian Airlines | Non-stop | 12:00 | 15:15 | 500.00
OGG | SEA | Southwest Airlines | 1 stop (SFO) | 13:30 | 17:45 | 520.00
OGG | SEA | JetBlue Airways | 1 stop (LGB) | 14:15 | 18:30 | 540.00
OGG | SEA | Spirit Airlines | 1 stop (LAS) | 15:00 | 19:15 | 480.00
OGG | SEA | Frontier Airlines | 1 stop (DEN) | 16:00 | 20:15 | 490.00


Here are the 16 flight plans:

SEA | RAP | Alaska Airlines | Non-stop | 06:00 | 09:35 | 425.00
SEA | RAP | Delta Air Lines | 1 stop (DEN) | 08:30 | 12:15 | 550.00
SEA | RAP | United Airlines | Non-stop | 10:00 | 13:20 | 475.00
SEA | RAP | American Airlines | 1 stop (ORD) | 11:45 | 15:50 | 600.00
SEA | RAP | Frontier Airlines | Non-stop | 13:30 | 16:50 | 400.00
SEA | RAP | Southwest Airlines | 1 stop (PHX) | 14:15 | 17:40 | 525.00
SEA | RAP | JetBlue Airways | Non-stop | 15:45 | 19:00 | 450.00
SEA | RAP | Spirit Airlines | 1 stop (LAS) | 17:00 | 20:25 | 575.00

RAP | SEA | Alaska Airlines | Non-stop | 06:30 | 08:05 | 375.00
RAP | SEA | Delta Air Lines | 1 stop (SFO) | 08:00 | 11:20 | 500.00
RAP | SEA | United Airlines | Non-stop | 09:15 | 11:40 | 425.00
RAP | SEA | American Airlines | 1 stop (DFW) | 10:30 | 13:45 | 525.00
RAP | SEA | Frontier Airlines | Non-stop | 12:00 | 14:20 | 350.00
RAP | SEA | Southwest Airlines | 1 stop (DEN) | 13:45 | 16:50 | 475.00
RAP | SEA | JetBlue Airways | Non-stop | 15:00 | 17:20 | 400.00
RAP | SEA | Spirit Airlines | 1 stop (LAX) | 16:30 | 19:40 | 550.00


Here are the 16 flight plans:

SEA | MYR | Alaska | 1 (ORD) | 08:00 | 17:30 | 450.00
SEA | MYR | Delta | 1 (ATL) | 10:30 | 20:00 | 520.00
SEA | MYR | American | 2 (DFW, CLT) | 12:00 | 22:30 | 580.00
SEA | MYR | United | 1 (IAH) | 14:00 | 23:30 | 550.00
SEA | MYR | Spirit | 2 (LAS, BNA) | 16:00 | 01:30 | 420.00
SEA | MYR | Frontier | 1 (DEN) | 18:00 | 02:30 | 480.00
SEA | MYR | JetBlue | 1 (JFK) | 20:00 | 04:30 | 500.00
SEA | MYR | Southwest | 2 (PHX, HOU) | 22:00 | 06:30 | 540.00
MYR | SEA | Alaska | 1 (ORD) | 06:00 | 13:30 | 430.00
MYR | SEA | Delta | 1 (ATL) | 08:30 | 16:00 | 510.00
MYR | SEA | American | 2 (CLT, DFW) | 11:00 | 19:30 | 570.00
MYR | SEA | United | 1 (IAH) | 13:30 | 21:00 | 530.00
MYR | SEA | Spirit | 2 (BNA, LAS) | 16:00 | 23:30 | 400.00
MYR | SEA | Frontier | 1 (DEN) | 18:30 | 01:00 | 460.00
MYR | SEA | JetBlue | 1 (JFK) | 20:30 | 04:00 | 490.00
MYR | SEA | Southwest | 2 (HOU, PHX) | 22:30 | 06:00 | 520.00


Here are the 16 flight plans:

SEA | OAK | Alaska | 0 | 06:00 | 07:30 | 120.00
SEA | OAK | Delta | 1 (SFO) | 08:15 | 11:45 | 180.00
SEA | OAK | American | 0 | 09:30 | 11:00 | 150.00
SEA | OAK | United | 1 (LAX) | 11:00 | 14:30 | 220.00
SEA | OAK | Southwest | 0 | 12:45 | 14:15 | 130.00
SEA | OAK | Frontier | 1 (DEN) | 14:00 | 17:30 | 200.00
SEA | OAK | Spirit | 0 | 15:15 | 16:45 | 110.00
SEA | OAK | JetBlue | 1 (PDX) | 16:30 | 19:00 | 190.00

OAK | SEA | Alaska | 0 | 06:30 | 08:00 | 120.00
OAK | SEA | Delta | 1 (SFO) | 08:45 | 12:15 | 180.00
OAK | SEA | American | 0 | 10:00 | 11:30 | 150.00
OAK | SEA | United | 1 (LAX) | 11:30 | 15:00 | 220.00
OAK | SEA | Southwest | 0 | 13:15 | 14:45 | 130.00
OAK | SEA | Frontier | 1 (DEN) | 14:30 | 18:00 | 200.00
OAK | SEA | Spirit | 0 | 15:45 | 17:15 | 110.00
OAK | SEA | JetBlue | 1 (PDX) | 17:00 | 19:30 | 190.00


Here are the 16 flight plans:

SEA | SMF | Alaska Airlines | Non-stop | 06:00 | 08:05 | 178.00
SEA | SMF | Delta Air Lines | 1 stop (SFO) | 07:30 | 10:45 | 229.00
SEA | SMF | American Airlines | Non-stop | 09:15 | 11:20 | 198.00
SEA | SMF | United Airlines | 1 stop (LAX) | 11:00 | 14:10 | 259.00
SEA | SMF | Spirit Airlines | 1 stop (LAS) | 12:45 | 16:00 | 189.00
SEA | SMF | Frontier Airlines | Non-stop | 14:30 | 16:35 | 169.00
SEA | SMF | Southwest Airlines | 1 stop (PHX) | 16:15 | 19:20 | 239.00
SEA | SMF | JetBlue Airways | Non-stop | 18:00 | 20:05 | 209.00
SMF | SEA | Alaska Airlines | Non-stop | 06:30 | 08:35 | 188.00
SMF | SEA | Delta Air Lines | 1 stop (SFO) | 08:00 | 11:10 | 249.00
SMF | SEA | American Airlines | Non-stop | 10:45 | 12:50 | 219.00
SMF | SEA | United Airlines | 1 stop (LAX) | 12:30 | 15:35 | 279.00
SMF | SEA | Spirit Airlines | 1 stop (LAS) | 14:15 | 17:20 | 199.00
SMF | SEA | Frontier Airlines | Non-stop | 16:00 | 18:05 | 179.00
SMF | SEA | Southwest Airlines | 1 stop (PHX) | 17:45 | 20:50 | 259.00
SMF | SEA | JetBlue Airways | Non-stop | 19:30 | 21:35 | 229.00


Here are the 16 flight plans:

SEA | SAF | Alaska Airlines | Non-stop | 08:00 | 11:35 | 450.00
SEA | SAF | American Airlines | 1 stop (PHX) | 09:15 | 13:45 | 520.00
SEA | SAF | Delta Air Lines | Non-stop | 10:30 | 14:05 | 480.00
SEA | SAF | United Airlines | 1 stop (SFO) | 11:45 | 16:20 | 550.00
SEA | SAF | Southwest Airlines | 1 stop (LAX) | 12:50 | 17:25 | 500.00
SEA | SAF | JetBlue Airways | Non-stop | 14:15 | 17:50 | 460.00
SEA | SAF | Spirit Airlines | 1 stop (DEN) | 15:20 | 19:55 | 530.00
SEA | SAF | Frontier Airlines | 1 stop (LAS) | 16:30 | 21:05 | 510.00
SAF | SEA | Alaska Airlines | Non-stop | 08:00 | 10:35 | 420.00
SAF | SEA | American Airlines | 1 stop (DFW) | 09:15 | 13:45 | 490.00
SAF | SEA | Delta Air Lines | Non-stop | 10:30 | 13:05 | 440.00
SAF | SEA | United Airlines | 1 stop (ORD) | 11:45 | 16:20 | 520.00
SAF | SEA | Southwest Airlines | 1 stop (PHX) | 12:50 | 17:25 | 470.00
SAF | SEA | JetBlue Airways | Non-stop | 14:15 | 16:50 | 430.00
SAF | SEA | Spirit Airlines | 1 stop (IAH) | 15:20 | 19:55 | 500.00
SAF | SEA | Frontier Airlines | 1 stop (MSP) | 16:30 | 21:05 | 480.00


Here are the 16 flight plans:

SEA | ABQ | Alaska Airlines | Non-stop | 08:00 | 11:30 | 248.50
SEA | ABQ | American Airlines | 1 stop (PHX) | 09:15 | 13:45 | 278.00
SEA | ABQ | Delta Air Lines | Non-stop | 10:30 | 14:00 | 298.00
SEA | ABQ | United Airlines | 1 stop (SFO) | 11:45 | 16:15 | 318.00
SEA | ABQ | Southwest Airlines | 1 stop (LAX) | 13:00 | 17:30 | 248.50
SEA | ABQ | Alaska Airlines | Non-stop | 14:15 | 17:45 | 268.00
SEA | ABQ | Frontier Airlines | 1 stop (DEN) | 15:30 | 19:00 | 228.50
SEA | ABQ | Spirit Airlines | 1 stop (LAS) | 16:45 | 20:15 | 208.00

ABQ | SEA | Alaska Airlines | Non-stop | 06:00 | 08:30 | 238.00
ABQ | SEA | American Airlines | 1 stop (DFW) | 07:15 | 11:45 | 288.50
ABQ | SEA | Delta Air Lines | Non-stop | 08:30 | 11:00 | 308.00
ABQ | SEA | United Airlines | 1 stop (IAH) | 09:45 | 13:15 | 328.50
ABQ | SEA | Southwest Airlines | 1 stop (PHX) | 11:00 | 14:30 | 258.00
ABQ | SEA | Alaska Airlines | Non-stop | 12:15 | 14:45 | 278.50
ABQ | SEA | Frontier Airlines | 1 stop (DEN) | 13:30 | 16:00 | 238.00
ABQ | SEA | Spirit Airlines | 1 stop (LAX) | 14:45 | 17:15 | 218.50


Here are the 16 flight plans:

SEA | SAV | Alaska Airlines | Non-stop | 06:00 | 14:30 | 349.00
SEA | SAV | Delta Air Lines | 1 stop (ATL) | 08:30 | 17:45 | 379.00
SEA | SAV | American Airlines | Non-stop | 10:00 | 18:20 | 399.00
SEA | SAV | United Airlines | 1 stop (DEN) | 11:45 | 20:10 | 429.00
SEA | SAV | Southwest Airlines | 1 stop (PHX) | 13:15 | 21:35 | 449.00
SEA | SAV | JetBlue Airways | Non-stop | 14:30 | 22:50 | 469.00
SEA | SAV | Spirit Airlines | 1 stop (LAS) | 16:00 | 00:20 | 499.00
SEA | SAV | Frontier Airlines | 1 stop (MCO) | 17:45 | 02:05 | 529.00

SAV | SEA | Alaska Airlines | Non-stop | 06:00 | 08:30 | 349.00
SAV | SEA | Delta Air Lines | 1 stop (ATL) | 08:30 | 12:45 | 379.00
SAV | SEA | American Airlines | Non-stop | 10:00 | 12:20 | 399.00
SAV | SEA | United Airlines | 1 stop (DEN) | 11:45 | 15:10 | 429.00
SAV | SEA | Southwest Airlines | 1 stop (PHX) | 13:15 | 16:35 | 449.00
SAV | SEA | JetBlue Airways | Non-stop | 14:30 | 16:50 | 469.00
SAV | SEA | Spirit Airlines | 1 stop (LAS) | 16:00 | 19:20 | 499.00
SAV | SEA | Frontier Airlines | 1 stop (MCO) | 17:45 | 21:05 | 529.00


Here are the 16 flight plans:

SEA | JAX | Alaska | 0 | 08:00 | 17:30 | 420.00
SEA | JAX | Delta | 1 (ATL) | 09:30 | 19:15 | 480.00
SEA | JAX | American | 1 (DFW) | 10:45 | 20:00 | 510.00
SEA | JAX | United | 0 | 12:15 | 20:45 | 450.00
SEA | JAX | Spirit | 1 (LAS) | 13:00 | 21:30 | 390.00
SEA | JAX | Frontier | 1 (DEN) | 14:30 | 22:45 | 420.00
SEA | JAX | Southwest | 0 | 15:45 | 23:15 | 440.00
SEA | JAX | JetBlue | 1 (BOS) | 17:00 | 00:30 | 460.00
JAX | SEA | Alaska | 0 | 08:30 | 11:00 | 410.00
JAX | SEA | Delta | 1 (MSP) | 09:45 | 12:15 | 490.00
JAX | SEA | American | 1 (CLT) | 11:15 | 13:45 | 520.00
JAX | SEA | United | 0 | 12:30 | 14:55 | 430.00
JAX | SEA | Spirit | 1 (ORD) | 13:45 | 16:10 | 400.00
JAX | SEA | Frontier | 1 (PHX) | 15:00 | 17:25 | 450.00
JAX | SEA | Southwest | 0 | 16:15 | 18:40 | 470.00
JAX | SEA | JetBlue | 1 (FLL) | 17:30 | 20:00 | 480.00


Here are the 16 flight plans:

SEA | SFB | Alaska | Non-stop | 06:00 | 14:30 | 348.50
SEA | SFB | Delta | 1 stop (ATL) | 08:30 | 17:45 | 412.00
SEA | SFB | American | Non-stop | 10:00 | 18:20 | 380.00
SEA | SFB | United | 1 stop (ORD) | 11:45 | 20:10 | 435.50
SEA | SFB | Spirit | 1 stop (LAS) | 13:15 | 21:30 | 398.00
SEA | SFB | Frontier | Non-stop | 14:30 | 22:50 | 362.50
SEA | SFB | JetBlue | 1 stop (JFK) | 16:00 | 23:25 | 450.00
SEA | SFB | Southwest | 1 stop (DEN) | 17:45 | 01:05 | 422.50

SFB | SEA | Alaska | Non-stop | 07:00 | 09:30 | 325.00
SFB | SEA | Delta | 1 stop (MSP) | 09:30 | 13:45 | 392.50
SFB | SEA | American | Non-stop | 11:00 | 13:20 | 352.50
SFB | SEA | United | 1 stop (IAH) | 12:45 | 17:00 | 407.00
SFB | SEA | Spirit | 1 stop (PHX) | 14:15 | 18:30 | 372.50
SFB | SEA | Frontier | Non-stop | 15:30 | 17:50 | 337.50
SFB | SEA | JetBlue | 1 stop (BOS) | 17:00 | 21:25 | 417.50
SFB | SEA | Southwest | 1 stop (STL) | 18:45 | 23:10 | 402.00


Here are the 16 flight plans:

SEA | MTJ | Alaska Airlines | Non-stop | 08:00 | 11:15 | 250.00
SEA | MTJ | American Airlines | 1 stop (DEN) | 09:30 | 13:45 | 320.00
SEA | MTJ | Delta Air Lines | Non-stop | 10:45 | 14:00 | 280.00
SEA | MTJ | United Airlines | 1 stop (SFO) | 12:00 | 16:20 | 350.00
SEA | MTJ | Southwest Airlines | 1 stop (PHX) | 13:15 | 17:30 | 300.00
SEA | MTJ | Frontier Airlines | Non-stop | 14:30 | 17:45 | 220.00
SEA | MTJ | Spirit Airlines | 1 stop (LAS) | 15:45 | 19:55 | 280.00
SEA | MTJ | JetBlue Airways | Non-stop | 17:00 | 20:15 | 240.00
MTJ | SEA | Alaska Airlines | Non-stop | 06:00 | 08:15 | 230.00
MTJ | SEA | American Airlines | 1 stop (DFW) | 07:30 | 11:40 | 310.00
MTJ | SEA | Delta Air Lines | Non-stop | 09:00 | 11:15 | 260.00
MTJ | SEA | United Airlines | 1 stop (ORD) | 10:30 | 14:45 | 330.00
MTJ | SEA | Southwest Airlines | 1 stop (MDW) | 12:00 | 15:20 | 290.00
MTJ | SEA | Frontier Airlines | Non-stop | 13:30 | 15:45 | 210.00
MTJ | SEA | Spirit Airlines | 1 stop (IAH) | 15:00 | 18:15 | 270.00
MTJ | SEA | JetBlue Airways | Non-stop | 16:30 | 18:45 | 250.00


Here are the 16 flight plans:

SEA | DRO | Alaska Airlines | Non-stop | 08:00 | 11:30 | 278.00
SEA | DRO | Delta Air Lines | 1 stop (DEN) | 09:15 | 13:45 | 320.00
SEA | DRO | United Airlines | Non-stop | 10:30 | 14:00 | 298.00
SEA | DRO | American Airlines | 1 stop (PHX) | 11:45 | 16:15 | 350.00
SEA | DRO | Southwest Airlines | Non-stop | 13:00 | 16:30 | 268.00
SEA | DRO | JetBlue Airways | 1 stop (LAX) | 14:15 | 18:45 | 330.00
SEA | DRO | Spirit Airlines | 1 stop (LAS) | 15:30 | 20:00 | 290.00
SEA | DRO | Frontier Airlines | Non-stop | 17:00 | 20:30 | 258.00

DRO | SEA | Alaska Airlines | Non-stop | 06:00 | 08:30 | 248.00
DRO | SEA | Delta Air Lines | 1 stop (SFO) | 07:15 | 11:45 | 310.00
DRO | SEA | United Airlines | Non-stop | 08:30 | 11:00 | 288.00
DRO | SEA | American Airlines | 1 stop (DFW) | 09:45 | 14:15 | 340.00
DRO | SEA | Southwest Airlines | Non-stop | 11:00 | 13:30 | 238.00
DRO | SEA | JetBlue Airways | 1 stop (ORD) | 12:15 | 16:45 | 300.00
DRO | SEA | Spirit Airlines | 1 stop (IAH) | 13:30 | 18:00 | 280.00
DRO | SEA | Frontier Airlines | Non-stop | 15:00 | 17:30 | 228.00


Here are the 16 flight plans:

SEA | BOZ | Alaska Airlines | Non-stop | 08:00 | 11:30 | 350.00
SEA | BOZ | Delta Air Lines | 1 stop (SFO) | 09:15 | 14:45 | 420.00
SEA | BOZ | American Airlines | 1 stop (LAX) | 10:30 | 16:00 | 450.00
SEA | BOZ | United Airlines | Non-stop | 11:45 | 15:15 | 380.00
SEA | BOZ | Southwest Airlines | 1 stop (DEN) | 12:50 | 18:20 | 480.00
SEA | BOZ | Frontier Airlines | 1 stop (PHX) | 14:05 | 19:35 | 400.00
SEA | BOZ | Spirit Airlines | 1 stop (LAS) | 15:20 | 20:50 | 430.00
SEA | BOZ | JetBlue Airways | Non-stop | 16:35 | 20:05 | 410.00
BOZ | SEA | Alaska Airlines | Non-stop | 06:00 | 08:30 | 320.00
BOZ | SEA | Delta Air Lines | 1 stop (SLC) | 07:15 | 12:45 | 390.00
BOZ | SEA | American Airlines | 1 stop (DFW) | 08:30 | 14:00 | 440.00
BOZ | SEA | United Airlines | Non-stop | 09:45 | 12:15 | 360.00
BOZ | SEA | Southwest Airlines | 1 stop (ABQ) | 11:00 | 16:30 | 460.00
BOZ | SEA | Frontier Airlines | 1 stop (MSP) | 12:15 | 17:45 | 420.00
BOZ | SEA | Spirit Airlines | 1 stop (ORD) | 13:30 | 19:00 | 450.00
BOZ | SEA | JetBlue Airways | Non-stop | 14:45 | 17:15 | 400.00


Here are the 16 flight plans:

SEA | FAT | Alaska | 0 | 06:00 | 08:35 | 198.00
SEA | FAT | Delta | 1 (SFO) | 07:15 | 10:20 | 220.00
SEA | FAT | American | 0 | 08:45 | 11:10 | 210.00
SEA | FAT | United | 1 (LAX) | 09:30 | 12:25 | 240.00
SEA | FAT | Southwest | 0 | 11:00 | 13:25 | 190.00
SEA | FAT | JetBlue | 1 (SAN) | 12:15 | 15:05 | 230.00
SEA | FAT | Spirit | 0 | 13:45 | 16:10 | 180.00
SEA | FAT | Frontier | 1 (DEN) | 15:00 | 17:50 | 250.00
FAT | SEA | Alaska | 0 | 06:30 | 08:55 | 205.00
FAT | SEA | Delta | 1 (SFO) | 07:45 | 10:50 | 235.00
FAT | SEA | American | 0 | 09:15 | 11:40 | 225.00
FAT | SEA | United | 1 (LAX) | 10:00 | 12:55 | 260.00
FAT | SEA | Southwest | 0 | 11:30 | 13:55 | 200.00
FAT | SEA | JetBlue | 1 (SAN) | 12:45 | 15:35 | 245.00
FAT | SEA | Spirit | 0 | 14:15 | 16:40 | 195.00
FAT | SEA | Frontier | 1 (DEN) | 15:30 | 18:20 | 270.00


Here are the 16 flight plans:

SEA | SGU | Alaska Airlines | Non-stop | 08:00 | 11:35 | 420.00
SEA | SGU | Delta Air Lines | 1 stop (SLC) | 09:15 | 13:50 | 480.00
SEA | SGU | American Airlines | 1 stop (PHX) | 10:30 | 15:05 | 450.00
SEA | SGU | United Airlines | Non-stop | 11:45 | 15:20 | 400.00
SEA | SGU | Southwest Airlines | 1 stop (DEN) | 12:00 | 16:35 | 520.00
SEA | SGU | Frontier Airlines | 1 stop (LAS) | 13:15 | 17:50 | 500.00
SEA | SGU | Spirit Airlines | 1 stop (ORD) | 14:30 | 19:05 | 550.00
SEA | SGU | JetBlue Airways | Non-stop | 15:45 | 19:20 | 430.00
SGU | SEA | Alaska Airlines | Non-stop | 06:00 | 09:35 | 410.00
SGU | SEA | Delta Air Lines | 1 stop (SLC) | 07:15 | 11:50 | 470.00
SGU | SEA | American Airlines | 1 stop (PHX) | 08:30 | 12:05 | 440.00
SGU | SEA | United Airlines | Non-stop | 09:45 | 13:20 | 390.00
SGU | SEA | Southwest Airlines | 1 stop (DEN) | 10:00 | 14:35 | 510.00
