

Here are the 16 flight plans:

MIA | LAS | AA | 0 | 08:00 | 10:30 | 280.00
MIA | RAP | AA | 0 | 08:00 | 11:15 | 450.00
MIA | RAP | UA | 1 (DEN) | 09:30 | 13:45 | 520.00
MIA | RAP | DL | 0 | 11:00 | 14:20 | 480.00
MIA | RAP | WN | 1 (PHX) | 12:15 | 16:30 | 550.00
MIA | RAP | AS | 0 | 13:45 | 17:05 | 510.00
MIA | RAP | F9 | 1 (ORD) | 15:00 | 19:20 | 580.00
MIA | RAP | B6 | 0 | 16:30 | 20:45 | 530.00
MIA | RAP | NK | 1 (DFW) | 18:00 | 22:25 | 600.00
RAP | MIA | AA | 0 | 08:00 | 12:20 | 420.00
RAP | MIA | UA | 1 (IAH) | 09:30 | 14:45 | 500.00
RAP | MIA | DL | 0 | 11:00 | 15:25 | 460.00
RAP | MIA | WN | 1 (DAL) | 12:15 | 16:40 | 540.00
RAP | MIA | AS | 0 | 13:45 | 18:05 | 490.00
RAP | MIA | F9 | 1 (MSP) | 15:00 | 19:25 | 570.00
RAP | MIA | B6 | 0 | 16:30 | 21:50 | 520.00
RAP | MIA | NK | 1 (ATL) | 18:00 | 22:35 | 610.00


Here are the 16 flight plans:

MIA | MYR | AA | 0 | 06:00 | 08:35 | 178.00
MIA | MYR | DL | 1 (ATL) | 08:15 | 12:10 | 220.00
MIA | MYR | UA | 0 | 10:45 | 13:20 | 198.00
MIA | MYR | WN | 1 (TPA) | 12:30 | 16:25 | 240.00
MIA | MYR | AS | 0 | 14:00 | 16:45 | 210.00
MIA | MYR | B6 | 1 (JFK) | 15:50 | 20:05 | 280.00
MIA | MYR | NK | 0 | 17:15 | 19:50 | 190.00
MIA | MYR | F9 | 1 (CLT) | 19:00 | 22:55 | 250.00
MYR | MIA | AA | 0 | 06:30 | 08:05 | 185.00
MYR | MIA | DL | 1 (CVG) | 08:50 | 12:40 | 230.00
MYR | MIA | UA | 0 | 11:20 | 13:55 | 205.00
MYR | MIA | WN | 1 (BHM) | 12:55 | 16:50 | 260.00
MYR | MIA | AS | 0 | 14:30 | 17:05 | 225.00
MYR | MIA | B6 | 1 (BOS) | 16:10 | 20:25 | 290.00
MYR | MIA | NK | 0 | 17:45 | 20:20 | 200.00
MYR | MIA | F9 | 1 (PBI) | 19:30 | 22:25 | 270.00


Here are the 16 flight plans:

MIA | OAK | American Airlines | Non-stop | 08:00 | 11:15 | 420.00
MIA | OAK | Delta Air Lines | 1 stop (SFO) | 09:30 | 13:45 | 480.00
MIA | OAK | United Airlines | Non-stop | 10:45 | 14:00 | 450.00
MIA | OAK | Spirit Airlines | 1 stop (LAX) | 12:00 | 16:15 | 380.00
MIA | OAK | JetBlue Airways | Non-stop | 13:15 | 16:30 | 410.00
MIA | OAK | Alaska Airlines | 1 stop (SEA) | 14:30 | 18:45 | 500.00
MIA | OAK | Frontier Airlines | 1 stop (DEN) | 15:45 | 20:00 | 430.00
MIA | OAK | Southwest Airlines | Non-stop | 17:00 | 20:15 | 440.00

OAK | MIA | American Airlines | Non-stop | 06:00 | 13:15 | 400.00
OAK | MIA | Delta Air Lines | 1 stop (ATL) | 07:30 | 15:45 | 520.00
OAK | MIA | United Airlines | Non-stop | 09:00 | 16:15 | 470.00
OAK | MIA | Spirit Airlines | 1 stop (ORD) | 10:30 | 18:45 | 390.00
OAK | MIA | JetBlue Airways | Non-stop | 12:00 | 19:15 | 420.00
OAK | MIA | Alaska Airlines | 1 stop (SFO) | 13:30 | 21:45 | 510.00
OAK | MIA | Frontier Airlines | 1 stop (MCO) | 15:00 | 23:15 | 450.00
OAK | MIA | Southwest Airlines | Non-stop | 16:30 | 00:45 | 460.00


Here are the 16 flight plans:

MIA | SMF | AA | 0 | 08:00 | 11:15 | 350.00
MIA | SMF | UA | 1 (DEN) | 09:30 | 14:45 | 420.00
MIA | SMF | DL | 0 | 11:00 | 14:20 | 380.00
MIA | SMF | WN | 1 (PHX) | 12:15 | 17:30 | 450.00
MIA | SMF | AS | 0 | 13:30 | 16:50 | 400.00
MIA | SMF | F9 | 1 (LAS) | 14:45 | 19:00 | 480.00
MIA | SMF | B6 | 0 | 16:00 | 19:25 | 430.00
MIA | SMF | NK | 1 (IAH) | 17:15 | 21:30 | 510.00
SMF | MIA | AA | 0 | 06:00 | 13:15 | 320.00
SMF | MIA | UA | 1 (SFO) | 07:30 | 15:45 | 390.00
SMF | MIA | DL | 0 | 09:00 | 14:20 | 350.00
SMF | MIA | WN | 1 (DAL) | 10:15 | 16:30 | 420.00
SMF | MIA | AS | 0 | 11:30 | 15:50 | 370.00
SMF | MIA | F9 | 1 (DEN) | 12:45 | 18:00 | 440.00
SMF | MIA | B6 | 0 | 14:00 | 17:25 | 400.00
SMF | MIA | NK | 1 (ORD) | 15:15 | 20:30 | 490.00


Here are the 16 flight plans:

MIA | SAF | AA | 0 | 08:00 | 10:30 | 450.00
MIA | SAF | UA | 1 (DFW) | 09:15 | 12:45 | 520.00
MIA | SAF | DL | 0 | 10:45 | 13:15 | 480.00
MIA | SAF | WN | 1 (HOU) | 11:30 | 14:55 | 550.00
MIA | SAF | F9 | 0 | 12:00 | 14:30 | 400.00
MIA | SAF | NK | 1 (IAH) | 13:15 | 16:40 | 580.00
MIA | SAF | B6 | 0 | 14:30 | 17:00 | 420.00
MIA | SAF | SY | 1 (ATL) | 15:45 | 19:10 | 600.00
SAF | MIA | AA | 0 | 08:00 | 10:30 | 450.00
SAF | MIA | UA | 1 (DEN) | 09:15 | 12:45 | 520.00
SAF | MIA | DL | 0 | 10:45 | 13:15 | 480.00
SAF | MIA | WN | 1 (PHX) | 11:30 | 14:55 | 550.00
SAF | MIA | F9 | 0 | 12:00 | 14:30 | 400.00
SAF | MIA | NK | 1 (DAL) | 13:15 | 16:40 | 580.00
SAF | MIA | B6 | 0 | 14:30 | 17:00 | 420.00
SAF | MIA | SY | 1 (MSP) | 15:45 | 19:10 | 600.00


Here are the 16 flight plans:

MIA | ABQ | AA | Non-stop | 08:00 | 10:30 | 425.00
MIA | ABQ | UA | 1 stop (DEN) | 09:15 | 12:45 | 550.00
MIA | ABQ | WN | 1 stop (HOU) | 10:30 | 14:15 | 475.00
MIA | ABQ | DL | Non-stop | 11:45 | 14:15 | 500.00
MIA | ABQ | F9 | 1 stop (DAL) | 12:00 | 15:30 | 450.00
MIA | ABQ | AS | 1 stop (LAX) | 13:15 | 16:45 | 525.00
MIA | ABQ | B6 | Non-stop | 14:30 | 17:00 | 480.00
MIA | ABQ | NK | 1 stop (ORD) | 15:45 | 19:15 | 400.00
ABQ | MIA | AA | Non-stop | 06:00 | 10:30 | 425.00
ABQ | MIA | UA | 1 stop (IAH) | 07:15 | 11:45 | 550.00
ABQ | MIA | WN | 1 stop (PHX) | 08:30 | 13:15 | 475.00
ABQ | MIA | DL | Non-stop | 09:45 | 13:15 | 500.00
ABQ | MIA | F9 | 1 stop (ATL) | 10:00 | 14:30 | 450.00
ABQ | MIA | AS | 1 stop (SFO) | 11:15 | 15:45 | 525.00
ABQ | MIA | B6 | Non-stop | 12:30 | 16:00 | 480.00
ABQ | MIA | NK | 1 stop (DFW) | 13:45 | 17:15 | 400.00


Here are the 16 flight plans:

MIA | SAV | AA | 0 | 06:00 | 08:35 | 198.00
MIA | SAV | DL | 1 (ATL) | 07:30 | 11:15 | 225.00
MIA | SAV | UA | 0 | 08:15 | 10:50 | 210.00
MIA | SAV | WN | 1 (TPA) | 09:00 | 12:45 | 240.00
MIA | SAV | B6 | 0 | 10:30 | 13:05 | 195.00
MIA | SAV | F9 | 1 (CLT) | 11:45 | 15:30 | 265.00
MIA | SAV | NK | 0 | 12:50 | 15:25 | 220.00
MIA | SAV | SY | 1 (MCO) | 14:15 | 17:00 | 280.00
SAV | MIA | AA | 0 | 06:30 | 08:05 | 200.00
SAV | MIA | DL | 1 (JAX) | 07:00 | 10:45 | 230.00
SAV | MIA | UA | 0 | 08:45 | 11:20 | 215.00
SAV | MIA | WN | 1 (PBI) | 09:30 | 12:15 | 250.00
SAV | MIA | B6 | 0 | 11:00 | 13:35 | 205.00
SAV | MIA | F9 | 1 (RDU) | 12:00 | 15:45 | 270.00
SAV | MIA | NK | 0 | 13:20 | 15:55 | 235.00
SAV | MIA | SY | 1 (CHS) | 14:40 | 17:25 | 290.00


Here are the 16 flight plans:

MIA | JAX | AA | 0 | 08:00 | 09:30 | 150.00
MIA | JAX | DL | 1 (ATL) | 09:15 | 12:05 | 220.00
MIA | JAX | UA | 0 | 10:45 | 12:15 | 180.00
MIA | JAX | WN | 1 (TPA) | 11:50 | 14:20 | 250.00
MIA | JAX | B6 | 0 | 13:00 | 14:30 | 160.00
MIA | JAX | F9 | 1 (CLT) | 14:20 | 16:50 | 280.00
MIA | JAX | NK | 0 | 15:30 | 17:00 | 190.00
MIA | JAX | SY | 1 (MCO) | 16:45 | 19:15 | 300.00
JAX | MIA | AA | 0 | 08:30 | 10:00 | 140.00
JAX | MIA | DL | 1 (ATL) | 09:45 | 12:35 | 240.00
JAX | MIA | UA | 0 | 11:15 | 12:45 | 170.00
JAX | MIA | WN | 1 (TPA) | 12:20 | 14:50 | 260.00
JAX | MIA | B6 | 0 | 13:30 | 15:00 | 150.00
JAX | MIA | F9 | 1 (CLT) | 14:50 | 17:20 | 290.00
JAX | MIA | NK | 0 | 16:00 | 17:30 | 200.00
JAX | MIA | SY | 1 (MCO) | 17:15 | 19:45 | 310.00


Here are the 16 flight plans:

MIA | SFB | AA | 0 | 08:00 | 09:30 | 150.00
MIA | SFB | DL | 1 (ATL) | 09:15 | 12:45 | 220.00
MIA | SFB | UA | 0 | 10:30 | 12:00 | 180.00
MIA | SFB | WN | 0 | 12:45 | 14:15 | 120.00
MIA | SFB | B6 | 1 (JFK) | 13:00 | 16:30 | 280.00
MIA | SFB | F9 | 0 | 14:15 | 15:45 | 100.00
MIA | SFB | NK | 1 (FLL) | 15:30 | 18:00 | 240.00
MIA | SFB | SY | 0 | 17:00 | 18:30 | 160.00
SFB | MIA | AA | 0 | 08:30 | 10:00 | 140.00
SFB | MIA | DL | 1 (ATL) | 09:45 | 13:15 | 260.00
SFB | MIA | UA | 0 | 11:00 | 12:30 | 200.00
SFB | MIA | WN | 0 | 12:00 | 13:30 | 130.00
SFB | MIA | B6 | 1 (JFK) | 13:30 | 17:00 | 300.00
SFB | MIA | F9 | 0 | 14:45 | 16:15 | 110.00
SFB | MIA | NK | 1 (FLL) | 16:00 | 18:30 | 270.00
SFB | MIA | SY | 0 | 17:30 | 19:00 | 190.00


Here are the 16 flight plans:

MIA | MTJ | AA | 0 | 08:00 | 11:15 | 250.00
MIA | MTJ | UA | 1 (DEN) | 09:30 | 13:45 | 320.00
MIA | MTJ | DL | 0 | 11:00 | 14:15 | 280.00
MIA | MTJ | WN | 1 (PHX) | 12:30 | 16:45 | 350.00
MIA | MTJ | AS | 0 | 14:00 | 17:15 | 300.00
MIA | MTJ | B6 | 1 (JFK) | 15:30 | 19:45 | 380.00
MIA | MTJ | F9 | 0 | 17:00 | 20:15 | 260.00
MIA | MTJ | NK | 1 (LAS) | 18:30 | 22:45 | 400.00
MTJ | MIA | AA | 0 | 08:00 | 11:15 | 270.00
MTJ | MIA | UA | 1 (SFO) | 09:30 | 13:45 | 340.00
MTJ | MIA | DL | 0 | 11:00 | 14:15 | 290.00
MTJ | MIA | WN | 1 (DAL) | 12:30 | 16:45 | 370.00
MTJ | MIA | AS | 0 | 14:00 | 17:15 | 310.00
MTJ | MIA | B6 | 1 (BOS) | 15:30 | 19:45 | 410.00
MTJ | MIA | F9 | 0 | 17:00 | 20:15 | 280.00
MTJ | MIA | NK | 1 (ORD) | 18:30 | 22:45 | 430.00


Here are the 16 flight plans:

MIA | DRO | AA | 1 (ATL) | 08:00 | 11:15 | 450.00
MIA | DRO | UA | 0 | 09:30 | 12:45 | 520.00
MIA | DRO | DL | 1 (DEN) | 10:45 | 14:00 | 480.00
MIA | DRO | WN | 1 (HOU) | 12:00 | 15:15 | 420.00
MIA | DRO | F9 | 1 (ORD) | 13:30 | 16:45 | 390.00
MIA | DRO | B6 | 1 (JFK) | 14:45 | 18:00 | 460.00
MIA | DRO | AS | 1 (SFO) | 16:00 | 19:15 | 500.00
MIA | DRO | NK | 1 (LAX) | 17:15 | 20:30 | 440.00
DRO | MIA | AA | 1 (DFW) | 08:00 | 11:15 | 470.00
DRO | MIA | UA | 0 | 09:30 | 12:45 | 540.00
DRO | MIA | DL | 1 (CVG) | 10:45 | 14:00 | 490.00
DRO | MIA | WN | 1 (BNA) | 12:00 | 15:15 | 430.00
DRO | MIA | F9 | 1 (CLT) | 13:30 | 16:45 | 410.00
DRO | MIA | B6 | 1 (EWR) | 14:45 | 18:00 | 480.00
DRO | MIA | AS | 1 (PDX) | 16:00 | 19:15 | 510.00
DRO | MIA | NK | 1 (IAH) | 17:15 | 20:30 | 450.00


Here are the 16 flight plans:

MIA | BOZ | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
MIA | BOZ | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 520.00
MIA | BOZ | United Airlines | Non-stop | 10:45 | 14:00 | 480.00
MIA | BOZ | Lufthansa | 1 stop (FRA) | 12:00 | 17:30 | 650.00
MIA | BOZ | Air France | 1 stop (CDG) | 13:15 | 18:45 | 580.00
MIA | BOZ | KLM Royal Dutch | 1 stop (AMS) | 14:30 | 20:00 | 610.00
MIA | BOZ | Turkish Airlines | 1 stop (IST) | 15:45 | 21:15 | 630.00
MIA | BOZ | Emirates | 1 stop (DXB) | 17:00 | 22:30 | 700.00
BOZ | MIA | American Airlines | Non-stop | 08:00 | 11:15 | 420.00
BOZ | MIA | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 490.00
BOZ | MIA | United Airlines | Non-stop | 10:45 | 14:00 | 450.00
BOZ | MIA | Lufthansa | 1 stop (FRA) | 12:00 | 17:30 | 620.00
BOZ | MIA | Air France | 1 stop (CDG) | 13:15 | 18:45 | 550.00
BOZ | MIA | KLM Royal Dutch | 1 stop (AMS) | 14:30 | 20:00 | 580.00
BOZ | MIA | Turkish Airlines | 1 stop (IST) | 15:45 | 21:15 | 600.00
BOZ | MIA | Emirates | 1 stop (DXB) | 17:00 | 22:30 | 680.00


Here are the 16 flight plans:

MIA | FAT | AA | 1 (DFW) | 08:00 | 11:15 | 450.00
MIA | FAT | UA | 1 (IAH) | 09:30 | 12:45 | 520.00
MIA | FAT | DL | 1 (ATL) | 11:00 | 14:15 | 480.00
MIA | FAT | WN | 1 (HOU) | 12:30 | 15:45 | 400.00
MIA | FAT | AS | 1 (SEA) | 14:00 | 17:15 | 550.00
MIA | FAT | B6 | 1 (LAX) | 15:30 | 18:45 | 500.00
MIA | FAT | F9 | 1 (DEN) | 17:00 | 20:15 | 380.00
MIA | FAT | NK | 1 (ORD) | 18:30 | 21:45 | 420.00
FAT | MIA | AA | 1 (PHX) | 06:00 | 13:15 | 470.00
FAT | MIA | UA | 1 (SFO) | 07:30 | 14:45 | 540.00
FAT | MIA | DL | 1 (SLC) | 09:00 | 16:15 | 510.00
FAT | MIA | WN | 1 (LAS) | 10:30 | 17:45 | 440.00
FAT | MIA | AS | 1 (PDX) | 12:00 | 19:15 | 580.00
FAT | MIA | B6 | 1 (JFK) | 13:30 | 20:45 | 560.00
FAT | MIA | F9 | 1 (MCO) | 15:00 | 22:15 | 400.00
FAT | MIA | NK | 1 (EWR) | 16:30 | 23:45 | 480.00


Here are the 16 flight plans:

MIA | SGU | American Airlines | Non-stop | 08:00 | 10:30 | 298.00
MIA | SGU | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:45 | 320.00
MIA | SGU | United Airlines | Non-stop | 10:45 | 13:15 | 290.00
MIA | SGU | Spirit Airlines | 1 stop (FLL) | 11:30 | 14:55 | 240.00
MIA | SGU | JetBlue Airways | Non-stop | 12:15 | 14:45 | 310.00
MIA | SGU | Frontier Airlines | 1 stop (DEN) | 13:00 | 16:30 | 270.00
MIA | SGU | Southwest Airlines | Non-stop | 14:30 | 17:00 | 300.00
MIA | SGU | Alaska Airlines | 1 stop (SEA) | 15:15 | 18:40 | 330.00

SGU | MIA | American Airlines | Non-stop | 06:00 | 08:30 | 280.00
SGU | MIA | Delta Air Lines | 1 stop (SLC) | 07:15 | 10:45 | 300.00
SGU | MIA | United Airlines | Non-stop | 08:45 | 11:15 | 260.00
SGU | MIA | Spirit Airlines | 1 stop (LAS) | 09:30 | 12:55 | 220.00
SGU | MIA | JetBlue Airways | Non-stop | 10:15 | 12:45 | 280.00
SGU | MIA | Frontier Airlines | 1 stop (ORD) | 11:00 | 14:25 | 250.00
SGU | MIA | Southwest Airlines | Non-stop | 12:30 | 15:00 | 290.00
SGU | MIA | Alaska Airlines | 1 stop (PDX) | 13:15 | 16:35 | 310.00


Here are the 16 flight plans:

MIA | AMS | AA | 0 | 08:00 | 17:30 | 450.00
MIA | AMS | KL | 1 (CDG) | 09:15 | 19:45 | 520.00
MIA | AMS | DL | 0 | 11:30 | 21:00 | 480.00
MIA | AMS | UA | 1 (EWR) | 12:45 | 22:15 | 550.00
MIA | AMS | AF | 1 (CDG) | 14:00 | 23:30 | 500.00
MIA | AMS | LH | 1 (FRA) | 15:15 | 00:45 | 580.00
MIA | AMS | IB | 1 (MAD) | 16:30 | 02:00 | 530.00
MIA | AMS | VS | 1 (LHR) | 18:00 | 03:30 | 510.00
AMS | MIA | KL | 0 | 09:00 | 13:30 | 420.00
AMS | MIA | AA | 1 (PHL) | 10:15 | 15:45 | 490.00
AMS | MIA | DL | 1 (ATL) | 11:30 | 17:00 | 460.00
AMS | MIA | UA | 1 (EWR) | 12:45 | 18:15 | 500.00
AMS | MIA | AF | 1 (CDG) | 14:00 | 19:30 | 480.00
AMS | MIA | LH | 1 (FRA) | 15:15 | 20:45 | 520.00
AMS | MIA | IB | 1 (MAD) | 16:30 | 22:00 | 510.00
AMS | MIA | VS | 1 (LHR) | 18:00 | 23:30 | 490.00


Here are the 16 flight plans:

MIA | AUA | American Airlines | Non-stop | 08:00 | 11:15 | 425.00
MIA | AUA | Delta Air Lines | 1 stop (SJU) | 09:30 | 13:45 | 495.00
MIA | AUA | JetBlue Airways | Non-stop | 11:00 | 14:15 | 375.00
MIA | AUA | United Airlines | 1 stop (EWR) | 12:30 | 17:00 | 525.00
MIA | AUA | Spirit Airlines | 1 stop (FLL) | 14:00 | 18:15 | 450.00
MIA | AUA | Copa Airlines | 1 stop (PTY) | 15:30 | 20:00 | 580.00
MIA | AUA | Avianca | 1 stop (BOG) | 17:00 | 21:30 | 550.00
MIA | AUA | LATAM | Non-stop | 19:00 | 22:15 | 500.00

AUA | MIA | American Airlines | Non-stop | 08:30 | 11:45 | 450.00
AUA | MIA | Delta Air Lines | 1 stop (ATL) | 10:00 | 14:15 | 520.00
AUA | MIA | JetBlue Airways | Non-stop | 11:30 | 14:45 | 400.00
AUA | MIA | United Airlines | 1 stop (IAH) | 13:00 | 17:15 | 540.00
AUA | MIA | Spirit Airlines | 1 stop (TPA) | 14:30 | 18:45 | 480.00
AUA | MIA | Copa Airlines | 1 stop (PTY) | 16:00 | 20:15 | 590.00
AUA | MIA | Avianca | 1 stop (BOG) | 17:30 | 22:00 | 560.00
AUA | MIA | LATAM | Non-stop | 19:30 | 22:45 | 510.00


Here are the 16 flight plans:

MIA | ATH | American Airlines | Non-stop | 08:00 | 17:30 | 850.00
MIA | ATH | Lufthansa | 1 stop (FRA) | 09:30 | 19:45 | 950.00
MIA | ATH | Delta Air Lines | Non-stop | 11:00 | 20:30 | 900.00
MIA | ATH | British Airways | 1 stop (LHR) | 12:30 | 22:15 | 1050.00
MIA | ATH | Iberia | 1 stop (MAD) | 14:00 | 23:45 | 1000.00
MIA | ATH | Turkish Airlines | 1 stop (IST) | 15:30 | 01:15 | 1100.00
MIA | ATH | Swiss International | 1 stop (ZRH) | 17:00 | 02:45 | 1150.00
MIA | ATH | Emirates | 1 stop (DXB) | 19:30 | 05:15 | 1200.00

ATH | MIA | Aegean Airlines | Non-stop | 08:00 | 14:30 | 800.00
ATH | MIA | Olympic Air | 1 stop (CDG) | 09:30 | 16:45 | 900.00
ATH | MIA | Alitalia | 1 stop (FCO) | 11:00 | 18:30 | 950.00
ATH | MIA | KLM Royal Dutch | 1 stop (AMS) | 12:30 | 20:15 | 1000.00
ATH | MIA | Austrian Airlines | 1 stop (VIE) | 14:00 | 21:45 | 1050.00
ATH | MIA | Qatar Airways | 1 stop (DOH) | 15:30 | 23:15 | 1100.00
ATH | MIA | United Airlines | 1 stop (EWR) | 17:00 | 00:45 | 1150.00
ATH | MIA | Air France | 1 stop (CDG) | 19:30 | 02:15 | 1200.00


Here are the 16 flight plans:

MIA | AKL | AA | 1 (LAX) | 08:00 | 06:00 | 850.00
MIA | AKL | NZ | 2 (LAX, HNL) | 10:00 | 08:00 | 950.00
MIA | AKL | QF | 1 (SYD) | 12:00 | 10:00 | 1000.00
MIA | AKL | LA | 2 (SCL, SYD) | 14:00 | 12:00 | 1100.00
MIA | AKL | UA | 1 (SFO) | 16:00 | 14:00 | 900.00
MIA | AKL | DL | 2 (ATL, LAX) | 18:00 | 16:00 | 1050.00
MIA | AKL | AC | 1 (YYZ) | 20:00 | 18:00 | 980.00
MIA | AKL | HA | 2 (HNL, SYD) | 22:00 | 20:00 | 1020.00

AKL | MIA | NZ | 1 (LAX) | 08:00 | 06:00 | 950.00
AKL | MIA | AA | 2 (HNL, DFW) | 10:00 | 08:00 | 1050.00
AKL | MIA | QF | 1 (SYD) | 12:00 | 10:00 | 1000.00
AKL | MIA | LA | 2 (SCL, GRU) | 14:00 | 12:00 | 1150.00
AKL | MIA | UA | 1 (SFO) | 16:00 | 14:00 | 920.00
AKL | MIA | DL | 2 (LAX, ATL) | 18:00 | 16:00 | 1080.00
AKL | MIA | AC | 1 (YYZ) | 20:00 | 18:00 | 1008.00
AKL | MIA | HA | 2 (HNL, LAX) | 22:00 | 20:00 | 1040.00


Here are the 16 flight plans:

MIA | DPS | AA | 1 (NRT) | 08:00 | 22:30 | 850.00
MIA | DPS | JL | 1 (HND) | 09:30 | 23:50 | 920.00
MIA | DPS | UA | 2 (SFO, HKG) | 10:15 | 02:45 | 1100.00
MIA | DPS | SQ | 1 (SIN) | 11:00 | 01:15 | 1050.00
MIA | DPS | CX | 1 (HKG) | 12:30 | 03:45 | 1000.00
MIA | DPS | QF | 2 (LAX, SYD) | 13:45 | 05:50 | 1250.00
MIA | DPS | EK | 1 (DXB) | 15:00 | 06:30 | 950.00
MIA | DPS | TG | 1 (BKK) | 16:30 | 08:15 | 900.00
DPS | MIA | AA | 1 (NRT) | 08:30 | 20:00 | 880.00
DPS | MIA | JL | 1 (HND) | 09:50 | 21:20 | 950.00
DPS | MIA | UA | 2 (HKG, SFO) | 11:15 | 23:40 | 1150.00
DPS | MIA | SQ | 1 (SIN) | 12:45 | 02:00 | 1080.00
DPS | MIA | CX | 1 (HKG) | 14:00 | 04:25 | 1030.00
DPS | MIA | QF | 2 (SYD, LAX) | 15:30 | 06:45 | 1280.00
DPS | MIA | EK | 1 (DXB) | 17:00 | 08:30 | 980.00
DPS | MIA | TG | 1 (BKK) | 18:30 | 10:15 | 930.00


Here are the 16 flight plans:

MIA | BCN | Iberia | Non-stop | 08:00 | 18:30 | 450.00
MIA | BCN | American | 1 (PHL) | 10:30 | 20:00 | 520.00
MIA | BCN | LATAM | Non-stop | 12:00 | 22:30 | 480.00
MIA | BCN | Delta | 1 (ATL) | 14:00 | 23:59 | 550.00
MIA | BCN | Air Europa | Non-stop | 16:00 | 02:30 | 500.00
MIA | BCN | Swiss | 1 (ZRH) | 18:00 | 04:00 | 580.00
MIA | BCN | Lufthansa | 1 (FRA) | 20:00 | 05:30 | 610.00
MIA | BCN | TAP Air Portugal | 1 (LIS) | 22:00 | 06:59 | 630.00
BCN | MIA | Iberia | Non-stop | 09:00 | 13:30 | 420.00
BCN | MIA | American | 1 (PHL) | 11:30 | 16:00 | 490.00
BCN | MIA | LATAM | Non-stop | 13:30 | 18:00 | 450.00
BCN | MIA | Delta | 1 (ATL) | 15:30 | 20:00 | 510.00
BCN | MIA | Air Europa | Non-stop | 17:30 | 22:00 | 470.00
BCN | MIA | Swiss | 1 (ZRH) | 19:30 | 00:59 | 540.00
BCN | MIA | Lufthansa | 1 (FRA) | 21:30 | 02:30 | 570.00
BCN | MIA | TAP Air Portugal | 1 (LIS) | 23:30 | 04:59 | 590.00


Here are the 16 flight plans:

MIA | PEK | AA | 1 (NRT) | 09:00 | 21:30 | 850.00
MIA | PEK | UA | 2 (LAX, ICN) | 11:30 | 00:15 | 1200.00
MIA | PEK | DL | 0 | 13:45 | 18:15 | 950.00
MIA | PEK | CA | 1 (SFO) | 15:00 | 22:45 | 1050.00
MIA | PEK | HU | 2 (ORD, SEA) | 17:15 | 02:30 | 1400.00
MIA | PEK | MU | 1 (LAX) | 19:30 | 01:15 | 1250.00
MIA | PEK | CZ | 2 (ATL, HKG) | 21:45 | 04:30 | 1600.00
MIA | PEK | JL | 1 (NRT) | 23:59 | 06:30 | 1100.00
PEK | MIA | AA | 1 (DFW) | 09:30 | 21:00 | 900.00
PEK | MIA | UA | 2 (HKG, SFO) | 11:00 | 23:45 | 1300.00
PEK | MIA | DL | 0 | 13:15 | 17:45 | 1000.00
PEK | MIA | CA | 1 (CAN) | 15:30 | 21:15 | 1150.00
PEK | MIA | HU | 2 (PVG, ORD) | 17:45 | 02:00 | 1450.00
PEK | MIA | MU | 1 (PVG) | 19:00 | 01:30 | 1200.00
PEK | MIA | CZ | 2 (XIAM, LAX) | 21:15 | 04:45 | 1650.00
PEK | MIA | JL | 1 (NRT) | 23:30 | 06:00 | 1050.00


Here are the 16 flight plans:

MIA | BER | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
MIA | BER | American Airlines | 2 (JFK, CDG) | 10:00 | 22:00 | 1200.00
MIA | BER | Iberia | 1 (MAD) | 12:00 | 00:30 | 900.00
MIA | BER | United Airlines | 0 | 14:00 | 22:00 | 1000.00
MIA | BER | Delta Air Lines | 1 (AMS) | 16:00 | 02:30 | 1100.00
MIA | BER | Air Europa | 1 (MAD) | 18:00 | 04:30 | 950.00
MIA | BER | Swiss International | 1 (ZRH) | 20:00 | 06:30 | 1050.00
MIA | BER | TAP Air Portugal | 1 (LIS) | 22:00 | 08:30 | 1020.00
BER | MIA | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
BER | MIA | American Airlines | 2 (CDG, JFK) | 10:00 | 22:00 | 1200.00
BER | MIA | Iberia | 1 (MAD) | 12:00 | 00:30 | 900.00
BER | MIA | United Airlines | 0 | 14:00 | 22:00 | 1000.00
BER | MIA | Delta Air Lines | 1 (AMS) | 16:00 | 02:30 | 1100.00
BER | MIA | Air Europa | 1 (MAD) | 18:00 | 04:30 | 950.00
BER | MIA | Swiss International | 1 (ZRH) | 20:00 | 06:30 | 1050.00
BER | MIA | TAP Air Portugal | 1 (LIS) | 22:00 | 08:30 | 1020.00


Here are the 16 flight plans:

MIA | EZE | AA | 0 | 08:00 | 18:30 | 850.00
MIA | EZE | LATAM | 1 (LIM) | 09:30 | 21:15 | 720.00
MIA | EZE | AVIANCA | 1 (BOG) | 11:00 | 22:45 | 950.00
MIA | EZE | COPA | 1 (PTY) | 12:30 | 23:50 | 810.00
MIA | EZE | DELTA | 0 | 14:00 | 01:20 | 990.00
MIA | EZE | AMERICAN | 1 (GRU) | 15:30 | 02:50 | 870.00
MIA | EZE | LATAM | 0 | 17:00 | 04:20 | 920.00
